end,filed,form,Name,Ticker,CIK,Currency,AccountsPayableAndAccruedLiabilitiesCurrent,AccountsPayableCurrent,AccountsPayableOtherCurrent,AccountsReceivableNetCurrent,AccruedLiabilitiesCurrent,AccruedProfessionalFeesCurrentAndNoncurrent,AdditionalPaidInCapital,AdministrativeFeesExpense,AssetImpairmentCharges,Assets,AssetsCurrent,AssetsNoncurrent,CashAndCashEquivalentsAtCarryingValue,CashAndCashEquivalentsPeriodIncreaseDecrease,CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalentsPeriodIncreaseDecreaseExcludingExchangeRateEffect,CommonStockParOrStatedValuePerShare,CommonStockSharesAuthorized,CommonStockSharesIssued,CommonStockSharesOutstanding,CommonStockSharesSubscriptions,CommonStockValue,CostOfGoodsAndServicesSold,CostOfGoodsSoldSalesTypeLease,CostOfRevenue,DebtConversionConvertedInstrumentAmount1,DebtConversionConvertedInstrumentSharesIssued1,DeferredOtherTaxExpenseBenefit,DeferredTaxAssetsGross,DeferredTaxAssetsLiabilitiesNet,DeferredTaxAssetsNet,DeferredTaxAssetsOperatingLossCarryforwards,DeferredTaxAssetsTaxDeferredExpenseReservesAndAccrualsPolicyholderLiabilities,DeferredTaxAssetsValuationAllowance,DeferredTaxLiabilitiesPrepaidExpenses,Depreciation,DepreciationAndAmortization,DevelopmentStageEnterpriseDeficitAccumulatedDuringDevelopmentStage,DueToAffiliateCurrent,DueToRelatedPartiesCurrent,EarningsPerShareBasicAndDiluted,EffectiveIncomeTaxRateContinuingOperations,EffectiveIncomeTaxRateReconciliationAtFederalStatutoryIncomeTaxRate,EffectiveIncomeTaxRateReconciliationChangeInDeferredTaxAssetsValuationAllowance,EffectiveIncomeTaxRateReconciliationForeignIncomeTaxRateDifferential,EffectiveIncomeTaxRateReconciliationStateAndLocalIncomeTaxes,ForeignCurrencyTransactionGainBeforeTax,GainsLossesOnExtinguishmentOfDebt,GeneralAndAdministrativeExpense,GrossProfit,ImpairmentOfIntangibleAssetsExcludingGoodwill,ImpairmentOfInvestments,IncomeLossFromContinuingOperationsBeforeIncomeTaxesMinorityInterestAndIncomeLossFromEquityMethodInvestments,IncomeTaxExpenseBenefit,IncomeTaxExpenseBenefitContinuingOperationsAdjustmentOfDeferredTaxAssetLiability,IncomeTaxesPaid,IncomeTaxesPaidNet,IncomeTaxReconciliationChangeInDeferredTaxAssetsValuationAllowance,IncomeTaxReconciliationChangeInEnactedTaxRate,IncreaseDecreaseInAccountsPayableAndAccruedLiabilities,IncreaseDecreaseInAccountsPayableRelatedParties,IncreaseDecreaseInAccruedLiabilities,IncreaseDecreaseInDeferredRevenueAndCustomerAdvancesAndDeposits,IncreaseDecreaseInDueToAffiliates,IncreaseDecreaseInDueToRelatedParties,IncreaseDecreaseInOtherAccruedLiabilities,IncreaseDecreaseInPrepaidDeferredExpenseAndOtherAssets,IncreaseDecreaseInPrepaidExpense,InducedConversionOfConvertibleDebtExpense,InterestIncomeFederalHomeLoanBankAdvances,InterestIncomeOther,InterestIncomeSecuritiesTaxable,InterestPaid,InterestPaidNet,LegalFees,Liabilities,LiabilitiesAndStockholdersEquity,LiabilitiesCurrent,NetCashProvidedByUsedInFinancingActivities,NetCashProvidedByUsedInFinancingActivitiesContinuingOperations,NetCashProvidedByUsedInInvestingActivities,NetCashProvidedByUsedInInvestingActivitiesContinuingOperations,NetCashProvidedByUsedInOperatingActivities,NetCashProvidedByUsedInOperatingActivitiesContinuingOperations,NetIncomeLoss,NetInvestmentInLeaseSale,NonoperatingIncomeExpense,OperatingCostsAndExpenses,OperatingExpenses,OperatingIncomeLoss,OperatingLossCarryforwards,OtherAccountsPayableAndAccruedLiabilities,OtherAccruedLiabilitiesCurrent,OtherLiabilitiesCurrent,OtherNonoperatingIncome,OtherNonoperatingIncomeExpense,OtherOperatingIncome,OtherOperatingIncomeExpenseNet,OtherPrepaidExpenseCurrent,OtherReceivables,PaymentsToAcquirePropertyPlantAndEquipment,PrepaidExpenseAndOtherAssets,PrepaidExpenseAndOtherAssetsCurrent,PrepaidExpenseCurrent,ProceedsFromIssuanceOfCommonStock,ProceedsFromIssuanceOrSaleOfEquity,ProceedsFromRelatedPartyDebt,ProfessionalAndContractServicesExpense,ProfessionalFees,ProfitLoss,PropertyPlantAndEquipmentNet,RelatedPartyTransactionAmountsOfTransaction,RelatedPartyTransactionRate,RetainedEarningsAccumulatedDeficit,Revenues,SalesRevenueNet,SellingGeneralAndAdministrativeExpense,ShareBasedCompensation,ShareBasedGoodsAndNonemployeeServicesTransactionCashFlowEffects,ShareBasedGoodsAndNonemployeeServicesTransactionStockholdersEquity,StockholdersEquity,StockholdersEquityNoteSpinoffTransaction,StockholdersEquityNoteStockSplitConversionRatio1,StockIssuedDuringPeriodSharesNewIssues,StockIssuedDuringPeriodValueIssuedForCash,StockIssuedDuringPeriodValueIssuedForServices,StockIssuedDuringPeriodValueNewIssues,WeightedAverageNumberOfShareOutstandingBasicAndDiluted,WeightedAverageNumberOfSharesOutstandingBasic
2016-12-31,2017-03-31,10-K,AFF HOLDING GROUP INC,AFFG,CIK0001469038,USD,31460.0,,29152.0,0.0,2308.0,,345354.0,,0.0,7833.0,7833.0,0.0,7833.0,7794.0,,0.001,200000000.0,17952.0,17952.0,0.0,18.0,0.0,,,,,0.0,225549.0,0.0,,225549.0,0.0,225549.0,,0.0,,,,294381.0,0.0,,,,0.165,0.34,0.0,,,7538.0,,0.0,-79929.0,0.0,225549.0,0.0,0.0,225549.0,0.0,3000.0,,,,,84723.0,,0.0,0.0,,0.0,,,0.0,0.0,,325841.0,7833.0,325841.0,0.0,0.0,,0.0,7794.0,7794.0,-79929.0,,,,,,663380.0,,,,,,11077.0,,,,0.0,,,,0.0,0.0,,,,,0.0,,,-663380.0,7538.0,7538.0,98544.0,0.0,,,-318008.0,,,,,,,17952.0,
2017-03-31,2017-05-15,10-Q,AFF HOLDING GROUP INC,AFFG,CIK0001469038,USD,30659.0,,28992.0,,1667.0,,165850.0,,0.0,11306.0,11306.0,0.0,11306.0,3473.0,,0.001,200000000.0,179922531.0,179922531.0,783.0,179922.0,0.0,,,,,0.0,,,,,0.0,,,0.0,,,,303116.0,-0.31,,,,0.165,0.34,0.0,,,1833.0,,0.0,-5644.0,0.0,1920.0,0.0,0.0,1920.0,,8735.0,,,,,-801.0,,,,,0.0,,,0.0,0.0,,333775.0,11306.0,333775.0,1183.0,1183.0,,0.0,2290.0,2290.0,-5644.0,,,,,-5644.0,669024.0,,,,,,206.0,,,,0.0,,,,400.0,783.0,,,,,0.0,,,-669024.0,1833.0,1833.0,7683.0,0.0,,,-322469.0,,,,,,400.0,17963.0,
2017-06-30,2017-08-14,10-Q,AFF HOLDING GROUP INC,AFFG,CIK0001469038,USD,32070.0,,31557.0,2200.0,513.0,,165850.0,,0.0,5563.0,5563.0,0.0,3363.0,,,0.001,1200000000.0,181222531.0,181222531.0,87.0,181222.0,0.0,,0.0,,,,,,,,0.0,,,,,,,314622.0,-1.07,,,,,,,,,1834.0,,0.0,-19264.0,0.0,,,,,,,,,,,,,,,,,,,,,,346692.0,5563.0,346692.0,,,,,,,-19264.0,,,,,-19264.0,688288.0,,,,,,128.0,,,,,,,,,,,,,,0.0,,,-688288.0,1834.0,1834.0,21226.0,,,,-341129.0,,,,,,,18054.0,
2017-09-30,2017-11-20,10-Q,AFF HOLDING GROUP INC,AFFG,CIK0001469038,USD,40808.0,,38808.0,2876.0,2000.0,,165850.0,,,6212.0,6212.0,0.0,3363.0,,,0.001,1200000000.0,181222531.0,181222531.0,87.0,181222.0,0.0,,0.0,,,,,,,,0.0,,,,,,,337870.0,-1.73,,,,,,,,,0.0,,,-31337.0,0.0,,,,,,,,,,,,,,,,,,,,,,378678.0,6212.0,378678.0,,,,,,,-31337.0,,,,,-31337.0,719625.0,,,,,,0.0,,,,,,,,,,,,,,0.0,,,-719625.0,0.0,0.0,31337.0,,,,-372466.0,,,,,,,18122.0,
2017-12-31,2018-05-23,10-K,AFF HOLDING GROUP INC,AFFG,CIK0001469038,USD,53557.0,,48557.0,2476.0,53557.0,,347052.0,,,5735.0,5735.0,0.0,3259.0,-4574.0,,0.001,1200000000.0,20000.0,20000.0,87.0,20.0,,,,,,,156215.0,0.0,,252920.0,,156215.0,,,,,,348901.0,0.0,,,,0.165,0.21,,334.0,,,,,-80502.0,0.0,,,0.0,,-96705.0,22097.0,,,-2476.0,,54520.0,,,2476.0,,,,,,0.0,,402458.0,5735.0,402458.0,1787.0,,,,-6361.0,,-80502.0,,,,,-80836.0,743882.0,53557.0,5000.0,219565.0,,334.0,334.0,,,,,,2476.0,2476.0,1700.0,87.0,,,,,0.0,,,-743882.0,3667.0,,84503.0,,,,-396723.0,0.0,0.0001,0.0,,,1700.0,18421.0,
2018-03-31,2019-04-23,10-Q,AFF HOLDING GROUP INC,AFFG,CIK0001469038,USD,59207.0,,52557.0,2476.0,6650.0,,347052.0,,,5658.0,5658.0,,3182.0,-77.0,,0.001,1200000000.0,20000.0,20000.0,87.0,20.0,,,,,,,,,,,,,,,,,,359251.0,-0.8,,,,,,,,,,,,,,,,0.0,,,5650.0,,,,,10350.0,,,0.0,,,,,,0.0,,418458.0,5658.0,418458.0,0.0,,0.0,,-77.0,,-16077.0,,,,,-16077.0,,,,,,,0.0,,,,,,,,0.0,0.0,,,,,,,,-759959.0,0.0,,16077.0,,,,-412800.0,,0.0001,,,,,20000.0,
2018-06-30,2019-06-24,10-Q,AFF HOLDING GROUP INC,AFFG,CIK0001469038,USD,,,25400.0,,32050.0,,347052.0,,,5412.0,5412.0,0.0,2936.0,,,0.001,1200000000.0,20000.0,20000.0,87.0,20.0,,,0.0,,,,,,,,,,,,,,,175953.0,-0.38,,,,,,,,,0.0,,,,0.0,,,,,,,,,,,,,,,,,,,,,,425818.0,5412.0,425818.0,,,,,,,-7606.0,,,,7606.0,-7606.0,,,6650.0,217815.0,,,0.0,,,,,,,2476.0,,,,6600.0,,,0.0,,,-767565.0,0.0,,1006.0,,,,-420406.0,,,,,,,20000.0,
2018-09-30,2019-08-15,10-Q,AFF HOLDING GROUP INC,AFFG,CIK0001469038,USD,,,25400.0,,32050.0,,347052.0,,,2846.0,2846.0,,2846.0,,,0.001,1200000000.0,20000.0,20000.0,87.0,20.0,,,0.0,,,,,,,,,,,,,,,176013.0,-0.13,,,,,,,,,0.0,,,,0.0,,,,,,,,,,,,,,,,,,,,,,425878.0,2846.0,425878.0,,,,,,,-2627.0,,,,2627.0,-2627.0,,32050.0,6650.0,217815.0,,,0.0,,,,,,,0.0,,,,2200.0,,,0.0,,,-770191.0,0.0,,427.0,,,,-423032.0,,,,,,,20000.0,
2018-12-31,2019-10-11,10-K,AFF HOLDING GROUP INC,AFFG,CIK0001469038,USD,,,0.0,,0.0,0.0,347052.0,,,1.0,1.0,,1.0,-3258.0,,0.001,1200000000.0,20000.0,20000.0,87.0,20.0,,,,,,,109504.0,0.0,,109540.0,,109540.0,,,,,,174463.0,11.11,0.0,-0.21,0.21,,0.0,,249685.0,,,,,,0.0,,,0.0,,0.0,-174438.0,,,2476.0,,-53557.0,,,,,,,,,0.0,,174463.0,1.0,174463.0,0.0,,,,-3258.0,,222261.0,,249684.0,,,-27604.0,,0.0,0.0,,,249685.0,,-24800.0,,,,,1.0,0.0,1700.0,87.0,17790.0,,,,,,,-521621.0,3667.0,,2804.0,,,,-174462.0,,,,,,,20000.0,
2019-03-31,2019-11-13,10-Q,AFF HOLDING GROUP INC,AFFG,CIK0001469038,USD,,,,,,,347052.0,,,2200.0,2200.0,,0.0,-1.0,,0.001,1200000000.0,20000.0,20000.0,87.0,20.0,,,,,,,,,,,,,,,,,,181358.0,-0.23,,,,,,,,,,,,,,,,0.0,,,0.0,,,,,6895.0,,,2200.0,,,,,,0.0,,181358.0,2200.0,181358.0,0.0,,0.0,,-1.0,,-4696.0,,,,4696.0,-4696.0,,,,,,,,,,,,,,2200.0,,,,4600.0,,,,,,-526317.0,0.0,,96.0,,,,-179158.0,,,0.0,,,,20000.0,
2019-06-30,2019-12-11,10-Q,AFF HOLDING GROUP INC,AFFG,CIK0001469038,USD,,,,,3500.0,,347052.0,,,2600.0,2600.0,,0.0,,,0.001,1200000000.0,20000.0,20000.0,87.0,20.0,,,0.0,,,,,,,,,,,,,,,185211.0,-0.348,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,188711.0,2600.0,188711.0,,,,,,,-6953.0,,,,6953.0,-6953.0,,,,,,,,,,,,,,2600.0,,,,6100.0,,,,,,-533270.0,0.0,,853.0,,,,-186111.0,,,,,,,20000.0,
2019-09-30,2020-01-14,10-Q,AFF HOLDING GROUP INC,AFFG,CIK0001469038,USD,,,,,0.0,,347052.0,,,2000.0,2000.0,,0.0,,,0.001,1200000000.0,20000.0,20000.0,87.0,20.0,,,0.0,,,,,,,,,,,,,,,195727.0,-0.381,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,195727.0,2000.0,195727.0,,,,,,,-7616.0,,,,7616.0,,,,,,,,,,,,,,,2000.0,,,10516.0,7165.0,,,,,,-540886.0,0.0,,451.0,,,,-193727.0,,,,,,,20000.0,
2019-12-31,2020-05-07,10-K,AFF HOLDING GROUP INC,AFFG,CIK0001469038,USD,,,,,3000.0,3000.0,347052.0,,,0.0,0.0,,0.0,1.0,-1.0,0.001,1200000000.0,20000.0,20000.0,0.0,20.0,,,,,,,,0.0,,118502.0,,118502.0,,,,,,214224.0,-2.13,0.0,0.21,0.21,,0.0,,0.0,4464.0,,,,,0.0,,,0.0,,,39761.0,,,0.0,,3000.0,,,,,,,,,0.0,,217224.0,0.0,217224.0,-87.0,,,,86.0,,-42675.0,,0.0,,,-42675.0,,3000.0,,,,,,-38211.0,,,,,0.0,0.0,0.0,87.0,39761.0,,,,,,,-564296.0,0.0,,4464.0,,,,-217224.0,,,,,,,20000.0,
2020-03-31,2020-07-31,10-Q,AFF HOLDING GROUP INC,AFFG,CIK0001469038,USD,,,,,,4867.0,347052.0,,,2500.0,2500.0,,0.0,0.0,0.0,0.001,1200000000.0,20000.0,20000.0,,20.0,,,0.0,,,,,,,,,,,,,,,241490.0,-1.33,,,,,,,,,0.0,,,,,,,0.0,,,1867.0,,,,,27266.0,,,2500.0,,,,,,0.0,,246357.0,2500.0,246357.0,,,,,0.0,,-26633.0,,,,26633.0,,,4867.0,,,,,,,,,,,2500.0,,,,27266.0,26183.0,,,,,,-590929.0,0.0,,450.0,,,,-243857.0,,,,,,,20000.0,
2020-06-30,2020-08-20,10-Q,AFF HOLDING GROUP INC,AFFG,CIK0001469038,USD,,,,,,19742.0,347052.0,955.0,,0.0,0.0,,0.0,,,0.001,1200000000.0,110000.0,110000.0,,110.0,,0.0,0.0,90.0,,,,,,,,,,,,,,242355.0,-0.181,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,262097.0,0.0,262097.0,,,,,,,-18330.0,0.0,,,18330.0,,,19742.0,,,,,,,,,,,0.0,,,,,17375.0,17375.0,,,,,-609259.0,0.0,,955.0,,,,-262097.0,,,,,,,101099.0,
2020-09-30,2020-11-23,10-Q,AFF HOLDING GROUP INC,AFFG,CIK0001469038,USD,,,,,19513.0,19513.0,347052.0,2675.0,,0.0,0.0,,0.0,,,0.001,1200000000.0,110000.0,110000.0,,110.0,,0.0,0.0,,,,,,,,,,,,,,,275422.0,-0.299,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,294935.0,0.0,294935.0,,,,,,,-32838.0,0.0,,,32838.0,,,,,,,,,,,,,,,0.0,,,33067.0,30163.0,30163.0,,,,,-642097.0,0.0,,2675.0,,,,-294935.0,,,,,,,110000.0,
2020-12-31,2021-04-02,10-K,AFF HOLDING GROUP INC,AFFG,CIK0001469038,USD,,,,,35112.0,35112.0,347052.0,,,0.0,0.0,,0.0,,0.0,0.001,1200000000.0,110000.0,110000.0,,110.0,,,,,90000.0,,,0.0,,140690.0,,140690.0,,,,,,287676.0,-1.34,0.0,0.21,0.21,,0.0,,,5834.0,,,,,0.0,,,0.0,,,73452.0,,,0.0,,32112.0,,,,,,,,,0.0,,322788.0,0.0,322788.0,90.0,,,,-90.0,,-105654.0,,,,,-105654.0,,35112.0,,,,,,-99820.0,,,,,,0.0,90.0,0.0,73452.0,,,,,,,-669950.0,0.0,,,,,,-322788.0,,,,,,90.0,85342.0,
2021-03-31,2021-05-20,10-Q,AFF HOLDING GROUP INC,AFFG,CIK0001469038,USD,,,,,8518.0,8518.0,347052.0,,,0.0,0.0,,0.0,,0.0,0.001,1200000000.0,110000.0,110000.0,,110.0,,,0.0,,,,,,,,,,,,,,,324798.0,-0.1,,,,,,,,,0.0,,,,,,,0.0,,,-26594.0,,,,,37122.0,,,0.0,,,,,,0.0,,333316.0,0.0,333316.0,,,,,0.0,,-10528.0,,,,10528.0,,,,,,,,,,,,,,,,,,,10528.0,,,,,,-680478.0,0.0,,0.0,,,,-333316.0,,,,,,,110000.0,
2021-06-30,2021-08-16,10-Q,AFF HOLDING GROUP INC,AFFG,CIK0001469038,USD,,,,,0.0,0.0,347052.0,1215.0,,0.0,0.0,,0.0,,,0.001,1200000000.0,110000.0,110000.0,,110.0,,0.0,,,,,,,,,,,,,,,,341065.0,-0.07,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,341065.0,0.0,341065.0,,,,,,,-7749.0,0.0,,,7749.0,,,,,,,,,,,,,,,0.0,,,,,6534.0,,,,,-688227.0,,,,,,,-341065.0,,,,,,,110000.0,
2021-09-30,2021-11-15,10-Q,AFF HOLDING GROUP INC,AFFG,CIK0001469038,USD,,,,,0.0,,347052.0,555.0,,0.0,0.0,,0.0,,,0.001,1200000000.0,110000.0,110000.0,,110.0,,0.0,,,,,,,,,,,,,,,,351727.0,-0.097,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,351727.0,0.0,351727.0,,,,,,,-10663.0,0.0,,,10663.0,,,,,,,,,,,,,,,0.0,,,,,10108.0,,,,,-698889.0,,,,,,,-351727.0,,,,,,,110000.0,
