end,filed,form,Name,Ticker,CIK,Currency,AccountsPayableAndAccruedLiabilitiesFairValueDisclosure,AccountsPayableAndOtherAccruedLiabilities,AccountsPayableCurrent,AccountsPayableOtherCurrent,AccountsPayableRelatedPartiesCurrent,AccountsPayableTradeCurrent,AccruedLiabilitiesCurrent,AccumulatedDepreciationDepletionAndAmortizationPropertyPlantAndEquipment,AccumulatedOtherComprehensiveIncomeLossNetOfTax,AdditionalPaidInCapital,AmortizationOfIntangibleAssets,AntidilutiveSecuritiesExcludedFromComputationOfEarningsPerShareAmount,Assets,AssetsCurrent,CapitalizedComputerSoftwareGross,Cash,CashAndCashEquivalentsAtCarryingValue,CashAndCashEquivalentsPeriodIncreaseDecrease,CommitmentsAndContingencies,CommonStockValue,ComprehensiveIncomeNetOfTaxIncludingPortionAttributableToNoncontrollingInterest,ConstructionInProgressGross,CostOfGoodsAndServicesSold,CurrentIncomeTaxExpenseBenefit,CustomerAdvancesAndDeposits,CustomerDepositsCurrent,DebtInstrumentIncreaseAccruedInterest,DebtInstrumentInterestRateDuringPeriod,DeferredTaxAssetsNet,DeferredTaxAssetsValuationAllowance,DepreciationAmortizationAndAccretionNet,DepreciationDepletionAndAmortization,DueFromRelatedParties,DueToRelatedPartiesCurrent,EarningsPerShareBasicAndDiluted,EffectiveIncomeTaxRateReconciliationAtFederalStatutoryIncomeTaxRate,EffectiveIncomeTaxRateReconciliationChangeInDeferredTaxAssetsValuationAllowance,EffectiveIncomeTaxRateReconciliationChangeInEnactedTaxRate,EffectOfExchangeRateOnCashAndCashEquivalents,ExtinguishmentOfDebtAmount,FiniteLivedIntangibleAssetsAccumulatedAmortization,FiniteLivedIntangibleAssetsNet,ForeignCurrencyTransactionGainLossBeforeTax,GainLossOnDispositionOfAssets,GainLossRelatedToLitigationSettlement,GainsLossesOnExtinguishmentOfDebt,GeneralAndAdministrativeExpense,GrossProfit,IncomeLossFromContinuingOperations,IncomeLossFromContinuingOperationsBeforeIncomeTaxesDomestic,IncomeLossFromContinuingOperationsBeforeIncomeTaxesMinorityInterestAndIncomeLossFromEquityMethodInvestments,IncomeTaxExpenseBenefit,IncomeTaxesPaid,IncomeTaxesPaidNet,IncreaseDecreaseInAccountsPayableAndAccruedLiabilities,IncreaseDecreaseInAccountsReceivable,IncreaseDecreaseInCustomerDeposits,IncreaseDecreaseInDueFromRelatedParties,IncreaseDecreaseInDueToRelatedParties,IncreaseDecreaseInInventories,IncreaseDecreaseInOperatingCapital,IncreaseDecreaseInOtherAccountsPayableAndAccruedLiabilities,IncreaseDecreaseInPrepaidDeferredExpenseAndOtherAssets,IncreaseDecreaseInPrepaidExpense,IncreaseDecreaseInRestructuringReserve,IntangibleAssetsNetExcludingGoodwill,InterestExpense,InterestExpenseOther,InterestIncomeExpenseNet,InterestPaid,InterestPaidNet,InterestPayableCurrent,InventoryNet,InventoryNoncurrent,InventoryRawMaterials,LeaseAndRentalExpense,LeaseholdImprovementsGross,Liabilities,LiabilitiesAndStockholdersEquity,LiabilitiesCurrent,LitigationSettlementAmountAwardedToOtherParty,MachineryAndEquipmentGross,NetCashProvidedByUsedInFinancingActivities,NetCashProvidedByUsedInInvestingActivities,NetCashProvidedByUsedInOperatingActivities,NetIncomeLoss,NetIncomeLossAvailableToCommonStockholdersBasic,NotesAndLoansPayable,NotesPayable,NotesPayableCurrent,NotesPayableRelatedPartiesClassifiedCurrent,OccupancyNet,OperatingExpenses,OperatingIncomeLoss,OperatingLeaseLiability,OperatingLeaseLiabilityCurrent,OperatingLeaseLiabilityNoncurrent,OperatingLeaseRightOfUseAsset,OperatingLeasesFutureMinimumPaymentsDue,OperatingLeasesFutureMinimumPaymentsDueCurrent,OperatingLeasesFutureMinimumPaymentsDueInFiveYears,OperatingLeasesFutureMinimumPaymentsDueInFourYears,OperatingLeasesFutureMinimumPaymentsDueInThreeYears,OperatingLeasesFutureMinimumPaymentsDueInTwoYears,OperatingLeasesFutureMinimumPaymentsDueThereafter,OperatingLossCarryforwards,OtherComprehensiveIncomeLossBeforeTax,OtherComprehensiveIncomeLossForeignCurrencyTransactionAndTranslationAdjustmentNetOfTax,OtherGeneralExpense,OtherIntangibleAssetsNet,OtherNonoperatingExpense,OtherNonoperatingIncomeExpense,PaymentsToAcquireIntangibleAssets,PaymentsToAcquirePropertyPlantAndEquipment,PreferredStockParOrStatedValuePerShare,PreferredStockSharesAuthorized,PreferredStockSharesIssued,PreferredStockSharesOutstanding,PreferredStockValue,PrepaidExpenseCurrent,ProceedsFromContributedCapital,ProceedsFromNotesPayable,ProceedsFromRelatedPartyDebt,ProfitLoss,PropertyPlantAndEquipmentGross,PropertyPlantAndEquipmentNet,PropertyPlantAndEquipmentOwnedAccumulatedDepreciation,PublicUtilitiesPropertyPlantAndEquipmentNet,ReceivablesNetCurrent,RelatedPartyTransactionDueFromToRelatedParty,RetainedEarningsAccumulatedDeficit,Revenues,SecurityDeposit,SellingGeneralAndAdministrativeExpense,ShareBasedCompensationArrangementByShareBasedPaymentAwardFairValueAssumptionsExpectedDividendRate,ShareBasedCompensationArrangementByShareBasedPaymentAwardFairValueAssumptionsRiskFreeInterestRate,ShareBasedCompensationArrangementByShareBasedPaymentAwardFairValueAssumptionsWeightedAverageExpectedDividend,ShareBasedCompensationArrangementByShareBasedPaymentAwardFairValueAssumptionsWeightedAverageVolatilityRate,StockholdersEquity,StockIssuedDuringPeriodSharesConversionOfConvertibleSecurities,StockIssuedDuringPeriodValueConversionOfConvertibleSecurities,ValuationAllowancesAndReservesPeriodIncreaseDecrease,WeightedAverageNumberOfDilutedSharesOutstanding,WeightedAverageNumberOfShareOutstandingBasicAndDiluted,WeightedAverageNumberOfSharesOutstandingBasicAndDiluted
2016-11-30,2017-01-13,10-Q,YUBO INTERNATIONAL BIOTECH LIMITED,YBGJ,CIK0000895464,USD,,,428000.0,106000.0,68000.0,,46000.0,,,27180000.0,,0.0,3000.0,,,0.0,0.0,,,1000.0,,,,,,,,,,,,,,,-0.04,,,,,,,,,,,,,,,,-43000.0,0.0,,,,,,,,,,,,,0.0,,19000.0,,,,,,,,,,,1370000.0,3000.0,,,,,,,-43000.0,,896000.0,504000.0,,,,,-24000.0,,,,,,,,,,,,,,,,,,,,,0.01,5000000.0,0.0,,0.0,3000.0,,,,,,,,,,,-28548000.0,0.0,,24000.0,,,,,-1367000.0,,,,,1179000.0,
2017-02-28,2017-06-14,10-K,YUBO INTERNATIONAL BIOTECH LIMITED,YBGJ,CIK0000895464,USD,,,325000.0,,68000.0,,116000.0,,,27290000.0,,,,4000.0,,1000.0,1000.0,-10000.0,,1000.0,,,,,,,,,,,,,,,-0.19,,,,,,,,,110000.0,,,,,,-224000.0,,0.0,,,169000.0,,,,,,,,,,14000.0,,75000.0,,,,,,,,,12000.0,,,4000.0,1376000.0,,,45000.0,0.0,-55000.0,-224000.0,,935000.0,,,,,,-149000.0,,,,,,,,,,,,,,,,,,,,,0.01,5000000.0,0.0,,0.0,3000.0,,,45000.0,-224000.0,,,,,,,-28663000.0,0.0,,149000.0,,,,,-1372000.0,,,,,1179000.0,
2017-05-31,2017-07-14,10-Q,YUBO INTERNATIONAL BIOTECH LIMITED,YBGJ,CIK0000895464,USD,,,323000.0,,,,115000.0,,,27290000.0,,0.0,,1000.0,,1000.0,1000.0,0.0,,1000.0,,,,,,,432000.0,,,,,,,,-0.04,,,,,,,,,,,,,,,,-43000.0,0.0,,,18000.0,,,,,,,,-3000.0,3000.0,0.0,,20000.0,,,,,,,,,,,,1000.0,1416000.0,,,,,-22000.0,-43000.0,,978000.0,546000.0,,,,,-23000.0,,,,,,,,,,,,,,,,,,,,,0.01,5000000.0,0.0,,,0.0,,,22000.0,-43000.0,,,,,,,-28706000.0,0.0,,23000.0,,0.05,0.0,,-1415000.0,,,,,1179000.0,
2017-08-31,2017-10-16,10-Q,YUBO INTERNATIONAL BIOTECH LIMITED,YBGJ,CIK0000895464,USD,,,334000.0,,,,109000.0,,,27290000.0,,0.0,,4000.0,,1000.0,1000.0,,,1000.0,,,,,,,,,,,,,,,-0.03,,,,,,,,,,,,,,,,-43000.0,0.0,,,,,,,,,,,,,0.0,,21000.0,,,,,,,,,,,,4000.0,1462000.0,,,,,,-43000.0,,1019000.0,566000.0,,,,,-22000.0,,,,,,,,,,,,,,,,,,,,,0.01,5000000.0,0.0,,0.0,3000.0,,,,,,,,,,,-28749000.0,0.0,,22000.0,,,,,-1458000.0,,,,,1179000.0,
2017-11-30,2018-01-16,10-Q,YUBO INTERNATIONAL BIOTECH LIMITED,YBGJ,CIK0000895464,USD,18000.0,,338000.0,,,,113000.0,,,27290000.0,,0.0,,4000.0,,1000.0,1000.0,,,,,,,,,,,,,,,,,,-0.04,,,,,,,,,,,,,,,,-43000.0,0.0,,,,,,,,,,,,,0.0,,21000.0,,,,,,,,,,,,4000.0,1505000.0,,,,,,-43000.0,,1054000.0,580000.0,,,,,-22000.0,,,,,,,,,,,,,,,,,,,,,0.01,5000000.0,0.0,,0.0,3000.0,,,,,,,,,,,-28792000.0,0.0,,22000.0,,,,,-1501000.0,,,,,1179000.0,
2018-02-28,2018-06-13,10-K,YUBO INTERNATIONAL BIOTECH LIMITED,YBGJ,CIK0000895464,USD,,,332000.0,,,,38000.0,,,27290000.0,,,,5000.0,,2000.0,2000.0,1000.0,,1000.0,,,,,,,,,,,,,,,-0.12,,,,,,,,,,,,,,,-144000.0,,0.0,,,89000.0,,,,,,,,,,14000.0,,86000.0,,,,,,,,,12000.0,,,5000.0,1521000.0,,,56000.0,0.0,-55000.0,-144000.0,,1151000.0,,,,,,-58000.0,,,,,,,,,,,,,,,,,,,,,0.01,5000000.0,0.0,,0.0,3000.0,,,56000.0,-144000.0,,,,,,,-28807000.0,0.0,,58000.0,,,,,-1516000.0,,,,,1179000.0,
2018-05-31,2018-07-16,10-Q,YUBO INTERNATIONAL BIOTECH LIMITED,YBGJ,CIK0000895464,USD,18000.0,,336000.0,,,,40000.0,,,27290000.0,,,,7000.0,,7000.0,7000.0,5000.0,,,,,,,,,522000.0,,,,,,,,-0.04,,,,,,,,,,,,,,,,-45000.0,0.0,,,31000.0,,,,,,,,,3000.0,0.0,,24000.0,,,,,,,,,,,,7000.0,1568000.0,,,,,-11000.0,-45000.0,,1192000.0,670000.0,,,,,-21000.0,,,,,,,,,,,,,,,,,,,,,0.01,5000000.0,0.0,,0.0,0.0,,,16000.0,,,,,,,,-28852000.0,0.0,,21000.0,,0.05,0.0,2.0,-1561000.0,,,,,1179000.0,
2018-08-31,2018-10-12,10-Q,YUBO INTERNATIONAL BIOTECH LIMITED,YBGJ,CIK0000895464,USD,,,341000.0,,,,37000.0,,,27290000.0,,,,3000.0,,3000.0,3000.0,,,,,,,,,,,,,,,,,,-0.03,,,,,,,,,,,,,,,,-37000.0,0.0,,,,,,,,,,,,,,,25000.0,,,,,,,,,,,,3000.0,1601000.0,,,,,,-37000.0,,1223000.0,676000.0,,,,,-12000.0,,,,,,,,,,,,,,,,,,,,,0.01,5000000.0,0.0,,0.0,0.0,,,,,,,,,,,-28889000.0,0.0,,12000.0,,,,,-1598000.0,,,,,1179000.0,
2018-11-30,2019-01-11,10-Q,YUBO INTERNATIONAL BIOTECH LIMITED,YBGJ,CIK0000895464,USD,,,343000.0,,,,40000.0,,,27290000.0,,,,4000.0,,4000.0,4000.0,,,,,,,,,,,,,,,,,,-0.03,,,,,,,,,,,,,,,,-33000.0,0.0,,,,,,,,,,,,,,,26000.0,,,,,,,,,,,,4000.0,1635000.0,,,,,,-33000.0,,1252000.0,680000.0,,,,,-7000.0,,,,,,,,,,,,,,,,,,,,,0.01,5000000.0,0.0,,,0.0,,,,,,,,,,,-28922000.0,0.0,,7000.0,,,,,-1631000.0,,,,,1179000.0,
2019-02-28,2019-06-12,10-K,YUBO INTERNATIONAL BIOTECH LIMITED,YBGJ,CIK0000895464,USD,,,342000.0,342000.0,,,41000.0,,,27289820.0,,,4000.0,4000.0,,4000.0,4000.0,2000.0,0.0,1000.0,,,,,,,,,,,,,,18000.0,-0.13,,,,,0.0,,,,,0.0,0.0,,,,-148000.0,,0.0,0.0,,116000.0,,,0.0,0.0,,,,,,14000.0,,100000.0,,,0.0,,,,,,5000.0,,,4000.0,1668000.0,,,34000.0,0.0,-32000.0,-148000.0,,1285000.0,1285000.0,,1285000.0,,,-48000.0,,,,,,,,,,,,13900000.0,,,,,,-100000.0,,,0.01,5000000.0,0.0,,0.0,0.0,,,34000.0,-148000.0,,,,,,,-28955000.0,0.0,,48000.0,,,,,-1664000.0,,,,1179329.0,1179000.0,
2019-05-31,2019-07-11,10-Q,YUBO INTERNATIONAL BIOTECH LIMITED,YBGJ,CIK0000895464,USD,,,347000.0,,,,36000.0,,,27290000.0,,,,6000.0,,6000.0,6000.0,2000.0,,,,,,,,,624000.0,,,,,,,,-0.03,,,,,,,,,,,,,,,,-34000.0,0.0,,0.0,26000.0,,,,,,,,,0.0,,,26000.0,,,,0.0,,,,,,,,6000.0,1704000.0,,,10000.0,0.0,-8000.0,-34000.0,,1321000.0,687000.0,,,,8000.0,-8000.0,,,,,,,,,,,,,,,,,,-26000.0,,,0.01,5000000.0,0.0,,0.0,,,,10000.0,,,,,,,,-28989000.0,0.0,,8000.0,0.0,0.05,,2.0,-1698000.0,,,,,1179000.0,
2019-08-31,2019-10-11,10-Q,YUBO INTERNATIONAL BIOTECH LIMITED,YBGJ,CIK0000895464,USD,,,345000.0,,,,39000.0,,,27290000.0,,,,1000.0,,1000.0,1000.0,,,,,,,,,,,,,,,,,,-0.03,,,,,0.0,,,,,0.0,,,,,,-35000.0,0.0,,,,,,,,,,,,,,,26000.0,-26000.0,,,,,,,,,,,1000.0,1734000.0,,,,,,-35000.0,,1350000.0,687000.0,,,,,-8000.0,,,,,,,,,,,,,,,,,,,,,0.01,5000000.0,0.0,,0.0,,,,,,,,,,,,-29024000.0,0.0,,8000.0,,,,,-1733000.0,,,,1179000.0,1179000.0,
2019-11-30,2020-01-13,10-Q,YUBO INTERNATIONAL BIOTECH LIMITED,YBGJ,CIK0000895464,USD,,,347000.0,,,,41000.0,,,27290000.0,,,,1000.0,,1000.0,,,,,,,,,,,,,,,,,,,-0.03,,,,,0.0,,,,,,,,,,,-34000.0,0.0,,,,,,,,,,,,,,,26000.0,,,,,,,,,,,,1000.0,1768000.0,,,,,,-34000.0,,1380000.0,687000.0,,,,,-8000.0,,,,,,,,,,,,,,,,,,-26000.0,,,0.01,5000000.0,0.0,,0.0,,,,,,,,,,,,-29058000.0,0.0,,8000.0,,,,,,,,,1179000.0,1179000.0,
2020-02-29,2020-06-25,10-K,YUBO INTERNATIONAL BIOTECH LIMITED,YBGJ,CIK0000895464,USD,,,353000.0,353000.0,,,40000.0,,,27289820.0,,,1000.0,1000.0,,1000.0,,-3000.0,0.0,,,,,,,,,,,,,,,0.0,-0.11,,,,,0.0,,,,,0.0,0.0,,,,-134000.0,,0.0,0.0,,112000.0,,,0.0,0.0,,,,,,,,105000.0,,,0.0,,1406000.0,,,,0.0,,1799000.0,1000.0,1799000.0,,,19000.0,0.0,-22000.0,-134000.0,,,1406000.0,1406000.0,1406000.0,,,-29000.0,,,,,,,,,,,,14000000.0,,,,,,-105000.0,,,0.01,5000000.0,0.0,0.0,0.0,,,,19000.0,,,,,,,,-29089000.0,0.0,,29000.0,,,,,,,,,1179329.0,1179000.0,
2020-05-31,2020-07-20,10-Q,YUBO INTERNATIONAL BIOTECH LIMITED,YBGJ,CIK0000895464,USD,,,,,,,,,,,,,,0.0,,,,-1000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-34000.0,0.0,,0.0,30000.0,,,,,,,,,,,,27000.0,,,,0.0,,,,,,,,,1832000.0,,,3000.0,0.0,-4000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01,5000000.0,0.0,0.0,0.0,,,,3000.0,,,,,,,,,0.0,,7000.0,,,,,,,,,,,
2020-08-31,2020-10-20,10-Q,YUBO INTERNATIONAL BIOTECH LIMITED,YBGJ,CIK0000895464,USD,,,,0.0,,,3000.0,,,27327000.0,,,,0.0,,0.0,,,0.0,,,,,,,,,,,,,,,9000.0,,,,,,191000.0,,,,,167000.0,,,,,,311000.0,,,,,,,,,,,,,,,,26000.0,332000.0,,,,1472000.0,,,,,,,0.0,1484000.0,,,,,,,,,1472000.0,,,,,,,,,,,,,,,,,,,,,,,,,,0.01,5000000.0,0.0,,0.0,,,,,,,,,,,,-28812000.0,0.0,,21000.0,,,,,,,,,1179000.0,,
2020-11-30,2021-01-19,10-Q,YUBO INTERNATIONAL BIOTECH LIMITED,YBGJ,CIK0000895464,USD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,0.0,,,,,,,,,,,-25485.0,0.0,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,0.0,,,,,-25485.0,,,,,,,,-25485.0,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,0.0,,25485.0,,,,,,,1472000.0,,89667203.0,,
2021-03-31,2021-05-24,10-Q,YUBO INTERNATIONAL BIOTECH LIMITED,YBGJ,CIK0000895464,USD,,0.0,,,,,,12067.0,72409.0,2117599.0,2154.0,,3907379.0,1207389.0,37672.0,126313.0,126313.0,-1256212.0,0.0,,-368262.0,411721.0,146738.0,-109669.0,5229012.0,0.0,,0.0475,0.0,-279392.0,2772.0,4926.0,399507.0,243556.0,0.0,0.165,1.0,0.25,70757.0,,6354.0,52414.0,70413.0,,,,,315591.0,,-438675.0,,0.0,0.0,,-101175.0,-293733.0,-11028.0,30141.0,151605.0,-15803.0,,,,-275413.0,,52414.0,105.0,,,0.0,,,82947.0,82947.0,69047.0,,41396.0,2980858.0,3907379.0,1494662.0,,29645.0,127164.0,-451555.0,-1002578.0,-438676.0,-438675.0,,,,,86555.0,754161.0,-438570.0,231264.0,456155.0,1486196.0,1942351.0,644319.0,2987296.0,579368.0,573902.0,546573.0,546573.0,96561.0,279392.0,,70413.0,149769.0,58768.0,300321.0,-105.0,0.0,451555.0,0.01,5000000.0,0.0,,0.0,302573.0,127164.0,,,,540003.0,527936.0,2772.0,57241.0,296049.0,21096.0,-1381669.0,,177289.0,,,,,,926520.0,,,72165.0,,118130820.0,
2021-06-30,2021-08-20,10-Q,YUBO INTERNATIONAL BIOTECH LIMITED,YBGJ,CIK0000895464,USD,,103220.0,,,,,,15557.0,85531.0,2117599.0,2190.0,,4175394.0,1233134.0,38317.0,79426.0,79426.0,,0.0,,-356886.0,547122.0,138468.0,,699852.0,0.0,,,0.0,336760.0,3424.0,,398392.0,751703.0,0.0,,,,,,-8647.0,51127.0,13122.0,,,,,213003.0,,-370008.0,,,,,,,,,,,,,,,,51127.0,,,77.0,,,,182501.0,182501.0,,,41396.0,3605760.0,4175394.0,2060727.0,,29645.0,,,,-370008.0,-370008.0,,,,,,583088.0,-370085.0,505952.0,505952.0,1545033.0,2050985.0,480274.0,2863366.0,589287.0,583728.0,555931.0,555931.0,98215.0,336760.0,0.0,13122.0,,59774.0,203808.0,77.0,,,0.01,5000000.0,0.0,,0.0,261432.0,,,,,675404.0,659847.0,6196.0,57241.0,311383.0,21457.0,-1751678.0,,180301.0,,,,,,569634.0,,,,,118130820.0,
2021-09-30,2021-11-15,10-Q,YUBO INTERNATIONAL BIOTECH LIMITED,YBGJ,CIK0000895464,USD,,57480.0,,,,,,12292.0,74785.0,2117599.0,1644.0,,4357223.0,1245880.0,38376.0,62953.0,62953.0,,0.0,,-347330.0,522793.0,25106.0,,821043.0,0.0,,,0.0,419632.0,3408.0,,395526.0,326667.0,0.0,,,,,,-10310.0,40346.0,-10746.0,,,,,73197.0,,-336584.0,,0.0,,,,,,,,,,,,,,40346.0,,,9430.0,,,,294572.0,294572.0,,,78014.0,4134919.0,4357223.0,2345570.0,,30199.0,,,,-336584.0,-336584.0,,,,,,419211.0,-346014.0,79393.0,553389.0,0.0,2342738.0,260969.0,2647755.0,590201.0,584663.0,556793.0,556793.0,98336.0,419632.0,,,,50656.0,66691.0,9430.0,,,0.01,5000000.0,0.0,,0.0,287002.0,,,,,652769.0,640477.0,9604.0,21763.0,205827.0,12280.0,-2088262.0,,87782.0,,,,,,222304.0,,,,,118177885.0,
