end,filed,form,Name,Ticker,CIK,Currency,AccruedProfessionalFeesCurrent,AccumulatedOtherComprehensiveIncomeLossForeignCurrencyTranslationAdjustmentNetOfTax,Assets,AssetsCurrent,Cash,Cash,CashAndCashEquivalentsAtCarryingValue,CashAndCashEquivalentsPeriodIncreaseDecrease,CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalents,CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalentsPeriodIncreaseDecreaseIncludingExchangeRateEffect,CommonStockDividendsPerShareCashPaid,CommonStockNoParValue,CommonStockShareSubscribedButUnissuedSubscriptionsReceivable,CommonStockSharesAuthorized,CommonStockSharesIssued,CommonStockSharesOutstanding,CommonStockValue,ComprehensiveIncomeNetOfTax,DeferredFederalIncomeTaxExpenseBenefit,DividendsCommonStockCash,DividendsPayableAmountPerShare,DueFromBanks,DueToRelatedPartiesCurrent,DueToRelatedPartiesCurrentAndNoncurrent,EarningsPerShareBasicAndDiluted,EffectOfExchangeRateOnCash,EffectOfExchangeRateOnCashAndCashEquivalents,EffectOfExchangeRateOnCashCashEquivalentsRestrictedCashAndRestrictedCashEquivalents,ForeignCurrencyTransactionGainLossUnrealized,IncomeTaxExpenseBenefit,IncreaseDecreaseInAccruedInterestReceivableNet,IncreaseDecreaseInDueToRelatedPartiesCurrent,IncreaseInCarryingAmountOfRedeemablePreferredStock,InterestBearingDepositsInBanks,InterestBearingDepositsInBanks,InterestIncomeOperating,InterestPaidNet,InterestReceivableCurrent,InvestmentIncomeInterest,InvestmentInterestRate,Liabilities,LiabilitiesAndStockholdersEquity,LiabilitiesCurrent,NetCashProvidedByUsedInFinancingActivities,NetCashProvidedByUsedInFinancingActivitiesContinuingOperations,NetCashProvidedByUsedInOperatingActivities,NetCashProvidedByUsedInOperatingActivitiesContinuingOperations,NetIncomeLoss,NoninterestBearingDepositLiabilities,OperatingExpenses,OtherAccruedLiabilitiesCurrent,OtherComprehensiveIncomeForeignCurrencyTransactionAndTranslationAdjustmentNetOfTaxPeriodIncreaseDecrease,OtherComprehensiveIncomeForeignCurrencyTransactionAndTranslationAdjustmentNetOfTaxPortionAttributableToParent,OtherComprehensiveIncomeLossForeignCurrencyTransactionAndTranslationAdjustmentNetOfTax,OtherComprehensiveIncomeLossNetOfTaxPortionAttributableToParent,PaymentsForOperatingActivities,PaymentsForOperatingActivities,PaymentsForRepurchaseOfRedeemablePreferredStock,PaymentsForRepurchaseOfRedeemablePreferredStock,PaymentsOfCapitalDistribution,PaymentsOfDividends,ProceedsFromInterestReceived,ProceedsFromIssuanceOfRedeemablePreferredStock,ProceedsFromIssuanceOfRedeemablePreferredStock,ProceedsFromOperatingActivities,ReclassificationsOfTemporaryToPermanentEquity,RedeemableNoncontrollingInterestEquityCarryingAmount,RetainedEarningsAccumulatedDeficit,Revenues,SponsorFees,StockIssuedDuringPeriodSharesIssuedForCash,StockIssuedDuringPeriodValueIssuedForCash,StockRedeemedOrCalledDuringPeriodShares,StockRedeemedOrCalledDuringPeriodValue,TemporaryEquityCarryingAmount,TemporaryEquityCarryingAmountAttributableToParent,TemporaryEquityCarryingAmountIncludingPortionAttributableToNoncontrollingInterests,TemporaryEquityForeignCurrencyTranslationAdjustments,TemporaryEquityParOrStatedValuePerShare,TemporaryEquityRedemptionValue,TemporaryEquitySharesAuthorized,TemporaryEquitySharesIssued,TemporaryEquitySharesOutstanding,TemporaryEquityStockIssuedDuringPeriodValueNewIssues,WeightedAverageNumberOfShareOutstandingBasicAndDiluted,WithdrawalFromContractHoldersFunds
2018-10-31,2019-01-11,10-K,Invesco CURRENCYSHARES CANADIAN DOLLAR TRUST,FXC,CIK0001353612,USD,,,,157887433.0,207156045.0,157743039.0,,,,-18263780.0,0.22,,,,,,,,,470368.0,0.0428,,53605.0,,0.26,-1893.0,,-2928276.0,,0.0,82809.0,-6567.0,,,157743039.0,,0.0,144394.0,1216895.0,,,157887433.0,54121.0,-15799061.0,,463557.0,,552933.0,516.0,663962.0,,,,,,4301.0,,73984431.0,57493667.0,470368.0,470368.0,,54255052.0,42164974.0,1134672.0,-82565.0,157833312.0,0.0,1216895.0,663962.0,,,,,,,,-2845711.0,0.0,,28500000.0,2100000.0,2100000.0,42164974.0,2162329.0,
2019-03-31,2019-05-09,10-Q,Invesco CURRENCYSHARES CANADIAN DOLLAR TRUST,FXC,CIK0001353612,USD,,,,133038737.0,172630038.0,129218936.0,,,132912947.0,-15150113.0,0.13,,,,,,,,,257009.0,0.0465,2041.0,44081.0,,0.15,,,3942019.0,,0.0,6857.0,-6475.0,,,132910906.0,,0.0,125790.0,422251.0,,,133038737.0,3738377.0,-19358676.0,,266544.0,,279876.0,,142375.0,,,,,,,,73984302.0,52054825.0,257009.0,257009.0,,24661434.0,32953158.0,,-22867.0,129300360.0,0.0,422251.0,142375.0,,,,,,,,3964886.0,0.0,,28500000.0,1750000.0,1750000.0,18501243.0,1921111.0,
2019-06-30,2019-08-08,10-Q,Invesco CURRENCYSHARES CANADIAN DOLLAR TRUST,FXC,CIK0001353612,USD,,,132227623.0,,172630038.0,132111035.0,,,132111035.0,,0.15,,,,,,,,,246634.0,0.0456,4635.0,,41134.0,0.15,,,,,,,,,,132106400.0,,,116588.0,367075.0,,41134.0,132227623.0,,,,,,244462.0,,122613.0,,,,,,,,,,,246634.0,,,,,2172.0,,0.0,367075.0,122613.0,,,,,,132186489.0,,,0.0,,28500000.0,1750000.0,1750000.0,,1663187.0,
2019-09-30,2019-11-08,10-Q,Invesco CURRENCYSHARES CANADIAN DOLLAR TRUST,FXC,CIK0001353612,USD,,,115579890.0,,152900891.0,115484056.0,,,115482759.0,,0.15,,,,,,,,,250082.0,0.0359,,,38880.0,0.14,,,,,,,,,,115484056.0,,,95834.0,352263.0,0.0039,40177.0,115579890.0,,,,,,229098.0,1297.0,123165.0,,,,,,,,,,,250082.0,,,,,20984.0,,0.0,352263.0,123165.0,,,,,,115539713.0,,,0.0,,28500000.0,1550000.0,1550000.0,,1627717.0,
2019-12-31,2020-02-28,10-K,Invesco CURRENCYSHARES CANADIAN DOLLAR TRUST,FXC,CIK0001353612,USD,,,118009062.0,,152900891.0,117914262.0,,,110298623.0,-37764437.0,0.58,,,,,,,,,975509.0,0.0341,,40198.0,40198.0,0.57,,,7412997.0,,0.0,-24133.0,-10358.0,,,110303695.0,,0.0,94800.0,1477677.0,0.0,45270.0,118009062.0,,-46163235.0,,985801.0,,972026.0,5072.0,505651.0,,,,,,,,152900891.0,115233504.0,975509.0,975509.0,,83848876.0,70045778.0,,3483.0,,0.0,1477677.0,505651.0,,,,,,117963792.0,,,0.0,,28500000.0,1950000.0,1550000.0,,1691096.0,
2020-03-31,2020-05-08,10-Q,Invesco CURRENCYSHARES CANADIAN DOLLAR TRUST,FXC,CIK0001353612,USD,,,114393500.0,,162765464.0,114353788.0,,,114353956.0,4055333.0,0.15,,,,,,,,,235745.0,,168.0,,36779.0,0.12,,,-10414380.0,,0.0,-55256.0,-3419.0,,,114353788.0,,0.0,39544.0,298875.0,0.0,36779.0,114393500.0,,14234891.0,,234822.0,,182985.0,,115890.0,,,,,,,,14796861.0,10945271.0,235745.0,235745.0,,24661434.0,25415907.0,,52760.0,,0.0,298875.0,115890.0,,,,,,114356721.0,,,0.0,,28500000.0,1650000.0,1650000.0,,1589560.0,
2020-06-30,2020-08-07,10-Q,Invesco CURRENCYSHARES CANADIAN DOLLAR TRUST,FXC,CIK0001353612,USD,,,112187720.0,,152799675.0,112187720.0,,,108569804.0,,,,,,,,,,,,,,34681.0,,-0.07,,,,,,,,,,108569804.0,,,,,0.0,34681.0,112187720.0,,,,,,-109564.0,,109564.0,,,,,,,,,,,,,,,,109564.0,,0.0,,109564.0,,,,,,112153039.0,,,0.0,,28500000.0,1550000.0,1550000.0,,1546154.0,
2020-09-30,2020-11-06,10-Q,Invesco CURRENCYSHARES CANADIAN DOLLAR TRUST,FXC,CIK0001353612,USD,,,136398774.0,,182194662.0,136398774.0,,,136398774.0,,,,,,,,,,,,,,44714.0,,-0.07,,,,,,,,,,136398774.0,,,,0.0,0.0,44714.0,136398774.0,,,,,,-128082.0,,128082.0,,,,,,,,,,,,,,,,128082.0,,0.0,0.0,128082.0,,,,,,136354060.0,,,0.0,,28500000.0,1850000.0,1850000.0,,1733696.0,
2020-12-31,2021-02-26,10-K,Invesco CURRENCYSHARES CANADIAN DOLLAR TRUST,FXC,CIK0001353612,USD,,,150588080.0,,191849213.0,150588080.0,,,150588080.0,40289457.0,0.15,,,,,,,,,235745.0,,,48817.0,,-0.12,,,3321227.0,,0.0,-94800.0,8619.0,,,150588080.0,,0.0,,298875.0,0.0,48817.0,150588080.0,,37059885.0,,-91655.0,,-195074.0,,493949.0,,,,,,439240.0,,59135871.0,43761943.0,235745.0,235745.0,,98523433.0,81057573.0,,430819.0,150539263.0,0.0,298875.0,493949.0,,,,,,150539263.0,,,0.0,,28500000.0,1950000.0,1950000.0,,1679589.0,439240.0
2021-03-31,2021-05-07,10-Q,Invesco CURRENCYSHARES CANADIAN DOLLAR TRUST,FXC,CIK0001353612,USD,,,179870552.0,,226070303.0,179870552.0,,,179870552.0,29282472.0,,,,,,,,,,0.0,,,65380.0,,-0.08,,,2357342.0,,0.0,,16563.0,,,179870552.0,,0.0,,,0.0,65380.0,179870552.0,,27077497.0,,-152367.0,,-168930.0,,168930.0,,,,,,193970.0,,44223050.0,35159184.0,,,,78638110.0,62236681.0,,168930.0,179805172.0,0.0,,168930.0,,,,,,,,,0.0,,28500000.0,2300000.0,2300000.0,,2225000.0,
2021-06-30,2021-08-06,10-Q,Invesco CURRENCYSHARES CANADIAN DOLLAR TRUST,FXC,CIK0001353612,USD,,,210122341.0,,260194495.0,210122341.0,,,210122341.0,,,,,,,,,,,,,,61470.0,,-0.08,,,,,,,,,,210122341.0,,,,,0.0,61470.0,210122341.0,,,,,,-179067.0,,179067.0,,,,,,,,,,,,,,,,179067.0,210060871.0,0.0,,179067.0,,,,,,,,,0.0,,28500000.0,2650000.0,1950000.0,,2258242.0,
2021-09-30,2021-11-05,10-Q,Invesco CURRENCYSHARES CANADIAN DOLLAR TRUST,FXC,CIK0001353612,USD,,,147122427.0,,181479050.0,143252200.0,,,147122427.0,,,,,,,,,,,,,,55401.0,,-0.08,,,,,,,,,,147122427.0,,,,0.0,0.0,3925628.0,147122427.0,,,,,,-189939.0,,189939.0,,,,,,,,,,,,,,,,189939.0,143196799.0,0.0,0.0,189939.0,,,,,,,,,0.0,,,1850000.0,1850000.0,,2405435.0,
2021-12-31,2022-02-25,10-K,Invesco CURRENCYSHARES CANADIAN DOLLAR TRUST,FXC,CIK0001353612,USD,,,139650371.0,,176399366.0,139650371.0,,,139650371.0,-10937709.0,,,,,,,,,,0.0,,,56443.0,,-0.31,,,-1893910.0,,0.0,,7626.0,,,139650371.0,,0.0,,0.0,0.0,56443.0,139650371.0,,-8336690.0,,-707109.0,,-714735.0,,714735.0,,,,,,886988.0,,264885208.0,209787288.0,0.0,,,250322349.0,201450598.0,,714735.0,139593928.0,0.0,0.0,714735.0,,,,,,,,,0.0,,,1800000.0,1800000.0,,2285890.0,
