end,filed,form,Name,Ticker,CIK,Currency,AccountsPayableOtherCurrent,AccruedLiabilitiesCurrent,AccruedProfessionalFeesCurrent,AccumulatedOtherComprehensiveIncomeLossForeignCurrencyTranslationAdjustmentNetOfTax,Assets,AssetsCurrent,Cash,Cash,CashAndCashEquivalentsAtCarryingValue,CashAndCashEquivalentsPeriodIncreaseDecrease,CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalents,CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalentsPeriodIncreaseDecreaseIncludingExchangeRateEffect,CommitmentsAndContingencies,CommonStockDividendsPerShareCashPaid,CommonStockDividendsPerShareDeclared,CommonStockNoParValue,CommonStockParOrStatedValuePerShare,CommonStockShareSubscribedButUnissuedSubscriptionsReceivable,CommonStockSharesAuthorized,CommonStockSharesIssued,CommonStockSharesOutstanding,CommonStockValue,ComprehensiveIncomeNetOfTax,CurrentFederalTaxExpenseBenefit,DerivativeFixedInterestRate,DividendsCommonStockCash,DividendsPayableAmountPerShare,DueFromBanks,DueToRelatedPartiesCurrent,EarningsPerShareBasicAndDiluted,EffectOfExchangeRateOnCashAndCashEquivalents,EffectOfExchangeRateOnCashCashEquivalentsRestrictedCashAndRestrictedCashEquivalents,ForeignCurrencyTransactionGainLossUnrealized,IncomeTaxExpenseBenefit,IncreaseDecreaseInAccruedInterestReceivableNet,IncreaseDecreaseInDueToRelatedPartiesCurrent,IncreaseDecreaseInInterestPayableNet,IncreaseInCarryingAmountOfRedeemablePreferredStock,InterestBearingDepositsInBanks,InterestBearingDepositsInBanks,InterestExpense,InterestPaid,InterestPaidNet,InterestPayableCurrent,InterestReceivable,InvestmentIncomeInterest,InvestmentInterestRate,LegalFees,Liabilities,LiabilitiesAndStockholdersEquity,LiabilitiesCurrent,NetCashProvidedByUsedInFinancingActivities,NetCashProvidedByUsedInFinancingActivitiesContinuingOperations,NetCashProvidedByUsedInOperatingActivities,NetCashProvidedByUsedInOperatingActivitiesContinuingOperations,NetIncomeLoss,OperatingExpenses,OtherAccruedLiabilitiesCurrent,OtherComprehensiveIncomeForeignCurrencyTransactionAndTranslationAdjustmentNetOfTaxPeriodIncreaseDecrease,OtherComprehensiveIncomeLossForeignCurrencyTransactionAndTranslationAdjustmentNetOfTax,PaymentsForOperatingActivities,PaymentsForOperatingActivities,PaymentsForRepurchaseOfEquity,PaymentsForRepurchaseOfRedeemablePreferredStock,PaymentsForRepurchaseOfRedeemablePreferredStock,PaymentsOfCapitalDistribution,ProceedsFromIssuanceOfRedeemablePreferredStock,ProceedsFromIssuanceOfRedeemablePreferredStock,ProceedsFromOperatingActivities,ReclassificationsOfTemporaryToPermanentEquity,RedeemableNoncontrollingInterestEquityCarryingAmount,RetainedEarningsAccumulatedDeficit,Revenues,SponsorFees,StockIssuedDuringPeriodSharesIssuedForCash,StockIssuedDuringPeriodValueIssuedForCash,StockRedeemedOrCalledDuringPeriodShares,StockRedeemedOrCalledDuringPeriodValue,TemporaryEquityForeignCurrencyTranslationAdjustments,TemporaryEquitySharesAuthorized,TemporaryEquitySharesIssued,TemporaryEquitySharesOutstanding,TemporaryEquityStockIssuedDuringPeriodValueNewIssues,WeightedAverageNumberOfShareOutstandingBasicAndDiluted,WeightedAverageRateForeignDeposit
2018-10-31,2019-01-14,10-K,Invesco CurrencyShares Euro Trust,FXE,CIK0001328598,USD,,,,,,249553480.0,220249413.0,249553480.0,,,,-127180628.0,,0.0,,,,,,,,,-2916247.0,,,,,0.0,80060.0,-0.93,9973.0,-4659294.0,,0.0,,-28121.0,-29013.0,,,249553480.0,1235224.0,,1264237.0,,,0.0,,,,249553480.0,160957.0,-120026626.0,,-2494708.0,,-2437574.0,2437574.0,,,,2091880.0,2484735.0,,567626747.0,674227051.0,,452105092.0,554200425.0,0.0,2437574.0,249392523.0,0.0,0.0,1202350.0,,,,,-6766178.0,146500000.0,2300000.0,2300000.0,537010429.0,2623288.0,
2019-03-31,2019-05-09,10-Q,Invesco CurrencyShares Euro Trust,FXE,CIK0001328598,USD,,,,,,219702899.0,195665424.0,219702899.0,,,219702899.0,-119173057.0,0.0,,,,,,,,,,,,,,,0.0,77623.0,-0.22,,-4003482.0,,0.0,0.0,-20411.0,-17729.0,,,219702899.0,248575.0,266304.0,,,,0.0,,,,219702899.0,155864.0,-114641175.0,,-528400.0,,-490260.0,490260.0,,,,462732.0,,,119384801.0,157922220.0,0.0,38188984.0,43281045.0,,490260.0,219547035.0,0.0,0.0,241685.0,,,,,-4493742.0,146500000.0,2050000.0,2050000.0,43281045.0,2243333.0,
2019-06-30,2019-08-08,10-Q,Invesco CurrencyShares Euro Trust,FXE,CIK0001328598,USD,,,,,227804266.0,,195279160.0,222383987.0,,,227804266.0,,0.0,,,,,,,,,,,,,,,,83126.0,-0.22,,,,,,,,,,227804266.0,236455.0,,,,,0.0,,,5587900.0,227804266.0,,,,,,-469408.0,469408.0,,,,,,,,,,,,,469408.0,222216366.0,0.0,0.0,232953.0,,,,,,146500000.0,2050000.0,2050000.0,,2171978.0,
2019-09-30,2019-11-08,10-Q,Invesco CurrencyShares Euro Trust,FXE,CIK0001328598,USD,,,,,253882760.0,,232877262.0,253882760.0,,,248704592.0,,0.0,,,,,,,,,,,,,,,,78450.0,-0.21,,,,,,,,,,248704592.0,239411.0,,,,,0.0,0.004,,158019.0,253882760.0,,,,,,-475453.0,475453.0,,,,,,,,,,,,,475453.0,253724741.0,0.0,0.0,236042.0,,,,,,146500000.0,2450000.0,2450000.0,,2224457.0,
2019-12-31,2020-02-28,10-K,Invesco CurrencyShares Euro Trust,FXE,CIK0001328598,USD,,,,,287480505.0,,256107470.0,287480505.0,,,271521028.0,-67354928.0,,,,,,,,,,,,,,,,,95532.0,-0.88,,-3221696.0,,0.0,,-2502.0,25157.0,,,271521028.0,1051500.0,,1026343.0,,,,0.005,,216659.0,287480505.0,,-62117694.0,,-2015538.0,,-2038193.0,2038193.0,,,,1798500.0,,,281022381.0,338189726.0,,261604378.0,276072032.0,,2038193.0,287263846.0,0.0,,986693.0,,,,,,146500000.0,2700000.0,2700000.0,,2312329.0,
2020-03-31,2020-05-08,10-Q,Invesco CurrencyShares Euro Trust,FXE,CIK0001328598,USD,,,,,275168078.0,,250779656.0,275168078.0,,,254414794.0,-17106234.0,,,,,,,,,,,,,,,,,84975.0,-0.24,,-5375012.0,,0.0,,-10557.0,-12729.0,,,254414794.0,342940.0,355669.0,355669.0,,,,0.005,,193373.0,275168078.0,,-11095550.0,,-635672.0,,-612386.0,612386.0,,,,572384.0,,,75717208.0,83758009.0,,70961778.0,72662459.0,,612386.0,274974705.0,0.0,,269446.0,,,,,,146500000.0,2650000.0,2650000.0,,2584066.0,
2020-06-30,2020-08-07,10-Q,Invesco CurrencyShares Euro Trust,FXE,CIK0001328598,USD,,,,,206805419.0,,184129825.0,206805419.0,,,196207686.0,,,,,,,,,,,,,,,,,,70156.0,-0.24,,,,,,,,,,196207686.0,296567.0,,,,,,0.005,,159352.0,206805419.0,,,,,,-529829.0,529829.0,,,,,,,,,,,,,529829.0,206646067.0,0.0,,233262.0,,,,,,146500000.0,1950000.0,1950000.0,,2232967.0,
2020-09-30,2020-11-06,10-Q,Invesco CurrencyShares Euro Trust,FXE,CIK0001328598,USD,,,,,342486152.0,,292061573.0,342486152.0,,,342486152.0,,,,,,,,,,,,,,,,,,118705.0,-0.25,,,,,,,,,,342486152.0,404677.0,,,,,,0.005,,269543.0,342486152.0,,,,,,-722810.0,722810.0,,,,,,,,,,,,,722810.0,342216609.0,,,318133.0,,,,,,146500000.0,3100000.0,3100000.0,,2908152.0,
2020-12-31,2021-02-26,10-K,Invesco CurrencyShares Euro Trust,FXE,CIK0001328598,USD,,,,,327764221.0,,267879731.0,327764221.0,,,327764221.0,56243193.0,,,,,,,,,,,,,,,,,109059.0,-0.98,,21791837.0,,0.0,,13527.0,17525.0,,,327764221.0,1435575.0,,1418050.0,,,,0.005,,247711.0,327764221.0,,36992165.0,,-2540809.0,,-2571861.0,2571861.0,,,,2238467.0,,,414936856.0,475189145.0,,428947584.0,512181310.0,,2571861.0,327516510.0,,,1136286.0,,,,,,156500000.0,2850000.0,2850000.0,,2619536.0,
2021-03-31,2021-05-07,10-Q,Invesco CurrencyShares Euro Trust,FXE,CIK0001328598,USD,,,,,308634165.0,,262600454.0,308634165.0,,,308634165.0,-19130056.0,,,,,,,,,,,,,,,,,105597.0,-0.25,,-12929992.0,,0.0,,-3462.0,-4680.0,,,308634165.0,418347.0,,423027.0,,,,0.005,,239569.0,308634165.0,,-5444372.0,,-755692.0,,-747550.0,747550.0,,,,618732.0,,,65672692.0,79236071.0,,61012147.0,73791699.0,,747550.0,308394596.0,,,329203.0,,,,,,156500000.0,2800000.0,2800000.0,,2970000.0,
2021-06-30,2021-08-06,10-Q,Invesco CurrencyShares Euro Trust,FXE,CIK0001328598,USD,,,,,293977273.0,,247893983.0,293977273.0,,,293977273.0,,,,,,,,,,,,,,,,,,94182.0,-0.3,,,,,,,,,,293977273.0,474079.0,,,,,,0.0065,,249524.0,293977273.0,,,,,,-761609.0,761609.0,,,,,,,,,,,,,761609.0,293727749.0,,,287530.0,,,,,,156500000.0,2650000.0,2650000.0,,2551099.0,
2021-09-30,2021-11-05,10-Q,Invesco CurrencyShares Euro Trust,FXE,CIK0001328598,USD,,,,,291938758.0,,251899358.0,291938758.0,,,291938758.0,,,,,,,,,,,,,,,,,,94402.0,-0.29,,,,,,,,,,291938758.0,481090.0,,,,,,0.0065,,250106.0,291938758.0,,,,,,-772928.0,772928.0,,,,,,,,,,,,,772928.0,291688652.0,,,291838.0,,,,,,,2700000.0,2700000.0,,2632065.0,
2021-12-31,2022-02-25,10-K,Invesco CurrencyShares Euro Trust,FXE,CIK0001328598,USD,,,,,211643424.0,,186108645.0,211643424.0,,,211643424.0,-116120797.0,,,,,,,,,,,,,,,,,75346.0,-1.13,,-22103870.0,,0.0,,-33713.0,-14454.0,,,211643424.0,1794157.0,,1808611.0,,,,0.0065,,199544.0,211643424.0,,-91010794.0,,-3006133.0,,-2957966.0,2957966.0,,,,2525944.0,,,233628410.0,275381729.0,,154383268.0,184370935.0,,2957966.0,211443880.0,,,1163809.0,,,,,,,2000000.0,2000000.0,,2626438.0,
