end,filed,form,Name,Ticker,CIK,Currency,AccountsPayable,AccountsPayableCurrent,AccountsPayableCurrentAndNoncurrent,AccountsPayableOtherCurrent,AccountsPayableRelatedPartiesCurrent,AccountsReceivableNet,AccountsReceivableNetCurrent,AccruedLiabilitiesAndOtherLiabilities,AccruedLiabilitiesCurrent,AccruedSalaries,AccruedSalariesCurrent,AccumulatedDepreciationDepletionAndAmortizationExpensePropertyPlantAndEquipmentCurrentCharge,AccumulatedDepreciationDepletionAndAmortizationPropertyPlantAndEquipment,AccumulatedDepreciationDepletionAndAmortizationPropertyPlantAndEquipmentPeriodIncreaseDecrease,AdditionalPaidInCapital,AdjustmentsToAdditionalPaidInCapitalMarkToMarket,AdvertisingExpense,AllocatedShareBasedCompensationExpense,AllowanceForDoubtfulAccountsReceivable,AmortizationOfDebtDiscountPremium,Assets,AssetsCurrent,Cash,CashAndCashEquivalentsAtCarryingValue,CashAndCashEquivalentsPeriodIncreaseDecrease,CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalentsIncludingDisposalGroupAndDiscontinuedOperations,CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalentsPeriodIncreaseDecreaseIncludingExchangeRateEffect,CashEquivalentsAtCarryingValue,CashPaidForCapitalizedInterest,CashPeriodIncreaseDecrease,CommonStockParOrStatedValuePerShare,CommonStockSharesAuthorized,CommonStockSharesIssued,CommonStockSharesOutstanding,CommonStockValue,ContractWithCustomerLiabilityCurrent,ConvertibleDebt,ConvertibleDebtCurrent,ConvertibleNotesPayable,ConvertibleNotesPayableCurrent,CostOfGoodsAndServicesSold,CostOfGoodsSold,CostOfRevenue,DebtConversionConvertedInstrumentSharesIssued1,DebtInstrumentAnnualPrincipalPayment,DebtInstrumentConvertibleBeneficialConversionFeature,DebtInstrumentConvertibleConversionPrice1,DebtInstrumentConvertibleThresholdPercentageOfStockPriceTrigger,DebtInstrumentInterestRateEffectivePercentage,DebtInstrumentInterestRateStatedPercentage,DebtInstrumentUnamortizedDiscount,DeferredRevenue,DeferredRevenueAdditions,DeferredRevenueCurrent,DeferredRevenueLeasesNetNoncurrent,DeferredRevenueNoncurrent,DeferredTaxAssetsOperatingLossCarryforwards,DeferredTaxAssetsValuationAllowance,DepositLiabilitiesAccruedInterest,Depreciation,DepreciationAndAmortization,DepreciationDepletionAndAmortization,DepreciationExpense,DividendsCommonStockStock,DueToRelatedPartiesCurrent,EarningsPerShareBasic,EarningsPerShareBasicAndDiluted,EarningsPerShareDiluted,EffectiveIncomeTaxRateReconciliationChangeInDeferredTaxAssetsValuationAllowance,EmployeeStockOwnershipPlanESOPCompensationExpense,GeneralAndAdministrativeExpense,GrossProfit,IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,IncomeLossFromContinuingOperationsBeforeInterestExpenseInterestIncomeIncomeTaxesExtraordinaryItemsNoncontrollingInterestsNet,IncomeTaxesPaid,IncreaseDecreaseInAccountsPayable,IncreaseDecreaseInAccountsPayableAndAccruedLiabilities,IncreaseDecreaseInAccountsPayableRelatedParties,IncreaseDecreaseInAccountsReceivable,IncreaseDecreaseInAccruedLiabilities,IncreaseDecreaseInContractWithCustomerLiability,IncreaseDecreaseInDeferredRevenue,IncreaseDecreaseInDueToRelatedParties,IncreaseDecreaseInEmployeeRelatedLiabilities,IncreaseDecreaseInInterestPayableNet,IncreaseDecreaseInOtherAccruedLiabilities,IncreaseDecreaseInOtherCurrentAssets,IncreaseDecreaseInOtherOperatingAssets,IncreaseDecreaseInPrepaidExpense,InterestExpense,InterestExpenseOther,InterestExpenseRelatedParty,InterestIncomeOther,InterestPaid,InterestPaidNet,InterestPayableCurrent,InvestmentIncomeInterest,IssuanceOfStockAndWarrantsForServicesOrClaims,LeaseAndRentalExpense,Liabilities,LiabilitiesAndStockholdersEquity,LiabilitiesCurrent,LineOfCredit,NetCashProvidedByUsedInFinancingActivities,NetCashProvidedByUsedInInvestingActivities,NetCashProvidedByUsedInOperatingActivities,NetIncomeLoss,NetIncomeLossAvailableToCommonStockholdersBasic,NonoperatingIncomeExpense,NotesPayableRelatedPartiesClassifiedCurrent,NotesPayableRelatedPartiesCurrentAndNoncurrent,OperatingExpenses,OperatingLossCarryforwards,OtherAssets,OtherCostAndExpenseOperating,OtherExpenses,OtherNoncashIncomeExpense,OtherOperatingIncomeExpenseNet,PaymentsForRent,PaymentsToAcquirePropertyPlantAndEquipment,PreferredStockCarryingAmount,PreferredStockDividendRatePercentage,PreferredStockValue,PrepaidExpense,PrepaidExpenseAndOtherAssetsCurrent,PrepaidExpenseCurrent,PrepaidExpenseCurrentAndNoncurrent,ProceedsFromConvertibleDebt,ProceedsFromIssuanceOfConvertiblePreferredStock,ProceedsFromIssuanceOfDebt,ProceedsFromIssuanceOrSaleOfEquity,ProceedsFromNotesPayable,PropertyPlantAndEquipmentAdditions,PropertyPlantAndEquipmentGross,PropertyPlantAndEquipmentGrossPeriodIncreaseDecrease,PropertyPlantAndEquipmentNet,PropertyPlantAndEquipmentOtherAccumulatedDepreciation,PropertyPlantAndEquipmentOtherNet,RelatedPartyTransactionDueFromToRelatedPartyCurrent,RepaymentsOfRelatedPartyDebt,RetainedEarningsAccumulatedDeficit,RevenueFromContractWithCustomerExcludingAssessedTax,SalesRevenueNet,SellingGeneralAndAdministrativeExpense,SeniorNotes,ShareBasedCompensation,ShareBasedCompensationArrangementByShareBasedPaymentAwardOptionsExercisableNumber,ShareBasedCompensationArrangementByShareBasedPaymentAwardOptionsOutstandingNumber,ShareBasedCompensationArrangementByShareBasedPaymentAwardOptionsOutstandingWeightedAverageExercisePrice,ShareBasedCompensationArrangementsByShareBasedPaymentAwardOptionsExercisesInPeriodWeightedAverageExercisePrice,SharesIssuedPricePerShare,ShortTermBankLoansAndNotesPayable,ShortTermDebtAmount,StateAndLocalIncomeTaxExpenseBenefitContinuingOperations,StockGrantedDuringPeriodValueSharebasedCompensation,StockholdersEquity,StockIssuedDuringPeriodValueIssuedForServices,StockOptionPlanExpense,TravelAndEntertainmentExpense,WeightedAverageNumberOfDilutedSharesOutstanding,WeightedAverageNumberOfShareOutstandingBasicAndDiluted,WeightedAverageNumberOfSharesIssuedBasic,WeightedAverageNumberOfSharesOutstandingBasic,FederalIncomeTaxExpenseBenefitContinuingOperations
2015-09-30,2015-11-06,10-Q,"DATA CALL TECHNOLOGIES, INC.",DCLT,CIK0001321828,USD,,34717.0,,,460.0,73127.0,,,,,,,1256.0,,9425870.0,,,,,,178185.0,174970.0,90473.0,,,,,,,,,,,,144976.0,,,,,,,,,,,,,,,,,5578.0,,,,,,,,,212.0,,,,,,,,,,,,,-47834.0,,,,,,,,,,,,,,,,1366.0,,,,,,,-2.0,,,107194.0,178185.0,107194.0,,,,,-47834.0,,,,34823.0,160923.0,,800.0,,,162287.0,,,,,,,,,11370.0,,,,,,,,128573.0,,2415.0,,,,,-9500665.0,,153697.0,160711.0,,,,,,,,,,,,70991.0,,,,125976421.0,,125976421.0,,
2015-12-31,2016-02-26,10-K,"DATA CALL TECHNOLOGIES, INC.",DCLT,CIK0001321828,USD,,18684.0,18684.0,,3767.0,56846.0,,21741.0,42.0,,,,126364.0,,9477089.0,,,,,,157035.0,154026.0,85810.0,85810.0,,,,,,27069.0,,,,,144976.0,,,,,10000.0,,,151000.0,,,,,,,,,4057.0,-6084.0,,,,,,21741.0,,1462.0,,,,,,0.0,,,,,454105.0,,-231681.0,,,,,,,,,,,,,,,,5464.0,,,,,,21741.0,-9.0,,,91355.0,157035.0,91355.0,91355.0,-7036.0,0.0,34105.0,-231681.0,,,,,680331.0,,800.0,,,,,,,,,,,,11370.0,11370.0,,,,,,,128573.0,,2209.0,,,3767.0,,-9557195.0,,605105.0,678869.0,,,,,,,,33064.0,,,,65680.0,,,,,141976284.0,,,
2016-03-31,2016-05-10,10-Q,"DATA CALL TECHNOLOGIES, INC.",DCLT,CIK0001321828,USD,,,40177.0,,,86050.0,,,,,,,,,9529416.0,,,,,,158528.0,155690.0,69640.0,,,,,,,-16170.0,,,,,144976.0,,,,,,,,,,,,,,,,,2536.0,-1521.0,,,,,,,,171.0,,,,,,0.0,,,,,125740.0,,-67203.0,0.0,21493.0,,-3767.0,-29204.0,125.0,,,,,,,,,11370.0,1366.0,,,,,,,-1157.0,,,107724.0,158528.0,107724.0,,-1759.0,0.0,-14411.0,-67203.0,,,,,192734.0,,800.0,,,,,,,,,,,,,0.0,,,,,,,128573.0,,2038.0,,,,,-9624398.0,,167786.0,192563.0,,,900000.0,900000.0,0.001,0.001,,,,,,50804.0,,,,144976421.0,14497621.0,14497621.0,144976421.0,
2016-06-30,2016-08-15,10-Q,"DATA CALL TECHNOLOGIES, INC.",DCLT,CIK0001321828,USD,,,20566.0,,,71790.0,,,,,,,,,9581555.0,,,,,,154749.0,152082.0,72292.0,72292.0,,,,,,,,,,,144976.0,,,,,,,73405.0,,,-3518.0,,,,,,,1015.0,,,,,,,,,342.0,,,,,,0.0,,,,,227137.0,,-130283.0,0.0,,,,,,,,,,,,,,,2732.0,,,,,,,-4.0,,,90955.0,154749.0,90955.0,,,,,-39149.0,-130283.0,,,,354692.0,,800.0,,357420.0,,,,,,,,,,,8000.0,,,,,,,128573.0,,1867.0,,,,,-9663547.0,,300542.0,354350.0,,,,,,,,,,,,63794.0,,,,144976421.0,,144976421.0,144976421.0,
2016-09-30,2016-10-25,10-Q,"DATA CALL TECHNOLOGIES, INC.",DCLT,CIK0001321828,USD,,26562.0,,,,79281.0,,,,,,,,,9626582.0,,,,,,161826.0,159330.0,72049.0,72049.0,,,,,,,,,,,144976.0,,,,,,,,,,,,,,,,,0.0,,,,,,,21991.0,,171.0,,,,,,0.0,,,,,126526.0,,-37988.0,,,,,,,,,,,,,,,,1241.0,,,,,,,-2.0,,,90993.0,161826.0,90993.0,,,,,-37988.0,,,,,163275.0,,800.0,,,164514.0,,,,,,,,,8000.0,,,,,,,,128573.0,,1696.0,,,2853.0,,-9701535.0,,167602.0,163104.0,,,,,,,,,,,,70833.0,,,,144976421.0,,144976421.0,,
2016-12-31,2017-04-12,10-K,"DATA CALL TECHNOLOGIES, INC.",DCLT,CIK0001321828,USD,,20336.0,,,3389.0,69361.0,,22116.0,460.0,,460.0,,127642.0,,9671609.0,1072.0,,,0.0,,141591.0,139860.0,53499.0,53499.0,,,,,,-32311.0,0.001,200000000.0,144976421.0,144976421.0,144976.0,,,,10000.0,10000.0,,153772.0,153772.0,,,,,,,,,0.0,,,,,1076286.0,-1076286.0,,,1278.0,1278.0,,,,0.0,0.0,0.0,,,,486841.0,,-200938.0,,1652.0,,-378.0,12515.0,,,-4057.0,,418.0,375.0,,,,5630.0,5339.0,-5339.0,,-1163.0,,4964.0,,-1163.0,,10800.0,82329.0,141591.0,82329.0,,-7036.0,0.0,-25275.0,-200938.0,,687779.0,26028.0,,683603.0,,800.0,,,,,,,,,800.0,,,17000.0,,,,,,,,128573.0,,931.0,127642.0,931.0,,7036.0,-9758133.0,,640613.0,682325.0,,,,,,,,26028.0,,2246.0,,59262.0,-193448.0,1072.0,,144976421.0,144976421.0,,144976421.0,
2017-03-31,2017-05-12,10-Q,"DATA CALL TECHNOLOGIES, INC.",DCLT,CIK0001321828,USD,,29545.0,,,10616.0,110479.0,-41118.0,22241.0,499.0,,,,,,9715750.0,,,,,,121670.0,120110.0,9631.0,9631.0,,,,,,-43868.0,,,,,144976.0,,,,,,,,,,,,,,,,,,0.0,,,,,,,,171.0,,,,,,0.0,144976421.0,,,,116328.0,,-78903.0,0.0,9209.0,,7227.0,-41118.0,125.0,,,,,,,,,17000.0,1366.0,,,,,,,-2.0,,,97170.0,121670.0,97170.0,,-1759.0,0.0,-42109.0,-78903.0,,,,,193867.0,,800.0,195231.0,,,,,,,,,,,0.0,,,,,,,,128573.0,,760.0,127813.0,,,,-9837036.0,,152239.0,193696.0,,,900000.0,900000.0,0.001,0.001,,,,,,24500.0,,43832.0,,144976421.0,,144976421.0,144976421.0,
2017-06-30,2017-08-11,10-Q,"DATA CALL TECHNOLOGIES, INC.",DCLT,CIK0001321828,USD,,25322.0,,,2766.0,72103.0,,,22366.0,,484.0,,127984.0,,9760432.0,,,,,,101250.0,96902.0,24799.0,24799.0,,,,,,,,,,,144976.0,,,,10000.0,,,37494.0,,,-3518.0,,,,,,,,,,,,,,,,171.0,,,,,,0.0,,,,,110809.0,,-51380.0,0.0,,,,,,,,,,,,,,,1366.0,,,,,,,-2.0,,,83448.0,101250.0,83448.0,,,,,-51380.0,-51380.0,,22510.0,,160825.0,,800.0,,162189.0,,,,,,,,,,0.0,,,,,,,,128573.0,,,,589.0,,,-9888416.0,,148303.0,160654.0,,,,,,,,,,,,17802.0,,,,144976421.0,,,144976421.0,
2017-09-30,2017-11-09,10-Q,"DATA CALL TECHNOLOGIES, INC.",DCLT,CIK0001321828,USD,,33822.0,,,3308.0,75846.0,,,22491.0,,484.0,,133300.0,,9805869.0,,,,,,161924.0,149474.0,64956.0,64956.0,,,,,,,,,,,145484.0,,,,,10000.0,,,,,,,,,,,,20637.0,,,,,,,,,5315.0,,,,,,0.0,,,,,125126.0,,-13316.0,,,,,,,,,,,,,,,,1366.0,,,,,,,-1.0,,,111493.0,161924.0,111493.0,,,,,-13316.0,,,20751.0,,137077.0,,8300.0,,,,,,,,,800.0,,,8672.0,,,,,,,,137450.0,,4150.0,,,,,-9901732.0,,161537.0,131762.0,,,,,,,,,,,,50431.0,,,,145216477.0,,145216477.0,,
2017-12-31,2018-03-08,10-K,"DATA CALL TECHNOLOGIES, INC.",DCLT,CIK0001321828,USD,,18122.0,,,3704.0,73386.0,,22616.0,22616.0,,484.0,,136651.0,,9851042.0,1408.0,,,0.0,,133174.0,124076.0,44590.0,44590.0,,44590.0,,,,-8909.0,0.001,200000000.0,145484165.0,145484165.0,145484.0,14446.0,,,,10000.0,150039.0,150039.0,,89000000.0,,,,0.5,0.5,,,14446.0,,14446.0,,,1081345.0,1081345.0,,,9009.0,9009.0,,,,0.0,0.0,0.0,1.0,,,462759.0,,-194393.0,,-2214.0,,315.0,4025.0,,14446.0,14446.0,,24.0,500.0,,,,-10900.0,,5464.0,,7.0,,4964.0,,,178533.0,10800.0,88364.0,133174.0,88364.0,,-7036.0,-16376.0,14503.0,-194393.0,,657152.0,18992.0,,651695.0,3089556.0,800.0,,,,,,16376.0,,,,,,6100.0,,,,,,,,144949.0,,8298.0,136651.0,,,7036.0,-9952526.0,612798.0,612798.0,642686.0,,,,,,,0.0001,18992.0,,5058.0,,44810.0,178533.0,1408.0,,145164908.0,145164908.0,,145164908.0,
2018-03-31,2018-05-11,10-Q,"DATA CALL TECHNOLOGIES, INC.",DCLT,CIK0001321828,USD,,23930.0,,,18147.0,86348.0,-12962.0,,22741.0,,580.0,,138930.0,,9867282.0,,,,,,136414.0,129595.0,42347.0,42347.0,,,,,,-2243.0,,,,,145484.0,,,,,10000.0,38567.0,,,,,,,,,,,8255.0,-6191.0,,,,,,,,2279.0,,,,,,0.0,145484165.0,,,,129023.0,,-25522.0,,5808.0,,14443.0,12962.0,,-6191.0,,,125.0,96.0,,,,-5200.0,1366.0,1366.0,,2.0,,1241.0,,-2.0,,,100886.0,136414.0,100886.0,,-1759.0,0.0,-484.0,-25522.0,,154545.0,17233.0,,153181.0,,800.0,154545.0,,,,,,,,,,,900.0,,,,,,,,144949.0,,6019.0,,,,1759.0,-9978048.0,167590.0,167590.0,150902.0,,16110.0,,,,,,,,,,35528.0,,130.0,,145484165.0,,145484165.0,145484165.0,
2018-06-30,2018-07-27,10-Q,"DATA CALL TECHNOLOGIES, INC.",DCLT,CIK0001321828,USD,,16622.0,,,4269.0,73180.0,,22866.0,,,530.0,,,,9857612.0,,,,,,124359.0,117214.0,35834.0,24799.0,,35834.0,,,,,,,,,155484.0,,,,,10000.0,42433.0,,,,,,,,,,,2064.0,,,,,,,,,561.0,,,,,,0.0,,,,,118048.0,,16676.0,,,,,,,,,,,,,,,,1366.0,1366.0,,1.0,,,,-1.0,,,71825.0,124359.0,71825.0,,,,,16676.0,,101372.0,,,100007.0,,800.0,,,,,,,,,,,,8200.0,,,,,,,,145836.0,,6345.0,139491.0,,,,-9961372.0,160481.0,160481.0,99446.0,,,,,,,,15474.0,,,,52534.0,,,,152784477.0,,,152187462.0,
2018-09-30,2018-11-02,10-Q,"DATA CALL TECHNOLOGIES, INC.",DCLT,CIK0001321828,USD,,21314.0,,,3451.0,72032.0,,,22991.0,,530.0,,140053.0,,9858499.0,,,,,,142707.0,136124.0,47275.0,47275.0,,47275.0,,,,,,,,,155484.0,,,,,10000.0,48296.0,,,,,,,,,,,18391.0,,,,,,,,,562.0,,,,,,0.0,,,,,96606.0,,-1106.0,,,,,,,,,,,,,,,,1366.0,1366.0,,2.0,,,,-2.0,,,90392.0,142707.0,90392.0,,,,,-1106.0,,97712.0,,,96348.0,,800.0,,,,,,,,,,,,16817.0,,,,,,,,145836.0,,5783.0,,,,,-9962478.0,144902.0,144902.0,95786.0,,,,,,,,13715.0,,,,52315.0,,,,155484165.0,,155484165.0,155484165.0,
2018-12-31,2019-03-08,10-K,"DATA CALL TECHNOLOGIES, INC.",DCLT,CIK0001321828,USD,,14640.0,,,8216.0,81431.0,,,23116.0,,506.0,,140615.0,,9859448.0,130.0,,1481.0,0.0,,125436.0,119415.0,,23006.0,,23006.0,-21584.0,,,-21584.0,0.001,490000000.0,155997103.0,155997103.0,155997.0,12261.0,,,,10000.0,178198.0,,,89000000.0,,,,0.5,0.5,,,,,,,,648821.0,648821.0,,,3964.0,3964.0,,,,0.0,0.0,0.0,1.0,,,452919.0,,-18988.0,,-3482.0,,4512.0,8045.0,22.0,-2185.0,,,22.0,500.0,,,,8878.0,,5464.0,,7.0,,4964.0,23116.0,,18789.0,10800.0,80695.0,125436.0,80695.0,,-7036.0,-887.0,-13661.0,-18988.0,,471907.0,11956.0,,466450.0,3089625.0,800.0,,,,,10800.0,887.0,,,,,,14978.0,,,,,,,,145836.0,,5221.0,,,,7036.0,-9971514.0,631117.0,,462486.0,,575.0,,,,,0.0001,,,432523.0,,44741.0,18789.0,130.0,,152384838.0,152384838.0,,152384838.0,
2019-03-31,2019-05-10,10-Q,"DATA CALL TECHNOLOGIES, INC.",DCLT,CIK0001321828,USD,,21984.0,,,10555.0,86635.0,,,23241.0,,2461.0,,141176.0,,9860335.0,,,,0.0,,104570.0,99110.0,,10636.0,,10636.0,-12370.0,,,-12370.0,0.001,200000000.0,155997103.0,155997103.0,155997.0,6130.0,,,,10000.0,44179.0,,,,,,,0.5,,,,,,,,,,,,,561.0,,,,,0.0,0.0,0.0,,,,119490.0,,-25626.0,,7344.0,,2339.0,5204.0,125.0,-6131.0,,,125.0,1955.0,,,,-13139.0,,1366.0,,1.0,,1241.0,,,,,84568.0,104570.0,84568.0,,-1759.0,,-10611.0,-25626.0,,145116.0,10197.0,,143751.0,,800.0,,,,,,,,,,,,1839.0,,,,,,,,145836.0,,4660.0,,,,1759.0,-9997140.0,163669.0,,143190.0,,887.0,,,,,,,,,,20002.0,887.0,,,155997103.0,,,155997103.0,
2019-06-30,2019-08-09,10-Q,"DATA CALL TECHNOLOGIES, INC.",DCLT,CIK0001321828,USD,,27632.0,,,8077.0,74734.0,,,,,2850.0,,141738.0,,9861222.0,,,,0.0,,111733.0,106835.0,,18401.0,,18401.0,,,,,0.001,490000000.0,155997103.0,155997103.0,155997.0,,,,,10000.0,49907.0,,,,,,,,,,,,,,,,,,,,562.0,,,,,,0.0,,,,,112092.0,,10481.0,,,,,,,,,,,,,,,,,1366.0,,1.0,,,23366.0,,,,80363.0,111733.0,80363.0,,,,,10481.0,,101611.0,8438.0,,100246.0,,800.0,,,,,,,,,,,,13700.0,,,,,,,,145836.0,,4098.0,,,,1759.0,-9986659.0,161999.0,,99684.0,,,,,,,,,,,,31370.0,,,,160702985.0,,,155997103.0,
2019-09-30,2019-11-08,10-Q,"DATA CALL TECHNOLOGIES, INC.",DCLT,CIK0001321828,USD,,23577.0,,,3208.0,70821.0,,,,,5624.0,,142300.0,,9863113.0,,,877.0,0.0,,100769.0,96433.0,,13412.0,,13412.0,,,,,0.001,490000000.0,156498515.0,156498515.0,156498.0,,,,,10000.0,46313.0,,,,,,,,,,,,,,,,,,,,562.0,,,,,,0.0,,,,,90950.0,-5572.0,-5572.0,,,,,,,,,,,,,,,,,1366.0,,,,,23491.0,,,,72579.0,100769.0,72579.0,,,,,-5572.0,,-96522.0,6679.0,,95156.0,,800.0,,,,,,,,,,,,12200.0,,,,,,,,145836.0,,3536.0,,,,1759.0,-9992231.0,137263.0,,94594.0,,,,,,,,,,,,28190.0,,,,156241745.0,,,156241745.0,
2019-12-31,2020-03-27,10-K,"DATA CALL TECHNOLOGIES, INC.",DCLT,CIK0001321828,USD,,20368.0,,,3473.0,74282.0,,,,,350.0,,142861.0,,9864000.0,,,1481.0,0.0,,118986.0,115211.0,,27529.0,,27529.0,4523.0,,,,0.001,490000000.0,156498515.0,156498515.0,156498.0,,,,4920.0,10000.0,192044.0,,,89000000.0,,,,,,,,,,,,,646402.0,646402.0,23616.0,,2246.0,,,,4920.0,0.0,0.0,0.0,1.0,,,437053.0,6465.0,6465.0,,5728.0,,-4743.0,-7149.0,-156.0,-12261.0,,-4743.0,,500.0,,,,-1578.0,,5515.0,,3.0,,4964.0,23616.0,,5053.0,,62727.0,118986.0,62727.0,,-7036.0,,11559.0,6465.0,,-430588.0,4920.0,,425076.0,3078107.0,800.0,,,,,10800.0,,,,,,,13400.0,,,,,,,,145836.0,,2975.0,,,,7036.0,-9965049.0,629097.0,,422830.0,,906.0,,,,,0.0001,,,2419.0,,56259.0,5053.0,,,164695787.0,,,156498515.0,
2020-03-31,2020-05-14,10-Q,"DATA CALL TECHNOLOGIES, INC.",DCLT,CIK0001321828,USD,,28570.0,,,5436.0,83529.0,,,,,377.0,,143534.0,,9864887.0,,,887.0,0.0,,131957.0,126043.0,,23154.0,,23154.0,-4375.0,,,,0.001,490000000.0,156498515.0,156498515.0,156498.0,,,,,10000.0,49545.0,,,,,,,0.5,,,,,,,,,,,,,673.0,,,,3161.0,0.0,0.0,0.0,,,,109063.0,3526.0,3526.0,,8202.0,,1963.0,9247.0,125.0,,,1963.0,,27.0,,,150.0,-5960.0,,1366.0,,1.0,,1241.0,23741.0,,,,71285.0,131957.0,71285.0,,-1759.0,-2662.0,46.0,3526.0,,-105537.0,3161.0,,104172.0,,950.0,,,,,,2662.0,,,,,,19360.0,,,,,,,,148498.0,,4964.0,,,,1759.0,-9961523.0,158608.0,,103499.0,,887.0,,,,,,,,,,60672.0,887.0,,,178256444.0,,,156498515.0,
2020-06-30,2020-08-03,10-Q,"DATA CALL TECHNOLOGIES, INC.",DCLT,CIK0001321828,USD,,20522.0,,,8356.0,75970.0,,,,,349.0,,144207.0,,9865774.0,,,887.0,0.0,,136003.0,130912.0,,37382.0,,37382.0,,,,,0.001,490000000.0,156498515.0,156498515.0,156498.0,,,,,10000.0,48889.0,,,,,,,,,,,,,,,,,,,,673.0,,,,0.0,,0.0,,,,,95122.0,11351.0,11351.0,,,,,,,,,,,,,,,,,952.0,,0.0,,,23866.0,,,,63093.0,136003.0,63093.0,,,,,11351.0,,-83771.0,,,82819.0,,800.0,,,,,,,,,,,,17560.0,,,,,,,,148498.0,,4291.0,,,,4920.0,-9950172.0,144011.0,,82146.0,,887.0,,,,,,,,,,72910.0,,,,162976248.0,,,156498515.0,
2020-09-30,2020-11-13,10-Q,"DATA CALL TECHNOLOGIES, INC.",DCLT,CIK0001321828,USD,,20936.0,,,7645.0,68579.0,,,,,349.0,,144880.0,,9868161.0,,,887.0,0.0,,129326.0,124908.0,,38919.0,,38919.0,,,,,0.001,490000000.0,156998515.0,156998515.0,156998.0,,,,,10000.0,51000.0,,,,,,,,,,,,,,,,,,23991.0,,673.0,,,,0.0,,0.0,,,,,82887.0,-9392.0,,,,,,,,,,,,,,,,,,125.0,125.0,1.0,,,23991.0,,,,62921.0,129326.0,62921.0,,,,,-9392.0,,-92279.0,,,92155.0,,800.0,,,,,,,,,,,,17410.0,,,,,,,,148498.0,,3618.0,,,,0.0,-9959564.0,133887.0,,91482.0,,,,,,,,,,,,66405.0,,,,156656124.0,,,156656124.0,
2020-12-31,2021-03-19,10-K,"DATA CALL TECHNOLOGIES, INC.",DCLT,CIK0001321828,USD,,21218.0,,,8348.0,65304.0,65304.0,,,,337.0,,145687.0,,9869048.0,,,,0.0,,100247.0,93411.0,,28107.0,,28107.0,578.0,0.0,,,0.001,490000000.0,156998515.0,156998515.0,156998.0,,,,0.0,7200.0,197703.0,,,,,,,0.5,,,,,,,,,649953.0,649953.0,,,2826.0,,,0.0,,0.0,0.0,0.0,1.0,,,374171.0,-22454.0,,,850.0,,,-8978.0,-13.0,,,4875.0,,175.0,,,,-13400.0,2442.0,2442.0,,3.0,,2068.0,23791.0,,5548.0,,60894.0,100247.0,60894.0,,-7720.0,-5887.0,14185.0,-22454.0,,-396625.0,7200.0,,394186.0,3095013.0,800.0,,,,,10800.0,5887.0,,,,,,0.0,,,,,,,,151723.0,,6036.0,,,,7720.0,-9987503.0,571874.0,,391360.0,,,,,,,,,,3550.0,,39353.0,5548.0,,,156663816.0,,,156663816.0,3550.0
2021-03-31,2021-05-07,10-Q,"DATA CALL TECHNOLOGIES, INC.",DCLT,CIK0001321828,USD,,19560.0,,,4285.0,72594.0,,,,,379.0,,146494.0,,9869935.0,,,887.0,0.0,,93561.0,87532.0,,14938.0,,14938.0,-13169.0,,,,0.001,490000000.0,156998515.0,156998515.0,156998.0,,,,,5400.0,53015.0,,,,,,,0.5,,,,,,,,,,,,,807.0,,,,,,0.0,,,,,101897.0,1106.0,,,-1658.0,,,7290.0,42.0,,,-4063.0,,-1200.0,,,,,,,,,,1200.0,22591.0,,,,52215.0,93561.0,52215.0,,-1800.0,,-11369.0,1106.0,,-100791.0,,,100791.0,,800.0,,,,,,,,,,,,,,,,,,,,151723.0,,5229.0,,,,1800.0,-9986397.0,154912.0,,99984.0,,887.0,,,,,,,,,,41346.0,887.0,,,,,,156998515.0,
2021-06-30,2021-08-06,10-Q,"DATA CALL TECHNOLOGIES, INC.",DCLT,CIK0001321828,USD,,26564.0,,,1705.0,67348.0,,,,,349.0,,147301.0,,9870822.0,,,887.0,0.0,,100403.0,95181.0,,27833.0,,27833.0,,0.0,,,0.001,490000000.0,156998515.0,156998515.0,156998.0,,,,,3600.0,58393.0,,,,,,,,,,,,,,,,,,,,807.0,,,,,,0.0,,,,,93444.0,4561.0,,,,,,,,,,,,,,,,,,,,1.0,,,21391.0,,,,53609.0,100403.0,53609.0,,,,,4561.0,,-88887.0,3600.0,,88884.0,,800.0,,,,,,,,,,,,,,,,,,,,151723.0,,4422.0,,,,,-9981836.0,151837.0,,88077.0,,,,,,,,,,,,46794.0,,,,156998515.0,,,156998515.0,
2021-09-30,2021-11-15,10-Q,"DATA CALL TECHNOLOGIES, INC.",DCLT,CIK0001321828,USD,,36383.0,,,10382.0,74220.0,,,,,349.0,,148108.0,,9873073.0,,,887.0,0.0,,104606.0,100191.0,,25971.0,,25971.0,,0.0,,,0.001,490000000.0,157498515.0,157498515.0,157498.0,,,,,1800.0,51700.0,,,,,,,,,,,,,,,,,,,,807.0,,,,,,0.0,,,,,80660.0,-14056.0,,,,,,,,,,,,,,,,,,,,,,,20203.0,,,,69117.0,104606.0,69117.0,,,,,-14056.0,,-94716.0,1800.0,,94716.0,,800.0,,,,,,,,,,,,,,,,,,,,151723.0,,3615.0,,,,,-9995892.0,132360.0,,93909.0,,,,,,,,,,,,35489.0,,,,157156124.0,,,157156124.0,
