end,filed,form,Name,Ticker,CIK,Currency,AccountsPayableAndAccruedLiabilitiesCurrent,AccountsPayableAndOtherAccruedLiabilities,AccountsPayableAndOtherAccruedLiabilitiesCurrent,AccountsPayableCurrent,AccountsPayableRelatedPartiesCurrent,AccountsReceivableNet,AccountsReceivableNetCurrent,AccruedLiabilitiesAndOtherLiabilities,AccruedLiabilitiesCurrent,AccumulatedDepreciationDepletionAndAmortizationPropertyPlantAndEquipment,AccumulatedOtherComprehensiveIncomeLossNetOfTax,AdditionalPaidInCapital,AdjustmentsToAdditionalPaidInCapitalOther,AdjustmentsToAdditionalPaidInCapitalStockIssuedIssuanceCosts,AreaOfRealEstateProperty,Assets,AssetsCurrent,BuildingsAndImprovementsGross,CapitalizedComputerSoftwareAccumulatedAmortization,CapitalizedComputerSoftwareAmortization1,CapitalizedComputerSoftwareGross,Cash,CashAndCashEquivalentsAtCarryingValue,CashAndCashEquivalentsPeriodIncreaseDecrease,CashPeriodIncreaseDecrease,CommonStockParOrStatedValuePerShare,CommonStockSharesAuthorized,CommonStockSharesIssued,CommonStockSharesOutstanding,CommonStockValue,CommonStockValueOutstanding,ComprehensiveIncomeNetOfTax,ComprehensiveIncomeNetOfTaxAttributableToNoncontrollingInterest,ComprehensiveIncomeNetOfTaxIncludingPortionAttributableToNoncontrollingInterest,ConstructionInProgressGross,ContributionOfProperty,ContributionsFromNoncontrollingInterests,CostOfRevenue,DebtInstrumentFaceAmount,DebtInstrumentInterestRateStatedPercentage,DeferredTaxAssetsNet,Depreciation,DepreciationDepletionAndAmortization,DevelopmentStageEnterpriseDeficitAccumulatedDuringDevelopmentStage,DiscontinuedOperationIncomeLossFromDiscontinuedOperationBeforeIncomeTax,DisposalGroupNotDiscontinuedOperationGainLossOnDisposal,DueFromRelatedPartiesCurrent,DueToOtherRelatedPartiesCurrentAndNoncurrent,DueToRelatedPartiesCurrent,EarningsPerShareBasicAndDiluted,EffectiveIncomeTaxRateContinuingOperations,EffectiveIncomeTaxRateReconciliationAtFederalStatutoryIncomeTaxRate,EffectiveIncomeTaxRateReconciliationDeductions,EffectiveIncomeTaxRateReconciliationForeignIncomeTaxRateDifferential,EffectiveIncomeTaxRateReconciliationTaxCreditsForeign,EffectiveIncomeTaxRateReconciliationTaxExemptIncome,EffectOfExchangeRateOnCashAndCashEquivalents,EquityMethodInvestmentRealizedGainLossOnDisposal,FiniteLivedIntangibleAssetsNet,FurnitureAndFixturesGross,GainLossOnDispositionOfAssets,GainLossOnSaleOfBusiness,GeneralAndAdministrativeExpense,GrossProfit,IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,IncomeTaxExpenseBenefit,IncomeTaxesPaid,IncomeTaxesPaidNet,IncreaseDecreaseInAccountsPayable,IncreaseDecreaseInAccountsPayableAndAccruedLiabilities,IncreaseDecreaseInAccountsReceivable,IncreaseDecreaseInAccruedLiabilitiesAndOtherOperatingLiabilities,IncreaseDecreaseInDueFromRelatedParties,IncreaseDecreaseInDueToRelatedParties,IncreaseDecreaseInOtherAccountsPayableAndAccruedLiabilities,IncreaseDecreaseInOtherCurrentAssets,IncreaseDecreaseInOtherReceivables,IncreaseDecreaseInPrepaidDeferredExpenseAndOtherAssets,IndefiniteLivedIntangibleAssetsImpairmentLosses,InterestExpense,InterestPaid,LeaseholdImprovementsGross,Liabilities,LiabilitiesAndStockholdersEquity,LiabilitiesCurrent,MachineryAndEquipmentGross,MinorityInterest,MinorityInterestIncreaseFromStockIssuance,NetCashProvidedByUsedInFinancingActivities,NetCashProvidedByUsedInInvestingActivities,NetCashProvidedByUsedInOperatingActivities,NetIncomeLoss,NetIncomeLossAttributableToNoncontrollingInterest,NetIncomeLossIncludingPortionAttributableToNonredeemableNoncontrollingInterest,NoncashOrPartNoncashAcquisitionNoncashFinancialOrEquityInstrumentConsiderationOptionsIssued1,NoncashOrPartNoncashAcquisitionNoncashFinancialOrEquityInstrumentConsiderationSharesIssued1,NoncontrollingInterestIncreaseFromSubsidiaryEquityIssuance,NonoperatingIncomeExpense,NotesIssued1,NotesPayableRelatedPartiesClassifiedCurrent,NotesPayableRelatedPartiesCurrent,NotesPayableRelatedPartiesNoncurrent,OperatingExpenses,OperatingIncomeLoss,OperatingLossCarryforwards,OtherAssetsCurrent,OtherAssetsNoncurrent,OtherComprehensiveIncomeForeignCurrencyTransactionAndTranslationGainLossArisingDuringPeriodNetOfTax,OtherComprehensiveIncomeLossNetOfTax,OtherComprehensiveIncomeLossNetOfTaxPortionAttributableToParent,OtherExpenses,OtherNonoperatingExpense,OtherNonoperatingIncome,OtherNonoperatingIncomeExpense,OtherOperatingIncomeExpenseNet,OtherReceivables,OtherSignificantNoncashTransactionValueOfConsiderationReceived1,PaymentsForProceedsFromBusinessesAndInterestInAffiliates,PaymentsForProceedsFromPreviousAcquisition,PaymentsToAcquirePropertyPlantAndEquipment,PostconfirmationRetainedEarningsDeficit,PreferredStockParOrStatedValuePerShare,PreferredStockSharesAuthorized,PreferredStockSharesIssued,PreferredStockSharesOutstanding,PreferredStockValue,PrepaidExpenseAndOtherAssetsCurrent,PrepaidExpenseCurrent,ProceedsFromCollectionOfOtherReceivables,ProceedsFromContributedCapital,ProceedsFromIssuanceOrSaleOfEquity,ProceedsFromMinorityShareholders,ProceedsFromNotesPayable,ProceedsFromRelatedPartyDebt,ProceedsFromRepaymentsOfRelatedPartyDebt,ProfitLoss,PropertyPlantAndEquipmentGross,PropertyPlantAndEquipmentNet,PropertyPlantAndEquipmentOther,RepaymentsOfRelatedPartyDebt,RetainedEarningsAccumulatedDeficit,RevenueFromRelatedParties,Revenues,RevenuesExcludingInterestAndDividends,StockholdersEquity,StockholdersEquityIncludingPortionAttributableToNoncontrollingInterest,StockIssued1,StockIssuedDuringPeriodValueAcquisitions,WeightedAverageNumberOfShareOutstandingBasicAndDiluted,WeightedAverageNumberOfSharesOutstandingBasic
2015-06-30,2015-08-19,10-Q,"LIVING 3D HOLDINGS, INC.",LTDH,CIK0000093205,USD,,,1534759.0,18756.0,,,,,,,,-69604.0,,,,8461.0,8461.0,,,,,,1628.0,,,0.001,90000000.0,69703480.0,69703480.0,69704.0,,-119382.0,,-119382.0,,,,,,,,,,,,,6544.0,,202197.0,0.0,,,,,,,,,,,,,113842.0,,,,,,,,,,,,,,,,,5422.0,,,2055712.0,8461.0,2055712.0,,,,,,,-119382.0,,,,,,-5540.0,,300000.0,,,113842.0,-113842.0,,289.0,,,,,,,,-118.0,,,,,,,,0.001,10000000.0,,,,,,,,,,,,,-119382.0,,,,,-2047351.0,,,,-2047251.0,,,,69703480.0,
2015-09-30,2015-11-16,10-Q,"LIVING 3D HOLDINGS, INC.",LTDH,CIK0000093205,USD,,,1586824.0,18756.0,,,,,,,,-69604.0,,,,9020.0,9020.0,,,,,,2187.0,,,0.001,90000000.0,69703480.0,69703480.0,69704.0,,-101506.0,,-101506.0,,,,,,,,,,,,,6544.0,,252197.0,0.0,,,,,,,,,,,,,95961.0,,,,,,,,,,,,,,,,,5423.0,,,2157777.0,9020.0,2157777.0,,,,,,,-101506.0,,,,,,-5545.0,,300000.0,,,95961.0,-95961.0,,289.0,,,,,,,,-122.0,,,,,,,,0.001,10000000.0,,,,,,,,,,,,,-101506.0,,,,,-2148857.0,,,,-2148757.0,,,,69703480.0,
2015-12-31,2016-03-30,10-K,"LIVING 3D HOLDINGS, INC.",LTDH,CIK0000093205,USD,,,69176.0,,,,,,,,,-597.0,,,,100.0,100.0,,,,,,100.0,-3591.0,,0.001,90000000.0,69703480.0,697043.0,697.0,,1761796.0,,,,,,6300.0,,,,,,,,2121795.0,131328.0,,3028.0,2.53,0.0,0.34,,0.34,,,,2121795.0,,,,,343920.0,495.0,,,0.0,,,,,,,,227167.0,,,,,16267.0,0.0,,72204.0,100.0,72204.0,,,,131328.0,-2087.0,-132832.0,1761796.0,,,,,,-16574.0,0.0,,,,-2121795.0,1778370.0,,,,,1761796.0,,307.0,,,-307.0,,,,,2087.0,,,0.001,10000000.0,,,0.0,,,,,,,,131328.0,,1761796.0,,,,,-72204.0,,6795.0,,-72104.0,,,,697043.0,
2016-03-31,2016-05-16,10-Q,"LIVING 3D HOLDINGS, INC.",LTDH,CIK0000093205,USD,,,71840.0,,,,,,,,,-69604.0,,,400.0,100.0,100.0,,,,,,100.0,0.0,,0.001,90000000.0,69703480.0,69703480.0,69704.0,,,,,,,,0.0,,,,0.0,,,,,,,10610.0,-0.02,0.0,34.0,0.0,-34.0,,,,,,,,,11502.0,0.0,,0.0,0.0,,0.0,,,,,7582.0,11502.0,,,,,,0.0,,82450.0,100.0,82450.0,,,,,,0.0,,,,,,,,8838.0,,,,11502.0,-10246.0,,,,,,,,,,,,,,,,,,0.001,10000000.0,,,,,,,,,,,,,-11502.0,,,,,-82450.0,,0.0,,-82350.0,,0.0,,697043.0,
2016-06-30,2016-08-10,10-Q,"LIVING 3D HOLDINGS, INC.",LTDH,CIK0000093205,USD,,,40542.0,,,,,,,,,-69604.0,,,400.0,100.0,100.0,,,,,,10328.0,,,0.001,90000000.0,69703480.0,69703480.0,69704.0,,,,,,,,6282.0,,,,,,,,,,,51017.0,-0.01,,,,,,,,,,,,,13923.0,3846.0,,,,,,,,,,,,,,,,,,,91559.0,100.0,91559.0,,,,,,,,,,,,,,,,,,13923.0,-9109.0,,,,,,,,,,,,,,,,,,0.001,10000000.0,,,,,,,,,,,,,-10077.0,,,,,-91559.0,,10128.0,,-91459.0,,,,697043.0,
2016-09-30,2016-11-14,10-Q,"LIVING 3D HOLDINGS, INC.",LTDH,CIK0000093205,USD,,,27473.0,,,,,,,,,-69604.0,,,400.0,100.0,100.0,,,,,,1354.0,,,0.001,90000000.0,69703480.0,69703480.0,69704.0,,,,,,,,0.0,,,,,,,,,,,77362.0,-0.02,,,,,,,,,,,,,19400.0,4308.0,,,,,,,,,,,,,,,,,,,104835.0,100.0,104835.0,,,,,,,,,,,,,,,,,,19400.0,-13276.0,,,,,,,,,,,,,,,,,,0.001,10000000.0,,,,,,,,,,,,,-15092.0,,,,,-104835.0,,4308.0,,-104735.0,,,,697043.0,
2016-12-31,2017-04-13,10-K,"LIVING 3D HOLDINGS, INC.",LTDH,CIK0000093205,USD,,,149832.0,0.0,,,4308.0,,,,,-497.0,100.0,,400.0,8644.0,4975.0,,,,,,667.0,567.0,,0.001,290000000.0,697043.0,697043.0,697.0,,,,,,4718.0,,6282.0,,,1192.0,1049.0,,,,0.0,,,98419.0,-0.24,0.0,0.34,,-0.34,,,,,,,,,175757.0,8154.0,,,0.0,,0.0,,4308.0,,,,171970.0,,,,,0.0,0.0,,248251.0,8644.0,248251.0,,,,-541.0,0.0,1108.0,,,,,,,0.0,91314.0,,,,175757.0,-158124.0,9573.0,,230769.0,,,,,,,0.0,,,,,0.0,,,0.001,10000000.0,0.0,0.0,0.0,,,,100.0,,,,0.0,641.0,-167603.0,,3669.0,,641.0,-239807.0,,14436.0,,-239607.0,,0.0,,697043.0,
2017-03-31,2017-05-15,10-Q,"LIVING 3D HOLDINGS, INC.",LTDH,CIK0000093205,USD,,,152150.0,5128.0,,,4308.0,,,,,-30497.0,,-30000.0,400.0,13417.0,10140.0,,,,,,5832.0,5165.0,,0.001,290000000.0,30697043.0,30697043.0,30697.0,,,,,,,,5128.0,,,,392.0,,,,,,,120105.0,0.0,0.0,34.0,-16.5,-34.0,,,,,,,,,24487.0,128.0,,0.0,0.0,,5128.0,,0.0,,,,24004.0,,,0.0,,,0.0,,277383.0,13417.0,277383.0,,,,0.0,,5165.0,,,,,,,,21686.0,,,,24487.0,,,,,,,,,,,,,,,,,,,0.001,10000000.0,0.0,0.0,0.0,,0.0,,,,,,0.0,,-24359.0,,3277.0,,0.0,-264166.0,,5256.0,,-263966.0,,30000.0,0.0,29363710.0,
2017-06-30,2017-08-11,10-Q,"LIVING 3D HOLDINGS, INC.",LTDH,CIK0000093205,USD,,,162018.0,5128.0,,,5590.0,,,,,-30497.0,,,400.0,8986.0,6103.0,,,,,,1795.0,,,0.001,290000000.0,30697043.0,30697043.0,30697.0,,,,,,,,0.0,,,,,,,,,,,122636.0,0.0,,,,,,,,,,,,,57817.0,1282.0,,,,,,,,,,,,,,,,,,,289782.0,8986.0,289782.0,,,,,,,,,,,,,,,,,,57817.0,,,,,,,,,,,,,,,,,,,0.001,10000000.0,0.0,0.0,0.0,,,,,,,,,,-56535.0,,2883.0,,,-280996.0,,1282.0,,-280796.0,,,,30697043.0,
2017-09-30,2017-11-14,10-Q,"LIVING 3D HOLDINGS, INC.",LTDH,CIK0000093205,USD,,,163307.0,5128.0,,,7257.0,,,,,-30497.0,,,400.0,10067.0,7577.0,,,,,,1602.0,,,0.001,290000000.0,30697043.0,30697043.0,30697.0,,,,,,,,0.0,,,,,,,,,,,132328.0,0.0,,,,,,,,,,,,,17067.0,1667.0,,,,,,,,,,,,,,,,,,,300763.0,10067.0,300763.0,,,,,,,,,,,,,,,,,,17067.0,,,,,,,,,,,,,,,,,,,0.001,10000000.0,0.0,0.0,0.0,,,,,,,,,,-15400.0,,2490.0,,,-290896.0,,1667.0,,-290696.0,,,,30697043.0,
2017-12-31,2018-04-17,10-K,"LIVING 3D HOLDINGS, INC.",LTDH,CIK0000093205,USD,,,184069.0,5128.0,,,7257.0,,,,,-69215.0,1282.0,,400.0,213868.0,57925.0,,76923.0,0.0,,,50668.0,50001.0,,0.001,290000000.0,70697043.0,70697043.0,70697.0,,,,,,0.0,,5128.0,,,2937.0,1572.0,,,,,,,441197.0,-0.01,0.0,0.34,,-0.34,,,,,,,,,181278.0,3077.0,,0.0,0.0,,5128.0,,2949.0,,,,176313.0,,0.0,,,,0.0,,630394.0,213868.0,630394.0,,,,48138.0,,1863.0,,,,,,,,142076.0,,,,181278.0,,26195.0,,153846.0,,,,,,,,,0.0,,,,,,0.001,10000000.0,0.0,0.0,0.0,0.0,,,1282.0,,,,93346.0,46490.0,-178201.0,,2097.0,,46490.0,-418008.0,,8205.0,,-416526.0,-416526.0,70000.0,0.0,30697043.0,
2018-03-31,2018-05-15,10-Q,"LIVING 3D HOLDINGS, INC.",LTDH,CIK0000093205,USD,,,185207.0,5128.0,,,2564.0,,,,,-69215.0,,,400.0,181052.0,38322.0,,,,,,23729.0,-26939.0,,0.001,290000000.0,70697043.0,70697043.0,70697.0,,,,,,,,0.0,,,,13213.0,,,,,,,438149.0,0.0,,,,,,,,,,,,,33470.0,2564.0,,,0.0,,0.0,,-4693.0,,,,18859.0,,,29.0,,,0.0,,628484.0,181052.0,628484.0,,,,-32769.0,,5830.0,,,-30906.0,,,,,17721.0,,,,33470.0,,,,,,,,,,,,,,,,,,,0.001,10000000.0,0.0,0.0,0.0,12029.0,12000.0,,,,,,55379.0,88148.0,-30906.0,,1704.0,,88148.0,-448914.0,,2564.0,,-447432.0,-447432.0,0.0,,70697043.0,
2018-06-30,2018-08-14,10-Q,"LIVING 3D HOLDINGS, INC.",LTDH,CIK0000093205,USD,,,189695.0,5128.0,,,3024.0,,,,,-69215.0,,,400.0,135536.0,6021.0,,,,,,2968.0,,,0.001,290000000.0,70697043.0,70697043.0,70697.0,,,,,,,,16132.0,,,,,,,,,,,424901.0,0.0,,,,,,,,,,,,,21084.0,-15672.0,,,,,,,,,,,,,,,,,,,619724.0,135536.0,619724.0,,,,,,,-36756.0,,-36756.0,,,,,,,,,21084.0,,,,,,,,,,,,,,,,,,,0.001,10000000.0,0.0,0.0,0.0,29.0,,,,,,,,,-36756.0,,1310.0,,,-485670.0,,460.0,,-484188.0,-484188.0,,,70697043.0,
2018-09-30,2018-11-14,10-Q,"LIVING 3D HOLDINGS, INC.",LTDH,CIK0000093205,USD,,,141599.0,5128.0,,,3414.0,,,,,-69215.0,,,400.0,122107.0,5805.0,,,,,,2362.0,,,0.001,290000000.0,70697043.0,70697043.0,70697.0,,,,,,,,16738.0,,,,,,,,,,,491737.0,0.0,,,,,,,,,,,,,15821.0,-16348.0,,,,,,,,,,,,,,,,,,,638464.0,122107.0,638464.0,,,,,,,-32169.0,,-32169.0,,,,,,,,,15821.0,,,,,,,,,,,,,,,,,,,0.001,10000000.0,0.0,0.0,0.0,29.0,,,,,,,,,-32169.0,,917.0,,,-517839.0,0.0,390.0,390.0,-516357.0,-516357.0,,,70697043.0,
2018-12-31,2019-04-01,10-K,"LIVING 3D HOLDINGS, INC.",LTDH,CIK0000093205,USD,,,228707.0,0.0,,,4095.0,,228707.0,,,-69215.0,,,400.0,108105.0,5017.0,,,51282.0,,,893.0,-49775.0,,0.001,290000000.0,70697043.0,70697043.0,70697.0,,,,,,,,49886.0,,,8932.0,52855.0,,,,,,519267.0,519267.0,0.0,0.0,0.21,,-0.21,,,,,102564.0,,,,177552.0,-45791.0,,0.0,0.0,,-5128.0,,-3162.0,,,,158482.0,,29.0,,,,0.0,,747974.0,108105.0,747974.0,,,,-35774.0,,-14001.0,,,,,,,,113844.0,,,,177552.0,,161482.0,,102564.0,,,,,,,,,29.0,,,,,,0.001,10000000.0,0.0,0.0,0.0,29.0,,,0.0,,,,1282.0,37056.0,-223343.0,,524.0,,37056.0,-641351.0,,4095.0,,-639869.0,-639869.0,0.0,,70697043.0,
2019-03-31,2019-05-14,10-Q,"LIVING 3D HOLDINGS, INC.",LTDH,CIK0000093205,USD,,,309786.0,,,,2240.0,,,,,-69215.0,,,400.0,94246.0,4371.0,,,,,,2102.0,1209.0,,0.001,290000000.0,70697043.0,70697043.0,70697.0,,,,,,,,14963.0,,,,13213.0,,,,,,,542217.0,0.0,,,,,,,,,,,,,103634.0,-14254.0,,,0.0,,,,-1855.0,,,,101521.0,,,0.0,,,0.0,,852003.0,94246.0,852003.0,,,,2508.0,,-1299.0,,,-117888.0,,,,,20442.0,,,,103634.0,,,,,,,,,,,,,,,,,,,0.001,10000000.0,0.0,0.0,0.0,29.0,0.0,,,,,,3846.0,1338.0,-117888.0,,131.0,,1338.0,-759239.0,,709.0,,-757757.0,-757757.0,,,70697043.0,
2019-06-30,2019-08-14,10-Q,"LIVING 3D HOLDINGS, INC.",LTDH,CIK0000093205,USD,,,,,,,4072.0,,396103.0,,,-69215.0,,,,81963.0,5040.0,,,,,,939.0,,,0.001,290000000.0,70697043.0,70697043.0,70697.0,,,,,,,,15405.0,,,,,,,,,,565337.0,565337.0,0.0,,,,,,,,,76923.0,,,,109652.0,-12068.0,,,,,,,,,,,,,,,,,,,961440.0,81963.0,961440.0,,,,,,,-121720.0,,-121720.0,,,,,,,,,109652.0,,,,,,,,,,,,,29.0,,,,,956400.0,0.001,10000000.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,,-880959.0,,3337.0,,-879477.0,-879477.0,,,70697043.0,
2019-09-30,2019-11-14,10-Q,"LIVING 3D HOLDINGS, INC.",LTDH,CIK0000093205,USD,,,,,,,10917.0,,396713.0,,,-69215.0,,,,80414.0,16311.0,,,,,,5365.0,,,0.001,290000000.0,70697043.0,70697043.0,70697.0,,,,,,,,15316.0,,,,,,,,,,560068.0,560068.0,0.0,,,,,,,,,64103.0,,,,13601.0,16711.0,,,,,,,,,,,,,,,,,,,956781.0,80414.0,956781.0,,,,,,,3110.0,,3110.0,,,,,,,,,13601.0,,,,,,,,,,,,,29.0,,,,,940470.0,0.001,10000000.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,,-877849.0,25000.0,32027.0,7027.0,-876367.0,-876367.0,,,70697043.0,
