end,filed,form,Name,Ticker,CIK,Currency,AccountsReceivableFromSecuritization,AccruedProfessionalFeesCurrentAndNoncurrent,AssetManagementCosts,Assets,Cash,CashAndCashEquivalentsAtCarryingValue,CashAndCashEquivalentsPeriodIncreaseDecrease,CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalents,CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalentsPeriodIncreaseDecreaseIncludingExchangeRateEffect,CommissionsPayableToBrokerDealersAndClearingOrganizations,CommitmentsAndContingencies,CustodyFees,DebtInstrumentCollateralAmount,DebtInstrumentInterestRateStatedPercentage,Deposits,DepositsMoneyMarketDeposits,DerivativeNumberOfInstrumentsHeld,DerivativeNumberOfInstrumentsHeld,DividendIncomeOperating,DividendsReceivable,DueFromOfficersOrStockholders,DueFromRelatedParties,DueToCorrespondentBrokers,DueToOfficersOrStockholdersCurrentAndNoncurrent,DueToRelatedPartiesCurrentAndNoncurrent,FeesAndCommissions,FloorBrokerageExchangeAndClearanceFees,GainLossOnSaleOfInvestments,GeneralPartnersCapitalAccount,IncreaseDecreaseDueFromOfficersAndStockholders,IncreaseDecreaseInAccountsAndOtherReceivables,IncreaseDecreaseInAccruedInterestReceivableNet,IncreaseDecreaseInAccruedLiabilities,IncreaseDecreaseInDividendsReceivable,IncreaseDecreaseInFinancialInstrumentsUsedInOperatingActivities,IncreaseDecreaseInInsuranceLiabilities,IncreaseDecreaseInOtherOperatingAssets,IncreaseDecreaseInOtherOperatingLiabilities,IncreaseDecreaseInPayablesToBrokerDealers,IncreaseDecreaseInPrepaidInsurance,IncreaseDecreaseInTradingLiabilities,InterestIncomeOperating,InterestReceivable,InvestmentOwnedPercentOfNetAssets,InvestmentOwnedUnderlyingFaceAmountAtMarketValue,Liabilities,LiabilitiesAndStockholdersEquity,LicenseCosts,LimitedPartnersCapitalAccount,LimitedPartnersCapitalAccountUnitsOutstanding,ManagementFeeExpense,ManagementFeePayable,NetCashProvidedByUsedInFinancingActivities,NetCashProvidedByUsedInFinancingActivitiesContinuingOperations,NetCashProvidedByUsedInOperatingActivities,NetCashProvidedByUsedInOperatingActivitiesContinuingOperations,NetIncomeLoss,NetIncomeLossNetOfTaxPerOutstandingLimitedPartnershipUnitDiluted,NetIncomeLossPerOutstandingLimitedPartnershipUnit,NetIncomeLossPerOutstandingLimitedPartnershipUnit,NetIncomeLossPerOutstandingLimitedPartnershipUnit,NetIncomeLossPerOutstandingLimitedPartnershipUnitBasicNetOfTax,NetIncomeLossPerOutstandingLimitedPartnershipUnitDiluted,NetIncomeLossPerOutstandingLimitedPartnershipUnitDiluted,NetIncomeLossPerOutstandingLimitedPartnershipUnitDiluted,NoninterestExpenseDirectorsFees,NoninterestExpenseTransferAgentAndCustodianFees,OperatingExpenses,OtherAssets,OtherExpenses,OtherGeneralExpense,OtherIncome,OtherLiabilities,OtherReceivables,PartnersCapital,PartnersCapitalAccountContributions,PartnersCapitalAccountRedemptions,PartnersCapitalAccountUnitsContributed,PartnersCapitalAccountUnitsRedeemed,PrepaidInsurance,ProceedsFromPartnershipContribution,ProfessionalFees,ReceivableFromOfficersAndDirectorsForIssuanceOfCapitalStock,RestrictedCashAndCashEquivalents,RevenueFromContractWithCustomerIncludingAssessedTax,Revenues,TradingLiabilities,UnrealizedGainLossOnDerivativesAndCommodityContracts,UnrealizedGainLossOnInvestments,WeightedAverageLimitedPartnershipUnitsOutstanding,UnrecognizedTaxBenefitsIncomeTaxPenaltiesAndInterestAccrued
2018-03-31,2018-05-15,10-Q,"United States 12Â Month Natural Gas Fund, LP",UNL,CIK0001405513,USD,,53651.0,14371.0,7491169.0,979150.0,6590784.0,-1348942.0,,,931.0,,,979150.0,,5469934.0,2100000.0,,,7514.0,2591.0,79475.0,,,4342.0,,1050.0,318.0,-366417.0,0.0,17762.0,350.0,276.0,,272.0,,,0.0,,0.0,,,18595.0,364.0,,,523829.0,7491169.0,287.0,6967340.0,750000.0,14371.0,157.0,-953475.0,,-395467.0,,50826.0,0.06,,,,0.03,,,,415.0,20000.0,35055.0,,,,,,350.0,6967340.0,,1417926.0,,150000.0,,0.0,19664.0,0.0,,1050.0,68119.0,,407377.0,407377.0,837222.0,
2018-06-30,2018-08-13,10-Q,"United States 12Â Month Natural Gas Fund, LP",UNL,CIK0001405513,USD,,33950.0,,6210950.0,537949.0,5623228.0,,6161177.0,,931.0,,,537949.0,,4961177.0,1200000.0,,,5381.0,1773.0,33091.0,,,4172.0,,,467.0,-57654.0,0.0,,,,,,,,,,,,,20224.0,208.0,,,39297.0,6210950.0,,6171653.0,650000.0,11705.0,,,,,,130128.0,0.19,,,,0.2,,,,338.0,,29326.0,,,,,,,6171653.0,,,,,,,16582.0,422.0,,350.0,144125.0,,,175824.0,670879.0,
2018-09-30,2018-11-13,10-Q,"United States 12Â Month Natural Gas Fund, LP",UNL,CIK0001405513,USD,,39639.0,,5241534.0,262249.0,4926136.0,,5188385.0,,931.0,,,262249.0,0.0001,4188385.0,1000000.0,,,5210.0,1553.0,45090.0,,,2961.0,,,434.0,-42291.0,0.0,,,,,,,,,,,,,23023.0,87.0,,,44013.0,5241534.0,,5197521.0,550000.0,10983.0,482.0,,,,,-34618.0,-0.06,,,,-0.04,,,,341.0,,25180.0,219.0,,,,,,5197521.0,,,,,,,13202.0,0.0,,700.0,-21437.0,,,-8079.0,623913.0,
2018-12-31,2019-03-26,10-K,"United States 12Â Month Natural Gas Fund, LP",UNL,CIK0001405513,USD,,51486.0,,5780859.0,596555.0,5167367.0,-3154954.0,5763922.0,-3154954.0,571.0,,75000.0,596555.0,,4163922.0,1600000.0,,,24807.0,2579.0,59956.0,,81581.0,3709.0,,,1334.0,-11739.0,0.0,-1757.0,0.0,201.0,,260.0,,516.0,216.0,,81581.0,-253.0,,86283.0,289.0,,,137988.0,5780859.0,,5642871.0,550000.0,48189.0,641.0,-3258712.0,,103758.0,,987950.0,0.84,,,,1.81,,,,1447.0,20000.0,146005.0,216.0,,,,,,5642871.0,584722.0,3843434.0,50000.0,400000.0,0.0,584722.0,65849.0,0.0,,2800.0,1059133.0,,522819.0,522819.0,671507.0,
2019-03-31,2019-05-14,10-Q,"United States 12Â Month Natural Gas Fund, LP",UNL,CIK0001405513,USD,,37567.0,,4764323.0,978236.0,3644470.0,-1141216.0,4622706.0,-1141216.0,571.0,,75000.0,978236.0,,4122706.0,500000.0,,,3902.0,979.0,80932.0,,0.0,3064.0,,,372.0,-8587.0,0.0,20976.0,0.0,206.0,,-1600.0,,-516.0,490.0,,-81581.0,29.0,,23636.0,495.0,,,41277.0,4764323.0,,4723046.0,450000.0,9096.0,75.0,-1032818.0,,-108398.0,,112993.0,0.25,,,,0.24,,,,328.0,20000.0,31893.0,706.0,,,,,,4723046.0,,1032818.0,,100000.0,,0.0,21915.0,,,350.0,123909.0,,104608.0,104608.0,460000.0,
2019-06-30,2019-08-13,10-Q,"United States 12Â Month Natural Gas Fund, LP",UNL,CIK0001405513,USD,,29481.0,,4131269.0,,3529670.0,,4627798.0,,571.0,,,1098128.0,,4127798.0,500000.0,,,2896.0,938.0,42114.0,,0.0,2922.0,,,264.0,-41649.0,0.0,,,,,,,,,,,,,22529.0,175.0,,,32974.0,4131269.0,,4098295.0,450000.0,8330.0,0.0,,,,,-624751.0,-1.39,,,,-1.39,,,,215.0,,31133.0,0.0,,,,,,4098295.0,,,0.0,0.0,,,22157.0,270.0,,0.0,-614755.0,,,-598531.0,450000.0,
2019-09-30,2019-11-13,10-Q,"United States 12Â Month Natural Gas Fund, LP",UNL,CIK0001405513,USD,,41392.0,,4022599.0,,3437213.0,,4506325.0,,571.0,,,1069112.0,,4006325.0,500000.0,,,2629.0,798.0,58202.0,,0.0,2908.0,,,312.0,-129946.0,0.0,,,,,,,,,,,,,19149.0,382.0,,,44965.0,4022599.0,,3977634.0,450000.0,7641.0,,,,,,-120661.0,-0.27,,,,-0.27,,,,271.0,,25256.0,0.0,,,,,,3977634.0,,,0.0,0.0,243.0,,16880.0,,,0.0,-111493.0,,,-3325.0,450000.0,
2019-12-31,2020-03-20,10-K,"United States 12Â Month Natural Gas Fund, LP",UNL,CIK0001405513,USD,,57027.0,,3434354.0,,2990732.0,,3794705.0,-1969217.0,571.0,,75000.0,803973.0,,3294705.0,500000.0,,,11525.0,658.0,74302.0,,0.0,2759.0,,,1231.0,-479014.0,0.0,14346.0,0.0,-42.0,,-1921.0,,-516.0,-216.0,,-81581.0,120.0,,81092.0,247.0,,,60460.0,3434354.0,,3373894.0,400000.0,32545.0,,-1454651.0,,-514566.0,,-996233.0,-1.8,,,,-2.24,,,,1096.0,20000.0,138432.0,0.0,,,,,,3373894.0,,1454651.0,50000.0,150000.0,120.0,0.0,77834.0,,,700.0,-948205.0,,-389575.0,-389575.0,452329.0,
2020-03-31,2020-05-14,10-Q,"United States 12Â Month Natural Gas Fund, LP",UNL,CIK0001405513,USD,,33298.0,,3087247.0,,2490391.0,,3398533.0,-396172.0,451.0,,,908142.0,,3398533.0,0.0,,,958.0,76.0,90324.0,,,2258.0,,,131.0,-361302.0,0.0,16022.0,,-138.0,,-582.0,,0.0,0.0,,0.0,271.0,,11093.0,109.0,,,36066.0,3087247.0,,3051181.0,400000.0,5794.0,,0.0,,-396172.0,,-322713.0,-0.81,,,,-0.8,,,,236.0,20000.0,22976.0,,,,,,,3051181.0,,,0.0,0.0,391.0,0.0,16699.0,,,0.0,-315759.0,,33492.0,33492.0,400000.0,
2020-06-30,2020-08-13,10-Q,"United States 12Â Month Natural Gas Fund, LP",UNL,CIK0001405513,USD,,27559.0,,4557857.0,,4043457.0,,4679600.0,,391.0,,,636143.0,,1239254.0,3440346.0,,,626.0,300.0,33705.0,,,2722.0,,,390.0,-331877.0,0.0,,,,,,,,,,,,,5781.0,0.0,,,30675.0,4557857.0,,4527182.0,600000.0,6598.0,,,,,,-88075.0,-0.2,,,,-0.08,,,,151.0,,26044.0,,,,,,,4527182.0,,,150000.0,0.0,294.0,,18773.0,,,700.0,-79714.0,,,245056.0,447253.0,
2020-09-30,2020-11-13,10-Q,"United States 12Â Month Natural Gas Fund, LP",UNL,CIK0001405513,USD,,27872.0,,6680805.0,,5998607.0,,5998607.0,,391.0,,,633095.0,,4998607.0,1000000.0,,,975.0,84.0,47742.0,,222032.0,4408.0,,,537.0,-8164.0,0.0,,,,,,,,,,,,,1176.0,96.0,,,254792.0,6680805.0,,6426013.0,750000.0,11676.0,,,,,,771001.0,1.03,,,,1.02,,,,188.0,,27598.0,,,,,,,6426013.0,,,150000.0,0.0,195.0,,14964.0,,,350.0,784562.0,,,790225.0,748370.0,
2020-12-31,2021-03-05,10-K,"United States 12Â Month Natural Gas Fund, LP",UNL,CIK0001405513,USD,,25000.0,,7382976.0,,6497522.0,,7343143.0,3548438.0,391.0,,,845621.0,,6343143.0,1000000.0,,,2604.0,9.0,60535.0,,0.0,4095.0,,,1633.0,-608115.0,0.0,-13767.0,,-73.0,,-649.0,,-983.0,0.0,,0.0,-24.0,,18621.0,174.0,,1000000.0,31516.0,7382976.0,,7351460.0,950000.0,35924.0,,4192446.0,,-644008.0,,-789973.0,-0.37,,,,-1.52,,,,2711.0,,130660.0,,,,,,,7351460.0,,,550000.0,0.0,96.0,4192446.0,62653.0,,,1400.0,-732641.0,,413714.0,413714.0,587397.0,
2021-03-31,2021-05-12,10-Q,"United States 12Â Month Natural Gas Fund, LP",UNL,CIK0001405513,USD,,21360.0,,8311509.0,,7421844.0,,8304775.0,961632.0,391.0,,,882931.0,,1304775.0,7000000.0,,,121.0,103.0,30045.0,,,5545.0,,,787.0,120097.0,0.0,-30490.0,,-7.0,,94.0,,,,,,1864.0,,628.0,167.0,,,30305.0,8311509.0,,8281204.0,1050000.0,14521.0,,830230.0,,131402.0,,99514.0,0.1,,,,0.15,,,,2874.0,,47470.0,,,,,,,8281204.0,,,250000.0,150000.0,1960.0,2038933.0,28998.0,,,1050.0,116939.0,,-4957.0,-4957.0,962222.0,
2021-06-30,2021-08-11,10-Q,"United States 12Â Month Natural Gas Fund, LP",UNL,CIK0001405513,USD,,20796.0,,10595721.0,,8784452.0,,8784452.0,,391.0,,,1738576.0,,1784452.0,7000000.0,,,496.0,146.0,69684.0,,586229.0,6416.0,,,763.0,431603.0,0.0,,,,,,,,,,,,,137.0,75.0,,,616559.0,10595721.0,,9979162.0,1000000.0,16998.0,,,,,,2178035.0,2.06,,,,2.09,,,,3270.0,,60037.0,,,,,,,9979162.0,,,100000.0,150000.0,1459.0,,38666.0,,,700.0,2198433.0,,,1765497.0,1056667.0,
2021-09-30,2021-11-05,10-Q,"United States 12Â Month Natural Gas Fund, LP",UNL,CIK0001405513,USD,,46991.0,,19164410.0,,13821620.0,,13821620.0,,391.0,,,5232232.0,,6821620.0,7000000.0,,,458.0,149.0,108012.0,,3173686.0,8840.0,,,631.0,1113175.0,0.0,,,,,,,,,,,,,424.0,220.0,,,3232657.0,19164410.0,,15931753.0,1100000.0,22183.0,,,,,,4581443.0,4.5,,,,4.5,,,,3305.0,,64948.0,,,,,,,15931753.0,,,100000.0,,952.0,,38385.0,,,350.0,4608063.0,,,3493656.0,1017391.0,
2021-12-31,2022-03-04,10-K,"United States 12Â Month Natural Gas Fund, LP",UNL,CIK0001405513,USD,,58646.0,,16385035.0,,14360397.0,,15705957.0,8362814.0,391.0,,,1345560.0,,1705957.0,14000000.0,,,1802.0,272.0,128748.0,,,10640.0,,,3199.0,2685138.0,0.0,68213.0,,-95.0,,263.0,,-42.0,,,,349.0,,1677.0,79.0,,,72449.0,16385035.0,,16312586.0,1400000.0,85770.0,,5801461.0,,2561353.0,,-539662.0,2.93,,,,1.08,,,,12755.0,,290891.0,,,,,,,16312586.0,,,750000.0,300000.0,445.0,8382719.0,128233.0,,,3500.0,-398255.0,,570473.0,570473.0,1078767.0,0.0
