end,filed,form,Name,Ticker,CIK,Currency,AccountsPayableCurrentAndNoncurrent,AccruedInvestmentIncomeReceivable,AdditionalPaidInCapitalCommonStock,AssetManagementCosts,Assets,AssetsHeldInTrust,AssetsUnderManagementCarryingAmount,Cash,CashAndCashEquivalentsAtCarryingValue,CashAndCashEquivalentsPeriodIncreaseDecrease,CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalents,CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalentsPeriodIncreaseDecreaseExcludingExchangeRateEffect,CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalentsPeriodIncreaseDecreaseIncludingExchangeRateEffect,CashEquivalentsAtCarryingValue,CashPeriodIncreaseDecrease,CashSegregatedUnderCommodityExchangeActRegulation,CommissionsPayableToBrokerDealersAndClearingOrganizations,Deposits,DepreciationAmortizationAndAccretionNet,DerivativeAssetFairValueGrossLiability,DerivativeCollateralRightToReclaimCash,DerivativeCollateralRightToReclaimSecurities,DerivativeFairValueAmountOffsetAgainstCollateralNet,DerivativeFairValueOfDerivativeAsset,DerivativeFairValueOfDerivativeAssetAmountNotOffsetAgainstCollateral,DerivativeFairValueOfDerivativeAssetAmountOffsetAgainstCollateral,DerivativeFairValueOfDerivativeLiabilityAmountOffsetAgainstCollateral,DistributedEarnings,DividendIncomeOperating,DividendsReceivable,DueFromAffiliates,DueToRelatedPartiesCurrentAndNoncurrent,EarningsPerShareBasic,FinancialInstrumentsOwnedAtFairValue,FinancialInstrumentsOwnedDerivativesAndOtherContractualAgreementsAtFairValue,FinancialInstrumentsOwnedUSGovernmentAndAgencyObligationsAtFairValue,FloorBrokerageExchangeAndClearanceFees,GainLossOnInvestments,GainLossOnSaleOfCommodityContracts,GainLossOnSaleOfDebtInvestments,GainLossOnSaleOfDerivatives,GainLossOnSaleOfInvestments,GainLossOnSaleOfSecuritiesNet,GeneralPartnersCapitalAccount,GeneralPartnersCapitalAccountUnitsOutstanding,GoodFaithAndMarginDepositsWithBrokerDealers,IncreaseDecreaseInAccountsPayable,IncreaseDecreaseInAccountsPayableRelatedParties,IncreaseDecreaseInAccruedLiabilities,IncreaseDecreaseInBrokerageReceivables,IncreaseDecreaseInDividendsReceivable,IncreaseDecreaseInOperatingCapital,IncreaseDecreaseInOtherAccountsPayable,IncreaseDecreaseInPayablesToBrokerDealers,InterestAndDividendIncomeOperating,InterestExpense,InterestIncomeExpenseNet,InterestIncomeOperating,InterestPaid,InterestPaidNet,InvestmentCompanyContractualFeeWaived,InvestmentCompanyExpenseRatioIncludingVoluntaryFeeWaiver,InvestmentCompanyGainLossOnInvestmentPerShare,InvestmentCompanyGeneralPartnerAdvisoryService,InvestmentCompanyInvestmentIncomeLossFromOperationsPerShare,InvestmentCompanyInvestmentIncomeLossPerShare,InvestmentCompanyInvestmentIncomeLossRatio,InvestmentCompanyRealizedAndUnrealizedGainLossOnInvestmentAndForeignCurrency,InvestmentCompanyTaxReturnOfCapitalDistributionPerShare,InvestmentCompanyTaxReturnOfCapitalDistributionPerShare,InvestmentCompanyTotalReturn,InvestmentIncomeNet,InvestmentOwnedAtCost,InvestmentOwnedAtFairValue,InvestmentOwnedPercentOfNetAssets,InvestmentOwnedUnderlyingFaceAmountAtMarketValue,InvestmentOwnedUnrecognizedUnrealizedAppreciation,InvestmentOwnedUnrecognizedUnrealizedAppreciationDepreciationNet,InvestmentOwnedUnrecognizedUnrealizedDepreciation,InvestmentsInAndAdvancesToAffiliatesAtFairValue,Liabilities,LiabilitiesAndStockholdersEquity,LimitedPartnersCapitalAccount,LimitedPartnersCapitalAccountUnitsOutstanding,ManagementFeePayable,MarketableSecuritiesRealizedGainLoss,MarketableSecuritiesUnrealizedGainLoss,MinorityInterestDecreaseFromRedemptions,NetAssetValuePerShare,NetCashProvidedByUsedInFinancingActivities,NetCashProvidedByUsedInFinancingActivitiesContinuingOperations,NetCashProvidedByUsedInOperatingActivities,NetCashProvidedByUsedInOperatingActivitiesContinuingOperations,NetIncomeLoss,NetIncomeLossAttributableToNoncontrollingInterest,OperatingExpenses,OperatingIncomeLoss,PartnersCapitalAccountContributions,PartnersCapitalAccountReturnOfCapital,PayablesToBrokerDealersAndClearingOrganizations,PaymentsForProceedsFromInvestments,PaymentsForPurchaseOfSecuritiesOperatingActivities,PaymentsForRepurchaseOfCommonStock,PaymentsForRepurchaseOfRedeemableNoncontrollingInterest,PaymentsOfDividends,PaymentsToAcquireInvestments,PaymentsToAcquireMarketableSecurities,ProceedsFromIssuanceOfCommonStock,ProceedsFromSaleAndMaturityOfMarketableSecurities,ProceedsFromSaleMaturityAndCollectionsOfInvestments,ProceedsFromSaleOfSecuritiesOperatingActivities,ProfessionalFees,ProfitLoss,RealizedGainLossOnMarketableSecuritiesCostMethodInvestmentsAndOtherInvestments,RealizedInvestmentGainsLosses,ReceivablesFromBrokersDealersAndClearingOrganizations,ReceivablesFromClearingOrganizations,RestrictedCashAndCashEquivalents,RestrictedCashAndInvestments,RestrictedInvestments,RestrictedInvestmentsPercentOfNetAssets,RetainedEarningsAccumulatedDeficit,SharesIssued,SharesOutstanding,StockholdersEquity,StockholdersEquityPeriodIncreaseDecrease,StockIssuedDuringPeriodSharesNewIssues,StockIssuedDuringPeriodSharesPeriodIncreaseDecrease,StockIssuedDuringPeriodValueNewIssues,StockIssuedDuringPeriodValueOther,StockIssuedDuringPeriodValuePurchaseOfAssets,StockRedeemedOrCalledDuringPeriodShares,StockRedeemedOrCalledDuringPeriodValue,TaxBasisOfInvestmentsUnrealizedAppreciationDepreciationNet,TreasuryStockValue,UnrealizedGainLossOnCommodityContracts,UnrealizedGainLossOnDerivatives,UnrealizedGainLossOnInvestments,UnrealizedGainLossOnMarketableSecuritiesCostMethodInvestmentsAndOtherInvestments,UnrealizedGainLossOnSecurities,UnrealizedGainOnSecurities,UnrealizedLossOnSecurities,UnrecognizedTaxBenefits,MarketableSecuritiesRealizedGainLossExcludingOtherThanTemporaryImpairments,MarketableSecuritiesUnrealizedGainLossExcludingOtherThanTemporaryImpairments
2014-12-31,2015-03-06,10-K,INVESCO DB OIL FUND,DBO,CIK0001383058,USD,167000.0,,,2065309.0,290416811.0,0.0,290416811.0,68613950.0,68613950.0,62836866.0,,,,0.0,62836866.0,68613950.0,4666.0,,-106706.0,,,,,,,0.0,59187450.0,0.0,,,,167000.0,-23.7,,,280990311.0,77150.0,-272673694.0,,,-60962520.0,-60962520.0,3806.0,620.0,40.0,27583325.0,-37335.0,-37335.0,,,,35986426.0,,1686.0,104628.0,,,113596.0,2078.0,,,,,,,,,,,,,-2539923.0,,,,,,-59187450.0,,,11170929.0,290416811.0,279245262.0,18000000.0,167000.0,3806.0,-5942.0,,15.51,,105891453.0,,-43054587.0,-275213617.0,,2142459.0,-2539923.0,,,10999263.0,,1175908099.0,107245689.0,,,,1175908099.0,213137142.0,1195996218.0,,1195996218.0,2065309.0,,-60958714.0,-60958714.0,,,,,27583325.0,0.095,,,,279245882.0,-30908074.0,,,213137142.0,,,,107245689.0,-59187450.0,,,-73797040.0,-73797040.0,-73802982.0,-5942.0,,,0.0,,
2015-03-31,2015-05-11,10-Q,INVESCO DB OIL FUND,DBO,CIK0001383058,USD,333150.0,,,773393.0,888690925.0,,,,307916045.0,239302095.0,,,,0.0,,,4835.0,,-22170.0,,,,,,,0.0,37702760.0,0.0,,,,,-2.01,,,580774880.0,149520.0,-37732133.0,,,-59209340.0,-59209340.0,1012.0,540.0,40.0,76116420.0,166150.0,166150.0,,-8675100.0,,325451073.0,,169.0,,,,20723.0,,,,,,,,,,,,,,-902190.0,,,,,,-37702760.0,,,283993970.0,888690925.0,604696415.0,44800000.0,,1012.0,-8495.0,,,,364085396.0,,-124783301.0,-38634323.0,,922913.0,-902190.0,,,274980885.0,,305786945.0,,,,,305786945.0,364085396.0,269998685.0,,269998685.0,773393.0,,-59208328.0,-59208328.0,,,,,76116420.0,,,,,604696955.0,325451073.0,,,364085396.0,,,,,,,,21484690.0,21484690.0,21476195.0,-8495.0,,,0.0,,
2015-06-30,2015-08-10,10-Q,INVESCO DB OIL FUND,DBO,CIK0001383058,USD,378156.0,,,1211577.0,595440444.0,,,,8803553.0,,,,,,,,4310.0,,,,,,,,,15792910.0,,0.0,,,,,1.16,,,577000501.0,12844.0,54429358.0,,,928431.0,928431.0,637.0,586.0,40.0,94636390.0,,,,,,-24154632.0,,,,,,23913.0,,,,,,,,,,,,,,-1200508.0,,,,,,,,,14898121.0,595440444.0,580541737.0,39600000.0,,637.0,4620.0,,,,,,,53228850.0,,1224421.0,-1200508.0,,,,,,,,,,,,,,,1211577.0,,929068.0,929068.0,,,,,85000000.0,,,,,580542323.0,-24154632.0,,,32567482.0,,,,109950964.0,15792910.0,,,53495670.0,53495670.0,53500290.0,4620.0,,,0.0,,
2015-09-30,2015-11-06,10-Q,INVESCO DB OIL FUND,DBO,CIK0001383058,USD,,,,953822.0,494393179.0,,,8968314.0,8968314.0,,,,,,,,4843.0,,,,,,,,,0.0,119288280.0,0.0,,,,,-3.38,,,485007625.0,3597.0,-136000198.0,,,-937209.0,-937209.0,219.0,451.0,40.0,90417240.0,,,,,,-86468097.0,,,27844.0,5822.0,,27844.0,,,,,,,,,,,,,,-935397.0,,,,,,,,,318953.0,494393179.0,494073775.0,43800000.0,314110.0,219.0,17982.0,,,,,,,-136935595.0,,963241.0,-935397.0,,,,,,,,,,,,,,,953822.0,,-936990.0,-936990.0,,,,,90000000.0,,,,,494074226.0,-86468097.0,,,52690226.0,,,,2222728.0,-119288280.0,,,-135081190.0,-135081190.0,-135063208.0,17982.0,,,0.0,,
2015-12-31,2016-02-29,10-K,INVESCO DB OIL FUND,DBO,CIK0001383058,USD,,,,,410352640.0,,101684720.0,32179166.0,32179166.0,-36434784.0,,,,0.0,-36434784.0,,3469.0,,-123536.0,,,,,,,,,0.0,,,,278574.0,-8.65,187321914.0,,372479154.0,174592.0,-324422609.0,-95881678.0,,,-95881678.0,,363.0,40.0,95990400.0,,111574.0,,5694320.0,,-84003629.0,,-1197.0,123536.0,19864.0,,167152.0,19864.0,,0.0,0.0076,-6.34,3843464.0,-6.44,-0.1,-0.0076,,,,-0.4152,,372481672.0,372479154.0,,,,-185157240.0,,,282043.0,410352640.0,410070234.0,45200000.0,,-1486.0,-9837.0,,9.07,,356601890.0,,-393036674.0,-329213282.0,,4037920.0,-4790673.0,,,0.0,,1957667461.0,173637956.0,,,,,530239846.0,,,1855291568.0,3843464.0,,-95883164.0,,0.0,5694320.0,32179166.0,308667920.0,,0.2339,,,,410070597.0,130824715.0,,,530239846.0,,,,173637956.0,,,-125969790.0,,-125969790.0,-125979627.0,,,,,,
2016-03-31,2016-05-10,10-Q,INVESCO DB OIL FUND,DBO,CIK0001383058,USD,,,,,450295711.0,,,8351524.0,8351524.0,-23827642.0,,,,0.0,-23827642.0,,4976.0,,-219769.0,,,,,,,,,0.0,,,,286873.0,-1.28,,,421917534.0,82679.0,-53924049.0,,,,-265435401.0,,312.0,40.0,99980000.0,,8299.0,,-4667620.0,,,,1507.0,219769.0,9306.0,,219769.0,9306.0,,,,,,,,,,,,,,,,,,,26288793.0,,,291849.0,450295711.0,450003550.0,57800000.0,,-2101.0,67420.0,,7.79,,94501698.0,,-118329340.0,-54568433.0,,864153.0,-644384.0,1000.0,,,,475640083.0,26316495.0,,,,,120818193.0,,,407486838.0,772168.0,,-265437502.0,,18999953.0,1026700.0,8351524.0,,,,,,,450003862.0,39933265.0,,,120818193.0,,,,26316495.0,,,,,211446033.0,211513453.0,,,,,,
2016-06-30,2016-08-09,10-Q,INVESCO DB OIL FUND,DBO,CIK0001383058,USD,,,,,481514805.0,,,47614947.0,47614947.0,,,,,0.0,,,4933.0,,,,,,,,,,,0.0,,,,293387.0,1.37,,,433899858.0,7311.0,75313624.0,9075763.0,,,9075763.0,,366.0,40.0,,,,,,,,,,295779.0,4015.0,,295779.0,,,,,,,,,,,,,,,,,,,,92550273.0,,,14594160.0,481514805.0,466920279.0,51000000.0,,2970.0,-26589.0,,9.16,,,,,74728375.0,,881028.0,-585249.0,,,,,,,,,,,,,,,869702.0,,9078733.0,,,,47614947.0,,,,,,,466920645.0,16916783.0,,,,,,,57811592.0,,,66261480.0,,66261480.0,66234891.0,,,,,,
2016-09-30,2016-11-08,10-Q,INVESCO DB OIL FUND,DBO,CIK0001383058,USD,,,,,450458624.0,,,6609680.0,,,,,,,,,4994.0,,,,,,,,,,,0.0,11713.0,,5137.0,255489.0,-0.23,,,401927160.0,2955.0,-10251702.0,4018445.0,,,4018445.0,,357.0,40.0,,,,,,,,,,314655.0,7662.0,,302942.0,,,5899.0,0.0076,-0.22,818605.0,-0.23,-0.01,-0.0047,,,,-0.0251,,439844769.0,439913727.0,0.9772,,,78248582.0,,37986567.0,260483.0,450458624.0,450197784.0,50400000.0,,899.0,30645.0,,8.93,,,,,-10760370.0,,829222.0,-508668.0,,,,,,,,,,,,,,,818605.0,,4019344.0,,,3930080.0,,,,,,,,450198141.0,-16722504.0,,,18399475.0,,,,24361609.0,,,-14301691.0,,-14301691.0,-14271046.0,,,,,,
2016-12-31,2017-03-01,10-K,INVESCO DB OIL FUND,DBO,CIK0001383058,USD,,,,,453548425.0,,,,,,,,,0.0,-32179166.0,,4894.0,,-1209378.0,,,,,,,,,0.0,26354.0,,3707.0,288397.0,0.6,559069813.0,,438601879.0,98360.0,49964955.0,-240714315.0,,,-240714315.0,,387.0,40.0,,,9823.0,,,3707.0,,,1425.0,1235732.0,28626.0,,1209378.0,28626.0,28626.0,14569.0,0.0078,0.64,3295092.0,0.6,-0.04,-0.0049,49964955.0,,,0.0662,,453552275.0,453544718.0,1.0017,,,105525095.0,,14942839.0,790771.0,453548425.0,452757267.0,46800000.0,,1974.0,-5039.0,,9.67,-5105621.0,-5105621.0,-27073545.0,-27073545.0,47793178.0,,3422078.0,-2171777.0,1000.0,,,14942839.0,1811383546.0,162797539.0,,,421190289.0,,157691418.0,,406247450.0,1746467134.0,3295092.0,,-240712341.0,-240712341.0,,,,,,,,,,452757654.0,42687057.0,,,157691418.0,,,,162797539.0,,,290682335.0,,290677296.0,290677296.0,,,,,,
2017-03-31,2017-05-08,10-Q,INVESCO DB OIL FUND,DBO,CIK0001383058,USD,,,,,409789439.0,,,0.0,,,,,,,,,6383.0,,-496988.0,,,,,,,,,0.0,20377.0,,6466.0,249154.0,-0.88,366552209.0,,364685555.0,47972.0,-40469252.0,91539190.0,,,91539190.0,,352.0,40.0,,,-39243.0,,,2759.0,,,1489.0,517365.0,46012.0,,496988.0,46012.0,,8478.0,0.0083,-0.87,776838.0,-0.88,-0.01,-0.0033,,,,-0.091,,393040156.0,392996781.0,0.9596,,,-26444572.0,,28311226.0,255537.0,409789439.0,409533550.0,46600000.0,,-2957.0,-37509.0,,8.79,,-11198033.0,,11198033.0,-40814231.0,,870822.0,-344979.0,1000.0,,,,279609788.0,12920017.0,,,117416161.0,,1722484.0,,104049465.0,353982634.0,776838.0,,91536233.0,,,7998180.0,,,,,,,,409533902.0,-43223752.0,,,10510496.0,,,,12920017.0,,,-131969667.0,,-131969667.0,-132005485.0,,,,,,
2017-06-30,2017-08-08,10-Q,INVESCO DB OIL FUND,DBO,CIK0001383058,USD,,,,,400997127.0,,,1848440.0,,,,,,,,,2736.0,,,,,,,,,,,0.0,40855.0,,14664.0,222098.0,-0.74,335304728.0,,336555796.0,12103.0,-31617594.0,-2801407.0,,,,,322.0,40.0,,,,,,,,,,688113.0,55631.0,-55631.0,647258.0,,,16178.0,0.008,-0.74,725814.0,-0.74,0.0,-0.0009,,,,-0.0842,,390606486.0,390648003.0,0.9747,,,-55343275.0,,54092207.0,224834.0,400997127.0,400771971.0,49800000.0,,-2376.0,75867.0,,8.05,,,,,-31706851.0,,793548.0,-89257.0,,,,,,,,,,,,,,,725814.0,,-2803783.0,,,8486020.0,,,,,,,,400772293.0,-8761609.0,,,57997228.0,,,,35051986.0,,,-28898703.0,,,-28813811.0,,,,,,
2017-09-30,2017-11-09,10-Q,INVESCO DB OIL FUND,DBO,CIK0001383058,USD,,,,,460567514.0,,,0.0,,,,,,,,,4678.0,,,,,,,,,,,0.0,49559.0,,15307.0,239721.0,,449906940.0,,445713758.0,14182.0,36319324.0,-8373168.0,,,,,353.0,40.0,,,,,,,,,,970545.0,2572.0,,920986.0,,,11898.0,0.0075,0.76,736351.0,0.77,0.01,0.0023,,,,0.0957,,460516623.0,460552207.0,1.0043,,,-10645267.0,,14838449.0,2008150.0,460567514.0,458559011.0,52000000.0,,417.0,-17808.0,,8.82,,,,,36548662.0,,753105.0,229338.0,,,,,,,,,,,,,,,,,-8372751.0,,,,,,,,,,,458559364.0,57787071.0,,,88690799.0,,,,67452390.0,,,44698008.0,,,44692075.0,,,,,,
2017-12-31,2018-02-28,10-K,INVESCO DB OIL FUND,DBO,CIK0001383058,USD,,,,,333046864.0,,,1008149.0,,,1008149.0,,,0.0,1008149.0,,4443.0,,-3009035.0,,,,,,,,,0.0,196746.0,15327.0,15327.0,209080.0,,374520962.0,,311472491.0,83769.0,16745356.0,76668337.0,,,,,408.0,40.0,,,-79317.0,,,11620.0,,,-451.0,3205781.0,104874.0,,3009035.0,104874.0,104874.0,46116.0,0.0079,0.54,2939104.0,0.54,0.0,0.0003,16745356.0,,,0.0558,,328926740.0,328884968.0,0.9881,,45635994.0,,,17412477.0,213523.0,333046864.0,332832933.0,32600000.0,,335.0,-29256.0,,10.21,-136794319.0,-136794319.0,137802468.0,137802468.0,16869506.0,,3127747.0,124150.0,,,,,1354621461.0,297905191.0,,,810359831.0,,161111372.0,,807885234.0,1484730963.0,,,76668672.0,76668672.0,,3138420.0,,,,,,,,332833341.0,-119924313.0,,,161111372.0,,,,297905191.0,,,-59889101.0,,-59923316.0,-59923316.0,,,,,,
2018-03-31,2018-05-08,10-Q,INVESCO DB OIL FUND,DBO,CIK0001383058,USD,,,,,344197051.0,,,0.0,,,,,,0.0,-1008149.0,,,,-1203475.0,,,,,,,,,0.0,64100.0,,24850.0,261360.0,,351515710.0,,313127550.0,61654.0,34030979.0,59660668.0,,,,,447.0,40.0,,,52280.0,,,9523.0,,,-25158.0,1267575.0,511.0,,1203475.0,511.0,511.0,10626.0,0.0081,0.94,683320.0,0.96,0.02,0.0058,34030979.0,,,0.094,,331549286.0,331502520.0,0.9639,,20013190.0,,,18374970.0,261360.0,344197051.0,343935244.0,30800000.0,,-1891.0,-24469.0,,11.17,-34627972.0,-34627972.0,33619823.0,33619823.0,34563695.0,,745485.0,532716.0,,,,,456145526.0,210970391.0,,,178449348.0,,176342419.0,,177506331.0,455667581.0,,,59658777.0,59658777.0,20715.0,1482339.0,,,,,,,,343935691.0,11102350.0,,,187509046.0,,,,210970391.0,,,-25622804.0,,-25627798.0,-25627798.0,,,,,,
2018-06-30,2018-08-08,10-Q,INVESCO DB OIL FUND,DBO,CIK0001383058,USD,,,,,392894604.0,,,0.0,,,,,,0.0,,,,,,,,,,,,,,0.0,92920.0,,37458.0,317325.0,,408591132.0,,372034219.0,138521.0,56119959.0,56725197.0,,,,,500.0,40.0,,,,,,,,,,1986234.0,326.0,-326.0,1893314.0,,,10893.0,0.0086,1.31,843913.0,1.33,0.02,0.009,56119959.0,,,0.1191,,389191629.0,389255983.0,1.0043,,19335149.0,,,17221764.0,5318210.0,392894604.0,387575894.0,31000000.0,,-38317.0,90695.0,,12.5,,,,,57134326.0,,982760.0,1014367.0,,,,,,,,,,,,,,,,,56686880.0,56686880.0,,3601163.0,,,,,,,,387576394.0,43640703.0,,,512343297.0,,,,525836920.0,,,-678041.0,,-566921.0,-566921.0,,,,,,
2018-09-30,2018-11-07,10-Q,INVESCO DB OIL FUND,DBO,CIK0001383058,USD,,,,,403905039.0,,,0.0,,,,,,0.0,,,4797.0,,,,,,,,,,,0.0,157539.0,,33321.0,231295.0,,438206709.0,,365335972.0,64787.0,24949786.0,1584147.0,,,,,538.0,40.0,,,,,,,,,,2102919.0,24955.0,,1945380.0,,,11127.0,0.0083,0.92,766587.0,0.96,0.04,0.0123,24949786.0,,,0.0768,,395434610.0,395375251.0,0.9795,,42831458.0,,,30039279.0,236092.0,403905039.0,403668409.0,30000000.0,,-6957.0,-92363.0,,13.46,,,,,26207503.0,,856329.0,1257717.0,,,,,,,,,,,,,,,,,1577190.0,1577190.0,,5805344.0,,,,,,,,403668947.0,16092553.0,,,175127599.0,,,,185242549.0,,,23496309.0,,23372596.0,23372596.0,,,,,,
2018-12-31,2019-02-28,10-K,INVESCO DB OIL FUND,DBO,CIK0001383058,USD,,,,,261940169.0,,,0.0,,,0.0,,-1008149.0,0.0,-1008149.0,,4627.0,,-6747385.0,,,,,,,,,,452577.0,46054.0,46054.0,173979.0,,153801730.0,,227905176.0,269338.0,,110729624.0,,,,,335.0,40.0,,,-35101.0,,,30727.0,,,184.0,7238660.0,51897.0,,6786083.0,,51897.0,43384.0,0.0082,-1.82,2940887.0,-1.7,0.12,0.0103,-42322521.0,-0.13,,-0.1652,,261202445.0,261207715.0,0.9986,,,,107405985.0,33302539.0,366766.0,261940169.0,261573068.0,31200000.0,,-57208.0,38967.0,,8.38,-32769179.0,,31761030.0,,-38302599.0,,3262122.0,4019922.0,,4112033.0,,,1532473051.0,958809751.0,,4112033.0,801594188.0,,929964445.0,,785712202.0,1622769509.0,,,110672416.0,110672416.0,,686400.0,,,,,,,,261573403.0,-71259938.0,,,929964445.0,,,,958809751.0,,,-153041979.0,,-152994937.0,-152994937.0,,,,,,
2019-03-31,2019-05-09,10-Q,INVESCO DB OIL FUND,DBO,CIK0001383058,USD,,,,,305069508.0,,,0.0,,,,,,0.0,,,4860.0,,-1680854.0,,,,,,,,,0.0,152942.0,,29673.0,196219.0,,321761213.0,,285502464.0,36175.0,,-60425980.0,,,,,420.0,40.0,,,22240.0,,,-16381.0,,,233.0,1847545.0,12501.0,,1694603.0,,12501.0,12464.0,0.008,2.09,573607.0,2.13,0.04,0.0162,66112481.0,,,0.2542,,302622860.0,302634588.0,1.0066,,19126625.0,,,17132124.0,4406158.0,305069508.0,300662930.0,28600000.0,,-607.0,4083.0,,10.51,-24243341.0,,24243341.0,,67350207.0,,622283.0,1237726.0,,,,,216901430.0,34846199.0,,,284463442.0,,10791018.0,,300636232.0,160988472.0,,,-60426587.0,-60426587.0,,2405247.0,,,,,,,,300663350.0,39089947.0,,,10791018.0,,,,39051278.0,,,126532610.0,,126539068.0,126539068.0,,,,,,
2019-06-30,2019-08-08,10-Q,INVESCO DB OIL FUND,DBO,CIK0001383058,USD,,,,,290353833.0,,,99980.0,,,,,,0.0,,,4925.0,,,,,,,,,,,0.0,120563.0,,29518.0,160886.0,,297258515.0,,258418472.0,1281.0,,1068450.0,,,,,405.0,40.0,,,,,,,,,,1741142.0,14825.0,,1620579.0,,,8001.0,0.0076,-0.42,543232.0,-0.38,0.04,0.0164,-10904837.0,,,-0.0362,,290101314.0,290224335.0,1.0163,,7034180.0,,,31805863.0,4764891.0,290353833.0,285588537.0,28200000.0,,7865.0,106305.0,,10.13,,,,,-9715032.0,,559338.0,1189805.0,,,,,,,,,,,,,,,,,1076315.0,1076315.0,,,,,,,,,,285588942.0,-15074408.0,,,9651469.0,,,,15010845.0,,,-12092445.0,,-11981152.0,-11981152.0,,,,,,
2019-09-30,2019-11-08,10-Q,INVESCO DB OIL FUND,DBO,CIK0001383058,USD,,,,,258073448.0,,,0.0,,,0.0,,,0.0,,,4886.0,,,,,,,,,,,0.0,119083.0,,27384.0,164814.0,,245181861.0,,240550086.0,1382.0,,-97872.0,,,,,376.0,40.0,,,,,,,,,,1533732.0,10699.0,,1414649.0,,,9874.0,0.0075,-0.76,518881.0,-0.72,0.04,0.0146,-20049130.0,,,-0.0711,,257985276.0,258046064.0,1.0306,,,,12864203.0,17495978.0,7693580.0,258073448.0,250379492.0,26600000.0,,9358.0,-61283.0,,9.41,,,,,-19036486.0,,530962.0,1012644.0,,,,,,,,,,,,,,,,,-88514.0,-88514.0,,,,,,,,,,250379868.0,-35209074.0,,,5648504.0,,,,21821092.0,,,-19898383.0,,-19960616.0,-19960616.0,,,,,,
2019-12-31,2020-02-28,10-K,INVESCO DB OIL FUND,DBO,CIK0001383058,USD,,,,,248175511.0,,,0.0,,,0.0,0.0,0.0,0.0,,,4654.0,,-5710417.0,,,,,,,,,,518251.0,60506.0,,151360.0,,270277331.0,,158483074.0,42469.0,,-58363650.0,,,,,427.0,40.0,,,-22619.0,,,14452.0,,,27.0,6267415.0,46723.0,,5749164.0,,46723.0,42997.0,0.0077,2.31,2125411.0,2.46,0.15,0.0145,71297615.0,-0.17,-0.17,0.2942,,248051196.0,248115005.0,1.0114,,22162326.0,,22162326.0,89631931.0,2860134.0,248175511.0,245314950.0,23000000.0,,33697.0,53789.0,,10.67,-91839610.0,,91839610.0,,75393424.0,,2214603.0,4095809.0,,4112033.0,,,907676359.0,130568346.0,,4031703.0,,,42948599.0,,,982896364.0,,,-58329235.0,-58329235.0,,,,,,,,,,245315377.0,-16258026.0,,,42948599.0,,,,130568346.0,,,129568311.0,,129626850.0,129626850.0,,,,,-58329235.0,129626850.0
2020-03-31,2020-05-08,10-Q,INVESCO DB OIL FUND,DBO,CIK0001383058,USD,,15935634.0,,,294539384.0,,,0.0,,,0.0,,0.0,0.0,,,2568.0,,-567569.0,,,,,,,,,0.0,330022.0,98378.0,,133351.0,,196047652.0,,189981630.0,46451.0,,-22459711.0,,,,,245.0,40.0,,,-18009.0,,,37872.0,,,-2086.0,900897.0,8092.0,,570875.0,,8092.0,44721.0,0.0077,-4.56,444975.0,-4.54,0.02,0.0075,-126568225.0,,,-0.4255,,277930031.0,277947242.0,0.9441,,,,81899590.0,87965612.0,136419.0,294539384.0,294402720.0,48000000.0,,,-77473.0,,6.13,159274579.0,,-159274579.0,,-126122125.0,,499518.0,446100.0,,,,,80008460.0,5382958.0,,,,,164657037.0,,,49000000.0,,,-22459711.0,-22459711.0,,558130.0,,,,,,,,294402965.0,49087588.0,,,180592671.0,,,,5382958.0,,,-104061916.0,,-104108514.0,-104108514.0,,,,,,
2020-06-30,2020-08-07,10-Q,INVESCO DB OIL FUND,DBO,CIK0001383058,USD,,,,,488006885.0,,,12880660.0,,,12880660.0,,,0.0,,,4804.0,,,,,,,,,,,0.0,136814.0,18072.0,,272280.0,,510213718.0,,229963934.0,39711.0,,-33409670.0,,,,,279.0,40.0,,,,,,,,,,157895.0,7638.0,,21081.0,,,100643.0,0.007,0.85,788125.0,0.84,-0.01,-0.0055,83532239.0,,,0.137,,475154188.0,475108153.0,0.9875,,35105565.0,,,245144219.0,6897984.0,488006885.0,481108622.0,69000000.0,,,14229.0,,6.97,,,,,82955303.0,,835474.0,-576936.0,,,,,,,,,,,,,,,,,-33409670.0,-33409670.0,,,,,,,,,,481108901.0,186705936.0,,,205669341.0,,,,101918708.0,,,117005155.0,,116941909.0,116941909.0,,,,,,
2020-09-30,2020-11-06,10-Q,INVESCO DB OIL FUND,DBO,CIK0001383058,USD,,,,,430755521.0,,,,,,0.0,,,0.0,,,4981.0,,,,,,,,,,,0.0,42896.0,1748.0,,239927.0,,492650781.0,,199976725.0,5952.0,,-16845607.0,,,,,289.0,40.0,,,,,,,,,,104950.0,2737.0,,62054.0,,,94913.0,0.0068,0.27,867770.0,0.25,-0.02,-0.0058,19276740.0,,,0.0359,,421469882.0,421409478.0,0.9922,,,,,221432753.0,6023575.0,430755521.0,424731657.0,58800000.0,,978.0,12056.0,,7.22,,,,,18600144.0,,876459.0,-676596.0,,,,,,,,,,,,,,,,,-16844629.0,-16844629.0,,9344295.0,,,,,,,,424731946.0,-56376955.0,,,5830203.0,,,,80807302.0,,,36135738.0,,36121369.0,36121369.0,,,,,,
