end,filed,form,Name,Ticker,CIK,Currency,AccountsPayableAndAccruedLiabilities,AccountsPayableAndAccruedLiabilitiesCurrent,AccountsPayableAndOtherAccruedLiabilities,AccountsPayableRelatedPartiesCurrent,AccumulatedAmortizationOfOtherDeferredCosts,AccumulatedDepreciationDepletionAndAmortizationPropertyPlantAndEquipment,AcquisitionCosts,AdditionalPaidInCapital,AdjustmentsToAdditionalPaidInCapitalStockIssuedOwnshareLendingArrangementIssuanceCosts,AdvanceRoyalties,AmortizationOfDebtDiscountPremium,AmortizationOfIntangibleAssets,AntidilutiveSecuritiesExcludedFromComputationOfEarningsPerShareAmount,AssetImpairmentCharges,Assets,AssetsCurrent,BusinessCombinationConsiderationTransferred1,BusinessCombinationStepAcquisitionEquityInterestInAcquireeFairValue1,CapitalUnitsAuthorized,Cash,CashAndCashEquivalentsAtCarryingValue,CashAndCashEquivalentsPeriodIncreaseDecrease,CashFDICInsuredAmount,ClassOfWarrantOrRightOutstanding,ClosedBlockOperationsResultsBeforeIncomeTaxes,CommonStockParOrStatedValuePerShare,CommonStockSharesAuthorized,CommonStockSharesIssued,CommonStockSharesOutstanding,CommonStockValue,ContractWithCustomerLiabilityCurrent,ConversionOfStockAmountIssued1,ConvertibleDebt,ConvertibleDebtCurrent,DebtInstrumentConvertibleConversionPrice1,DebtInstrumentDecreaseForgiveness,DebtInstrumentInterestRateEffectivePercentage,DebtInstrumentUnamortizedDiscount,DebtInstrumentUnamortizedDiscountCurrent,DeferredFederalIncomeTaxExpenseBenefit,DeferredTaxAssetsOperatingLossCarryforwards,DeferredTaxAssetsOperatingLossCarryforwardsDomestic,DeferredTaxAssetsTaxDeferredExpenseReservesAndAccrualsImpairmentLosses,DeferredTaxAssetsValuationAllowance,DepositsAssetsCurrent,Depreciation,DepreciationAndAmortization,DevelopmentStageEnterpriseDeficitAccumulatedDuringDevelopmentStage,DueFromRelatedPartiesCurrent,EarningsPerShareBasicAndDiluted,ExplorationExpense,FiniteLivedIntangibleAssetsAccumulatedAmortization,FiniteLivedIntangibleAssetsAmortizationExpenseNextRollingTwelveMonths,FiniteLivedIntangibleAssetsAmortizationExpenseRollingAfterYearFive,FiniteLivedIntangibleAssetsAmortizationExpenseRollingYearFive,FiniteLivedIntangibleAssetsAmortizationExpenseRollingYearFour,FiniteLivedIntangibleAssetsAmortizationExpenseRollingYearThree,FiniteLivedIntangibleAssetsAmortizationExpenseRollingYearTwo,FiniteLivedIntangibleAssetsGross,FiniteLivedIntangibleAssetsNet,GainsLossesOnExtinguishmentOfDebt,GeneralAndAdministrativeExpense,ImpairmentOfIntangibleAssetsExcludingGoodwill,ImpairmentOfInvestments,IncomeLossFromContinuingOperations,IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,IncomeLossFromContinuingOperationsPerBasicAndDilutedShare,IncomeLossFromDiscontinuedOperationsNetOfTax,IncomeLossFromOperationsBeforeExtraordinaryItemsPerBasicAndDilutedShare,IncreaseDecreaseInAccountsPayable,IncreaseDecreaseInAccountsPayableAndAccruedLiabilities,IncreaseDecreaseInAccountsPayableRelatedParties,IncreaseDecreaseInDeferredRevenue,IncreaseDecreaseInDepositOtherAssets,IncreaseDecreaseInDeposits,IncreaseDecreaseInDueFromRelatedParties,IncreaseDecreaseInDueToRelatedParties,IncreaseDecreaseInNotesReceivableCurrent,IncreaseDecreaseInOperatingLiabilities,IncreaseDecreaseInOtherNoncurrentAssets,IncreaseDecreaseInOtherOperatingAssets,IncreaseDecreaseInPrepaidExpense,InterestAndOtherIncome,InterestExpense,InterestIncomeExpenseNet,InterestIncomeOperating,InterestIncomeOther,InterestPaid,Investments,IssuanceOfStockAndWarrantsForServicesOrClaims,Liabilities,LiabilitiesAndStockholdersEquity,LiabilitiesCurrent,LongTermDebt,LongTermDebtCurrent,MineralPropertiesAccumulatedImpairment,MineralRights,NetCashProvidedByUsedInFinancingActivities,NetCashProvidedByUsedInInvestingActivities,NetCashProvidedByUsedInOperatingActivities,NetIncomeLoss,NetIncomeLossAllocatedToGeneralPartners,NotesPayable,OperatingExpenses,OperatingIncomeLoss,OtherAssets,OtherExpenses,OtherIncome,OtherLiabilities,OtherNoncashIncomeExpense,OtherNotesPayable,OtherOperatingIncomeExpenseNet,OwnshareLendingArrangementSharesIssued,PaymentsOfStockIssuanceCosts,PaymentsToAcquirePropertyPlantAndEquipment,PreferredStockLiquidationPreference,PreferredStockParOrStatedValuePerShare,PreferredStockSharesAuthorized,PreferredStockSharesIssued,PreferredStockSharesOutstanding,PreferredStockValue,PrepaidExpense,PresentValueOfFutureInsuranceProfitsAmortizationExpenseYearFive,PresentValueOfFutureInsuranceProfitsAmortizationExpenseYearFour,PresentValueOfFutureInsuranceProfitsAmortizationExpenseYearOne,PresentValueOfFutureInsuranceProfitsAmortizationExpenseYearThree,PresentValueOfFutureInsuranceProfitsAmortizationExpenseYearTwo,ProceedsFromConvertibleDebt,ProceedsFromIssuanceOfPrivatePlacement,ProceedsFromNotesPayable,ProceedsFromRelatedPartyDebt,ProfessionalFees,ProfitLoss,PropertyPlantAndEquipmentGross,PropertyPlantAndEquipmentNet,RelatedPartyDepositLiabilities,RelatedPartyTransactionExpensesFromTransactionsWithRelatedParty,RetainedEarningsAccumulatedDeficit,Revenues,RoyaltyExpense,ShareBasedCompensation,StockholdersEquity,StockIssued1,StockIssuedDuringPeriodSharesAcquisitions,StockIssuedDuringPeriodSharesNewIssues,StockIssuedDuringPeriodSharesOther,StockIssuedDuringPeriodValueAcquisitions,StockIssuedDuringPeriodValueConversionOfConvertibleSecurities,StockIssuedDuringPeriodValueIssuedForCash,StockIssuedDuringPeriodValueIssuedForServices,StockIssuedDuringPeriodValueNewIssues,StockIssuedDuringPeriodValueOther,TemporaryEquityRedemptionValue,TemporaryEquitySharesAuthorized,UnrecognizedTaxBenefitsThatWouldImpactEffectiveTaxRate,ValuationAllowanceDeferredTaxAssetChangeInAmount,WeightedAverageNumberOfShareOutstandingBasicAndDiluted,WeightedAverageNumberOfSharesIssuedBasic,WeightedAverageNumberOfSharesOutstandingBasic,WeightedAverageNumberOfSharesOutstandingBasicAndDiluted
2015-09-30,2019-08-28,10-Q,"XTREME FIGHTING CHAMPIONSHIPS, INC.",XFCI,CIK0001379043,USD,,,9025.0,1250.0,,,,519820.0,,,,,,,0.0,,,,,,0.0,,,,,0.001,76000000.0,12180000.0,12180000.0,12180.0,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1283.0,,,,,,,117275.0,0.0,117275.0,,,,,,,,-1283.0,,,,,,,,,-1283.0,,,,,,,,,,,,,,,,,,,,,,,,,,107000.0,,-649275.0,,,,-117275.0,,,,,,,,,,,,,,,12180000.0,,,
2015-12-31,2019-08-28,10-K,"XTREME FIGHTING CHAMPIONSHIPS, INC.",XFCI,CIK0001379043,USD,,,10308.0,1250.0,,,,519820.0,,,,,,,0.0,,,,,,0.0,0.0,,,,0.001,76000000.0,12180000.0,12180000.0,12180.0,,,,,,,,,,-2100.0,501000.0,175350.0,52500.0,227850.0,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,5090.0,,,,,,,,,,,,,5090.0,,,,,,,118558.0,0.0,118558.0,,,,,,,,-5090.0,,,,,,,,,-5090.0,,,,,,,,,,,,,,,,,,,,,,,,,,107000.0,,-650558.0,,5000.0,,-118558.0,,,,,,,,,,,,,,-2100.0,12180000.0,,,
2016-03-31,2019-08-28,10-Q,"XTREME FIGHTING CHAMPIONSHIPS, INC.",XFCI,CIK0001379043,USD,,,12375.0,1250.0,,,,519820.0,,,,,,,0.0,,,,,,0.0,,,,,0.001,76000000.0,12180000.0,12180000.0,12180.0,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,2067.0,,,,,,,,,,,,,2067.0,,,,,,,120625.0,0.0,120625.0,,,,,,,,-2067.0,,,,,,,,,-2067.0,,,,,,,,,,,,,,,,,,,,,,,,,,107000.0,,-652625.0,,,,-120625.0,,,,,,,,,,,,,,,12180000.0,,,
2016-06-30,2019-08-28,10-Q,"XTREME FIGHTING CHAMPIONSHIPS, INC.",XFCI,CIK0001379043,USD,,,14644.0,1250.0,,,,519820.0,,,,,,,0.0,,,,,,0.0,,,,,0.001,76000000.0,12180000.0,12180000.0,12180.0,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2269.0,,,,,,,122894.0,0.0,122894.0,,,,,,,,-2269.0,,,,,,,,,-2269.0,,,,,,,,,,,,,,,,,,,,,,,,,,107000.0,,-654894.0,,,,-122894.0,,,,,,,,,,,,,,,12180000.0,,,
2016-09-30,2019-08-28,10-Q,"XTREME FIGHTING CHAMPIONSHIPS, INC.",XFCI,CIK0001379043,USD,,,16938.0,1250.0,,,,519820.0,,,,,,,0.0,,,,,,0.0,,,,,0.001,76000000.0,12180000.0,12180000.0,12180.0,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2294.0,,,,,,,125188.0,0.0,125188.0,,,,,,,,-2294.0,,,,,,,,,-2294.0,,,,,,,,,,,,,,,,,,,,,,,,,,107000.0,,-657188.0,,,,-125188.0,,,,,,,,,,,,,,,12180000.0,,,
2016-12-31,2019-08-28,10-K,"XTREME FIGHTING CHAMPIONSHIPS, INC.",XFCI,CIK0001379043,USD,,,19232.0,1250.0,,,,519820.0,,,,,,,0.0,,,,,,0.0,,,,,0.001,76000000.0,12180000.0,12180000.0,12180.0,,,,,,,,,,-2800.0,509000.0,178150.0,52500.0,230650.0,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,8924.0,,,,,,,,,,,,,8924.0,,,,,,,127482.0,0.0,127482.0,,,,,,,,-8924.0,,,,,,,,,-8924.0,,,,,,,,,,,,,,,,,,,,,,,,,,107000.0,,-659482.0,,5000.0,,-127482.0,,,,,,,,,,,,,,-2800.0,12180000.0,,,
2017-03-31,2019-08-28,10-Q,"XTREME FIGHTING CHAMPIONSHIPS, INC.",XFCI,CIK0001379043,USD,,,21476.0,1250.0,,,,519820.0,,,,,,,0.0,,,,,,0.0,,,,,0.001,76000000.0,12180000.0,12180000.0,12180.0,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,2244.0,,,,,,,,,,,,,2244.0,,,,,,,129726.0,0.0,129726.0,,,,,,,,-2244.0,,,,,,,,,-2244.0,,,,,,,,,,,,,,,,,,,,,,,,,,107000.0,,-661726.0,,,,-129726.0,,,,,,,,,,,,,,,12180000.0,,,
2017-06-30,2019-08-28,10-Q,"XTREME FIGHTING CHAMPIONSHIPS, INC.",XFCI,CIK0001379043,USD,,,23745.0,1250.0,,,,519820.0,,,,,,,0.0,,,,,,0.0,,,,,0.001,76000000.0,12180000.0,12180000.0,12180.0,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2269.0,,,,,,,131995.0,0.0,131995.0,,,,,,,,-2269.0,,,,,,,,,-2269.0,,,,,,,,,,,,,,,,,,,,,,,,,,107000.0,,-663995.0,,,,-131995.0,,,,,,,,,,,,,,,12180000.0,,,
2017-09-30,2019-08-28,10-Q,"XTREME FIGHTING CHAMPIONSHIPS, INC.",XFCI,CIK0001379043,USD,,,26039.0,1250.0,,,,519820.0,,,,,,,0.0,,,,,,0.0,,,,,0.001,76000000.0,12180000.0,12180000.0,12180.0,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2294.0,,,,,,,134289.0,0.0,134289.0,,,,,,,,-2294.0,,,,,,,,,-2294.0,,,,,,,,,,,,,,,,,,,,,,,,,,107000.0,,-666289.0,,,,-134289.0,,,,,,,,,,,,,,,12180000.0,,,
2017-12-31,2019-08-29,10-K,"XTREME FIGHTING CHAMPIONSHIPS, INC.",XFCI,CIK0001379043,USD,,,28333.0,1250.0,,,,519820.0,,,,,,,0.0,,,,,,0.0,,,,,0.001,76000000.0,12180000.0,12180000.0,12180.0,,,,,,,,,,-3500.0,519000.0,108990.0,52500.0,234150.0,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,9101.0,,,,,,,,,,,,,9101.0,,,,,,,136583.0,0.0,136583.0,,,,,,,,-9101.0,,,,,,,,,-9101.0,,,,,,,,,,,,,,,,,,,,,,,,,,107000.0,,-668583.0,,10000.0,,-136583.0,,,,,,,,,,,,,-72660.0,-3500.0,12180000.0,,,
2018-03-31,2019-08-29,10-Q,"XTREME FIGHTING CHAMPIONSHIPS, INC.",XFCI,CIK0001379043,USD,,,30577.0,1250.0,,,,519820.0,,,,,,,0.0,,,,,,0.0,,,,,0.001,76000000.0,12180000.0,12180000.0,12180.0,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,2244.0,,,,,,,,,,,,,2244.0,,,,,,,138827.0,0.0,138827.0,,,,,,,,-2244.0,,,,,,,,,-2244.0,,,,,,,,,,,,,,,,,,,,,,,,,,107000.0,,-670827.0,,,,-138827.0,,,,,,,,,,,,,,,12180000.0,,,
2018-06-30,2019-08-29,10-Q,"XTREME FIGHTING CHAMPIONSHIPS, INC.",XFCI,CIK0001379043,USD,,,32846.0,1250.0,,,,519820.0,,,,,,,0.0,,,,,,0.0,,,,,0.001,76000000.0,12180000.0,12180000.0,12180.0,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2269.0,,,,,,,141096.0,0.0,141096.0,,,,,,,,-2269.0,,,,,,,,,-2269.0,,,,,,,,,,,,,,,,,,,,,,,,,,107000.0,,-673096.0,,,,-141096.0,,,,,,,,,,,,,,,12180000.0,,,
2018-09-30,2019-08-29,10-Q,"XTREME FIGHTING CHAMPIONSHIPS, INC.",XFCI,CIK0001379043,USD,,,35140.0,1250.0,,,,519820.0,,,,,,,0.0,,,,,,0.0,,,,,0.001,76000000.0,12180000.0,12180000.0,12180.0,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2294.0,,,,,,,143390.0,0.0,143390.0,,,,,,,,-2294.0,,,,,,,,,-2294.0,,,,,,,,,,,,,,,,,,,,,,,,,,107000.0,,-675390.0,,,,-143390.0,,,,,,,,,,,,,,,12180000.0,,,
2018-12-31,2019-08-29,10-K,"XTREME FIGHTING CHAMPIONSHIPS, INC.",XFCI,CIK0001379043,USD,,,37434.0,1250.0,,,,519820.0,,,,,,,0.0,,,,,,0.0,-9101.0,,,,0.001,76000000.0,12180000.0,12180000.0,12180.0,,,,,,,,,,-1890.0,528000.0,110880.0,31500.0,142380.0,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,9101.0,,,,,,,,,,,,,9101.0,,,,,,,145684.0,0.0,145684.0,,,,,,,-9101.0,-9101.0,,,,,,,,,-9101.0,,,,,,,,,,,,,,,,,,,,,,,,,,107000.0,,-677684.0,,50000.0,,-145684.0,,,,,,,,,,,,,,-1890.0,12180000.0,,,
2019-03-31,2019-08-29,10-Q,"XTREME FIGHTING CHAMPIONSHIPS, INC.",XFCI,CIK0001379043,USD,,,39678.0,1250.0,,,,519820.0,,,,,,,0.0,,,,,,0.0,,,,,0.001,76000000.0,12180000.0,12180000.0,12180.0,,,,,,,,,,-471.0,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,2244.0,,,,,,,,,,,,,2244.0,,,,,,,147928.0,0.0,147928.0,,,,,,,,-2244.0,,,,,,,,,-2244.0,,,,,,,,,,,,,,,,,,,,,,,,,,107000.0,,-679928.0,,,,-147928.0,,,,,,,,,,,,,,-471.0,12180000.0,,,
2019-06-30,2019-08-29,10-Q,"XTREME FIGHTING CHAMPIONSHIPS, INC.",XFCI,CIK0001379043,USD,,,12000.0,,,,,519820.0,,,,,,,0.0,,,,,,0.0,,,,,0.001,76000000.0,12180000.0,12180000.0,12180.0,,,,,,,,,,,,,,,,,,,,0.01,,,,,,,,,,,150197.0,12000.0,,,,,,,,,,,,,,,,,,,,,,2269.0,,,,,,,12000.0,0.0,12000.0,,,,,,,,135928.0,,,12000.0,-12000.0,,,,,147928.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,-544000.0,,,,-12000.0,,,,,,,,,,,,,,,12180000.0,,,
2019-09-30,2019-11-21,10-Q,"XTREME FIGHTING CHAMPIONSHIPS, INC.",XFCI,CIK0001379043,USD,,,19672.0,3001.0,,,,491603.0,,,,,,,0.0,,,,,,0.0,,,,,0.001,76000000.0,52180000.0,52180000.0,52180.0,,,,,,,,,,,,,,,,0.0,,,,0.0,,,,,,,,,,21414169.0,,22456.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22673.0,0.0,22673.0,,,,,,,,-22456.0,,,22456.0,-22456.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-566456.0,,,,-34456.0,,,,40000000.0,,11783.0,,,,,,,,,12180000.0,,,
2019-12-31,2020-04-17,10-K,"XTREME FIGHTING CHAMPIONSHIPS, INC.",XFCI,CIK0001379043,USD,,,20226.0,16870.0,,,,20891603.0,,,,,,,0.0,0.0,,,,,0.0,,,,,0.001,500000000.0,202180000.0,202180000.0,202180.0,,,31345.0,,,,,178655.0,,90510.0,431000.0,90510.0,31500.0,122010.0,,,,,,-0.8,,,,,,,,,,,150197.0,20598879.0,,,,,,,,,37772.0,15620.0,,,,,,,,,,,,4513.0,,,,,,20550000.0,37096.0,0.0,37096.0,,,,,15620.0,,-15620.0,-20453195.0,,,20598879.0,-20598879.0,0.0,,,,145684.0,,,,,,,0.001,0.0,0.0,0.0,,,,,,,,,,,15620.0,,,,,,,-21130879.0,,100000.0,20550000.0,-37096.0,,,,,,11783.0,,20550000.0,,11783.0,,,,,25659452.0,,,
2020-03-31,2020-05-21,10-Q,"XTREME FIGHTING CHAMPIONSHIPS, INC.",XFCI,CIK0001379043,USD,,,20226.0,17070.0,,,,20891603.0,,,,,,,0.0,,,,,,0.0,,,,,0.001,500000000.0,202180000.0,202180000.0,202180.0,,,,,,,,,,-42.0,431000.0,90510.0,31500.0,122010.0,,,,,,0.0,,,,,,,,,,,,200.0,,,,,,,,,,200.0,,,,,,,,,,,,,,,,,,,37296.0,0.0,37296.0,,,,,,,,-200.0,,,200.0,-200.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-21131079.0,,,,-37296.0,,,,,,,,,,,,,,-42.0,202180000.0,,,
2020-06-30,2020-08-26,10-Q,"XTREME FIGHTING CHAMPIONSHIPS, INC.",XFCI,CIK0001379043,USD,,,20726.0,17070.0,,,,48895173.0,,,,,,,22598606.0,26914.0,,,,,26914.0,,,,,0.001,500000000.0,52219413.0,52219413.0,52219.0,46355.0,,,,,,,,,,1416000.0,297327.0,31500.0,328827.0,,,578761.0,,,-0.03,,578761.0,,,,,,,23150453.0,22571692.0,,4723098.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,84151.0,22598606.0,84151.0,,,,,,,,-5301859.0,,,5301859.0,-5301859.0,22571692.0,,,,,,,,,,0.125,0.001,2.0,2.0,2.0,1.0,,4051328.0,4630091.0,4630091.0,4630091.0,4630091.0,,,,,,,,,,,-26432938.0,,,,22514455.0,,,,,23150453.0,,,4703157.0,,,,,,,182953184.0,,,
2020-09-30,2020-12-09,10-Q,"XTREME FIGHTING CHAMPIONSHIPS, INC.",XFCI,CIK0001379043,USD,,,21026.0,17070.0,,,,50638533.0,,,,,,,21558045.0,129876.0,,,,,79876.0,,250000.0,,,0.001,500000000.0,73859453.0,73859453.0,73859.0,46355.0,,210000.0,210000.0,0.3,,0.1,10000.0,,,,,,,50000.0,0.0,1157523.0,,,-0.05,,1736284.0,,,,,,,23150453.0,21414169.0,,42262.0,,,,,,,,,,,,,,,,,,,,,,1500000.0,,,,,,,344416.0,21558045.0,344416.0,,,,,,,,-3065826.0,,,1565826.0,-1565826.0,,,,49965.0,-1500000.0,,,,,,0.125,0.001,2.0,2.0,2.0,1.0,,,,,,,,,,,366041.0,,14000.0,14000.0,,,-29498764.0,,,,21213629.0,,,,,,,,,1765000.0,,,,,,64248570.0,,,
2020-12-31,2021-09-20,10-K,"XTREME FIGHTING CHAMPIONSHIPS, INC.",XFCI,CIK0001379043,USD,,,37330.0,17070.0,45439.0,1554.0,,46715387.0,136500.0,,86618.0,4630091.0,80552572.0,,12344104.0,78049.0,,,,,13049.0,13049.0,250000.0,,,0.001,500000000.0,99815716.0,99815716.0,99816.0,123900.0,170000.0,210000.0,579118.0,0.3,100000.0,0.1,10000.0,76735.0,,2200000.0,454152.0,,454152.0,,1554.0,1159977.0,,65000.0,-0.1,,1058222.0,1644676.0,2230730.0,1644676.0,1644676.0,1644676.0,1644676.0,13312032.0,12253610.0,,13282936.0,,,,,,,,,35290.0,,123900.0,,,65000.0,,,,,,,,44011.0,,,,,,,775405.0,12344104.0,775405.0,,,,,806818.0,-78999.0,-714770.0,-14115626.0,,,14442913.0,-14071615.0,,,,17987.0,-44011.0,,,150000.0,,13999.0,0.125,0.001,10000000.0,2.0,2.0,1.0,,,,,,,,156818.0,650000.0,,,,13999.0,12445.0,,16870.0,-35246505.0,371298.0,,11995071.0,11568699.0,13312032.0,,,,13312032.0,,,11995071.0,156818.0,,,,,,144362795.0,,,
