end,filed,form,Name,Ticker,CIK,Currency,AccountsPayable,AccountsPayableAndAccruedLiabilitiesNoncurrent,AccountsPayableCurrent,AccountsPayableRelatedPartiesCurrent,AccountsPayableRelatedPartiesCurrentAndNoncurrent,AccruedLiabilitiesAndOtherLiabilities,AccruedLiabilitiesCurrent,AccruedLiabilitiesCurrentAndNoncurrent,AdditionalPaidInCapital,AdministrativeFeesExpense,Assets,AssetsCurrent,CashAndCashEquivalentsAtCarryingValue,CashAndCashEquivalentsPeriodIncreaseDecrease,CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalentsPeriodIncreaseDecreaseExcludingExchangeRateEffect,CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalentsPeriodIncreaseDecreaseIncludingExchangeRateEffect,CashFDICInsuredAmount,CashPeriodIncreaseDecrease,CommonStockParOrStatedValuePerShare,CommonStockSharesAuthorized,CommonStockSharesIssued,CommonStockSharesOutstanding,CommonStockValue,CurrentFederalTaxExpenseBenefit,DebtConversionConvertedInstrumentAmount1,DebtConversionConvertedInstrumentRate,DebtInstrumentFaceAmount,DebtInstrumentInterestRateDuringPeriod,DebtInstrumentInterestRateEffectivePercentage,DebtInstrumentInterestRateStatedPercentage,DebtWeightedAverageInterestRate,DeferredDiscountsFinanceChargesAndInterestIncludedInReceivables,DeferredTaxAssetsLiabilitiesNet,DeferredTaxAssetsNet,DeferredTaxAssetsOperatingLossCarryforwards,DeferredTaxAssetsOperatingLossCarryforwardsSubjectToExpiration,DeferredTaxAssetsValuationAllowance,DevelopmentStageEnterpriseDeficitAccumulatedDuringDevelopmentStage,DueToOtherRelatedPartiesClassifiedCurrent,EarningsPerShareBasicAndDiluted,EffectiveIncomeTaxRateReconciliationAtFederalStatutoryIncomeTaxRate,GeneralAndAdministrativeExpense,IncomeLossFromContinuingOperations,IncomeLossFromContinuingOperationsBeforeIncomeTaxesDomestic,IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,IncomeLossFromContinuingOperationsPerBasicShare,IncomeLossFromDiscontinuedOperationsNetOfTax,IncomeTaxExpenseBenefit,IncomeTaxesPaid,IncomeTaxReconciliationChangeInDeferredTaxAssetsValuationAllowance,IncomeTaxReconciliationChangeInEnactedTaxRate,IncreaseDecreaseDueFromOfficersAndStockholders,IncreaseDecreaseInAccountsPayable,IncreaseDecreaseInAccountsPayableRelatedParties,IncreaseDecreaseInAccruedInterestReceivableNet,IncreaseDecreaseInAccruedLiabilities,IncreaseDecreaseInDueToOtherRelatedParties,IncreaseDecreaseInDueToOtherRelatedPartiesCurrent,IncreaseDecreaseInDueToRelatedParties,IncreaseDecreaseInInterestPayableNet,IncreaseDecreaseInNotesPayableCurrent,IncreaseDecreaseInNotesReceivableCurrent,IncreaseDecreaseInOtherAccountsPayable,IncreaseDecreaseInOtherLoans,InterestAndDebtExpense,InterestCostsCapitalizedAdjustment,InterestExpense,InterestExpenseDebt,InterestExpenseOther,InterestExpenseRelatedParty,InterestPaid,InterestPaidNet,InterestPayable,InterestPayableCurrent,InterestPayableCurrentAndNoncurrent,InterestReceivable,Liabilities,LiabilitiesAndStockholdersEquity,LiabilitiesCurrent,LiabilitiesNoncurrent,LoansPayable,LongTermDebtAndCapitalLeaseObligations,NetCashProvidedByUsedInFinancingActivities,NetCashProvidedByUsedInInvestingActivities,NetCashProvidedByUsedInOperatingActivities,NetIncomeLoss,NotesAndLoansPayable,NotesAndLoansPayableCurrent,NotesPayable,NotesPayableCurrent,NotesPayableRelatedPartiesClassifiedCurrent,NotesPayableRelatedPartiesCurrentAndNoncurrent,NotesPayableRelatedPartiesNoncurrent,OperatingExpenses,OperatingIncomeLoss,OperatingLossCarryforwards,OperatingLossCarryforwardsValuationAllowance,OtherAccountsPayableAndAccruedLiabilities,OtherBorrowings,OtherComprehensiveIncomeLossForeignCurrencyTransactionAndTranslationAdjustmentNetOfTax,OtherComprehensiveIncomeLossForeignCurrencyTranslationAdjustmentTax,OtherExpenses,OtherGeneralAndAdministrativeExpense,OtherNonoperatingIncomeExpense,OtherOperatingIncomeExpenseNet,PreferredStockAdditionalSeriesValue,PreferredStockParOrStatedValuePerShare,PreferredStockSharesAuthorized,PreferredStockSharesIssued,PreferredStockSharesOutstanding,PreferredStockValue,ProceedsFromConstructionLoansPayable,ProceedsFromContributedCapital,ProceedsFromConvertibleDebt,ProceedsFromIssuanceOfCommonStock,ProceedsFromLoans,ProceedsFromNotesPayable,ProceedsFromRelatedPartyDebt,ProfessionalFees,ProfitLoss,RetainedEarningsAccumulatedDeficit,Revenues,SaleOfStockPricePerShare,ShareBasedCompensation,ShareBasedGoodsAndNonemployeeServicesTransactionQuantityOfSecuritiesIssued,ShareBasedGoodsAndNonemployeeServicesTransactionStockholdersEquity,StockholdersEquity,StockIssuedDuringPeriodSharesIssuedForServices,StockIssuedDuringPeriodValueIssuedForCash,StockIssuedDuringPeriodValueIssuedForServices,StockIssuedDuringPeriodValueOther,ValuationAllowanceDeferredTaxAssetChangeInAmount,ValuationAllowancesAndReservesAdjustments,WeightedAverageNumberOfShareOutstandingBasicAndDiluted,WeightedAverageNumberOfSharesOutstandingBasic,CapitalizedComputerSoftwareAmortization1,EquityMethodInvestmentOwnershipPercentage,GrossProfit,IndefiniteLivedLicenseAgreements,IntangibleAssetsCurrent,OtherAssetsCurrent,SaleOfStockConsiderationReceivedOnTransaction,SaleOfStockNumberOfSharesIssuedInTransaction,StockIssuedDuringPeriodSharesOther
2016-08-31,2016-10-13,10-Q,"LZG INTERNATIONAL, INC.",LZGI,CIK0001126115,USD,,,87700.0,87770.0,87700.0,9302.0,12287.0,12287.0,3063134.0,,3988.0,3988.0,3988.0,2426.0,,,,,0.001,100000000.0,250556.0,250556.0,251.0,,,,,,0.08,0.08,,,,,,,,,,-0.02,,4674.0,-6423.0,-5964.0,,,,,,,,,1600.0,470.0,,,,,,820.0,,,,-5500.0,820.0,,820.0,,,470.0,,,,,,,176889.0,3988.0,141102.0,,44100.0,35787.0,5500.0,,-3074.0,-5964.0,23500.0,,44100.0,,23500.0,,,4674.0,-4674.0,,,,,,,1290.0,,,,,0.001,20000000.0,,,,,,,,,,,1600.0,,-3236286.0,,,,,,-172901.0,,,,,,,,250556.0,,,,,,,,,
2016-11-30,2017-01-12,10-Q,"LZG INTERNATIONAL, INC.",LZGI,CIK0001126115,USD,,,89300.0,89300.0,89300.0,10184.0,12757.0,12757.0,3063134.0,,2663.0,2663.0,2663.0,,,,,,0.001,100000000.0,250556.0,250556.0,251.0,,,,,,0.08,0.08,,,,,,,,,,-0.02,,2925.0,-4277.0,-4277.0,,,,,,,,,,,,,,,,,,,,,,,882.0,,,470.0,,,,,,,179841.0,2663.0,143584.0,,44100.0,36257.0,,,,-4277.0,23500.0,,44100.0,,23500.0,,,2925.0,-2925.0,,,,,,,1352.0,,,,,0.001,20000000.0,,,,,,,,,,,1600.0,,-3240563.0,,,,,,-177178.0,,,,,,,,250556.0,,,,,,,,,
2017-02-28,2017-04-07,10-Q,"LZG INTERNATIONAL, INC.",LZGI,CIK0001126115,USD,,,90900.0,90900.0,90900.0,11066.0,13227.0,13227.0,3063134.0,,1338.0,1338.0,1338.0,,,,,,0.001,100000000.0,250556.0,250556.0,251.0,,,,,,0.08,0.08,,,,,,,,,,-0.02,,2925.0,,-4277.0,,,,,,,,,,,,,,,,,,,,,,,882.0,,,470.0,,,,,,,182793.0,1338.0,146066.0,,44100.0,36727.0,,,,-4277.0,23500.0,,44100.0,,23500.0,,,2925.0,-2925.0,,,,,,,1352.0,,,,,0.001,20000000.0,,,,,,,,,,,1600.0,,-3244840.0,,,,,,-181455.0,,,,,,,,250556.0,,,,,,,,,
2017-05-31,2017-08-11,10-K,"LZG INTERNATIONAL, INC.",LZGI,CIK0001126115,USD,,,92500.0,92500.0,,11952.0,13227.0,13697.0,3063134.0,,1013.0,1013.0,1013.0,-549.0,,,0.0,,0.001,100000000.0,250556.0,250556.0,251.0,2820.0,,,,,0.08,0.08,,,28108.0,0.0,28108.0,,28108.0,,,-0.08,,13449.0,-18799.0,-18799.0,,,,0.0,,2820.0,,,6400.0,1880.0,,,,,,3470.0,,,,-6500.0,3470.0,,3470.0,3470.0,,1880.0,,,,11952.0,11952.0,,186749.0,1013.0,149552.0,37197.0,45100.0,37197.0,6500.0,,-7049.0,-18799.0,23500.0,,45100.0,45100.0,23500.0,,23500.0,13449.0,-13449.0,,187000.0,,,,,5350.0,,,,,0.001,20000000.0,0.0,0.0,,,,,,,,,,,-3249121.0,,,,,,-185736.0,,,,,-2820.0,,250556.0,250556.0,,,,,,,,,
2017-08-31,2017-09-29,10-Q,"LZG INTERNATIONAL, INC.",LZGI,CIK0001126115,USD,,,,94100.0,,12881.0,,14167.0,3063134.0,,89.0,89.0,89.0,-924.0,,,,,0.001,100000000.0,250556.0,250556.0,251.0,,,,,,,,,,,,,,,,,-0.03,,5024.0,-6423.0,-6423.0,,,,,,,,,1600.0,1600.0,,,,,,929.0,,,,-2500.0,,,929.0,,,470.0,,,,,,,192248.0,89.0,154581.0,,47600.0,37667.0,2500.0,,-3424.0,-6423.0,23500.0,,,,,,,5024.0,-5024.0,,,,,,,1399.0,,,,,0.001,20000000.0,,,,,,,,,2500.0,,,,-3255544.0,,,,,,-192159.0,,,,,,,,250556.0,,,,,,,,,
2017-11-30,2018-01-11,10-Q,"LZG INTERNATIONAL, INC.",LZGI,CIK0001126115,USD,,,,95600.0,,13833.0,,14637.0,3063134.0,,89.0,89.0,89.0,,,,,,0.001,100000000.0,250556.0,250556.0,251.0,,,,,,,0.08,,,,,,,,,,-0.02,,2625.0,-4047.0,-4047.0,,,,,,,,,,,,,,,,,,,,,,,952.0,,,470.0,,,,,,,196295.0,89.0,158158.0,,47600.0,38137.0,,,,-4047.0,23500.0,,,,,,,2625.0,-2625.0,,,1125.0,,,,1422.0,,,,,0.001,20000000.0,,,,,,,,,,,,,-3259591.0,,,,,,-196206.0,,,,,,,,250556.0,,,,,,,,,
2018-02-28,2018-04-16,10-Q,"LZG INTERNATIONAL, INC.",LZGI,CIK0001126115,USD,,,,97100.0,,,,,3063134.0,,139.0,139.0,139.0,,,,,,0.001,100000000.0,250556.0,250556.0,251.0,,,,,,,0.08,,,,,,,,,,-0.02,,2625.0,,-4060.0,,,,,,,,,,,,,,,,,,,,,,,965.0,,,470.0,,,,14798.0,,,200405.0,139.0,200405.0,,49100.0,,,,,-4060.0,,,,,,,,2625.0,-2625.0,,,800.0,,,,1435.0,,,,,0.001,20000000.0,0.0,0.0,,,,,,,,,,,-3263651.0,,,,,,,,,,,,,,250556.0,,,,,,,,,
2018-05-31,2018-10-01,10-K,"LZG INTERNATIONAL, INC.",LZGI,CIK0001126115,USD,,,,6100.0,,,,15577.0,3063134.0,,539.0,539.0,539.0,-474.0,,,0.0,,0.001,100000000.0,250556.0,250556.0,251.0,3900.0,92000.0,,,,,0.08,,,43200.0,0.0,43200.0,,43200.0,,,-0.07,,12899.0,,-18637.0,,,,0.0,,3914.0,11200.0,,325.0,6100.0,3858.0,,,,,3858.0,,,325.0,-6000.0,,,3858.0,3858.0,,1880.0,,,,15810.0,15810.0,,204912.0,539.0,165835.0,39077.0,,39077.0,6000.0,,-6474.0,-18637.0,23500.0,51100.0,,51100.0,92500.0,92500.0,23500.0,12899.0,-12899.0,,205000.0,325.0,,,,5738.0,,,,,0.001,20000000.0,0.0,0.0,,,,,,,6000.0,,,,-3267758.0,,,,,,-204373.0,,,,,-15100.0,,250556.0,250556.0,,,,,,,,,
2018-08-31,2018-10-15,10-Q,"LZG INTERNATIONAL, INC.",LZGI,CIK0001126115,USD,,,,7900.0,,,,16047.0,3063134.0,,174.0,174.0,174.0,-365.0,,,,,0.001,100000000.0,250556.0,250556.0,251.0,,,0.08,,,,,,,,,,,,,,-0.03,,4840.0,,-8182.0,,,,,,,,,2675.0,1800.0,,,,,,1022.0,,,,,,,1022.0,,,2320.0,,,,,,,212729.0,174.0,173182.0,,,39547.0,,,-365.0,-8182.0,23500.0,51100.0,,,92500.0,,,4840.0,-4840.0,,,3000.0,,,,3342.0,,,,,0.001,20000000.0,,,,,,,,,,,,,-3275940.0,,,,,,-212555.0,,,,,,,,250556.0,,,,,,,,,
2018-11-30,2019-01-11,10-Q,"LZG INTERNATIONAL, INC.",LZGI,CIK0001126115,USD,,,,9400.0,,,,,3063134.0,,1084.0,1084.0,1084.0,,,,,,0.001,100000000.0,250556.0,250556.0,251.0,,,,,,,0.08,,,,,,,,,,-0.03,,3990.0,,-7407.0,,,,,,,,,,,,,,,,,,,,,,,1097.0,,,2320.0,,,,17929.0,,,221046.0,1084.0,181029.0,,,40017.0,,,,-7407.0,,56700.0,,,,92500.0,23500.0,3990.0,-3990.0,,,800.0,,,,3417.0,,,,,0.001,20000000.0,,,,,,,,,,,,,-3283347.0,,,,,,-219964.0,,,,,,,,250556.0,,,,,,,,,
2019-02-28,2019-04-15,10-Q,"LZG INTERNATIONAL, INC.",LZGI,CIK0001126115,USD,,,,10900.0,,,,,3063134.0,,259.0,259.0,1084.0,,,,,,0.001,100000000.0,250556.0,250556.0,251.0,,,,,,,0.08,,,,,,,,,,-0.02,,2625.0,,-6072.0,,,,,,,,,,,,,,,,,,,,,,,1127.0,,,2320.0,,,,19056.0,,,226293.0,259.0,185806.0,,,40487.0,,,,-6072.0,,57800.0,,,,92500.0,23500.0,2625.0,-2625.0,,,,,,,3447.0,,,,,0.001,20000000.0,,,,,,,,,,,,,-3289419.0,,,,,,,,,,,,,,250556.0,,,,,,,,,
2019-05-31,2019-08-29,10-K,"LZG INTERNATIONAL, INC.",LZGI,CIK0001126115,USD,,,,6100.0,,,,17457.0,3063134.0,,434.0,434.0,434.0,-105.0,,,0.0,,0.001,100000000.0,250556.0,250556.0,251.0,5900.0,,,,,,0.08,,,48800.0,,48800.0,,48800.0,,,-0.11,,14080.0,,-27889.0,,,,,,5600.0,,,-325.0,6300.0,4403.0,,,,,4403.0,,,,,,,4403.0,,,9406.0,,,,20213.0,,,232696.0,434.0,191739.0,,,40957.0,8000.0,,-8105.0,-27889.0,23500.0,59100.0,,,98800.0,98800.0,23500.0,14080.0,-14080.0,,233000.0,,,,,13809.0,,,,,0.001,20000000.0,,,,,,,,,8000.0,8000.0,,,-3295647.0,,,,,,-232262.0,,,,,-5900.0,,250556.0,250556.0,,,,,,,,,
2019-08-31,2019-10-09,10-Q,"LZG INTERNATIONAL, INC.",LZGI,CIK0001126115,USD,,,,7600.0,,,,17927.0,3063134.0,,434.0,434.0,434.0,0.0,,,,,0.001,100000000.0,250556.0,250556.0,251.0,,,0.08,,,,,,,,,,,,,,-0.03,,4825.0,,-8453.0,-8453.0,,,0.0,0.0,,,,3325.0,1500.0,,,,,,1182.0,,,,,,,1182.0,,,2446.0,,0.0,,,,,241149.0,434.0,199722.0,,,41427.0,0.0,0.0,0.0,-8453.0,23500.0,59100.0,,,98800.0,,,4825.0,-4825.0,,,3325.0,,,,3628.0,,,,,0.001,20000000.0,,,,,,,,,,0.0,,-8453.0,-3304100.0,0.0,,,,,-240715.0,,,,,,,250556.0,250556.0,,,,,,,,,
2019-11-30,2020-01-10,10-Q,"LZG INTERNATIONAL, INC.",LZGI,CIK0001126115,USD,,,,9100.0,,,,18397.0,3063134.0,,209.0,209.0,209.0,,,,,,0.001,100000000.0,250556.0,250556.0,251.0,,,,,,,,,,,,,,,,,-0.03,,2725.0,,-6391.0,-6391.0,,,0.0,,,,,,,,,,,,,,,,,,,1182.0,,,2484.0,,,,,,,247315.0,209.0,205418.0,,,41897.0,,,,-6391.0,23500.0,59100.0,,,101900.0,,,2725.0,-2725.0,,,1225.0,,,,3666.0,,,,,0.001,20000000.0,,,,,,,,,,,,-6391.0,-3310491.0,0.0,,,,,-247106.0,,,,,,,250556.0,250556.0,,,,,,,,,
2020-02-29,2020-04-14,10-Q,"LZG INTERNATIONAL, INC.",LZGI,CIK0001126115,USD,,,,10600.0,,,,18867.0,3063134.0,,209.0,209.0,209.0,,,,,,0.001,100000000.0,250556.0,250556.0,251.0,,,,,,,,,,,,,,,,,-0.03,,2725.0,,-6415.0,-6415.0,,,0.0,,,,,,,,,,,,,,,,,,,1182.0,,,2508.0,,,,,,,253730.0,209.0,211363.0,,,42367.0,,,,-6415.0,23500.0,59100.0,,,101900.0,,,2725.0,-2725.0,,,2450.0,,,,3690.0,,-3690.0,,,0.001,20000000.0,,,,,,,,,,,,-6415.0,-3316906.0,0.0,,,,,-253521.0,,,,,,,250556.0,250556.0,,,,,,,,,
2020-05-31,2020-08-28,10-K,"LZG INTERNATIONAL, INC.",LZGI,CIK0001126115,USD,,,100.0,6000.0,,,,19337.0,3063134.0,,1834.0,1834.0,1834.0,1400.0,1400.0,,0.0,,0.001,100000000.0,250556.0,250556.0,251.0,5800.0,,0.08,,,,,,,54600.0,,54600.0,,54600.0,,,-0.11,,13000.0,,-27771.0,,,,,0.0,5800.0,,,100.0,6100.0,,,,,,4728.0,,,,,,,4728.0,4738.0,,10043.0,,0.0,,24941.0,,,261867.0,1834.0,219030.0,42837.0,,42837.0,8300.0,0.0,-6900.0,-27771.0,23500.0,59100.0,113200.0,59100.0,113200.0,,23500.0,13000.0,-13000.0,,260000.0,,,,,14771.0,,,,,0.001,20000000.0,0.0,0.0,0.0,,,,,,,8300.0,,,-3323418.0,0.0,,,,,-260033.0,,,,,-5800.0,,250556.0,250556.0,,,,,,,,,
2020-08-31,2020-10-14,10-Q,"LZG INTERNATIONAL, INC.",LZGI,CIK0001126115,USD,,,,7600.0,,,,,3063134.0,,3010.0,3010.0,3010.0,1175.0,,1176.0,,,0.001,100000000.0,250556.0,250556.0,251.0,,,,,,,,,,,,,,,,,-0.04,,5325.0,,-9278.0,-9278.0,,,0.0,0.0,,,,0.0,1500.0,,1220.0,2734.0,,,1220.0,,,,,,,1219.0,,,2734.0,,0.0,,26161.0,,,272321.0,3010.0,229014.0,43307.0,,,5000.0,0.0,-3824.0,-9278.0,,,,64100.0,113200.0,,23500.0,5325.0,-5325.0,,,,,,,3953.0,,,-3953.0,,0.001,20000000.0,0.0,0.0,0.0,,,,,,5000.0,5000.0,,-9278.0,-3332696.0,0.0,,,,,-269311.0,,,,,,,250556.0,250556.0,,,,,,,,,
2020-11-30,2021-01-12,10-Q,"LZG INTERNATIONAL, INC.",LZGI,CIK0001126115,USD,,,,9100.0,,,,,3063134.0,,1685.0,1685.0,1685.0,,,,,,0.001,100000000.0,250556.0,250556.0,251.0,,,,,,,,,,,,,,,,,-0.03,,2825.0,,-6841.0,-6841.0,,,0.0,,,,,,,,,,,,,,,,,,,1282.0,,,2734.0,,,,27443.0,,,277837.0,1685.0,234060.0,43777.0,,,,,,-6841.0,,,,64100.0,113200.0,,23500.0,2825.0,-2825.0,,,,,,,4016.0,,,-4016.0,,0.001,20000000.0,0.0,0.0,0.0,,,,,,,,,-6841.0,-3339537.0,0.0,,,,,-276152.0,,,,,,,250556.0,250556.0,,,,,,,,,
2021-02-28,2021-04-14,10-Q,"LZG INTERNATIONAL, INC.",LZGI,CIK0001126115,USD,,,,10600.0,,,,,3063134.0,,360.0,360.0,360.0,,,,,,0.001,100000000.0,250556.0,250556.0,251.0,,,,,,,,,,,,,,,,,-0.03,,2825.0,,,-6841.0,,,0.0,,,,,,,,,,,,,,,,,,,1282.0,,,2734.0,,,,28725.0,,,283353.0,360.0,239106.0,44247.0,,,,,,-6841.0,,,,64100.0,113200.0,,23500.0,2825.0,-2825.0,,,,,,,,,-4016.0,,,0.001,20000000.0,0.0,0.0,0.0,,,,,,,,,-6841.0,-3346378.0,0.0,,,,,-282993.0,,,,,,,250556.0,,,,,,,,,,
2021-05-31,2021-08-26,10-K,"LZG INTERNATIONAL, INC.",LZGI,CIK0001126115,USD,,21217.0,100.0,6000.0,,24745.0,,,3063134.0,,4735.0,4735.0,4735.0,,2901.0,,0.0,,0.001,100000000.0,250556.0,250556.0,251.0,6300.0,,0.08,,,,,,,60900.0,,60900.0,,60900.0,,23500.0,-0.12,0.21,13800.0,,-29842.0,,,,,0.0,6300.0,,,0.0,,,,,,,5107.0,,,,,,,5106.0,5107.0,,10936.0,,0.0,,30048.0,,,294610.0,4735.0,249893.0,44717.0,,44717.0,10700.0,0.0,-7799.0,-29842.0,23500.0,69800.0,119200.0,69800.0,119200.0,6000.0,23500.0,13800.0,-13800.0,,290000.0,,,,,16042.0,,,,,0.001,20000000.0,0.0,0.0,0.0,,,,,,,10700.0,,,-3353260.0,0.0,,,,,-289875.0,,,,,-6300.0,,250556.0,250556.0,,,,,,,,,
2021-08-31,2021-10-13,10-Q,"LZG INTERNATIONAL, INC.",LZGI,CIK0001126115,USD,,21687.0,2125.0,7500.0,,27129.0,,,3063134.0,,3535.0,3535.0,3535.0,,,-1200.0,,,0.001,100000000.0,250556.0,250556.0,251.0,,,,,0.08,,,,,,,,,,,23500.0,-0.06,,9725.0,,-13976.0,,,,,,,,,2025.0,1500.0,,1397.0,2854.0,1500.0,,,5000.0,,,,,,1397.0,470.0,2384.0,2854.0,,,,31445.0,,,307386.0,3535.0,262199.0,45187.0,,,5000.0,,-6200.0,-13976.0,,,,74800.0,119200.0,,23500.0,9725.0,-9725.0,,,,,,,,,,-4251.0,,0.001,20000000.0,0.0,0.0,,,,,,,5000.0,,,,-3367236.0,,,,,,-303851.0,,,,,,,,250556.0,,,,,,,,,
2021-11-30,2022-01-20,10-Q,"LZG INTERNATIONAL, INC.",LZGI,CIK0001126115,USD,,22157.0,1450.0,9000.0,,29513.0,,,3401134.0,,384634.0,44842.0,44842.0,,,,,,0.001,100000000.0,10250556.0,10250556.0,10251.0,,,,,,,,,,,,,,,,23500.0,0.0,,22965.0,,7849.0,,,,,,,,,,,,,,,,,,,,,,,1571.0,,,2854.0,,,,33016.0,,,332636.0,384634.0,286979.0,45657.0,,,,,,7849.0,,,,94800.0,119200.0,,23500.0,22965.0,12274.0,,,,,,,,,,-4425.0,,0.001,20000000.0,0.0,0.0,,,,,,,,,,,-3359387.0,43447.0,,,,,51998.0,,,,348000.0,,,,4426380.0,8208.0,0.976,35239.0,339792.0,339792.0,339792.0,10450000.0,22990000.0,10000000.0
