end,filed,form,Name,Ticker,CIK,Currency,AccountsPayableAndAccruedLiabilitiesCurrent,AccountsPayableRelatedPartiesCurrent,AccountsReceivableNetCurrent,AccumulatedOtherComprehensiveIncomeLossNetOfTax,AdditionalPaidInCapitalCommonStock,AssetImpairmentCharges,Assets,AssetsCurrent,BankOverdrafts,Cash,CashAndCashEquivalentsPeriodIncreaseDecrease,CashPeriodIncreaseDecrease,ClassOfWarrantOrRightExercisePriceOfWarrantsOrRights1,ClassOfWarrantOrRightOutstanding,CommitmentsAndContingencies,CommonStockParOrStatedValuePerShare,CommonStockSharesAuthorized,CommonStockSharesIssued,CommonStockSharesSubscribedButUnissued,CommonStockSharesSubscriptions,CommonStockValue,ConversionOfStockSharesConverted1,CostsAndExpenses,CostsIncurredExplorationCosts,DebtConversionConvertedInstrumentAmount1,DebtConversionConvertedInstrumentAmount1,DebtInstrumentIncreaseAccruedInterest,DeferredTaxAssetsNet,DeferredTaxAssetsOperatingLossCarryforwards,DeferredTaxAssetsValuationAllowance,DevelopmentStageEnterpriseDeficitAccumulatedDuringDevelopmentStage,DueFromOfficersOrStockholders,DueFromOtherRelatedParties,DueToOfficersOrStockholdersCurrentAndNoncurrent,DueToOtherRelatedPartiesClassifiedCurrent,DueToOtherRelatedPartiesNoncurrent,DueToRelatedPartiesCurrent,DueToRelatedPartiesCurrentAndNoncurrent,EarningsPerShareBasicAndDiluted,ExplorationExpense,ForeignCurrencyTransactionGainLossBeforeTax,ForeignCurrencyTransactionGainLossRealized,GainsLossesOnExtinguishmentOfDebt,GeneralAndAdministrativeExpense,ImpairmentOfIntangibleAssetsFinitelived,IncomeLossFromContinuingOperations,IncomeTaxesPaid,IncomeTaxesPaidNet,IncomeTaxReconciliationChangeInDeferredTaxAssetsValuationAllowance,IncomeTaxReconciliationNondeductibleExpense,IncomeTaxReconciliationNondeductibleExpenseShareBasedCompensationCost,IncreaseDecreaseInAccountsAndNotesReceivable,IncreaseDecreaseInAccountsPayableAndAccruedLiabilities,IncreaseDecreaseInAccountsReceivable,IncreaseDecreaseInDueFromRelatedParties,IncreaseDecreaseInDueToRelatedParties,IncreaseDecreaseInInterestPayableNet,IncreaseDecreaseInOtherAccruedLiabilities,IncreaseDecreaseInPrepaidExpense,IntangibleAssetsNetExcludingGoodwill,InterestAndDebtExpense,InterestExpense,InterestExpenseDebt,InterestPaid,InterestPaidNet,InterestPayableCurrent,InterestPayableCurrentAndNoncurrent,IssuanceOfStockAndWarrantsForServicesOrClaims,LiabilitiesAndStockholdersEquity,LiabilitiesCurrent,LoansPayable,LoansPayableCurrent,MineralPropertiesNet,NetCashProvidedByUsedInFinancingActivities,NetCashProvidedByUsedInInvestingActivities,NetCashProvidedByUsedInOperatingActivities,NetIncomeLoss,NoninterestExpenseTransferAgentAndCustodianFees,NotesPayableRelatedPartiesClassifiedCurrent,OperatingIncomeLoss,OperatingLossCarryforwards,OtherAccruedLiabilitiesNoncurrent,OtherIncome,OtherNonoperatingIncomeExpense,PaymentsForLoans,PaymentsToAcquireMineralRights,PaymentsToAcquireNotesReceivable,PreferredStockParOrStatedValuePerShare,PreferredStockSharesAuthorized,PreferredStockSharesIssued,PrepaidExpenseCurrent,ProceedsFromCollectionOfLongtermLoansToRelatedParties,ProceedsFromIssuanceOfCommonStock,ProceedsFromLoans,ProceedsFromNotesPayable,ProceedsFromRelatedPartyDebt,ProfessionalFees,RelatedPartyTransactionAmountsOfTransaction,RelatedPartyTransactionExpensesFromTransactionsWithRelatedParty,RepaymentsOfLongTermDebt,RepaymentsOfRelatedPartyDebt,RetainedEarningsAccumulatedDeficit,Revenues,SalesRevenueNet,ShareBasedCompensation,ShareBasedCompensationArrangementByShareBasedPaymentAwardFairValueAssumptionsExpectedDividendRate,ShareBasedCompensationArrangementByShareBasedPaymentAwardFairValueAssumptionsExpectedVolatilityRate,ShareBasedCompensationArrangementByShareBasedPaymentAwardFairValueAssumptionsRiskFreeInterestRate,ShareBasedCompensationArrangementByShareBasedPaymentAwardOptionsExpirationsInPeriod,ShareBasedCompensationArrangementByShareBasedPaymentAwardOptionsGrantsInPeriodGross,ShareBasedCompensationArrangementByShareBasedPaymentAwardOptionsOutstandingIntrinsicValue,ShareBasedCompensationArrangementByShareBasedPaymentAwardOptionsOutstandingNumber,ShareBasedCompensationArrangementByShareBasedPaymentAwardOptionsOutstandingWeightedAverageExercisePrice,ShareBasedCompensationArrangementByShareBasedPaymentAwardOptionsVestedAndExpectedToVestOutstandingNumber,ShareBasedCompensationArrangementsByShareBasedPaymentAwardOptionsExercisesInPeriodWeightedAverageExercisePrice,ShareBasedCompensationArrangementsByShareBasedPaymentAwardOptionsExpirationsInPeriodWeightedAverageExercisePrice,ShareBasedCompensationArrangementsByShareBasedPaymentAwardOptionsGrantsInPeriodWeightedAverageExercisePrice,SharebasedCompensationArrangementBySharebasedPaymentAwardEquityInstrumentsOtherThanOptionsAggregateIntrinsicValueOutstanding,SharebasedCompensationArrangementBySharebasedPaymentAwardOptionsVestedNumberOfShares,SharesIssued,StockholdersEquity,StockIssued1,StockIssuedDuringPeriodSharesStockOptionsExercised,StockIssuedDuringPeriodValueIssuedForCash,StockIssuedDuringPeriodValueIssuedForServices,StockIssuedDuringPeriodValueNewIssues,StockIssuedDuringPeriodValueOther,StockIssuedDuringPeriodValueStockOptionsExercised,StockOptionPlanExpense,TechnologyServicesCosts,UnsecuredDebt,UnsecuredLongTermDebt,WeightedAverageNumberOfShareOutstandingBasicAndDiluted
2016-12-31,2017-03-30,10-K,LODE-STAR MINING INC.,LSMG,CIK0001319643,USD,19016.0,,,1680140.0,1070064.0,,235314.0,5134.0,,5134.0,,-7322.0,0.02,3336060.0,,0.001,480000000.0,49127825.0,,,1947.0,,234375.0,,,,,0.0,242200.0,242200.0,,,,,,,762117.0,,-0.01,0.0,-830.0,,,11783.0,,,0.0,,-91200.0,,0.0,,73704.0,,,100000.0,28043.0,,-3217.0,,,,35016.0,0.0,0.0,35016.0,,0.0,235314.0,843443.0,538204.0,62310.0,230180.0,55000.0,,-62322.0,-268116.0,,,-234375.0,712000.0,,,-33741.0,20000.0,,,0.001,20000000.0,0.0,0.0,,,,,75000.0,67182.0,25776.0,,,0.0,-1680140.0,,0.0,,,,,,,0.0,0.0,0.0,,,,,66721.0,,,-608129.0,,,,,,,,,,,,49127825.0
2017-03-31,2017-05-11,10-Q,LODE-STAR MINING INC.,LSMG,CIK0001319643,USD,15944.0,,,1941098.0,1268634.0,,241681.0,11501.0,,11501.0,,6367.0,,,,0.001,480000000.0,49127825.0,,,1947.0,,250183.0,,,,,,,,,,,,,,837586.0,,-0.01,,,-216.0,,904.0,,,0.0,,,,,,12968.0,,,24976.0,10595.0,,0.0,,10775.0,,,0.0,0.0,41492.0,,198570.0,241681.0,912198.0,585937.0,58668.0,230180.0,20000.0,,-13633.0,-260958.0,,,-250183.0,,,,-10775.0,,,,0.001,20000000.0,,,25000.0,,,,,4714.0,,,5000.0,,-1941098.0,,0.0,,,,,,,,,,,,,,,,,-670517.0,,,,,,,,,204797.0,,,49127825.0
2017-06-30,2017-08-14,10-Q,LODE-STAR MINING INC.,LSMG,CIK0001319643,USD,3190.0,,,-2109855.0,1368908.0,,248244.0,18064.0,,18064.0,,,,,,0.001,480000000.0,49127825.0,,,1947.0,,157487.0,3190.0,,,,,,,,,,,,,929112.0,,0.0,,,,,2897.0,,,,,,,,,,,,,,,,,11270.0,,,,,48635.0,,,248244.0,987244.0,649659.0,54942.0,230180.0,,,,-168757.0,,,-157487.0,,,,-11270.0,,,,0.001,20000000.0,0.0,,,,,,,16812.0,,,,,-2109855.0,0.0,0.0,,,,,,,,,,,,,,,,,-739000.0,,,,,,,,,106102.0,,,49127825.0
2017-09-30,2017-11-14,10-Q,LODE-STAR MINING INC.,LSMG,CIK0001319643,USD,1494.0,,,,1463629.0,,232345.0,2165.0,,2165.0,,,,,,0.001,480000000.0,49127825.0,,,1947.0,,142194.0,0.0,,,,,,,,,,,,,977819.0,,0.0,,,,,1799.0,,,,,,,,,,,,,,,,,11600.0,,,,,56253.0,,,232345.0,1030418.0,670532.0,51105.0,230180.0,,,,-153794.0,,,-142194.0,,,,-11600.0,,,,0.001,20000000.0,0.0,,,,,,,12316.0,,,,,-2263649.0,0.0,0.0,,,,,,,,,,,,,,,,,-798073.0,,,,,,,,,100659.0,,,49127825.0
2017-12-31,2018-03-27,10-K,LODE-STAR MINING INC.,LSMG,CIK0001319643,USD,8048.0,,,,1512872.0,,234723.0,4543.0,,818.0,,-4316.0,0.02,3336060.0,,0.001,480000000.0,49127825.0,,,1947.0,,646008.0,,,,,0.0,323400.0,323400.0,,,,,,,1036569.0,,-0.01,3190.0,-7.0,,,7593.0,,,0.0,,-84600.0,,-150600.0,,48274.0,,,100000.0,44948.0,,3725.0,,,,,,0.0,,,442808.0,234723.0,1091672.0,701460.0,47055.0,230180.0,55000.0,,-59316.0,-691628.0,,,-646008.0,951217.0,,,-45620.0,20000.0,,,,,,3725.0,,,,,75000.0,44876.0,466715.0,,,,-2371768.0,0.0,0.0,,,,,0.0,9500000.0,237500.0,9500000.0,0.06,4750000.0,0.0,0.0,0.06,40033.0,,,-856949.0,,0.0,,442808.0,,,,,,,,49127825.0
2018-03-31,2018-05-14,10-Q,LODE-STAR MINING INC.,LSMG,CIK0001319643,USD,19477.0,,,,1543691.0,,235369.0,5189.0,,2028.0,,1210.0,,,,0.001,480000000.0,49127825.0,,,1947.0,,105544.0,,,,,,,,,,,,,,1118533.0,,0.0,,,-1861.0,,4284.0,,,0.0,,,,,,28448.0,,,24976.0,14085.0,,564.0,,13999.0,,,,0.0,,,30819.0,235369.0,1181042.0,752381.0,43032.0,230180.0,20000.0,,-18790.0,-119543.0,,,-105544.0,,,,,,,,,,,3161.0,25000.0,,,,,22231.0,,,5000.0,,-2491311.0,0.0,0.0,,,,,,,,,,,,,,,,,-945673.0,,,,,,,,,37119.0,,,49127825.0
2018-06-30,2018-08-09,10-Q,LODE-STAR MINING INC.,LSMG,CIK0001319643,USD,7653.0,,,,1560897.0,,234116.0,3936.0,,914.0,,,,,,0.001,480000000.0,49127825.0,,,1947.0,,65144.0,0.0,,,,,,,,,,,,,1195642.0,,0.0,,,,,6916.0,,,,,,,,,,,,,,,,,14465.0,,,,,,,,234116.0,1242192.0,799900.0,38897.0,230180.0,,,,-79609.0,,,-65144.0,,,,,,,,,,,3022.0,,,,,,7359.0,,,,,-2570920.0,0.0,,,,,,,,,,,,,,,,,,-1008076.0,,,,,,,,,,,,49127825.0
2018-09-30,2018-11-13,10-Q,LODE-STAR MINING INC.,LSMG,CIK0001319643,USD,8702.0,,,,1569444.0,,249848.0,19668.0,,16607.0,,,,,,0.001,480000000.0,49127825.0,,,1947.0,,56228.0,0.0,,,,,,,,,,,,,1276304.0,,0.0,,,,,3702.0,,,,,,,,,,,,,,,,,14046.0,,,,,,,,249848.0,1319651.0,851755.0,34645.0,230180.0,,,,-70274.0,,,-56228.0,,,,,,,,,,,3061.0,,,,,,10305.0,,,,,-2641194.0,0.0,,,,,,,,,,,,,,,,,,-1069803.0,,,,,,,,,,,,49127825.0
2018-12-31,2019-03-27,10-K,LODE-STAR MINING INC.,LSMG,CIK0001319643,USD,5254.0,,,,1618084.0,,238667.0,8487.0,,6508.0,,5690.0,0.02,3336060.0,,0.001,480000000.0,50605965.0,,,3425.0,,273431.0,,,,,0.0,343400.0,343400.0,,,,,,,1286011.0,,-0.01,0.0,-362.0,,,16947.0,,,0.0,,-90500.0,,-22600.0,,34679.0,,,100000.0,58597.0,,-1746.0,,,,,,0.0,,,57912.0,238667.0,1321532.0,829878.0,30267.0,230180.0,85000.0,,-79310.0,-332606.0,,,-273431.0,1009969.0,,,-59175.0,20000.0,,,,,,1979.0,,,,,105000.0,49348.0,82375.0,,,,-2704374.0,0.0,,,,,,0.0,500000.0,0.0,10000000.0,0.06,9500000.0,0.0,0.0,0.06,6672.0,,,-1082865.0,,0.0,,57912.0,,48778.0,,,,,,49241217.0
2019-03-31,2019-05-14,10-Q,LODE-STAR MINING INC.,LSMG,CIK0001319643,USD,13703.0,,,,1620558.0,,240289.0,10109.0,,8090.0,,1582.0,,,,0.001,480000000.0,50605965.0,,,3425.0,,76681.0,,,,,,,,,,,,,,1373562.0,,0.0,,,-75.0,,5827.0,,,0.0,,,,,,25961.0,,,24976.0,15095.0,,-40.0,,15278.0,,,,0.0,,,2474.0,240289.0,1412639.0,886817.0,25374.0,230180.0,25000.0,,-23418.0,-91959.0,,,-76681.0,,,,,,,,,,,2019.0,30000.0,,,,,14625.0,,6000.0,5000.0,,-2796333.0,0.0,,0.0,,,,,,,,,,,,,,,,-1172350.0,,,,2474.0,,,,,,,,50605965.0
2019-06-30,2019-08-08,10-Q,LODE-STAR MINING INC.,LSMG,CIK0001319643,USD,6588.0,,,,1623530.0,,244855.0,14675.0,,12612.0,,,,,,0.001,480000000.0,50605965.0,,,3425.0,,50222.0,,,,,,,,,,,,,,1456406.0,,0.0,0.0,,,,1882.0,,,,,,,,,,,,,,,,,14358.0,,,,,,,,244855.0,1478813.0,938568.0,15819.0,230180.0,,,,-64580.0,,,-50222.0,,,,,,,,,,,2063.0,,,,,,12102.0,,,,,-2860913.0,0.0,,,,,,,,,,,,,,,,,,-1233958.0,,,,2972.0,,,,,,,,50605965.0
2019-09-30,2019-11-12,10-Q,LODE-STAR MINING INC.,LSMG,CIK0001319643,USD,4218.0,,,,1626534.0,,240471.0,10291.0,,8253.0,,,,,,0.001,480000000.0,50605965.0,,,3425.0,,55163.0,,,,,,,,,,,,,,1528924.0,,0.0,0.0,,,,2623.0,,,,,,,,,,,,,,,,,17373.0,,,,,,,,240471.0,1543961.0,,10819.0,230180.0,,,,-72536.0,,,-55163.0,,,,,,,,,,,2038.0,,,,,,9847.0,,0.0,,,-2933449.0,0.0,,,,,,,,,,,,,,,,,,-1303490.0,,,,3004.0,,,,,,,,50605965.0
2019-12-31,2020-03-24,10-K,LODE-STAR MINING INC.,LSMG,CIK0001319643,USD,8014.0,,,,1628646.0,,242757.0,12577.0,,10499.0,,3991.0,0.02,3336060.0,,0.001,480000000.0,50605965.0,,,3425.0,,231811.0,,,,,0.0,365400.0,365400.0,,,,,,,1598114.0,,-0.01,,-85.0,,,15567.0,0.0,,0.0,,-22000.0,-78900.0,-78900.0,,38417.0,,,100000.0,47814.0,,0.0,,,,,,0.0,130878.0,,10562.0,242757.0,1611947.0,1016788.0,5819.0,230180.0,104000.0,,-100009.0,-296887.0,,,-231811.0,1074601.0,,,-65076.0,6000.0,,,,,,2078.0,,,,,110000.0,45342.0,46274.0,,,,-3001261.0,0.0,,,,,,,0.0,140000.0,10000000.0,0.06,,,,,0.0,,,-1369190.0,,,,10562.0,,,,,,,,50605965.0
2020-03-31,2020-05-11,10-Q,LODE-STAR MINING INC.,LSMG,CIK0001319643,USD,28717.0,,,,1629637.0,,266056.0,35876.0,,13731.0,,3232.0,,,,0.001,480000000.0,50605965.0,,,3425.0,,114579.0,,,,,,,,,,,,,,1739046.0,,0.0,0.0,,149.0,,3340.0,,,0.0,0.0,,,,,53343.0,,,24988.0,12809.0,24988.0,20242.0,,18929.0,,,,0.0,,,991.0,266056.0,1767763.0,,0.0,230180.0,65000.0,,-61768.0,-133508.0,,,-114579.0,,,,,,,,,,,22145.0,65000.0,,,,65000.0,2270.0,,25000.0,0.0,,-3134769.0,0.0,,0.0,,,,,,300000.0,10000000.0,0.06,,,,,,,,-1501707.0,,,,991.0,,,,991.0,,,,50605965.0
2020-06-30,2020-07-27,10-Q,LODE-STAR MINING INC.,LSMG,CIK0001319643,USD,49632.0,,,,1630625.0,,271301.0,41121.0,,8433.0,,,,,,0.001,480000000.0,50605965.0,,,3425.0,,90507.0,,,,,,,,,,,,,,1833261.0,,0.0,6410.0,,,,3722.0,,,,,,,,,,,,,,25000.0,,,20366.0,,,,,,,,271301.0,1882893.0,,0.0,230180.0,,,,-110873.0,2357.0,,-90507.0,,,,,,,,,,,32688.0,,,,,,20934.0,,,,,-3245642.0,0.0,,,,,,,,800000.0,10000000.0,0.06,,,,,,,,-1611592.0,,,,988.0,,,,,,,,50605965.0
2020-09-30,2020-11-12,10-Q,LODE-STAR MINING INC.,LSMG,CIK0001319643,USD,61306.0,,,,1631626.0,,299184.0,69004.0,,12662.0,,,,,,0.001,480000000.0,50605965.0,,,3425.0,,71407.0,,,,,,,,,,,,,,1941645.0,,0.0,3652.0,,,,1571.0,,,,,,,,,,,,,,25012.0,,,21769.0,,,,,,,,299184.0,2002951.0,,0.0,230180.0,,,,-93176.0,1951.0,,-71407.0,,,,,,,,,,,56342.0,,,,,,6852.0,,25000.0,,,-3338818.0,0.0,,,,,,,,250000.0,10000000.0,0.06,,,,,,,,-1703767.0,,,,1001.0,,,,,,,,50605965.0
2020-12-31,2021-03-29,10-K,LODE-STAR MINING INC.,LSMG,CIK0001319643,USD,84181.0,,,,1632181.0,,246764.0,16584.0,,12644.0,,2145.0,0.0,0.0,,0.001,480000000.0,50605965.0,,,3425.0,,355732.0,,,,,0.0,412300.0,412300.0,,,,,,,2021878.0,2021878.0,-0.01,,-30.0,,,10425.0,54318.0,,0.0,,-46900.0,-120900.0,,,182114.0,,,100000.0,82752.0,,1827.0,,,,,,0.0,182327.0,,3535.0,246764.0,2106059.0,1309249.0,0.0,230180.0,129181.0,,-127036.0,-493640.0,,,-355732.0,,,,-137908.0,5819.0,,,0.001,20000000.0,0.0,3940.0,,,,,135000.0,40574.0,160892.0,,,,-3494901.0,0.0,,,,,,,,800000.0,10000000.0,0.06,,,,,0.0,,,-1859295.0,,,,3535.0,,,,,,,,50605965.0
2021-03-31,2021-05-17,10-Q,LODE-STAR MINING INC.,LSMG,CIK0001319643,USD,132876.0,,,,1632152.0,,255480.0,25300.0,,21343.0,,8699.0,,,,,480000000.0,50634536.0,,,3454.0,,104130.0,,,,,,,,,,,,,,2108779.0,2108779.0,0.0,7531.0,,-42.0,,1384.0,,,,0.0,,,,,72950.0,,,,22611.0,24976.0,0.0,,22750.0,,,,0.0,196237.0,,0.0,255480.0,2241655.0,,,230180.0,15000.0,,-6301.0,-126880.0,,,-104130.0,,,,,,,,,,0.0,3957.0,,,,,15000.0,19831.0,,25000.0,,,-3621781.0,0.0,,0.0,,,,0.0,0.0,567150.0,9950000.0,,,,,,,,,-1986175.0,,,,,,,0.0,0.0,,,,50614536.0
2021-06-30,2021-08-12,10-Q,LODE-STAR MINING INC.,LSMG,CIK0001319643,USD,138263.0,,,,1632152.0,,247706.0,17526.0,,13550.0,,,,,,0.001,480000000.0,50634536.0,,,3454.0,,82788.0,,,,,,,,,,,,,,,,0.0,13158.0,,,,2769.0,,,,,,,,,,,,,,25012.0,,,24257.0,,,,,,,,247706.0,2340926.0,,,230180.0,,,,-107045.0,1997.0,,-82788.0,,,,,,,,0.001,20000000.0,0.0,3976.0,,,,,,7953.0,,,,,-3728826.0,,,,,,,,,,9950000.0,,,,,,,,,-2093220.0,,,,,,,,,,,,50634536.0
2021-09-30,2021-11-12,10-Q,LODE-STAR MINING INC.,LSMG,CIK0001319643,USD,167064.0,,,,1632152.0,,242914.0,12734.0,,11291.0,,,,,,0.001,480000000.0,50634536.0,,,3454.0,,76548.0,,,,,,,,,,,,,,,,0.0,7754.0,,,,1846.0,,,,,,,,,,,,,,25012.0,,,25341.0,,,,,,,,242914.0,2438023.0,,,230180.0,,,,-101889.0,2192.0,,-76548.0,,,,,,,,0.001,20000000.0,0.0,1443.0,,,,,,7931.0,,,,,-3830715.0,,,,,,,,,,9950000.0,,,,,,,,,-2195109.0,,,,,,,,,,,,50634536.0
