end,filed,form,Name,Ticker,CIK,Currency,AccountsPayable,AccountsPayableAndAccruedLiabilitiesCurrent,AccountsPayableAndOtherAccruedLiabilities,AccountsPayableCurrent,AccountsPayableInterestBearingInterestRate,AccountsPayableRelatedPartiesCurrent,AccountsPayableRelatedPartiesCurrentAndNoncurrent,AccruedLiabilitiesAndOtherLiabilities,AccruedLiabilitiesCurrent,AccruedLiabilitiesCurrentAndNoncurrent,AccruedProfessionalFeesCurrentAndNoncurrent,AdditionalPaidInCapital,AdjustmentsToAdditionalPaidInCapitalOther,Assets,AssetsCurrent,Capital,CashAndCashEquivalentsAtCarryingValue,CashAndCashEquivalentsPeriodIncreaseDecrease,CashAndCashEquivalentsPeriodIncreaseDecreaseExcludingExchangeRateEffect,CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalentsPeriodIncreaseDecreaseIncludingExchangeRateEffect,CashEquivalentsAtCarryingValue,CashPeriodIncreaseDecrease,CommonStockParOrStatedValuePerShare,CommonStockSharesAuthorized,CommonStockSharesIssued,CommonStockSharesOutstanding,CommonStockValue,CommonStockValueOutstanding,ConcentrationRiskPercentage1,CostsAndExpenses,CostsAndExpensesRelatedParty,CurrentFederalTaxExpenseBenefit,CurrentIncomeTaxExpenseBenefit,CurrentStateAndLocalTaxExpenseBenefit,DebtInstrumentIncreaseAccruedInterest,DebtInstrumentInterestRateAtPeriodEnd,DebtInstrumentInterestRateDuringPeriod,DebtInstrumentInterestRateStatedPercentage,DeferredTaxAssetsGross,DeferredTaxAssetsLiabilitiesNet,DeferredTaxAssetsNet,DeferredTaxAssetsOperatingLossCarryforwards,DeferredTaxAssetsTaxCreditCarryforwards,DeferredTaxAssetsValuationAllowance,DevelopmentStageEnterpriseDeficitAccumulatedDuringDevelopmentStage,DueToRelatedParties,DueToRelatedPartiesCurrent,EarningsPerShareBasic,EarningsPerShareBasicAndDiluted,GeneralAndAdministrativeExpense,IncomeLossFromContinuingOperationsBeforeIncomeTaxesDomestic,IncomeTaxExpenseBenefit,IncomeTaxExpenseBenefitContinuingOperations,IncomeTaxesPaid,IncomeTaxReconciliationChangeInDeferredTaxAssetsValuationAllowance,IncomeTaxReconciliationIncomeTaxExpenseBenefitAtFederalStatutoryIncomeTaxRate,IncomeTaxReconciliationOtherAdjustments,IncreaseDecreaseInAccountsPayable,IncreaseDecreaseInAccountsPayableAndAccruedLiabilities,IncreaseDecreaseInAccruedInterestReceivableNet,IncreaseDecreaseInDueFromRelatedParties,IncreaseDecreaseInDueFromRelatedPartiesCurrent,IncreaseDecreaseInDueToOtherRelatedParties,IncreaseDecreaseInDueToOtherRelatedPartiesCurrent,IncreaseDecreaseInDueToRelatedParties,IncreaseDecreaseInDueToRelatedPartiesCurrent,IncreaseDecreaseInInterestPayableNet,IncreaseDecreaseInNotesPayableCurrent,IncreaseDecreaseInNotesPayableRelatedParties,IncreaseDecreaseInOtherAccountsPayableAndAccruedLiabilities,InterestExpense,InterestExpenseRelatedParty,InterestPaid,InterestPayable,InterestPayableCurrent,IssuanceOfStockAndWarrantsForServicesOrClaims,Liabilities,LiabilitiesAndStockholdersEquity,LiabilitiesAssumed1,LiabilitiesCurrent,LoansPayable,NetCashProvidedByUsedInFinancingActivities,NetCashProvidedByUsedInInvestingActivities,NetCashProvidedByUsedInOperatingActivities,NetIncomeLoss,NoncashOrPartNoncashAcquisitionDebtAssumed1,NotesPayable,NotesPayableCurrent,NotesPayableRelatedPartiesClassifiedCurrent,NotesPayableRelatedPartiesCurrentAndNoncurrent,OperatingExpenses,OperatingIncomeLoss,OperatingLossCarryforwards,OperatingLossCarryforwardsValuationAllowance,OtherCostAndExpenseOperating,OtherExpenses,OtherIncome,OtherNotesPayable,OtherNotesPayableCurrent,OtherOperatingIncomeExpenseNet,OtherSignificantNoncashTransactionValueOfConsiderationGiven1,ProceedsFromIssuanceOfCommonStock,ProceedsFromIssuanceOfOtherLongTermDebt,ProceedsFromLoans,ProceedsFromNotesPayable,ProceedsFromRelatedPartyDebt,ProceedsFromRepaymentsOfShortTermDebt,RelatedPartyTransactionExpensesFromTransactionsWithRelatedParty,RetainedEarningsAccumulatedDeficit,Revenues,SharesOutstanding,StockholdersEquity,StockIssued,StockIssued1,StockIssuedDuringPeriodSharesIssuedForCash,StockIssuedDuringPeriodSharesIssuedForServices,StockIssuedDuringPeriodSharesShareBasedCompensation,StockIssuedDuringPeriodValueIssuedForCash,StockIssuedDuringPeriodValueIssuedForServices,StockIssuedDuringPeriodValueShareBasedCompensation,UnrecognizedTaxBenefitsDecreasesResultingFromCurrentPeriodTaxPositions,UnrecognizedTaxBenefitsDecreasesResultingFromPriorPeriodTaxPositions,UnrecognizedTaxBenefitsIncreasesResultingFromCurrentPeriodTaxPositions,UnrecognizedTaxBenefitsIncreasesResultingFromPriorPeriodTaxPositions,ValuationAllowanceDeferredTaxAssetChangeInAmount,ValuationAllowancesAndReservesPeriodIncreaseDecrease,WeightedAverageNumberOfSharesOutstandingBasic,OtherNonoperatingIncomeExpense,WeightedAverageNumberOfShareOutstandingBasicAndDiluted
2016-12-31,2017-03-20,10-K,CANCER CAPITAL CORP.,CNCL,CIK0001130889,USD,,19250.0,,,,6900.0,,19250.0,21143.0,,6900.0,47050.0,,625.0,625.0,216368.0,625.0,27.0,,,,,0.001,20000000.0,6150000.0,6150000.0,6150.0,,0.95,13873.0,6900.0,,,,,,0.08,,,,0.0,91653.0,,91653.0,,,,0.0,0.0,13873.0,-26562.0,0.0,,,-9031.0,9031.0,,,,,,,6660.0,,,,6029.0,,,8400.0,6029.0,6660.0,,,21143.0,,216993.0,625.0,,216993.0,,7000.0,,-6973.0,-26562.0,,,78075.0,91625.0,,,-13873.0,269568.0,,12689.0,,,,78075.0,,,,,7000.0,7000.0,,,,-269568.0,,,-216368.0,,,,,,,,,,,,,9031.0,,6150000.0,,
2017-03-31,2017-05-05,10-Q,CANCER CAPITAL CORP.,CNCL,CIK0001130889,USD,,,,3400.0,,9000.0,,21082.0,,,,47050.0,,475.0,475.0,,475.0,-150.0,,,,,0.001,20000000.0,6150000.0,6150000.0,6150.0,,,5650.0,2100.0,,,,,,,,,,,,,,,,,,0.0,5650.0,-9043.0,,,,,,,3400.0,,,,,1832.0,,,,1561.0,,,,1561.0,1832.0,,,22704.0,,225886.0,475.0,,225886.0,,,,-150.0,-9043.0,,,78075.0,91625.0,,,-5650.0,,,3393.0,,,,,,,,,,,,,,-278611.0,,,-225411.0,,,,,,,,,,,,,,,6150000.0,,
2017-06-30,2017-08-08,10-Q,CANCER CAPITAL CORP.,CNCL,CIK0001130889,USD,,,,,,10500.0,,22915.0,,,,47050.0,,525.0,525.0,,525.0,,,,,,0.001,20000000.0,6150000.0,6150000.0,6150.0,,,2550.0,,,,,,,,,,,,,,,,,,,0.0,2550.0,-5984.0,,,,,,,,,,,,,,,,,,,,1601.0,1833.0,,,24305.0,,231920.0,525.0,,231920.0,,,,,-5984.0,,,82575.0,91625.0,,,-2550.0,,,3434.0,,,,,,,,,,,,,,-284595.0,,,-231395.0,,,,,,,,,,,,,,,6150000.0,,
2017-09-30,2017-11-09,10-Q,CANCER CAPITAL CORP.,CNCL,CIK0001130889,USD,,,,,,12000.0,,24757.0,,,,47050.0,,425.0,425.0,,425.0,,,,,,0.001,20000000.0,6150000.0,6150000.0,6150.0,,,2600.0,,,,,,,,,,,,,,,,,,,0.0,2600.0,-6093.0,,,,,,,,,,,,,,,,,,,,1651.0,1842.0,,,25956.0,,237913.0,425.0,,237913.0,,,,,-6093.0,,,82575.0,92625.0,,,-2600.0,,,3493.0,,,,,,,,,,,,,,-290688.0,,,-237488.0,,,,,,,,,,,,,,,6150000.0,,
2017-12-31,2018-03-23,10-K,CANCER CAPITAL CORP.,CNCL,CIK0001130889,USD,,26629.0,,,,6600.0,,26629.0,26629.0,,6600.0,47050.0,,315.0,315.0,243621.0,315.0,-310.0,,,,-310.0,0.001,20000000.0,6150000.0,6150000.0,6150.0,,0.95,13410.0,6600.0,,,,,,0.08,0.08,,,0.0,62332.0,,62332.0,,,6600.0,0.0,0.0,13410.0,-27253.0,,,,-35044.0,5723.0,,,,6464.0,,,7379.0,,,,6464.0,,,6900.0,6464.0,7379.0,,,27607.0,,243936.0,315.0,,243936.0,,6500.0,,-6810.0,-27253.0,,,82575.0,100525.0,,13410.0,-13410.0,296821.0,,13843.0,,,82575.0,82575.0,-13843.0,,,,4500.0,4500.0,2000.0,,,-296821.0,,,-243621.0,,,,,,,,,,,,,-29321.0,,6150000.0,,
2018-03-31,2018-05-10,10-Q,CANCER CAPITAL CORP.,CNCL,CIK0001130889,USD,,,,3475.0,,8700.0,,28639.0,28639.0,,,47050.0,,178.0,178.0,,178.0,-137.0,,,,-137.0,0.001,20000000.0,6150000.0,6150000.0,6150.0,,,5712.0,2100.0,,,,,,,0.08,,,,,,,,,,,0.0,5712.0,-9373.0,,,,,,,3475.0,3475.0,1651.0,,,2010.0,,2100.0,,1651.0,,,,1651.0,2010.0,,,29258.0,,253172.0,178.0,,253172.0,,,,-137.0,-9373.0,,,82575.0,100525.0,,5712.0,-5712.0,,,3661.0,,,,,-3661.0,,,,,,,,,-306194.0,,,-252994.0,,,,,,,,,,,,,,,6150000.0,,
2018-06-30,2018-08-09,10-Q,CANCER CAPITAL CORP.,CNCL,CIK0001130889,USD,,,,,,10200.0,,30724.0,30724.0,,,47050.0,,98.0,98.0,,98.0,,,,,,0.001,20000000.0,6150000.0,6150000.0,6150.0,,,2605.0,,,,,,,,0.08,,,,,,,,,,,0.0,2605.0,-6341.0,,,,,,,,,,,,,,,,,,,,1651.0,2085.0,,,30909.0,,259433.0,98.0,,259433.0,,,,,-6341.0,,,82575.0,105025.0,,2605.0,-2605.0,,,3736.0,,,,,-3736.0,,,,,,,,,-312535.0,,,-259335.0,,,,,,,,,,,,,,,6150000.0,,
2018-09-30,2018-11-06,10-Q,CANCER CAPITAL CORP.,CNCL,CIK0001130889,USD,,,,1100.0,,11700.0,,32824.0,32824.0,,,47050.0,,83.0,83.0,,83.0,,,,,,0.001,20000000.0,6150000.0,6150000.0,6150.0,,,2615.0,,,,,,,,0.08,,,,,,,,,11700.0,,0.0,2615.0,-6366.0,,,,,,,,,,,,,,,,,,,,1651.0,2100.0,,,32560.0,,265784.0,83.0,,265784.0,,,,,-6366.0,,,82575.0,105025.0,,2615.0,-2615.0,,,3751.0,,,,,-3751.0,,,,,,,,,-318901.0,,,-265701.0,,,,,,,,,,,,,,,6150000.0,,
2018-12-31,2019-03-19,10-K,CANCER CAPITAL CORP.,CNCL,CIK0001130889,USD,,34948.0,,1100.0,,6600.0,,34948.0,,,6600.0,47050.0,,168.0,168.0,272091.0,168.0,,,,,-147.0,0.001,20000000.0,6150000.0,6150000.0,6150.0,,0.95,,6600.0,,,,,,0.08,,,,,68311.0,,68311.0,,,,0.0,0.0,13547.0,-28470.0,,,,,5979.0,,,1100.0,6604.0,,,8319.0,,,,,,,6600.0,6604.0,8319.0,,,34211.0,,272259.0,168.0,,272259.0,,5700.0,,-5847.0,-28470.0,,,82575.0,112825.0,,13547.0,-13547.0,325291.0,,,,,82575.0,,-14923.0,,,,,,5700.0,,,-325291.0,,,-272091.0,,,,,,,,,,,,,5979.0,,6150000.0,,
2019-03-31,2019-05-10,10-Q,CANCER CAPITAL CORP.,CNCL,CIK0001130889,USD,,37191.0,,3900.0,,8100.0,,37191.0,,,8100.0,47050.0,,253.0,253.0,,253.0,,,,,85.0,0.001,20000000.0,6150000.0,6150000.0,6150.0,,,,1500.0,,,,,,0.08,,,,,,,,,,,,0.0,5415.0,-9309.0,,,,,,,,2800.0,1651.0,,,2243.0,1500.0,,,,1200.0,,,1651.0,2243.0,,,35862.0,,281653.0,253.0,,281653.0,,1200.0,,-1115.0,-9309.0,,,82575.0,114025.0,,5415.0,-5415.0,,,,,,,,-3894.0,,,,,,1200.0,,,-334600.0,,,-281400.0,,,,,,,,,,,,,,,6150000.0,,
2019-06-30,2019-08-09,10-Q,CANCER CAPITAL CORP.,CNCL,CIK0001130889,USD,,39504.0,,1200.0,,9600.0,,39504.0,,,9600.0,47050.0,,243.0,243.0,,243.0,,,,,,0.001,20000000.0,6150000.0,6150000.0,6150.0,,,,,,,,,,,,,,,,,,,,,,0.0,2710.0,-6674.0,,,,,,,,,,,,,,,,,,,,1651.0,2313.0,,,37513.0,,288317.0,243.0,,288317.0,,,,,-6674.0,,,82575.0,117925.0,,2710.0,-2710.0,,,,,,,,-3964.0,,,,,,,,,-341274.0,,,-288074.0,,,,,,,,,,,,,,,6150000.0,,
2019-09-30,2019-11-12,10-Q,CANCER CAPITAL CORP.,CNCL,CIK0001130889,USD,,41883.0,,,,11100.0,,41883.0,,,11100.0,47050.0,,233.0,233.0,,233.0,,,,,,0.001,20000000.0,6150000.0,6150000.0,6150.0,,,,,,,,,,,,,,,,,,,,,,0.0,2710.0,-6740.0,,,,,,,,,,,,,,,,,,,,1651.0,2379.0,,,39164.0,,295047.0,233.0,,295047.0,,,,,-6740.0,,,82575.0,120325.0,,2710.0,-2710.0,,,,,,,,-4030.0,,,,,,,,,-348014.0,,,-294814.0,,,,,,,,,,,,,,,6150000.0,,
2019-12-31,2020-04-14,10-K,CANCER CAPITAL CORP.,CNCL,CIK0001130889,USD,,44289.0,,1200.0,,6000.0,,44289.0,40815.0,,6000.0,47050.0,,218.0,218.0,301586.0,218.0,,,50.0,,50.0,0.001,20000000.0,6150000.0,6150000.0,6150.0,,0.95,,6000.0,,,,,,0.08,,,,,74505.0,,74505.0,,,,0.0,0.0,13550.0,-29495.0,,,,,6194.0,,,100.0,6604.0,,,9341.0,6000.0,,,,,,,6604.0,9341.0,,,40815.0,,301804.0,218.0,,301804.0,,7500.0,,-7450.0,-29495.0,,,82575.0,126925.0,,13550.0,-13550.0,354786.0,,,,,82575.0,,-15945.0,,,,,7500.0,7500.0,,,-354786.0,,6150000.0,-301586.0,,,,,,,,,,,,,6194.0,,6150000.0,,
2020-03-31,2020-05-12,10-Q,CANCER CAPITAL CORP.,CNCL,CIK0001130889,USD,,46830.0,,2400.0,,7500.0,,46830.0,,,7500.0,47050.0,,3703.0,3703.0,,3703.0,,,3485.0,,3485.0,0.001,20000000.0,6150000.0,6150000.0,6150.0,,,,1500.0,,,,,,0.08,,,,,,,,,,,,0.0,5415.0,-9607.0,,,,,,,,1200.0,1651.0,,,2541.0,1500.0,,,,6200.0,,,1651.0,2541.0,,,42466.0,,314896.0,3703.0,,314896.0,,6200.0,,-2715.0,-9607.0,,,82575.0,133125.0,,5415.0,-5415.0,,,,,,,,-4192.0,,,,6200.0,6200.0,6200.0,,,-364393.0,,6150000.0,-311193.0,,,,,,,,,,,,,,,6150000.0,,
2020-06-30,2020-08-10,10-Q,CANCER CAPITAL CORP.,CNCL,CIK0001130889,USD,,49493.0,,,,9000.0,,49493.0,,,9000.0,47050.0,,108.0,108.0,,108.0,,,,,,0.001,20000000.0,6150000.0,6150000.0,6150.0,,,,,,,,,,,,,,,,,,,,,,0.0,2695.0,-7009.0,,,,,,,,,,,,,,,,,,,,1651.0,2663.0,,,44117.0,,318310.0,108.0,,318310.0,,,,,-7009.0,,,82575.0,133125.0,,2695.0,-2695.0,,,,,,,,-4314.0,,,,,,,,,-371402.0,,6150000.0,-318202.0,,,,,,,,,,,,,,,6150000.0,,
2020-09-30,2020-11-06,10-Q,CANCER CAPITAL CORP.,CNCL,CIK0001130889,USD,,52156.0,,,,10500.0,,52156.0,45808.0,,10500.0,47050.0,,1898.0,1898.0,,1898.0,,,,,,0.001,20000000.0,6150000.0,6150000.0,6150.0,,,,,,,,,,,,,,,,,,,,,,0.0,2710.0,-7064.0,,,,,,,,,,,,,,,,,,,,1691.0,2663.0,,,45808.0,,327164.0,1898.0,,327164.0,,,,,-7064.0,,,85575.0,133125.0,,2710.0,-2710.0,,,,,,,,-4354.0,,,,,,,,,-378466.0,,,-325266.0,,,,,,,,,,,,,,,6150000.0,,
2020-12-31,2021-03-25,10-K,CANCER CAPITAL CORP.,CNCL,CIK0001130889,USD,,54819.0,,,,6000.0,,54819.0,47519.0,,,47050.0,,698.0,698.0,332340.0,698.0,,,480.0,,,0.001,20000000.0,6150000.0,6150000.0,6150.0,,0.95,,6000.0,,,,,,0.08,,,,,80963.0,,80963.0,,,6000.0,-0.01,-0.01,13520.0,-30754.0,,,,,6458.0,,,-1200.0,6704.0,,,10530.0,6000.0,,,,,,,6704.0,10530.0,,,47519.0,,333038.0,698.0,,333038.0,,9200.0,,-8720.0,-30754.0,,,85575.0,139125.0,,13520.0,-13520.0,385540.0,,,,,,,-17234.0,,,,,3000.0,6200.0,,,-385540.0,,6150000.0,-332340.0,,,,,,,,,,,,,6458.0,,6150000.0,-17234.0,6150000.0
2021-03-31,2021-05-17,10-Q,CANCER CAPITAL CORP.,CNCL,CIK0001130889,USD,,57602.0,,3900.0,,7500.0,,57602.0,49230.0,,,47050.0,,698.0,698.0,,698.0,,,,,,0.001,20000000.0,6150000.0,6150000.0,6150.0,,,,1500.0,,,,,,0.08,,,,,,,,,,7500.0,,0.0,5400.0,-9894.0,,,,,,,,3900.0,1711.0,,,2783.0,1500.0,,,,,,,1711.0,2783.0,,,49230.0,,342932.0,698.0,,342932.0,,,,,-9894.0,,,85575.0,139125.0,,5400.0,-5400.0,,,,,,,,-4494.0,,,,,,,,,-395434.0,,6150000.0,-342234.0,,,,,,,,,,,,,,,6150000.0,,
2021-06-30,2021-08-13,10-Q,CANCER CAPITAL CORP.,CNCL,CIK0001130889,USD,,60385.0,,3000.0,,9000.0,,60385.0,51019.0,,,47050.0,,1198.0,1198.0,,1198.0,,,,,,0.001,20000000.0,6150000.0,6150000.0,6150.0,,,,,,,,,,,,,,,,,,,,9000.0,,0.0,3800.0,-8372.0,,,,,,,,,,,,,,,,,,,,1789.0,2783.0,,,51019.0,,351804.0,1198.0,,351804.0,,,,,-8372.0,,,89275.0,139125.0,,3800.0,-3800.0,,,,,,,,-4572.0,,,,,,,,,-403806.0,,6150000.0,-350606.0,,,,,,,,,,,,,,,6150000.0,,
2021-09-30,2021-11-05,10-Q,CANCER CAPITAL CORP.,CNCL,CIK0001130889,USD,,63168.0,,,,10500.0,,63168.0,52899.0,,,47050.0,,1383.0,1383.0,,1383.0,,,,,,0.001,20000000.0,6150000.0,6150000.0,6150.0,,,,,,,,,,,,,,,,,,,,10500.0,,0.0,6315.0,-10978.0,,,,,,,,,,,,,,,,,,,,1880.0,2783.0,,,52899.0,,362967.0,1383.0,,362967.0,,,,,-10978.0,,,97275.0,139125.0,,6315.0,-6315.0,,,,,,,,-4663.0,,,,,,,,,-414784.0,,,-361584.0,,,,,,,,,,,,,,,6150000.0,,
