end,filed,form,Name,Ticker,CIK,Currency,AccountsPayableAndAccruedLiabilitiesCurrent,AccruedIncomeTaxesCurrent,AccruedRentCurrentAndNoncurrent,AccumulatedOtherComprehensiveIncomeLossNetOfTax,AdditionalPaidInCapitalCommonStock,Assets,CashAndCashEquivalentsAtCarryingValue,CashAndCashEquivalentsPeriodIncreaseDecrease,CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalents,CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalentsPeriodIncreaseDecreaseExcludingExchangeRateEffect,CashEquivalentsAtCarryingValue,CommitmentsAndContingencies,CommonStockParOrStatedValuePerShare,CommonStockSharesAuthorized,CommonStockSharesIssued,CommonStockSharesOutstanding,CommonStockValue,ComprehensiveIncomeNetOfTax,CurrentFederalTaxExpenseBenefit,CurrentIncomeTaxExpenseBenefit,CurrentStateAndLocalTaxExpenseBenefit,DebtInstrumentInterestRateStatedPercentage,DeferredFederalIncomeTaxExpenseBenefit,DeferredIncomeTaxExpenseBenefit,DeferredStateAndLocalIncomeTaxExpenseBenefit,DeferredTaxAssetsGross,DeferredTaxAssetsNet,DeferredTaxAssetsOperatingLossCarryforwards,DeferredTaxAssetsTaxDeferredExpenseReservesAndAccruals,DeferredTaxAssetsValuationAllowance,DueToRelatedPartiesCurrent,EarningsPerShareBasic,EarningsPerShareBasicAndDiluted,EarningsPerShareDiluted,EffectiveIncomeTaxRateContinuingOperations,EffectiveIncomeTaxRateReconciliationAtFederalStatutoryIncomeTaxRate,EffectiveIncomeTaxRateReconciliationChangeInDeferredTaxAssetsValuationAllowance,EffectiveIncomeTaxRateReconciliationChangeInEnactedTaxRate,EffectiveIncomeTaxRateReconciliationNondeductibleExpense,EffectiveIncomeTaxRateReconciliationOtherAdjustments,EffectiveIncomeTaxRateReconciliationStateAndLocalIncomeTaxes,EffectiveIncomeTaxRateReconciliationTaxSettlementsDomestic,EffectiveIncomeTaxRateReconciliationTaxSettlementsStateAndLocal,FederalIncomeTaxExpenseBenefitContinuingOperations,GeneralAndAdministrativeExpense,IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,IncomeLossFromContinuingOperationsBeforeInterestExpenseInterestIncomeIncomeTaxesExtraordinaryItemsNoncontrollingInterestsNet,IncomeTaxExaminationPenaltiesAndInterestExpense,IncomeTaxExpenseBenefit,IncomeTaxesPaid,IncomeTaxReconciliationChangeInDeferredTaxAssetsValuationAllowance,IncomeTaxReconciliationChangeInEnactedTaxRate,IncomeTaxReconciliationIncomeTaxExpenseBenefitAtFederalStatutoryIncomeTaxRate,IncomeTaxReconciliationNondeductibleExpense,IncomeTaxReconciliationOtherAdjustments,IncomeTaxReconciliationStateAndLocalIncomeTaxes,IncreaseDecreaseInAccountsPayableAndAccruedLiabilities,IncreaseDecreaseInAccountsPayableRelatedParties,IncreaseDecreaseInInterestPayableNet,IncreaseDecreaseInPrepaidExpense,IncreaseDecreaseInPrepaidTaxes,InterestExpense,InterestExpenseDebt,InterestPaid,InterestPaidNet,InterestPayableCurrent,InvestmentIncomeInterest,IssuanceOfStockAndWarrantsForServicesOrClaims,Liabilities,LiabilitiesAndStockholdersEquity,LiabilitiesCurrent,NetCashProvidedByUsedInFinancingActivities,NetCashProvidedByUsedInFinancingActivitiesContinuingOperations,NetCashProvidedByUsedInInvestingActivities,NetCashProvidedByUsedInOperatingActivities,NetCashProvidedByUsedInOperatingActivitiesContinuingOperations,NetIncomeLoss,NonoperatingIncomeExpense,NotesPayableRelatedPartiesClassifiedCurrent,OperatingExpenses,OperatingIncomeLoss,OperatingLossCarryforwards,OtherComprehensiveIncomeLossNetOfTaxPortionAttributableToParent,OtherComprehensiveIncomeReclassificationAdjustmentForSaleOfSecuritiesIncludedInNetIncomeNetOfTax,OtherIncome,OtherNonoperatingIncomeExpense,PaymentsOfCapitalDistribution,PaymentsOfDividendsCommonStock,PreferredStockParOrStatedValuePerShare,PreferredStockSharesAuthorized,PreferredStockSharesIssued,PreferredStockValue,PrepaidExpenseCurrent,PrepaidTaxes,ProceedsFromIssuanceOfCommonStock,ProceedsFromRelatedPartyDebt,ProceedsFromSaleOfShortTermInvestments,ProfitLoss,RealizedInvestmentGainsLosses,RepaymentsOfRelatedPartyDebt,RetainedEarningsAccumulatedDeficit,RevenueFromContractWithCustomerExcludingAssessedTax,Revenues,StockholdersEquity,StockIssuedDuringPeriodValueNewIssues,ValuationAllowanceDeferredTaxAssetChangeInAmount,WeightedAverageNumberOfDilutedSharesOutstanding,WeightedAverageNumberOfShareOutstandingBasicAndDiluted,WeightedAverageNumberOfSharesOutstandingBasic
2017-09-30,2017-11-13,10-Q,RIDGEFIELD ACQUISITION CORP,RDGA,CIK0000812152,USD,0.0,,,,1516419.0,74.0,74.0,,,,,,0.001,30000000.0,1260773.0,1260773.0,1261.0,,,,,0.1,,,,,,,,,151269.0,-0.01,-0.01,-0.01,,,,,,,,,,,6673.0,-9724.0,,,,,,,,,,,,,,,,3033.0,3033.0,,,26819.0,,,151269.0,74.0,,,,,,,-9724.0,-3051.0,,6673.0,-6673.0,,,,,-18.0,,,0.01,5000000.0,0.0,0.0,,,,,,,,,-1668875.0,,,-151195.0,,,1260773.0,1260773.0,1260773.0
2017-12-31,2018-03-30,10-K,RIDGEFIELD ACQUISITION CORP,RDGA,CIK0000812152,USD,3450.0,,1900.0,,1516419.0,609.0,609.0,-2285.0,609.0,,,0.0,0.001,30000000.0,1260773.0,1260773.0,1261.0,,0.0,0.0,0.0,0.1,73540.0,0.0,-6387.0,163308.0,0.0,154379.0,8929.0,163308.0,156960.0,-0.03,,-0.03,0.0,0.34,1.82,-2.208,-0.008,,0.056,,,,19391.0,,,,0.0,0.0,-67414.0,81714.0,-12542.0,297.0,,-2055.0,2899.0,,11703.0,,,,11703.0,,0.0,,,,,609.0,160410.0,20000.0,,,-22285.0,,-36887.0,-17496.0,,19391.0,-19391.0,,,,,-5793.0,,,0.01,5000000.0,0.0,0.0,,,,20000.0,,,,,-1677481.0,,,-159801.0,,67414.0,1260773.0,,1260773.0
2018-03-31,2018-05-10,10-Q,RIDGEFIELD ACQUISITION CORP,RDGA,CIK0000812152,USD,8698.0,,,,1516419.0,1630.0,1630.0,1021.0,,,,0.0,0.001,30000000.0,1260773.0,1260773.0,1261.0,,,,,0.1,,,,,,,,,172724.0,-0.02,,-0.02,,,,,,,,,,,15303.0,,,,,0.0,,,,,,,5248.0,,3264.0,,,,3264.0,,0.0,,,,,1630.0,181422.0,12500.0,,,-11479.0,,-19991.0,-4688.0,,15303.0,-15303.0,,,,,-1424.0,,,0.01,5000000.0,0.0,0.0,,,,12500.0,,,,,-1697472.0,,,-179792.0,,,1260773.0,,1260773.0
2018-06-30,2018-07-31,10-Q,RIDGEFIELD ACQUISITION CORP,RDGA,CIK0000812152,USD,3673.0,,,,1516419.0,2968.0,2968.0,,2968.0,,,0.0,0.001,30000000.0,1260773.0,1260773.0,1261.0,,,,,0.1,,,,,,,,,191451.0,-0.01,,-0.01,,,,,,,,,,,7163.0,,,,,,,,,,,,,,,,,,3728.0,,,,,,,2968.0,195124.0,,,,,,-12364.0,-5201.0,,7163.0,-7163.0,,,,,-1473.0,,,0.01,5000000.0,0.0,0.0,,,,,,,,,-1709836.0,,,-192156.0,,,1260773.0,,1260773.0
2018-09-30,2018-10-30,10-Q,RIDGEFIELD ACQUISITION CORP,RDGA,CIK0000812152,USD,5465.0,,,,1516419.0,2366.0,2366.0,,2366.0,,,0.0,0.001,30000000.0,1260773.0,1260773.0,1261.0,,,,,0.1,,,,,,,,,202956.0,-0.01,,-0.01,,,,,,,,,,,9288.0,,,,,,,,,,,,,,,,,,4006.0,,,,,,,2366.0,208421.0,,,,,,-13899.0,-4611.0,,9288.0,-9288.0,,,,,-605.0,,,0.01,5000000.0,0.0,0.0,,,,,,,,,-1723735.0,,,-206055.0,,,1260773.0,,1260773.0
2018-12-31,2019-03-28,10-K,RIDGEFIELD ACQUISITION CORP,RDGA,CIK0000812152,USD,2500.0,,2500.0,,1516419.0,1684.0,1684.0,1075.0,1684.0,1075.0,0.0,,0.001,30000000.0,1260773.0,1260773.0,1261.0,,0.0,0.0,0.0,0.1,-11811.0,0.0,-3755.0,178874.0,0.0,165531.0,13343.0,178874.0,214631.0,-0.04,,-0.04,0.0,0.21,-0.28,,-0.001,0.003,0.068,,,,37172.0,,,0.0,0.0,0.0,15566.0,,-11686.0,58.0,-183.0,-3755.0,-950.0,,15171.0,,,,15171.0,,0.0,,,,,1684.0,217131.0,42500.0,,,-41425.0,,-55646.0,-18474.0,,37172.0,-37172.0,,,,,-3303.0,,,0.01,5000000.0,0.0,0.0,,,,42500.0,,-55646.0,,0.0,-1733127.0,0.0,,-215447.0,,15566.0,1260773.0,,1260773.0
2019-03-31,2019-05-09,10-Q,RIDGEFIELD ACQUISITION CORP,RDGA,CIK0000812152,USD,8499.0,,2650.0,,1516419.0,6920.0,6920.0,5236.0,6920.0,5236.0,,,0.001,30000000.0,1260773.0,1260773.0,1261.0,,,,,0.1,,,,,,,,,235051.0,-0.02,,-0.02,,,,,,,,,,,15309.0,,,,,0.0,,,,,,,5999.0,,4120.0,,,,4449.0,,0.0,,,,,6920.0,243550.0,16000.0,,,-10764.0,,-21183.0,-5874.0,,15309.0,-15309.0,,,,,-1425.0,,,0.01,5000000.0,0.0,0.0,,,,16000.0,,-21183.0,,,-1754310.0,,,-236630.0,,,1260773.0,,1260773.0
2019-06-30,2019-08-01,10-Q,RIDGEFIELD ACQUISITION CORP,RDGA,CIK0000812152,USD,3260.0,,2800.0,,1516419.0,1795.0,1795.0,,1795.0,,,,0.001,30000000.0,1260773.0,1260773.0,1261.0,,,,,0.1,,,,,,,,,245740.0,-0.01,,-0.01,,,,,,,,,,,5337.0,,,,,,,,,,,,,,,,,,4688.0,,,,,,,1795.0,249000.0,,,,,,-10575.0,-5238.0,,5337.0,-5337.0,,,,,-550.0,,,0.01,5000000.0,0.0,0.0,,,,,,,,,-1764885.0,,,-247205.0,,,1260773.0,,1260773.0
2019-09-30,2019-10-31,10-Q,RIDGEFIELD ACQUISITION CORP,RDGA,CIK0000812152,USD,3461.0,,2800.0,,1516419.0,789.0,789.0,,789.0,,,,0.001,30000000.0,1260773.0,1260773.0,1261.0,,,,,0.1,,,,,,,,,256633.0,-0.01,,-0.01,,,,,,,,,,,7007.0,,,,,,,,,,,,,,,,,,4893.0,,,,,,,789.0,260094.0,,,,,,-12100.0,-5093.0,,7007.0,-7007.0,,,,,-200.0,,,0.01,5000000.0,0.0,0.0,,,,,,,,,-1776985.0,,,-259305.0,,,1260773.0,,1260773.0
2019-12-31,2020-02-25,10-K,RIDGEFIELD ACQUISITION CORP,RDGA,CIK0000812152,USD,5462.0,,2800.0,,1516419.0,6271.0,6271.0,,6271.0,4587.0,0.0,,0.001,30000000.0,1260773.0,1260773.0,1261.0,,0.0,0.0,0.0,0.1,-11658.0,0.0,-5239.0,195771.0,0.0,177012.0,18759.0,195771.0,269368.0,-0.04,,-0.04,0.0,0.21,-0.303,,-0.001,0.0,0.094,,,,33255.0,,,0.0,0.0,0.0,16897.0,,-11742.0,84.0,0.0,-5239.0,5762.0,,19026.0,,,,19026.0,,0.0,,,,,6271.0,277630.0,35711.0,,,-31124.0,,-55912.0,-22657.0,,33255.0,-33255.0,,,,,-3631.0,,,0.01,5000000.0,0.0,0.0,,,,35711.0,,-55912.0,,0.0,-1789039.0,0.0,,-271359.0,,16897.0,1260773.0,,1260773.0
2020-03-31,2020-05-12,10-Q,RIDGEFIELD ACQUISITION CORP,RDGA,CIK0000812152,USD,0.0,,2800.0,,1516419.0,10554.0,10554.0,,10554.0,4283.0,,,0.001,30000000.0,1260773.0,1260773.0,1261.0,,,,,0.1,,,,,,,,,304648.0,-0.02,,-0.02,,,,,,,,,,,18830.0,,,,,0.0,,,,,,,-5462.0,,5280.0,0.0,,,5280.0,,0.0,,,,,10554.0,307448.0,30000.0,,,-25717.0,,-25535.0,-6705.0,,18830.0,-18830.0,,,,,-1425.0,,,0.01,5000000.0,0.0,0.0,,,0.0,30000.0,,-25535.0,,0.0,-1814574.0,,,-296894.0,,,1260773.0,,1260773.0
2020-06-30,2020-08-04,10-Q,RIDGEFIELD ACQUISITION CORP,RDGA,CIK0000812152,USD,885.0,,2800.0,,1516419.0,4896.0,4896.0,,4896.0,,,,0.001,30000000.0,1260773.0,1260773.0,1261.0,,,,,0.1,,,,,,,,,310511.0,-0.01,,-0.01,,,,,,,,,,,6543.0,,,,,,,,,,,,,,,,,,5863.0,,,,,,,4896.0,314196.0,,,,,,-12406.0,-5863.0,,6543.0,-6543.0,,,,,0.0,,,0.01,5000000.0,0.0,0.0,,,,,,,,,-1826980.0,,,-309300.0,,,1260773.0,,1260773.0
2020-09-30,2020-10-29,10-Q,RIDGEFIELD ACQUISITION CORP,RDGA,CIK0000812152,USD,11.0,,2800.0,,1516419.0,4003.0,4003.0,,4003.0,,,,0.001,30000000.0,1260773.0,1260773.0,1261.0,,,,,0.1,,,,,,,,,326479.0,-0.01,,-0.01,,,,,,,,,,,9506.0,,,,,,,,,,,,,,,,,,6001.0,,,,,,,4003.0,329290.0,,,,,,-15987.0,-6481.0,,9506.0,-9506.0,,,,,-480.0,,,0.01,5000000.0,0.0,0.0,,,,,,,,,-1842967.0,,,-325287.0,,,1260773.0,,1260773.0
2020-12-31,2021-03-04,10-K,RIDGEFIELD ACQUISITION CORP,RDGA,CIK0000812152,USD,820.0,,2800.0,,1516419.0,2816.0,2816.0,,2816.0,-3455.0,0.0,,0.001,30000000.0,1260773.0,1260773.0,1261.0,,0.0,0.0,0.0,0.1,-15379.0,0.0,2657.0,208493.0,0.0,187153.0,21340.0,208493.0,338785.0,-0.05,,-0.05,0.0,0.21,-0.174,,0.0,-0.061,0.025,,,,42075.0,,,0.0,0.0,0.0,12722.0,,-15379.0,0.0,4498.0,-1841.0,-4642.0,,23417.0,,,,23417.0,,0.0,,,,,2816.0,342405.0,46000.0,,,-49455.0,,-68230.0,-26155.0,,42075.0,-42075.0,,,,,-2738.0,,,0.01,5000000.0,0.0,0.0,0.0,,0.0,46000.0,,-68230.0,,0.0,-1857269.0,0.0,,-339589.0,,12722.0,1260773.0,,1260773.0
2021-03-31,2021-05-06,10-Q,RIDGEFIELD ACQUISITION CORP,RDGA,CIK0000812152,USD,4491.0,,2800.0,,1914819.0,40798.0,40198.0,,40198.0,37382.0,,,0.001,30000000.0,2860773.0,2860773.0,2861.0,,,,,0.1,,,,,,,,,,-0.02,,-0.02,,,,,,,,,,,19622.0,,,,,0.0,,,,,,,3671.0,,5657.0,600.0,,,5657.0,,0.0,,,,,40798.0,7291.0,55558.0,,,-18176.0,,-26904.0,-7282.0,,19622.0,-19622.0,,,,,-1625.0,,,0.01,5000000.0,0.0,0.0,600.0,,50558.0,5000.0,,-26904.0,,0.0,-1884173.0,,,33507.0,400000.0,,1438551.0,,1438551.0
2021-06-30,2021-08-12,10-Q,RIDGEFIELD ACQUISITION CORP,RDGA,CIK0000812152,USD,743.0,,,,1914819.0,25977.0,25577.0,,25577.0,,,,0.001,30000000.0,2860773.0,2860773.0,2861.0,,,,,0.1,,,,,,,,,,,,,,,,,,,,,,,8050.0,,,,,,,,,,,,,,,,,,23.0,,,,,,,25977.0,743.0,,,,,,-8273.0,-223.0,,8050.0,-8050.0,,,,,-200.0,,,0.01,5000000.0,0.0,0.0,400.0,,,,,,,,-1892446.0,,,25234.0,,,2860773.0,,2860773.0
2021-09-30,2021-10-28,10-Q,RIDGEFIELD ACQUISITION CORP,RDGA,CIK0000812152,USD,1432.0,,,,1914819.0,14635.0,14435.0,,14435.0,,,,0.001,30000000.0,2860773.0,2860773.0,2861.0,,,,,0.1,,,,,,,,,,,,,,,,,,,,,,,11351.0,,,,,,,,,,,,,,,,,,,,,,,,,14635.0,1432.0,,,,,,-12031.0,-680.0,,11351.0,-11351.0,,,,,-680.0,,,0.01,5000000.0,0.0,0.0,200.0,,,,,,,,-1904477.0,,,13203.0,,,2860773.0,,2860773.0
2021-12-31,2022-03-11,10-K,RIDGEFIELD ACQUISITION CORP,RDGA,CIK0000812152,USD,3760.0,,,,1914819.0,5638.0,5638.0,,5638.0,2822.0,0.0,,0.001,30000000.0,2860773.0,2860773.0,2861.0,,0.0,0.0,0.0,0.1,-31011.0,0.0,9697.0,187179.0,0.0,187179.0,0.0,187179.0,0.0,-0.02,,-0.02,0.0,0.21,0.364,,0.0,-0.359,0.118,,,,50148.0,,,0.0,0.0,0.0,-21314.0,,-12292.0,0.0,20997.0,-6873.0,2940.0,,5657.0,,,,5681.0,,0.0,,,,,5638.0,3760.0,55558.0,,,-52736.0,,-58533.0,-8385.0,,50148.0,-50148.0,,,,,-2704.0,,,0.01,5000000.0,0.0,0.0,,,50558.0,5000.0,,-58533.0,,,-1915802.0,0.0,,1878.0,400000.0,21314.0,2505217.0,,2505217.0
