end,filed,form,Name,Ticker,CIK,Currency,AccountsPayableCurrent,AccountsPayableRelatedPartiesCurrent,AccountsReceivableNetCurrent,AccretionExpense,AccruedLiabilitiesCurrent,AccruedSalariesCurrentAndNoncurrent,AccumulatedDepreciationDepletionAndAmortizationPropertyPlantAndEquipment,AdditionalPaidInCapital,AllowanceForDoubtfulAccountsReceivable,Assets,AssetsCurrent,BankOverdrafts,BuildingsAndImprovementsGross,CashAndCashEquivalentsAtCarryingValue,CashAndCashEquivalentsPeriodIncreaseDecrease,CashEquivalentsAtCarryingValue,CommonStockParOrStatedValuePerShare,CommonStockShareSubscribedButUnissuedSubscriptionsReceivable,CommonStockSharesAuthorized,CommonStockSharesIssued,CommonStockSharesOutstanding,CommonStockSharesSubscribedButUnissued,CommonStockSharesSubscriptions,CommonStockValue,ComprehensiveIncomeNetOfTax,CostOfRevenue,DebtConversionConvertedInstrumentAmount1,DeferredTaxAssetsOperatingLossCarryforwards,DeferredTaxAssetsOperatingLossCarryforwardsSubjectToExpiration,Depreciation,DepreciationAndAmortization,DepreciationDepletionAndAmortization,DevelopmentStageEnterpriseDeficitAccumulatedDuringDevelopmentStage,DisposalGroupNotDiscontinuedOperationLossGainOnWriteDown,DueToRelatedPartiesCurrent,EarningsPerShareBasic,EarningsPerShareBasicAndDiluted,GainLossOnDispositionOfAssets,GainLossOnDispositionOfAssets1,GeneralAndAdministrativeExpense,GrossProfit,ImpairmentOfLongLivedAssetsToBeDisposedOf,IncomeLossFromContinuingOperations,IncomeLossFromContinuingOperationsBeforeIncomeTaxesDomestic,IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,IncomeTaxesPaid,IncomeTaxesPaidNet,IncreaseDecreaseInAccountsPayable,IncreaseDecreaseInAccountsPayableTrade,IncreaseDecreaseInAccountsReceivable,IncreaseDecreaseInAccruedLiabilities,IncreaseDecreaseInAccruedSalaries,IncreaseDecreaseInAccruedTaxesPayable,IncreaseDecreaseInDueToRelatedParties,IncreaseDecreaseInEmployeeRelatedLiabilities,IncreaseDecreaseInInventories,IncreaseDecreaseInNotesPayableRelatedParties,InterestPaid,InterestPaidNet,InventoryNet,InventoryRealEstate,IssuanceOfStockAndWarrantsForServicesOrClaims,LaborAndRelatedExpense,Land,LeaseAndRentalExpense,Liabilities,LiabilitiesAndStockholdersEquity,LiabilitiesCurrent,MarketingAndAdvertisingExpense,MarketingExpense,NetCashProvidedByUsedInFinancingActivities,NetCashProvidedByUsedInInvestingActivities,NetCashProvidedByUsedInOperatingActivities,NetIncomeLoss,NetIncomeLossAvailableToCommonStockholdersBasic,NotesPayableRelatedPartiesNoncurrent,OperatingExpenses,OperatingIncomeLoss,OperatingLeasesRentExpenseNet,OperatingLossCarryforwards,OperatingLossCarryforwardsValuationAllowance,OtherAssets,OtherAssetsNoncurrent,OtherComprehensiveIncomeLossNetOfTax,OtherComprehensiveIncomeLossNetOfTaxPortionAttributableToParent,OtherComprehensiveIncomeLossTax,OtherGeneralAndAdministrativeExpense,OtherNonoperatingExpense,PaymentsToAcquirePropertyPlantAndEquipment,PaymentsToAcquireRealEstateHeldForInvestment,PreferredStockParOrStatedValuePerShare,PreferredStockSharesAuthorized,PreferredStockSharesIssued,PreferredStockValue,ProceedsFromIssuanceOfCommonStock,ProceedsFromIssuanceOrSaleOfEquity,ProceedsFromLoans,ProceedsFromOtherDeposits,ProceedsFromRelatedPartyDebt,ProceedsFromRepaymentsOfBankOverdrafts,ProceedsFromSaleOfRealEstateHeldforinvestment,ProfessionalFees,ProfitLoss,PropertyPlantAndEquipmentDisposals,PropertyPlantAndEquipmentGross,PropertyPlantAndEquipmentNet,RealEstateHeldforsale,RealEstateTaxExpense,RelatedPartyDepositLiabilities,ResearchAndDevelopmentExpense,RetainedEarningsAccumulatedDeficit,Revenues,SalariesAndWages,SalariesWagesAndOfficersCompensation,SaleOfStockNumberOfSharesIssuedInTransaction,SaleOfStockPercentageOfOwnershipAfterTransaction,SellingGeneralAndAdministrativeExpense,ShareBasedCompensation,ShareBasedCompensationArrangementByShareBasedPaymentAwardFairValueAssumptionsExercisePrice,StockholdersEquity,StockholdersEquityIncludingPortionAttributableToNoncontrollingInterest,StockIssuedDuringPeriodSharesIssuedForCash,StockIssuedDuringPeriodSharesIssuedForServices,StockIssuedDuringPeriodSharesNewIssues,StockIssuedDuringPeriodSharesOther,StockIssuedDuringPeriodSharesShareBasedCompensation,StockIssuedDuringPeriodValueIssuedForCash,StockIssuedDuringPeriodValueIssuedForServices,StockIssuedDuringPeriodValueNewIssues,StockIssuedDuringPeriodValueOther,StockIssuedDuringPeriodValueShareBasedCompensation,SuppliesExpense,TaxesExcludingIncomeAndExciseTaxes,TemporaryEquityShareSubscriptions,TravelAndEntertainmentExpense,ValuationAllowanceDeferredTaxAssetChangeInAmount,WeightedAverageNumberOfShareOutstandingBasicAndDiluted,WeightedAverageNumberOfSharesOutstandingBasic
2016-12-31,2017-04-17,10-K,ALPHA NETWORK ALLIANCE VENTURES INC.,ANAV,CIK0001491829,USD,,746212.0,61836.0,,,625000.0,27751.0,903664.0,0.0,89050.0,72669.0,,,10833.0,6326.0,0.0,0.0001,,8000000000.0,113405751.0,113405751.0,,,11341.0,-375784.0,38175.0,,,,6292.0,,6292.0,,,,0.0,,,,,21288.0,,,-375784.0,,,,,,26919.0,,300000.0,,398973.0,,-3765.0,98973.0,,,,,,301500.0,,,1371212.0,89050.0,1371212.0,,244.0,98973.0,,-92646.0,-375784.0,-375784.0,746212.0,397072.0,-375784.0,1593.0,,,,,,,,24735.0,,,,,,,,,,,,,,,27376.0,-375784.0,,,16381.0,,,300000.0,,-2197167.0,59463.0,,,,,,,,-1282162.0,-1282162.0,,,0.0,,,,,,,,,,,25289.0,,,113405751.0
2017-03-31,2017-05-10,10-Q,ALPHA NETWORK ALLIANCE VENTURES INC.,ANAV,CIK0001491829,USD,,757955.0,25538.0,,,700000.0,29324.0,903664.0,,47238.0,32430.0,,,6892.0,-3941.0,0.0,0.0001,,8000000000.0,113405751.0,113405751.0,,,11341.0,-128555.0,2662.0,,,,1573.0,,1573.0,,,,0.0,,,,,830.0,,,-90826.0,,,,,,-36298.0,75000.0,75000.0,,11743.0,,,11743.0,,,,,,95015.0,,,1457955.0,47238.0,1457955.0,,299.0,11743.0,,-15684.0,,,757955.0,129385.0,-90826.0,297.0,,,,,,,,11953.0,,,,,,,,,,,,,,,6830.0,-128555.0,,,14808.0,,,300000.0,,-2325722.0,3492.0,,,,,,,,-1410717.0,,,,0.0,,,,,,,,,,,12435.0,,,113405751.0
2017-06-30,2017-08-21,10-Q,ALPHA NETWORK ALLIANCE VENTURES INC.,ANAV,CIK0001491829,USD,,773287.0,23148.0,,,775000.0,30897.0,903664.0,,46743.0,33508.0,,,10360.0,,0.0,0.0001,,8000000000.0,113405751.0,113405751.0,,,11341.0,-90826.0,3024.0,,,,,,,,,,0.0,,,,,907.0,,,,,,,,,,,,,,,,,,,,,,77000.0,,,1548287.0,46743.0,1548287.0,,299.0,,,,,,773287.0,91733.0,,317.0,,,,,,,,6176.0,,,,,,,,,,,,,,,4570.0,-90826.0,,,13235.0,,,300000.0,,-2416549.0,3931.0,,,,,,,,-1501544.0,,,,,,,,,,,,,,,2013.0,,,113405751.0
2017-09-30,2017-11-17,10-Q,ALPHA NETWORK ALLIANCE VENTURES INC.,ANAV,CIK0001491829,USD,,805357.0,26663.0,,,850000.0,32470.0,903664.0,,40157.0,28495.0,,,1832.0,,0.0,0.0001,,8000000000.0,113405751.0,113405751.0,,,11341.0,-113657.0,2704.0,,,,,,,,,,0.0,,,,,811.0,,,-113657.0,,,,,,,,,,,,,,,,,,,81500.0,,,1655357.0,40157.0,1655357.0,,15.0,,,,,,805357.0,114468.0,-113657.0,472.0,,,,,,,,12853.0,,,,,,,,,,,,,,,5276.0,-113657.0,,,11662.0,,,300000.0,,-2530205.0,3515.0,,,,,,,,-1615200.0,,,,,,,,,,,,,,,9026.0,,,113405751.0
2017-12-31,2018-04-16,10-K,ALPHA NETWORK ALLIANCE VENTURES INC.,ANAV,CIK0001491829,USD,37559.0,857421.0,41557.0,,,1250000.0,34043.0,903664.0,0.0,53714.0,43625.0,,,2068.0,-8765.0,3601.0,0.0001,,8000000000.0,113405751.0,113405751.0,,,11341.0,-809104.0,59900.0,,,,6292.0,,6292.0,,,,-0.01,,,,,24170.0,,,,,,,37559.0,,-20279.0,,625000.0,,111209.0,,,111209.0,,,,,,656495.0,,,2144980.0,53714.0,2144980.0,,314.0,111209.0,,-119974.0,-809104.0,-809104.0,857421.0,833274.0,,1365.0,,,,,,,,48894.0,,,,,,,,,,,,,,,68454.0,-809104.0,,,10089.0,,,300000.0,,-3006271.0,84070.0,,,,,,,,-2091266.0,-2091266.0,,,0.0,,,,,,,,,,,40092.0,,,113405751.0
2018-03-31,2018-05-22,10-Q,ALPHA NETWORK ALLIANCE VENTURES INC.,ANAV,CIK0001491829,USD,38892.0,929595.0,74605.0,,,1250000.0,35616.0,903664.0,0.0,89681.0,81165.0,,,6560.0,4492.0,0.0,0.0001,,8000000000.0,113405751.0,113405751.0,,,11341.0,-186206.0,24258.0,,,,1573.0,,1573.0,,,,-0.01,,,,,8790.0,,,,,,,1333.0,,33048.0,,150000.0,,,,,72173.0,,,,,,151000.0,,,2368487.0,89681.0,2368487.0,,325.0,72173.0,,-67681.0,,,929595.0,194996.0,,206.0,,,,,,,,14218.0,,,,,,,,,,,,72173.0,,,6202.0,-186206.0,,,8516.0,,,300000.0,,-3193811.0,33048.0,,,,,,,,-2278806.0,,,,0.0,,,,,,,,,,,20260.0,,,113405751.0
2018-06-30,2018-08-20,10-Q,ALPHA NETWORK ALLIANCE VENTURES INC.,ANAV,CIK0001491829,USD,14247.0,992807.0,81507.0,,,1550000.0,37189.0,903664.0,0.0,94159.0,87216.0,,,5709.0,,0.0,0.0001,,8000000000.0,113405751.0,113405751.0,,,11341.0,-191624.0,11248.0,,,,,,,,,,0.0,,,,,5379.0,,,,,,,,,,,,,,,,,,,,,,155300.0,,206.0,2557054.0,94159.0,2557054.0,,,,,,,,992807.0,197003.0,-191624.0,206.0,,,,,,-191624.0,,20369.0,,,,,,,,,,,,,,,3750.0,-191624.0,,,6943.0,,,300000.0,,-3377900.0,16627.0,,,,,,,,-2462895.0,,,,,,,,,,,,1382.0,,,11911.0,,113405751.0,113405751.0
2018-09-30,2018-11-19,10-Q,ALPHA NETWORK ALLIANCE VENTURES INC.,ANAV,CIK0001491829,USD,14247.0,1073300.0,109432.0,,,1700000.0,38762.0,903664.0,0.0,117619.0,112249.0,,,2817.0,,0.0,0.0001,,8000000000.0,113405751.0,113405751.0,,,11341.0,-207033.0,35193.0,,,,,,,,,,0.0,,,,,16700.0,,,,,,,,,,,,,,,,,,,,,,158940.0,,442.0,2787547.0,117619.0,2787547.0,,,,,,,,1073300.0,223733.0,-207033.0,442.0,,,,,,-207033.0,,20986.0,,,,,,,,,,,,,,,4391.0,-207033.0,,,5370.0,,,300000.0,,-3584933.0,51893.0,158940.0,,,,,,,-2669928.0,,,,,,,,,,,,410.0,,,28631.0,,113405751.0,113405751.0
2018-12-31,2019-04-15,10-K,ALPHA NETWORK ALLIANCE VENTURES INC.,ANAV,CIK0001491829,USD,39599.0,1003645.0,39550.0,,1850000.0,1850000.0,40335.0,903664.0,0.0,43151.0,43151.0,,,3601.0,1533.0,3421.0,0.0001,,8000000000.0,113405751.0,113405751.0,,,11341.0,-758827.0,105993.0,,,,6292.0,0.0,6292.0,,3797.0,1003645.0,-0.01,,,3797.0,,35545.0,,,,,,0.0,2039.0,,2007.0,,600000.0,,146224.0,600000.0,,,,0.0,,,,614220.0,,1266.0,2893244.0,43151.0,2893244.0,,325.0,146224.0,0.0,-144692.0,-758827.0,-758827.0,1003645.0,794372.0,,1266.0,,,,,,,0.0,35410.0,,,,,,,,,,,,146224.0,,,33712.0,-758827.0,,,0.0,,,300000.0,,-3765098.0,141538.0,614220.0,600000.0,,,,,,-2850093.0,-2850093.0,,,0.0,,,,,,,,2465.0,,,83516.0,,113405751.0,113405751.0
2019-03-31,2019-05-20,10-Q,ALPHA NETWORK ALLIANCE VENTURES INC.,ANAV,CIK0001491829,USD,41099.0,1028066.0,44817.0,,,2000000.0,0.0,903664.0,,46013.0,46013.0,,,6560.0,4492.0,,0.0001,,8000000000.0,113405751.0,113405751.0,,,11341.0,-173059.0,26169.0,,,,1573.0,,,,,,-0.01,,,3797.0,,12978.0,,,,,,,0.0,,-33048.0,,150000.0,,,,,,,0.0,,,,150000.0,,309.0,3069165.0,46013.0,3069165.0,,0.0,72173.0,0.0,-67681.0,-168984.0,,,181962.0,,309.0,,,,,,,0.0,6249.0,,,,,,,,,,72173.0,,24421.0,,,500.0,-173059.0,,,0.0,,,300000.0,,-3938157.0,39147.0,150000.0,150000.0,,,,,,-3023152.0,-3023152.0,,,,,,,,,,,0.0,,,17387.0,,113405751.0,113405751.0
2019-06-30,2019-08-19,10-Q,ALPHA NETWORK ALLIANCE VENTURES INC.,ANAV,CIK0001491829,USD,41099.0,,38927.0,,2150000.0,2150000.0,40335.0,,,42348.0,42348.0,,,48.0,,,0.0001,,8000000000.0,113405751.0,113405751.0,,,11341.0,,34929.0,,,,,,,,,1078518.0,0.0,,,,,17332.0,,,,,,,,,,,,,,,,,,,,,,150000.0,,271.0,3269617.0,42348.0,3269617.0,,,,,,,,,221450.0,-204118.0,,,,,,,-204118.0,0.0,35184.0,,,,,,,,,,,,,,,8140.0,,,,,,,300000.0,,-4142274.0,77379.0,150000.0,,,,,,,-3227269.0,,,,,,,,,,,,429.0,,,24150.0,,113405751.0,
2019-09-30,2019-11-21,10-Q,ALPHA NETWORK ALLIANCE VENTURES INC.,ANAV,CIK0001491829,USD,45099.0,,29574.0,,2300000.0,2300000.0,0.0,,,31596.0,31596.0,,,2817.0,,,0.0001,,8000000000.0,113405751.0,113405751.0,,,11341.0,,18563.0,,,,,,,,,1106399.0,0.0,,,,,9317.0,,,,,,,,,,,,,,,,,,,,,,,,344.0,3451498.0,31596.0,3451498.0,,,,,,,,,201949.0,-192632.0,,,,,,,-192632.0,0.0,17896.0,,,,,,,,,,,,,,,6310.0,,,,0.0,,,300000.0,,-4334907.0,27880.0,155020.0,,,,,,,-3419902.0,,,,,,,,,,,,31.0,,,18998.0,,113405751.0,
2019-12-31,2021-06-25,10-K,ALPHA NETWORK ALLIANCE VENTURES INC.,ANAV,CIK0001491829,USD,51299.0,1111053.0,34805.0,,2450000.0,2450000.0,0.0,903664.0,,34853.0,34853.0,,,48.0,-3553.0,,0.0001,,8000000000.0,113405751.0,113405751.0,,,11341.0,-727406.0,101177.0,,,,0.0,0.0,0.0,,0.0,1111053.0,-0.01,,,3797.0,,50385.0,,,,,0.0,0.0,11700.0,,4745.0,,600000.0,,,,,,0.0,0.0,,,,622029.0,,925.0,3612352.0,34853.0,3612352.0,,0.0,107408.0,0.0,-110961.0,-727406.0,-727406.0,,777791.0,,925.0,,,,,0.0,,0.0,51728.0,,,,,,,,,,,,107408.0,,,20140.0,-727406.0,,,0.0,,,300000.0,,-4492504.0,151562.0,622029.0,600000.0,,,,,,-3577499.0,,,,0.0,,,,,169567.0,,,460.0,,,69980.0,,113405751.0,113405751.0
2020-03-31,2021-06-25,10-Q,ALPHA NETWORK ALLIANCE VENTURES INC.,ANAV,CIK0001491829,USD,55299.0,,27544.0,,2600000.0,2600000.0,0.0,,,32350.0,32350.0,,,4806.0,4758.0,,0.0001,,8000000000.0,113405751.0,113405751.0,,,11341.0,-170948.0,22033.0,,,,0.0,0.0,,,,1125498.0,-0.01,,,,,11005.0,,,,,,0.0,4000.0,,7261.0,150000.0,,,,,,,,0.0,,,,,,0.0,3780797.0,32350.0,3780797.0,,0.0,14445.0,0.0,-9687.0,-170948.0,,,181953.0,,,,,,,,,0.0,10057.0,,,,,,,,,,14445.0,,14445.0,,,4750.0,-170948.0,,,0.0,,,300000.0,,-4663452.0,33038.0,151956.0,150000.0,,,,,,-3748447.0,,,,108531251.0,,,,,169567.0,,,32.0,,,9759.0,,113405751.0,
2020-06-30,2021-06-25,10-Q,ALPHA NETWORK ALLIANCE VENTURES INC.,ANAV,CIK0001491829,USD,59299.0,,43242.0,,2750000.0,2750000.0,0.0,,,48216.0,48216.0,,,1179.0,,,0.0001,,8000000000.0,113405751.0,113405751.0,,,11341.0,,29541.0,,,,,,,,,1145358.0,0.0,,,,,14800.0,,,,,,,,,,,,,,,,,,,,,,,,79.0,3954657.0,48216.0,3954657.0,,,,,,,,,172794.0,-157994.0,,,,,,,-143194.0,0.0,8000.0,,,,,,,,,,,,,,,4000.0,,,,0.0,,,,,-4821446.0,44341.0,151669.0,,,,,,,-3906441.0,,,,,,,,,,,,0.0,,,2878.0,,113405751.0,
2020-09-30,2021-06-25,10-Q,ALPHA NETWORK ALLIANCE VENTURES INC.,ANAV,CIK0001491829,USD,63299.0,,52428.0,,2900000.0,2900000.0,0.0,,,55155.0,55155.0,,,1179.0,,,0.0001,,8000000000.0,113405751.0,113405751.0,,,11341.0,,21549.0,,,,,,,,,1162509.0,0.0,,,,,10876.0,,,,,,,,,,,,,,,,,,,,,,,,0.0,4125808.0,55155.0,4125808.0,,,,,,,,,175087.0,-164211.0,,,,,,,-164211.0,0.0,7763.0,,,,,,,,,,,,,,,4000.0,,,,0.0,,,,,-4985658.0,32425.0,151353.0,,,,,,,-4070653.0,,,,,,,,,,,,283.0,,,6688.0,,113405751.0,
2020-12-31,2021-06-25,10-K,ALPHA NETWORK ALLIANCE VENTURES INC.,ANAV,CIK0001491829,USD,68499.0,1177544.0,71810.0,,3050000.0,3050000.0,0.0,903664.0,,72989.0,72989.0,,,1179.0,1131.0,,0.0001,,8000000000.0,113405751.0,113405751.0,,,11341.0,-645554.0,94491.0,,,,,0.0,0.0,,0.0,1177544.0,-0.01,,,,,47376.0,,,,,0.0,,17200.0,,-37005.0,,600000.0,,,,,,0.0,,,,,604978.0,,,4296043.0,72989.0,4296043.0,,972.0,66490.0,0.0,-65359.0,-645554.0,-645554.0,,692930.0,,79.0,,,,,0.0,,,35340.0,,,,,,,,,,,,66490.0,,,17950.0,-645554.0,,,0.0,,,300000.0,,-5138059.0,141867.0,,,,,,,,-4223054.0,,,,0.0,,,,,169567.0,,,314.0,,,21578.0,,,113405751.0
2021-03-31,2021-06-25,10-Q,ALPHA NETWORK ALLIANCE VENTURES INC.,ANAV,CIK0001491829,USD,73299.0,,74060.0,,3200000.0,3200000.0,0.0,,,78234.0,78234.0,,,4174.0,2995.0,,0.0001,,8000000000.0,113405751.0,113405751.0,,,11341.0,-155885.0,1500.0,,,,0.0,0.0,,,,1183874.0,-0.01,,,,,750.0,,,,,,0.0,4800.0,,-2250.0,150000.0,,,,,,,,0.0,,,,,,,4457173.0,78234.0,4457173.0,,0.0,6330.0,0.0,-3335.0,-155885.0,-155885.0,,156635.0,,,,,,,,,0.0,868.0,,,,,,,,,,,,6330.0,,,4800.0,,,,0.0,,,,,-5293944.0,2250.0,150000.0,,10000000.0,0.4309,,,,-4378939.0,,,,,,,,,,,,0.0,,,886.0,,113405751.0,
2021-06-30,2021-08-19,10-Q,ALPHA NETWORK ALLIANCE VENTURES INC.,ANAV,CIK0001491829,USD,56049.0,,82647.0,,3350000.0,3350000.0,0.0,903664.0,,84400.0,84400.0,,,1753.0,,,0.0001,,8000000000.0,993405751.0,993405751.0,,,99341.0,,19970.0,,,,,,,,,1133406.0,0.0,,,,,10005.0,,,,,,,,,,,,,,,,,,,,,,,,0.0,4539455.0,84400.0,4539455.0,,,,,,,,,178990.0,-168985.0,,,,,,,-158980.0,0.0,7786.0,,,,,,,,,,,,,,,6632.0,,,,0.0,,,232000.0,,-5458060.0,29975.0,150000.0,,,,,,,-4455055.0,,,,,,,,,,,,,,,11681.0,,993405751.0,
2021-09-30,2021-11-19,10-Q,ALPHA NETWORK ALLIANCE VENTURES INC.,ANAV,CIK0001491829,USD,56049.0,,88838.0,,3500000.0,3500000.0,0.0,903664.0,,91463.0,91463.0,,,2625.0,,,0.0001,,8000000000.0,993405751.0,993405751.0,,,99341.0,,10629.0,,,,,,,,,1145266.0,0.0,,,,,5312.0,,,,,,,,,,,,,,,,,,,,,,,,0.0,4769318.0,91463.0,4769318.0,,,,,,,,,160114.0,-154802.0,,,,,,,-154802.0,0.0,987.0,,,,,,,,,,,,,,,3000.0,,,,0.0,,,232000.0,,-5612858.0,15941.0,150000.0,,,,,,,-4609855.0,,,,,,,,,,,,0.0,,680000000.0,5428.0,,993405751.0,
