end,filed,form,Name,Ticker,CIK,Currency,AccountsPayableOtherCurrent,AccruedProfessionalFeesCurrent,AccumulatedOtherComprehensiveIncomeLossForeignCurrencyTranslationAdjustmentNetOfTax,Assets,AssetsCurrent,Cash,Cash,CashAndCashEquivalentsAtCarryingValue,CashAndCashEquivalentsPeriodIncreaseDecrease,CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalents,CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalentsPeriodIncreaseDecreaseIncludingExchangeRateEffect,CommonStockDividendsPerShareCashPaid,CommonStockShareSubscribedButUnissuedSubscriptionsReceivable,CommonStockSharesAuthorized,CommonStockSharesIssued,CommonStockSharesOutstanding,CommonStockValue,ComprehensiveIncomeNetOfTax,CostsAndExpenses,DeferredFederalIncomeTaxExpenseBenefit,DistributionMadeToLimitedPartnerCashDistributionsPaid,DueFromBanks,DueToRelatedPartiesCurrent,EarningsPerShareBasicAndDiluted,EffectOfExchangeRateOnCash,EffectOfExchangeRateOnCashAndCashEquivalents,EffectOfExchangeRateOnCashCashEquivalentsRestrictedCashAndRestrictedCashEquivalents,ForeignCurrencyTransactionGainLossUnrealized,IncomeTaxExpenseBenefit,IncreaseDecreaseInAccruedInvestmentIncomeReceivable,IncreaseDecreaseInDueToRelatedPartiesCurrent,IncreaseDecreaseInInterestPayableNet,InterestBearingDepositsInBanks,InterestBearingDepositsInBanks,InterestExpense,InterestPaidNet,InterestPayableCurrent,InterestPayableCurrentAndNoncurrent,InvestmentIncomeInterest,InvestmentInterestRate,Liabilities,LiabilitiesAndStockholdersEquity,LiabilitiesCurrent,NetCashProvidedByUsedInFinancingActivities,NetCashProvidedByUsedInFinancingActivitiesContinuingOperations,NetCashProvidedByUsedInOperatingActivities,NetCashProvidedByUsedInOperatingActivitiesContinuingOperations,NetIncomeLoss,OperatingExpenses,OtherAccruedLiabilitiesCurrent,OtherComprehensiveIncomeForeignCurrencyTransactionAndTranslationAdjustmentBeforeTaxPortionAttributableToParent,OtherComprehensiveIncomeLossForeignCurrencyTransactionAndTranslationAdjustmentNetOfTax,PaymentsForOperatingActivities,PaymentsForOperatingActivities,PaymentsForRepurchaseOfEquity,PaymentsForRepurchaseOfRedeemablePreferredStock,PaymentsForRepurchaseOfRedeemablePreferredStock,PreferredStockRedemptionAmount,ProceedsFromIssuanceOfRedeemablePreferredStock,ProceedsFromIssuanceOfRedeemablePreferredStock,ProceedsFromOperatingActivities,ProceedsFromOtherDeposits,ReclassificationsOfTemporaryToPermanentEquity,RedeemableNoncontrollingInterestEquityCarryingAmount,RetainedEarningsAccumulatedDeficit,Revenues,SponsorFees,StockIssuedDuringPeriodSharesIssuedForCash,StockIssuedDuringPeriodValueAcquisitions,StockIssuedDuringPeriodValueIssuedForCash,StockRedeemedOrCalledDuringPeriodShares,StockRedeemedOrCalledDuringPeriodValue,TemporaryEquityCarryingAmount,TemporaryEquityCarryingAmountAttributableToParent,TemporaryEquityCarryingAmountIncludingPortionAttributableToNoncontrollingInterests,TemporaryEquityForeignCurrencyTranslationAdjustments,TemporaryEquityIssuePeriodIncreaseOrDecrease,TemporaryEquityParOrStatedValuePerShare,TemporaryEquityRedemptionValue,TemporaryEquitySharesAuthorized,TemporaryEquitySharesIssued,TemporaryEquitySharesOutstanding,TemporaryEquityStockIssuedDuringPeriodValueNewIssues,WeightedAverageNumberOfShareOutstandingBasicAndDiluted,WeightedAverageRateForeignDeposit
2019-09-30,2019-11-12,10-Q,Invesco CurrencyShares Japanese Yen Trust,FXY,CIK0001353613,USD,,,,220130958.0,,23790653298.0,220130958.0,,,220130958.0,,,,,,,,,,,,,71538.0,-0.11,,,,,,,,,,220130958.0,55929.0,,,18137.0,0.0,0.001,89675.0,220130958.0,,,,,,-276528.0,276528.0,,,,,,,,,,,,,,,220041283.0,0.0,0.0,220599.0,,0.0,,,0.0,,,,,0.0,0.0,,76000000.0,2500000.0,2500000.0,,2466848.0,
2019-12-31,2020-02-28,10-K,Invesco CurrencyShares Japanese Yen Trust,FXY,CIK0001353613,USD,,,,192398201.0,,20908874389.0,192398201.0,,,183656837.0,13876832.0,,,,,,,,,,,,60846.0,-0.45,,,-2842769.0,,0.0,,5181.0,16886.0,,183656837.0,237680.0,220794.0,,30854.0,0.0,0.002,91700.0,192398201.0,,17814332.0,,-1094731.0,,-1116798.0,1116798.0,,,,119473200.0,,,36228131318.0,327169568.0,,38151608760.0,344983900.0,,,1116798.0,192306501.0,0.0,0.0,879118.0,,,,,,,,,,,0.0,,76000000.0,2200000.0,2200000.0,,2492055.0,
2020-03-31,2020-05-08,10-Q,Invesco CurrencyShares Japanese Yen Trust,FXY,CIK0001353613,USD,4393610.0,,,237345650.0,,25148337480.0,237345650.0,,,237345650.0,53688813.0,,,,,,,,,,,,76649.0,-0.13,,,-436898.0,,0.0,,15803.0,8462.0,,237345650.0,105310.0,96848.0,,39316.0,0.0,0.002,4509575.0,237345650.0,,54413150.0,,-287439.0,,-311704.0,311704.0,,,,31413476.0,,,7115073080.0,59642260.0,,11385949647.0,114055410.0,,,311704.0,232836075.0,0.0,0.0,206394.0,,0.0,,,0.0,,,,,0.0,0.0,,76000000.0,2650000.0,2650000.0,,2378022.0,
2020-06-30,2020-08-07,10-Q,Invesco CurrencyShares Japanese Yen Trust,FXY,CIK0001353613,USD,,,,245918302.0,,26530895995.0,245918302.0,,,232749876.0,,,,,,,,,,,,,76438.0,-0.13,,,,,,,,,,232749876.0,131949.0,,,38916.0,0.0,0.002,115379.0,245918302.0,,,,,,-391347.0,391347.0,,,,,,,,,,,,,,391347.0,245802923.0,0.0,0.0,259398.0,,0.0,,,0.0,,,,,0.0,0.0,,76000000.0,2800000.0,2800000.0,,2941758.0,
2020-09-30,2020-11-06,10-Q,Invesco CurrencyShares Japanese Yen Trust,FXY,CIK0001353613,USD,,,,251032091.0,,25545745884.0,242070936.0,,,251032091.0,,,,,,,,,,,,,82580.0,-0.14,,,,,,,,,,251032067.0,129243.0,,,41990.0,0.0,0.002,9085701.0,251032091.0,,,,,,-383265.0,383265.0,,,,,,,,,8961131.0,,,,,383265.0,241946390.0,0.0,0.0,254022.0,,0.0,,,0.0,,,,,0.0,0.0,,76000000.0,2700000.0,2700000.0,,2832609.0,
2020-12-31,2021-02-26,10-K,Invesco CurrencyShares Japanese Yen Trust,FXY,CIK0001353613,USD,,,,247053789.0,,25507068457.0,247053789.0,,,247053789.0,63396952.0,,,,,,,,,,,,84581.0,-0.54,,,11446401.0,,0.0,,23735.0,12153.0,,247053789.0,493958.0,481805.0,,43007.0,0.0,0.002,127588.0,247053789.0,,53379095.0,,-1428544.0,,-1464432.0,1464432.0,,,,153028653.0,,,19901290156.0,183671183.0,,24652512877.0,237050278.0,,,1464432.0,246926201.0,0.0,0.0,970474.0,,,,,,,,,,,0.0,,76000000.0,2700000.0,2700000.0,,2727049.0,
2021-03-31,2021-05-07,10-Q,Invesco CurrencyShares Japanese Yen Trust,FXY,CIK0001353613,USD,,,,187811702.0,,20753193055.0,187811702.0,,,187811702.0,-59242087.0,,,,,,,,,,,,68745.0,-0.13,,,-15179005.0,,0.0,,-15836.0,-8148.0,,187811702.0,113621.0,121769.0,,34859.0,0.0,0.002,103604.0,187811702.0,,-43701410.0,,-361672.0,,-337688.0,337688.0,,,,37531007.0,,,5188351618.0,48242779.0,,472007223.0,4541369.0,,,337688.0,187708098.0,0.0,0.0,224067.0,,,,,,,,,,,0.0,,76000000.0,2200000.0,2200000.0,,2531111.0,
2021-06-30,2021-08-06,10-Q,Invesco CurrencyShares Japanese Yen Trust,FXY,CIK0001353613,USD,,,,182437382.0,,20248724967.0,182437382.0,,,178196517.0,,,,,,,,,,,,,53182.0,-0.13,,,,,,,,,,178196517.0,83833.0,,,26967.0,0.0,0.002,80149.0,182437382.0,,,,,,-249150.0,249150.0,,,,,,,,,,,,,,249150.0,182357233.0,0.0,0.0,165317.0,,,,,,,,,,,0.0,,76000000.0,2150000.0,2150000.0,,1921429.0,
2021-09-30,2021-11-05,10-Q,Invesco CurrencyShares Japanese Yen Trust,FXY,CIK0001353613,USD,,,,198073902.0,,22100095676.0,198073902.0,,,198073902.0,,,,,,,,,,,,,65105.0,-0.13,,,,,,,,,,198073902.0,100491.0,,,33013.0,0.0,0.002,98118.0,198073902.0,,,,,,-298603.0,298603.0,,,,,,,,,,,,,,298603.0,197975784.0,0.0,0.0,198112.0,,,,,,,,,,,0.0,,,2350000.0,2350000.0,,2311957.0,
2021-12-31,2022-02-25,10-K,Invesco CurrencyShares Japanese Yen Trust,FXY,CIK0001353613,USD,,,,171244773.0,,19719691884.0,171244773.0,,,171244773.0,-75809016.0,,,,,,,,,,,,60306.0,-0.52,,,-22648204.0,,0.0,,-24275.0,-12427.0,,171244773.0,391436.0,403863.0,,30580.0,0.0,0.002,90886.0,171244773.0,,-51961052.0,,-1199760.0,,-1163058.0,1163058.0,,,,130201824.0,,,12713904335.0,115719701.0,,7056729586.0,63758649.0,,,1163058.0,171153887.0,0.0,0.0,771622.0,,,,,,,,,,,0.0,,,2100000.0,2100000.0,,2241096.0,
