end,filed,form,Name,Ticker,CIK,Currency,AccountsPayable,AccountsPayableCurrent,AccountsPayableInterestBearingCurrent,AccruedLiabilities,AccruedLiabilitiesCurrent,AccumulatedDepreciationDepletionAndAmortizationPropertyPlantAndEquipment,AdditionalPaidInCapital,AdditionalPaidInCapitalCommonStock,AdjustmentForAmortization,AdjustmentsNoncashItemsToReconcileNetIncomeLossToCashProvidedByUsedInOperatingActivities,AdjustmentsToAdditionalPaidInCapitalOther,AdvertisingExpense,AmortizationOfIntangibleAssets,Assets,AssetsCurrent,AssetsNoncurrent,CapitalizedComputerSoftwareGross,Cash,CashAndCashEquivalentsAtCarryingValue,CashAndCashEquivalentsPeriodIncreaseDecrease,CashEquivalentsAtCarryingValue,CashFDICInsuredAmount,CommonStockParOrStatedValuePerShare,CommonStockSharesAuthorized,CommonStockSharesIssued,CommonStockSharesOutstanding,CommonStockValue,CostOfGoodsSold,CostOfRevenue,DebtConversionOriginalDebtAmount1,DeferredCosts,DeferredCostsCurrentAndNoncurrent,DeferredRevenueRefundPayments,Depreciation,DepreciationDepletionAndAmortization,DepreciationExpense,DueToRelatedPartiesCurrent,DueToRelatedPartiesNoncurrent,EarningsPerShareBasic,EarningsPerShareBasicAndDiluted,EffectiveIncomeTaxRateContinuingOperations,EffectiveIncomeTaxRateReconciliationAtFederalStatutoryIncomeTaxRate,EffectiveIncomeTaxRateReconciliationDeductions,EffectiveIncomeTaxRateReconciliationDeductionsOther,EffectiveIncomeTaxRateReconciliationDispositionOfAssets,EffectiveIncomeTaxRateReconciliationOtherAdjustments,EffectiveIncomeTaxRateReconciliationStateAndLocalIncomeTaxes,ExtinguishmentOfDebtAmount,FiniteLivedIntangibleAssetsAccumulatedAmortization,FiniteLivedIntangibleAssetsAmortizationExpense,FiniteLivedIntangibleAssetsAmortizationExpenseAfterYearFive,FiniteLivedIntangibleAssetsAmortizationExpenseNextTwelveMonths,FiniteLivedIntangibleAssetsAmortizationExpenseYearFive,FiniteLivedIntangibleAssetsAmortizationExpenseYearFour,FiniteLivedIntangibleAssetsAmortizationExpenseYearThree,FiniteLivedIntangibleAssetsAmortizationExpenseYearTwo,FiniteLivedIntangibleAssetsFutureAmortizationExpense,FiniteLivedIntangibleAssetsGross,FiniteLivedIntangibleAssetsNet,FutureAmortizationExpenseAfterYearFive,FutureAmortizationExpenseRemainderOfFiscalYear,FutureAmortizationExpenseYearFive,FutureAmortizationExpenseYearFour,FutureAmortizationExpenseYearOne,FutureAmortizationExpenseYearThree,FutureAmortizationExpenseYearTwo,GainLossOnSaleOfOtherAssets,GainLossRelatedToLitigationSettlement,GainsLossesOnExtinguishmentOfDebt,GeneralAndAdministrativeExpense,GrossProfit,ImpairmentOfLongLivedAssetsToBeDisposedOf,IncomeLossBeforeExtraordinaryItemsAndCumulativeEffectOfChangeInAccountingPrinciple,IncomeLossFromContinuingOperations,IncomeLossFromContinuingOperationsBeforeIncomeTaxesDomestic,IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,IncomeLossIncludingPortionAttributableToNoncontrollingInterest,IncomeTaxExpenseBenefit,IncomeTaxesPaidNet,IncreaseDecreaseInAccountsPayableAndAccruedLiabilities,IncreaseDecreaseInAccruedLiabilitiesAndOtherOperatingLiabilities,IncreaseDecreaseInAccruedTaxesPayable,IncreaseDecreaseInDeferredCharges,IncreaseDecreaseInNotesPayableRelatedPartiesCurrent,IncreaseDecreaseInOperatingCapital,IncreaseDecreaseInOperatingLiabilities,IncreaseDecreaseInPrepaidExpense,IntangibleAssetsNetExcludingGoodwill,InterestAndDebtExpense,InterestAndDividendsPayableCurrent,InterestExpense,InterestPaid,InterestPayableCurrent,InvestmentIncomeNet,LaborAndRelatedExpense,Liabilities,LiabilitiesAndStockholdersEquity,LiabilitiesCurrent,MachineryAndEquipmentGross,MediumtermNotesCurrent,NetCashProvidedByUsedInFinancingActivities,NetCashProvidedByUsedInInvestingActivities,NetCashProvidedByUsedInOperatingActivities,NetIncomeLoss,NetIncomeLossIncludingPortionAttributableToNonredeemableNoncontrollingInterest,NonoperatingIncomeExpense,NotesPayableCurrent,OperatingExpenses,OperatingIncomeLoss,OperatingLeasesRentExpense,OperatingLeasesRentExpenseNet,OperatingLossCarryforwards,OtherAdditionalCapital,OtherAssetImpairmentCharges,OtherExpenses,OtherGeneralAndAdministrativeExpense,OtherGeneralExpense,OtherLiabilitiesCurrent,OtherNonoperatingIncomeExpense,OtherOperatingActivitiesCashFlowStatement,OtherSellingGeneralAndAdministrativeExpense,OtherShortTermBorrowings,PaymentsForProceedsFromOtherInvestingActivities,PaymentsToAcquireIntangibleAssets,PaymentsToAcquireSoftware,PrepaidExpense,PrepaidExpenseAndOtherAssetsCurrent,PrepaidExpenseCurrent,PrepaidExpenseNoncurrent,ProceedsFromContributedCapital,ProceedsFromIssuanceOfCommonStock,ProceedsFromIssuanceOfLongTermDebt,ProceedsFromIssuanceOfPrivatePlacement,ProceedsFromNotesPayable,ProceedsFromRelatedPartyDebt,ProceedsFromRepaymentsOfOtherDebt,ProfessionalFees,ProfitLoss,PropertyPlantAndEquipmentDisposals,PropertyPlantAndEquipmentGross,PropertyPlantAndEquipmentNet,ProvisionForDoubtfulAccounts,RepaymentOfNotesReceivableFromRelatedParties,RepaymentsOfNotesPayable,RepaymentsOfOtherDebt,RepaymentsOfRelatedPartyDebt,RepaymentsOfShortTermDebtMaturingInMoreThanThreeMonths,ResearchAndDevelopmentExpense,RetainedEarningsAccumulatedDeficit,Revenues,SalariesAndWages,SalesRevenueNet,SellingGeneralAndAdministrativeExpense,ShareBasedCompensation,ShortTermBorrowings,ShortTermNonBankLoansAndNotesPayable,StockholdersEquity,StockholdersEquityIncludingPortionAttributableToNoncontrollingInterest,StockIssuedDuringPeriodValueNewIssues,StockIssuedDuringPeriodValuePurchaseOfAssets,StockIssuedDuringPeriodValueShareBasedCompensation,TravelAndEntertainmentExpense,WeightedAverageNumberOfShareOutstandingBasicAndDiluted,WeightedAverageNumberOfSharesOutstandingBasic,WriteOffOfDeferredDebtIssuanceCost
2014-12-31,2015-03-31,10-K,"ADVANCED VOICE RECOGNITION SYSTEMS, INC.",AVOI,CIK0001342936,USD,,66574.0,,,162383.0,8355.0,7675148.0,7675148.0,12398.0,,,,11224.0,97884.0,10736.0,85236.0,3640.0,10736.0,10736.0,-3259.0,,,,,,,219195.0,,,,,29435.0,-8132.0,1175.0,,,,,,0.01,0.0,0.34,-0.2391,-0.1009,,,0.0,,95294.0,11224.0,,,,,,,55501.0,151095.0,55801.0,15506.0,,8059.0,8059.0,8059.0,8059.0,8059.0,,,,21.79,,,,-136986.0,-139313.0,,,,,49838.0,,,-8132.0,,,,,85236.0,-2327.0,,-2327.0,2327.0,,,,228957.0,97884.0,228957.0,,,81950.0,-8132.0,-77077.0,-139313.0,,,,136986.0,-136986.0,,,,,,1095.0,,1095.0,,,,21791.0,,,,,,,,,,81950.0,,81950.0,,,,67508.0,-139313.0,,6627.0,1912.0,,,,,,,,-8025416.0,,45400.0,,,,,,-131073.0,,81950.0,,,1.193,,215635049.0,
2015-03-31,2015-05-15,10-Q,"ADVANCED VOICE RECOGNITION SYSTEMS, INC.",AVOI,CIK0001342936,USD,,70998.0,,,162383.0,8648.0,-8043178.0,,2310.0,,,,2017.0,87546.0,2708.0,1619.0,3640.0,2708.0,2708.0,-8028.0,,,,,,,219795.0,,,,,29435.0,,184.0,,,,,,0.0,,,,,,,,,97311.0,,,,,,,,,151095.0,53784.0,,,,,,,,,,,3638.0,,,,-16597.0,-17762.0,,,,,4424.0,,,,,,,,83219.0,-1165.0,,-1165.0,1165.0,,,,233381.0,87546.0,233381.0,,,3000.0,,-11028.0,17762.0,,,,16597.0,-16597.0,,,,,,2462.0,,2462.0,,,,3638.0,,,,,,,,,,3000.0,,,,,,9986.0,-17762.0,,,1619.0,,,,,,,,7677548.0,,7.0,,,,,,-145835.0,,3000.0,,,505.0,,219288601.0,
2015-06-30,2015-08-14,10-Q,"ADVANCED VOICE RECOGNITION SYSTEMS, INC.",AVOI,CIK0001342936,USD,,82434.0,,,162383.0,8941.0,7680248.0,,,,,,,103044.0,2703.0,100341.0,3640.0,2703.0,2703.0,,,,,,,,220095.0,,,,,47246.0,,,,,600.0,,,0.0,,,,,,,,,99326.0,,,,,,,,,151095.0,51769.0,,,,,,,,,,,4106.0,,,,-12831.0,-14538.0,,,,,,,,,,,,,,-1707.0,,-1707.0,,,,,260417.0,103044.0,260417.0,,,,,,-14538.0,,,15000.0,12831.0,-12831.0,,,,,,,,,,,,4106.0,,,,,,,,,,,,,,,,8671.0,-14538.0,,,1326.0,,,,,,,,-8057716.0,,,,,,,,-157373.0,,,,,54.0,,219881935.0,
2015-09-30,2015-11-13,10-Q,"ADVANCED VOICE RECOGNITION SYSTEMS, INC.",AVOI,CIK0001342936,USD,,87072.0,,,162383.0,9235.0,,7694648.0,,,,,,95191.0,9200.0,85991.0,3640.0,,9200.0,,,,,,,,222695.0,,,,,1485.0,,,,,600.0,,0.0,,,,,,,,,,102689.0,,,,,,,,,186163.0,83474.0,,,,,,,,,,,6152.0,,,,,,-33848.0,,,,,,,,,,,,,-1334.0,,-1334.0,,,,,269990.0,95191.0,269990.0,,,,,,,,,19935.0,32514.0,-32514.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,26292.0,-33848.0,,,1032.0,,,,,,,,-8092142.0,,,,,,,,-174799.0,,,,,70.0,,221027877.0,
2015-12-31,2016-03-25,10-K,"ADVANCED VOICE RECOGNITION SYSTEMS, INC.",AVOI,CIK0001342936,USD,,92999.0,1994.0,,162383.0,9530.0,,7702247.0,11933.0,,,,10757.0,91331.0,8997.0,81597.0,3640.0,,8997.0,-1738.0,,,,,,,224596.0,,,,,1485.0,,1175.0,,,600.0,,,,0.0,0.34,-0.306,-0.034,,,0.0,,106051.0,,12842.0,13454.0,13454.0,13454.0,13454.0,13454.0,,186163.0,80112.0,,,,,,,,,,,24307.0,,,,,,,,,,48954.0,,,27950.0,,,,,,-7591.0,,-7591.0,7591.0,,,,277911.0,91331.0,277911.0,,,32500.0,-7118.0,-27120.0,-88007.0,,,19935.0,80416.0,-80416.0,,,,,,,,1528.0,,,,,,,-35068.0,,,,,,,32500.0,,,,,,52300.0,-88007.0,,,737.0,,,,,,,,-8113423.0,,1577.0,,,,,,-186580.0,,32500.0,,,704.0,,221054720.0,
2016-03-31,2016-05-12,10-Q,"ADVANCED VOICE RECOGNITION SYSTEMS, INC.",AVOI,CIK0001342936,USD,,99402.0,1994.0,,162656.0,9714.0,,7720998.0,3548.0,,,,3364.0,94196.0,15410.0,78233.0,3640.0,,15410.0,6413.0,,,,,,,227345.0,,,,,1485.0,,184.0,,,,,,,0.0,0.34,-0.306,-0.034,,,0.0,,109415.0,,,,,,,,,186163.0,76748.0,,,,,,,,,,,5707.0,,,,,,,,,,6403.0,,273.0,,,,,,,-1407.0,,-1407.0,1407.0,,,,283987.0,94196.0,283987.0,,,20900.0,,-14487.0,,,,19935.0,23304.0,-23304.0,,,,,,,,560.0,,,,,,,,,,,,,,21500.0,,,,,,15344.0,-24711.0,,,553.0,,-600.0,,,,600.0,,-8138134.0,,1561.0,,,,,,-189791.0,,,,,132.0,,225624157.0,
2016-06-30,2016-08-11,10-Q,"ADVANCED VOICE RECOGNITION SYSTEMS, INC.",AVOI,CIK0001342936,USD,,100009.0,1994.0,,162383.0,9898.0,,7720998.0,,,,,,82268.0,7030.0,74869.0,3640.0,,7030.0,,,,,,,,227345.0,,,,,1485.0,,,,,,,,,,,,,,,,,112779.0,,,,,,,,,186163.0,73384.0,,,,,,,,,,,5561.0,,,,,,,,,,,,,,,,,,,-1467.0,,-1467.0,,,,,,82268.0,284321.0,,,,,,,,,19935.0,10795.0,-10795.0,,,,,,,,245.0,,,,,,,,,,,,,,,,,,,,2491.0,-12262.0,,,369.0,,,,,,,,-8150396.0,,2310.0,,,,,,-202053.0,,,,,188.0,,227345268.0,
2016-09-30,2016-11-02,10-Q,"ADVANCED VOICE RECOGNITION SYSTEMS, INC.",AVOI,CIK0001342936,USD,,98693.0,1994.0,,162383.0,10267.0,,7729223.0,,,,,,77711.0,6021.0,71505.0,3640.0,,6021.0,,,,,,,,228495.0,,,,,1485.0,,,,,,,,,,,,,,,,,116143.0,,,,,,,,,186163.0,70020.0,,,,,,,,,,,7707.0,,,,,,,,,,,,,,,,,,,-1513.0,,-1513.0,,,,,,77711.0,283005.0,,,,,,,,,19935.0,11103.0,-11103.0,,,,,,,,360.0,,,,,,,,,,,,,,,,,,,,3036.0,-12616.0,,,185.0,,,,,,,,-8163012.0,,,,,,,,-205294.0,,,,,,,228058601.0,
2016-12-31,2017-03-31,10-K,"ADVANCED VOICE RECOGNITION SYSTEMS, INC.",AVOI,CIK0001342936,USD,,109393.0,3987.0,,162383.0,10267.0,,7741773.0,14191.0,,,,13454.0,77597.0,9454.0,68143.0,3640.0,,9454.0,457.0,,,,,,,230395.0,,,,,1485.0,,737.0,,,,,,,0.0,0.34,-0.1794,-0.1606,,,0.0,,119505.0,,12842.0,13454.0,12842.0,13454.0,13454.0,13454.0,,186163.0,66658.0,,,,,,,,,,,25397.0,,,,,,,,,,18387.0,,,,,,,,,-10954.0,,-10954.0,8960.0,,,,295698.0,77597.0,295698.0,,,44725.0,,-44268.0,-76846.0,,,19935.0,65892.0,-65892.0,,,,,,,,1689.0,,,,,,,,,,,,,,45325.0,-600.0,,,,,34558.0,-76846.0,,,,,-600.0,,,,,,-8190269.0,,3928.0,,,,,,-218101.0,-218101.0,45325.0,,,320.0,,227639241.0,
2017-03-31,2017-05-15,10-Q,"ADVANCED VOICE RECOGNITION SYSTEMS, INC.",AVOI,CIK0001342936,USD,,126642.0,4485.0,,162382.0,10267.0,,7752173.0,3364.0,,,,3364.0,73374.0,8595.0,64779.0,3640.0,,8595.0,-859.0,,,,,,,232995.0,,,,,1485.0,,,,,,,,,,,,,,,,,122869.0,,,,,,,,,186163.0,63294.0,,,,,,,,,,,5512.0,,,,,,,,,,17746.0,,,,,,,,,-2460.0,,-2460.0,2460.0,,,,313444.0,73374.0,313444.0,,,13000.0,,-13859.0,,,,19935.0,32509.0,-32509.0,,,,,,,,807.0,,,,,,,,,,,,,,13000.0,,,,,,22865.0,-34969.0,,,,,,,,,,,-8225238.0,,3325.0,,,,,,-240070.0,,,,,,,231539713.0,
2017-06-30,2017-08-14,10-Q,"ADVANCED VOICE RECOGNITION SYSTEMS, INC.",AVOI,CIK0001342936,USD,,120242.0,4984.0,,162382.0,10267.0,,7781373.0,,,,,,83886.0,21021.0,62865.0,3640.0,,21021.0,,,,,,,,240295.0,,,,,2935.0,,,,,,,,,,,,,,,,,126233.0,,,,,,,,,186163.0,59930.0,,,,,,,,,,,5004.0,,,,,,,,,,,,,,,,,,,-2205.0,,-2205.0,,,,,307543.0,83886.0,307543.0,,,,,,,,,19935.0,17882.0,-17882.0,,,,,,,,722.0,,,,,,,,,,,,,,,,,,,,6466.0,-20087.0,,,,,,,,,,,-8245325.0,,5434.0,,,,,,-223657.0,,,,,256.0,,235633046.0,
2017-09-30,2017-11-14,10-Q,"ADVANCED VOICE RECOGNITION SYSTEMS, INC.",AVOI,CIK0001342936,USD,,124059.0,5482.0,,162382.0,10267.0,,7781373.0,,,,,,66993.0,7492.0,59501.0,3640.0,,7492.0,,,,,,,,240295.0,,0.0,,,2935.0,,,,,,,,0.0,,,,,,,,,129597.0,,,,,,,,,186163.0,56566.0,,,,,,,,,,,6356.0,0.0,,-21208.0,,,-21208.0,,0.0,,,,,,,,,,,-2900.0,,2900.0,,,,4863.0,311543.0,66993.0,311858.0,6627.0,,,,,-21208.0,,-2900.0,0.0,18308.0,-18308.0,,,,,,,6356.0,357.0,,,,,,,,,,,,,,,,,,,,6690.0,-21208.0,,,0.0,,,,,,,,-8266533.0,0.0,4863.0,,42.0,,,,-244865.0,,,,,42.0,240295268.0,240295268.0,
2017-12-31,2018-04-02,10-K,"ADVANCED VOICE RECOGNITION SYSTEMS, INC.",AVOI,CIK0001342936,USD,,126502.0,5981.0,,162382.0,10267.0,7788248.0,7788248.0,13454.0,,,,13454.0,64056.0,7257.0,56799.0,3640.0,,7257.0,-2197.0,,,0.001,547500000.0,243920268.0,243920268.0,243920.0,,0.0,0.0,,3595.0,,,13454.0,,,,,0.0,0.0,0.42,-0.1517,-0.1883,-0.0136,-0.4064,0.0,,132959.0,,,13454.0,12842.0,12842.0,13454.0,13454.0,,53204.0,53204.0,,,,,,,,,,,23120.0,0.0,,-92643.0,,,-92643.0,,0.0,0.0,19102.0,,,-2110.0,,,,,,-10339.0,,10339.0,8345.0,5981.0,,13647.0,314800.0,64056.0,314800.0,6627.0,,60000.0,-2110.0,-60087.0,-92643.0,,-10339.0,0.0,82304.0,-82304.0,,,,,,,23120.0,2503.0,162382.0,,,,19935.0,2110.0,0.0,,,,,3595.0,,60000.0,,,0.0,,,42736.0,-92643.0,,,0.0,,,0.0,,,,,-8282912.0,0.0,13647.0,,298.0,,0.0,,-250744.0,-250744.0,73525.0,60000.0,,298.0,237328898.0,237328898.0,
2018-03-31,2018-05-14,10-Q,"ADVANCED VOICE RECOGNITION SYSTEMS, INC.",AVOI,CIK0001342936,USD,,85761.0,6479.0,,162382.0,10267.0,,7797298.0,3364.0,,,,3364.0,62780.0,8365.0,54415.0,3640.0,,8365.0,1108.0,,,,,,,250720.0,,0.0,,,4575.0,,,,,,,,0.0,,,,,,,,,136323.0,,,,,,,,,186163.0,49840.0,,,,,,,,,,,5822.0,0.0,,,,,-27291.0,,0.0,,10165.0,,,-980.0,,,,,,-2020.0,,2020.0,1522.0,,,69.0,324965.0,62780.0,324965.0,6627.0,,15850.0,-980.0,-13762.0,-27291.0,,-2020.0,0.0,25271.0,-25271.0,,,,,,,5822.0,1097.0,,,,,,,,,,,,,,15850.0,,,,,,18283.0,-27291.0,,,0.0,,,,,,,,-8310203.0,0.0,69.0,,0.0,,,,-262185.0,-262185.0,,15850.0,,,247110268.0,247110268.0,
2018-06-30,2018-08-14,10-Q,"ADVANCED VOICE RECOGNITION SYSTEMS, INC.",AVOI,CIK0001342936,USD,,128820.0,6978.0,,162382.0,10267.0,,7808048.0,,,,,,58445.0,7706.0,50739.0,3640.0,,7706.0,,,,,,,,254820.0,,0.0,,,,,,,,,,,0.0,,,,,,,,,76752.0,,,,,,,,,127491.0,50739.0,,,,,,,,,,0.0,5714.0,0.0,,,,,-12335.0,,0.0,,,,,,,,,,,-2551.0,,2551.0,,,,1325.0,318115.0,58445.0,318115.0,6627.0,,,,,-12335.0,,-2551.0,19935.0,9784.0,-9784.0,,,,,,,5714.0,687.0,,,,,,,,,,,,,,,,,,,,1665.0,-12335.0,,,0.0,,,,,,,,-8322538.0,0.0,1325.0,,393.0,,,,-259670.0,-259670.0,,33002.0,,393.0,253728046.0,253728046.0,
2018-09-30,2018-11-15,10-Q,"ADVANCED VOICE RECOGNITION SYSTEMS, INC.",AVOI,CIK0001342936,USD,,75552.0,,,,10267.0,7817848.0,,,,,,,52562.0,5498.0,47064.0,3640.0,,5498.0,,,,0.001,547500000.0,255520268.0,255520268.0,255520.0,,0.0,,,,,,,,,,,0.0,0.0,0.21,,,0.0,-0.21,0.0,,,,,3674.0,,13986.0,14702.0,14702.0,,47064.0,47064.0,,,,,,,,,,0.0,,0.0,,-13873.0,,,-13873.0,,0.0,,,,,,,,,,,,,2392.0,,7484.0,,25.0,,52562.0,315605.0,6627.0,,,,,-13873.0,,-2392.0,9000.0,11481.0,-11481.0,,,0.0,,,,7841.0,432.0,162382.0,,,,19935.0,,,,,,,0.0,,,,,,,,3025.0,,,,0.0,,,,,,,,-8336411.0,0.0,,,158.0,,41252.0,,-263043.0,-263043.0,,,,,255395824.0,,
2018-12-31,2019-04-01,10-K,"ADVANCED VOICE RECOGNITION SYSTEMS, INC.",AVOI,CIK0001342936,USD,,49385.0,,,,10267.0,7878798.0,7878798.0,,,,,,60973.0,17583.0,43390.0,3640.0,,17583.0,10326.0,17583.0,,0.001,547500000.0,267020268.0,267020268.0,267020.0,,0.0,52385.0,,,,,14390.0,,,,,0.0,0.0,0.42,,,0.0,-0.42,0.0,,,,,14702.0,,13985.0,13986.0,14702.0,,43390.0,43390.0,,,,,,,,0.0,,0.0,,0.0,,-67300.0,,,-67300.0,,0.0,0.0,-22649.0,,,,9000.0,,,,,,,8962.0,6878.0,8065.0,,1444.0,265367.0,60973.0,265367.0,6627.0,19935.0,86865.0,-980.0,-75559.0,-67300.0,,-8962.0,6500.0,58338.0,-58338.0,,,0.0,,,,27006.0,2758.0,162382.0,,,,6500.0,0.0,980.0,,,,,0.0,,113650.0,,,9000.0,,,26357.0,-67300.0,,,0.0,,,35785.0,,,,,-8350212.0,0.0,,,773.0,,19100.0,19100.0,-204394.0,-204394.0,,113650.0,,,254477727.0,,
2019-03-31,2019-05-10,10-Q,"ADVANCED VOICE RECOGNITION SYSTEMS, INC.",AVOI,CIK0001342936,USD,,54452.0,,,,10267.0,7885998.0,,,,,,,48575.0,8861.0,39714.0,3640.0,,8861.0,-8722.0,,,0.001,547500000.0,268820268.0,268820268.0,268820.0,,0.0,,,,,,3676.0,,,,,0.0,0.0,0.21,,,0.0,-0.21,0.0,,,,,11026.0,,,13986.0,14702.0,,39714.0,39714.0,,,,,,,,,,0.0,,0.0,,,,,-29355.0,,0.0,0.0,5588.0,,,,,,,,,,,950.0,429.0,8586.0,,69.0,273324.0,48575.0,273324.0,6627.0,,11369.0,,-20091.0,-29355.0,,-950.0,6500.0,28405.0,-28405.0,,,0.0,,,,5733.0,557.0,162382.0,,,,19935.0,,,,,,,0.0,,9000.0,,,,5000.0,,21945.0,-29355.0,,,0.0,,,2631.0,,,,,-8379567.0,0.0,,,101.0,,16469.0,,-224749.0,-224749.0,,9000.0,,,267120268.0,,
2019-06-30,2019-08-12,10-Q,"ADVANCED VOICE RECOGNITION SYSTEMS, INC.",AVOI,CIK0001342936,USD,,44863.0,,,,10267.0,7912800.0,,,,,,,41544.0,5506.0,36038.0,3640.0,,5506.0,,,,0.001,547500000.0,275020268.0,275020268.0,275020.0,,0.0,,,,,,,,,,,0.0,0.0,0.21,,,0.0,-0.21,0.0,3834.0,,,,7350.0,,,13986.0,14702.0,,36038.0,36038.0,,,,,,,,,,3834.0,,0.0,,,,-7063.0,-7063.0,,0.0,,,,,,,,,,,,,1200.0,,9174.0,,25.0,240354.0,41544.0,240354.0,6627.0,,,,,-7063.0,,2634.0,4000.0,9697.0,-9697.0,,,0.0,,,,6673.0,1057.0,162382.0,-2634.0,,277.0,19935.0,,,,,,,,,,,,,,,1665.0,-7063.0,,,0.0,,,,,,,,-8386630.0,0.0,,,277.0,,0.0,,-198810.0,-198810.0,,33002.0,,,274235157.0,274235157.0,
2019-09-30,2019-11-12,10-Q,"ADVANCED VOICE RECOGNITION SYSTEMS, INC.",AVOI,CIK0001342936,USD,,42585.0,,,,10267.0,7927800.0,,,,,,,41458.0,9096.0,32362.0,3640.0,,9096.0,,,,,,,,276020.0,,0.0,,,,,,,,,,,0.0,0.0,0.21,,,0.0,-0.21,0.0,0.0,,,,3675.0,,,13985.0,14702.0,,32362.0,32362.0,,,,,,,,,,0.0,,0.0,,,,-13336.0,-13336.0,,0.0,,,,,,,,,,,,,528.0,,9702.0,,25.0,237604.0,41458.0,237604.0,6627.0,,,,,-13336.0,,-528.0,3000.0,12808.0,-12808.0,,,0.0,,,,9225.0,432.0,162382.0,528.0,,1236.0,19935.0,,,,,,,,,,,,,,,1890.0,-13336.0,,,0.0,,,,,,,,-8399966.0,0.0,,,1236.0,,0.0,,-196146.0,-196146.0,,16000.0,,,275353601.0,275353601.0,
2019-12-31,2020-03-30,10-K,"ADVANCED VOICE RECOGNITION SYSTEMS, INC.",AVOI,CIK0001342936,USD,,46083.0,,,,,7936600.0,7936600.0,,,,,,34928.0,6241.0,28687.0,,,6241.0,-11342.0,6241.0,,0.001,547500000.0,280386935.0,278220268.0,278220.0,,0.0,52385.0,,,,,14703.0,,0.0,,,0.0,0.0,0.21,,,0.0,-0.21,0.0,3834.0,,,,14702.0,,,,13985.0,,28687.0,28687.0,,,,,,,,3834.0,,-3834.0,,0.0,,,,-68302.0,-68302.0,,0.0,0.0,1189.0,,,,-6500.0,,,,,,,5488.0,2157.0,10222.0,,4916.0,238622.0,34928.0,238622.0,,19935.0,44902.0,0.0,-56244.0,-68302.0,-68302.0,-1654.0,0.0,66648.0,-66648.0,,,,,,,29701.0,2403.0,162382.0,1654.0,,1614.0,19935.0,,0.0,,,,,,,69002.0,,,0.0,,-6500.0,28014.0,-68302.0,,,,,,17600.0,,,,,-8418514.0,0.0,,,1614.0,,,0.0,-203694.0,-203694.0,69002.0,69002.0,,,273368169.0,273368169.0,
2020-03-31,2020-05-15,10-Q,"ADVANCED VOICE RECOGNITION SYSTEMS, INC.",AVOI,CIK0001342936,USD,,58712.0,,,,,7950100.0,,,,,,,26741.0,1730.0,25011.0,,,1730.0,-4511.0,,,0.001,547500000.0,279720268.0,278220268.0,279720.0,,0.0,,,,,,3676.0,,,,,0.0,,,,,,,,,,,,11026.0,,,,13985.0,,25011.0,25011.0,,,,,,,,,,0.0,,0.0,,,,-36060.0,-36060.0,,0.0,0.0,12873.0,,,,,,,,,,,498.0,498.0,10466.0,,7794.0,251495.0,26741.0,251495.0,,,15000.0,,-19511.0,-36060.0,,-498.0,,35562.0,-35562.0,,,,,,,6065.0,357.0,162382.0,498.0,,,19935.0,,,,,,,,,15000.0,,,0.0,0.0,,21346.0,-36060.0,,,,,,0.0,,,,,-8454574.0,0.0,,,0.0,,,,-224754.0,-224754.0,,15000.0,,,279670817.0,279670817.0,
2020-06-30,2020-08-13,10-Q,"ADVANCED VOICE RECOGNITION SYSTEMS, INC.",AVOI,CIK0001342936,USD,,62449.0,,,,,7955200.0,,,,,,,26867.0,5531.0,21336.0,,,5531.0,,,,0.001,547500000.0,280220268.0,278220268.0,280220.0,,0.0,,,,,,,,,,,0.0,,,,,,,,0.0,,,,7351.0,,,,13985.0,,21336.0,21336.0,,,,,,,,,0.0,,,0.0,,,,-9710.0,,,0.0,,,,,,,,,,,,,563.0,,10965.0,,16.0,255731.0,26867.0,255731.0,,,,,,-9710.0,,,,9147.0,-9147.0,,,,,,,5414.0,432.0,162382.0,-563.0,,0.0,19935.0,,,,,,,,,,,,,,,3285.0,-9710.0,,,,,,,,,,,-8464284.0,0.0,,,,,,,-228864.0,-228864.0,,5600.0,,0.0,,279857631.0,
2020-09-30,2020-11-16,10-Q,"ADVANCED VOICE RECOGNITION SYSTEMS, INC.",AVOI,CIK0001342936,USD,,62847.0,,,,,7955200.0,,,,,,,18223.0,564.0,17659.0,,,564.0,,,,0.001,547500000.0,280220268.0,278220268.0,280220.0,,0.0,,,,,,,,,,,0.0,,,,,,,,0.0,,,,3674.0,,,,13985.0,,17659.0,17659.0,,,,,,,,,,,,0.0,,,,-10290.0,,,0.0,,,,,,,,,,,,,499.0,,11463.0,,17.0,257377.0,18223.0,257377.0,,,,,,-10290.0,,,750.0,9791.0,-9791.0,,,,,,,5966.0,357.0,162382.0,-499.0,,0.0,19935.0,,,,,,,,,,,,,,,3451.0,-10290.0,,,,,,,,,,,-8474574.0,0.0,,,,,,,-239154.0,-239154.0,,,,,,280220268.0,
