end,filed,form,Name,Ticker,CIK,Currency,AcceleratedShareRepurchasesSettlementPaymentOrReceipt,AccountsPayableAndAccruedLiabilitiesCurrentAndNoncurrent,AccountsPayableOtherCurrentAndNoncurrent,AccretionAmortizationOfDiscountsAndPremiumsInvestments,AccruedLiabilitiesAndOtherLiabilities,AccruedLiabilitiesCurrent,Assets,AssetsNet,CapitalUnitsOutstanding,Cash,CashAndCashEquivalentsAtCarryingValue,CashAndCashEquivalentsPeriodIncreaseDecrease,CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalentsIncludingDisposalGroupAndDiscontinuedOperations,CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalentsPeriodIncreaseDecreaseIncludingExchangeRateEffect,ConcentrationRiskPercentage1,DebtInstrumentInterestRateIncreaseDecrease,DeferredRevenue,DistributionMadeToLimitedLiabilityCompanyLLCMemberCashDistributionsDeclared,DistributionMadeToLimitedLiabilityCompanyLLCMemberCashDistributionsPaid,DistributionMadeToLimitedLiabilityCompanyLLCMemberDistributionsDeclaredPerUnit,DistributionMadeToLimitedLiabilityCompanyLLCMemberDistributionsPaidPerUnit,DistributionMadeToLimitedPartnerCashDistributionsPaid,DistributionMadeToLimitedPartnerDistributionsPaidPerUnit,DividendsPayableAmountPerShare,DueFromAffiliates,DueToAffiliateCurrentAndNoncurrent,DueToCorrespondentBrokers,DueToOfficersOrStockholdersCurrentAndNoncurrent,EarningsPerShareBasicAndDiluted,EquityMethodInvestmentOwnershipPercentage,EquityMethodInvestments,FairValueMeasuredOnRecurringBasisGainLossIncludedInEarnings,FairValueMeasurementWithUnobservableInputsReconciliationRecurringBasisAssetGainLossIncludedInEarnings1,FairValueMeasurementWithUnobservableInputsReconciliationRecurringBasisAssetPurchases,FairValueMeasurementWithUnobservableInputsReconciliationRecurringBasisAssetSettlements,FairValueMeasurementWithUnobservableInputsReconciliationRecurringBasisAssetTransfersIntoLevel3,FairValueMeasurementWithUnobservableInputsReconciliationRecurringBasisAssetTransfersNet,FairValueMeasurementWithUnobservableInputsReconciliationRecurringBasisAssetTransfersOutOfLevel3,FairValueMeasurementWithUnobservableInputsReconciliationRecurringBasisAssetValue,ForeignCurrencyTransactionGainBeforeTax,ForeignCurrencyTransactionGainLossBeforeTax,ForeignCurrencyTransactionLossBeforeTax,GainLossOnInvestments,GeneralAndAdministrativeExpense,IncentiveFeeExpense,IncreaseDecreaseDueFromAffiliates,IncreaseDecreaseInAccountsReceivable,IncreaseDecreaseInAccruedInterestReceivableNet,IncreaseDecreaseInAccruedInvestmentIncomeReceivable,IncreaseDecreaseInDeferredRevenue,IncreaseDecreaseInDueFromAffiliatesCurrent,IncreaseDecreaseInDueToAffiliates,IncreaseDecreaseInDueToAffiliatesCurrent,IncreaseDecreaseInDueToOfficersAndStockholders,IncreaseDecreaseInOperatingAssets,IncreaseDecreaseInOperatingCapital,IncreaseDecreaseInOtherAccountsPayable,IncreaseDecreaseInOtherOperatingAssets,IncreaseDecreaseInPrepaidExpense,InterestAndDividendIncomeOperating,InterestAndFeeIncomeLoansAndLeases,InterestExpenseDebt,InterestIncomeDepositsWithFinancialInstitutions,InterestPaid,InterestPaidNet,InterestReceivable,InterestRevenueExpenseNet,InvestmentIncomeInterest,InvestmentIncomeInterestAndDividend,InvestmentIncomeNet,InvestmentOwnedAtCost,InvestmentOwnedAtFairValue,InvestmentOwnedUnrecognizedUnrealizedDepreciation,Investments,Liabilities,LiabilityForUncertainTaxPositionsCurrent,LoansReceivableNet,LongTermDebt,LongTermDebtMaturitiesRepaymentsOfPrincipalInNextTwelveMonths,LongTermDebtMaturitiesRepaymentsOfPrincipalInYearFive,LongTermDebtMaturitiesRepaymentsOfPrincipalInYearFour,LongTermDebtMaturitiesRepaymentsOfPrincipalInYearThree,LongTermDebtMaturitiesRepaymentsOfPrincipalInYearTwo,LongTermDebtMaturitiesRepaymentsOfPrincipalRemainderOfFiscalYear,ManagementFeeExpense,ManagementFeePayable,NetCashProvidedByUsedInFinancingActivities,NetCashProvidedByUsedInFinancingActivitiesContinuingOperations,NetCashProvidedByUsedInOperatingActivities,NetCashProvidedByUsedInOperatingActivitiesContinuingOperations,NetIncomeLoss,NoninterestExpenseInvestmentAdvisoryFees,NoninterestExpenseOfferingCost,NotesReceivableGross,OfferingCostsPartnershipInterests,OperatingCostsAndExpenses,OperatingExpenses,OperatingIncomeLoss,OtherAssets,OtherExpenses,OtherReceivables,PaidInKindInterest,PartnersCapital,PartnersCapitalAccountContributions,PartnersCapitalAccountDistributions,PartnersCapitalAccountPeriodIncreaseDecrease,PartnersCapitalAccountPrivatePlacementOfUnits,PartnersCapitalAccountPublicSaleOfUnits,PartnersCapitalAccountTreasuryUnitsPurchases,PartnersCapitalAccountUnitsSoldInPrivatePlacement,PartnersCapitalAccountUnitsTreasury,PayablesToBrokerDealersAndClearingOrganizations,PaymentsForRepurchaseOfOtherEquity,PaymentsOfStockIssuanceCosts,PaymentsToAcquireInvestments,PrepaidExpenseCurrentAndNoncurrent,ProceedsFromInterestReceived,ProceedsFromIssuanceOfCommonLimitedPartnersUnits,ProceedsFromIssuanceOfCommonStockDividendReinvestmentPlan,ProceedsFromNotesPayable,ProceedsFromPartnershipContribution,ProceedsFromSaleMaturityAndCollectionsOfInvestments,ProfessionalFees,ProfitLoss,RealizedInvestmentGainsLosses,RepaymentsOfNotesPayable,RetainedEarningsAccumulatedDeficit,RetainedEarningsUnappropriated,SeniorNotes,SponsorFees,StockIssuedDuringPeriodValueDividendReinvestmentPlan,UnrecognizedTaxBenefitsIncomeTaxPenaltiesAndInterestExpense,WeightedAverageNumberOfShareOutstandingBasicAndDiluted
2018-06-30,2018-11-09,10-Q,"TriLinc Global Impact Fund, LLC",TRLC,CIK0001550453,USD,,,1142912.0,,,,406703586.0,,44080551.0,,10865659.0,,,,,,,,,,,,,,4240231.0,,,1392668.0,0.08,,,0.0,,,,,,,376838471.0,,-49701.0,49701.0,,560059.0,1699753.0,,,,,,,,,,3718765.0,,,,,12132475.0,,486092.0,,,,14598653.0,28618.0,12103857.0,12132475.0,6799009.0,380777593.0,376838471.0,3000000.0,,40089507.0,0.0,,28060000.0,,,5000000.0,22750000.0,,310000.0,1991828.0,1991827.0,,,,,,,,2220965.0,17211117.0,,5333466.0,6799009.0,160572.0,,,1015742.0,366614079.0,,,,,,,,,,,,,,,,,,,,154359.0,,,,,,28060000.0,,,,44353937.0
2018-09-30,2018-11-14,10-Q,"TriLinc Global Impact Fund, LLC",TRLC,CIK0001550453,USD,,,1583455.0,,,,405551812.0,,43953995.0,,44235800.0,,44235800.0,,,,,,,,,,,,4240231.0,,,1388840.0,0.16,,,0.0,0.0,,,,,,342235769.0,,-650.0,650.0,,422456.0,1480249.0,,,,,,,,,,7000812.0,,,,,11145704.0,11092764.0,504954.0,52940.0,,,14693706.0,52940.0,11092764.0,11145704.0,5921240.0,345094669.0,342235769.0,,,39709734.0,0.0,,28060000.0,,,5000000.0,22750000.0,,310000.0,1986846.0,1993801.0,,,,,7000812.0,1986846.0,,2220965.0,17211117.0,,5224464.0,5921240.0,146306.0,,,1306165.0,365842078.0,,,,,,,,,,,,,,,,,,,,775584.0,,,,,,28060000.0,,,,44195314.0
2018-12-31,2019-03-29,10-K,"TriLinc Global Impact Fund, LLC",TRLC,CIK0001550453,USD,14196264.0,,903165.0,554566.0,,,403003683.0,,43914946.0,,8101629.0,-1539828.0,8101629.0,-1539828.0,,,,,17535609.0,,0.63,,,,4240231.0,,,1431635.0,0.41000000000000003,,,0.0,0.0,206981492.0,166485712.0,,,,372977743.0,,-13637.0,11907.0,,1624974.0,6212931.0,242917.0,,8353516.0,,,,,,136342.0,17963150.0,,542423.0,-57062.0,,56753819.0,44940452.0,1964776.0,166414.0,,1769506.0,17552039.0,166414.0,44940452.0,56753819.0,31369667.0,381133170.0,372977743.0,8100000.0,,42933324.0,0.0,,32875000.0,125000.0,,,10000000.0,22750000.0,,,1997915.0,26593143.0,,-28132971.0,,16743712.0,7971062.0,54616.0,2413894.0,17211117.0,,20254895.0,31369667.0,132041.0,,,4754257.0,360070359.0,,27563257.0,38713622.0,,,14196268.0,7416182.0,1684339.0,,,54616.0,206981492.0,,,53091399.0,10027648.0,5000000.0,,166485712.0,1876652.0,16743712.0,,285000.0,,,32875000.0,,,0.0,43723569.0
2019-03-31,2019-05-14,10-Q,"TriLinc Global Impact Fund, LLC",TRLC,CIK0001550453,USD,,,1400035.0,131008.0,,,401010428.0,,43714252.0,,9969663.0,1868034.0,9969663.0,1868034.0,,,,,4284156.0,,0.15,,,,4240231.0,,,1433406.0,0.08,,,0.0,0.0,9275000.0,13125387.0,,,,368780825.0,,-1008.0,,,440287.0,1458513.0,,,362082.0,,,,,,1771.0,3686027.0,,496871.0,-25445.0,,11294500.0,11279504.0,599949.0,14996.0,,512234.0,17913113.0,14996.0,11279504.0,11294500.0,5834051.0,379083268.0,368780825.0,2100000.0,,45353542.0,0.0,,32750000.0,,,,10000000.0,22750000.0,,,2466910.0,-6865556.0,,8733590.0,,3686027.0,1959123.0,,2478197.0,17211117.0,,,5834051.0,106596.0,,,1669477.0,355656886.0,,6661711.0,-4413473.0,,,4269255.0,318238.0,518932.0,,,,9275000.0,,,269910.0,2377555.0,,,13125387.0,938202.0,3686027.0,,125000.0,,,32750000.0,,,0.0,44019402.0
2019-06-30,2019-08-13,10-Q,"TriLinc Global Impact Fund, LLC",TRLC,CIK0001550453,USD,,,1566035.0,,,,397026745.0,,43602953.0,,6112265.0,,6112265.0,,,,,,,,,,,,4240231.0,,,1382219.0,0.13,,,0.0,0.0,,,,,,366279562.0,,1285.0,,,517105.0,1300594.0,,,,,,,,,,5579974.0,,,,,11085298.0,11062607.0,608718.0,22691.0,,,20277357.0,22691.0,11062607.0,11085298.0,5334853.0,376034513.0,366279562.0,1900000.0,,43256668.0,0.0,,32750000.0,,,,10000000.0,22750000.0,,,1948848.0,,,,,5579974.0,1948848.0,,2534792.0,17211117.0,,5750445.0,5334853.0,117330.0,,,2232871.0,353770077.0,,,,,,,,,,,,,,,,,,,,1310805.0,,,,,,32750000.0,,,,43821699.0
2019-09-30,2019-11-14,10-Q,"TriLinc Global Impact Fund, LLC",TRLC,CIK0001550453,USD,,,1214942.0,,,,386849773.0,,46061361.0,,14561677.0,,14561677.0,,,,,,,,,,,,4240231.0,,,1512921.0,0.13,,,,0.0,,,,,,346050323.0,,-5994.0,,,292711.0,1489914.0,,,,,,,,,,5606442.0,,,,,10704408.0,10682816.0,382138.0,21592.0,,,21947542.0,,,,,355997509.0,346050323.0,2300000.0,,14291140.0,0.0,,5000000.0,,,,5000000.0,,,,1904767.0,,,,,5606442.0,1904766.0,,2583523.0,17237807.0,,4744754.0,5959654.0,50000.0,,,2714393.0,372558633.0,,,,,,,,,,,,,,,,,,,,610850.0,,,,,,5000000.0,,,,44796299.0
2019-12-31,2020-03-30,10-K,"TriLinc Global Impact Fund, LLC",TRLC,CIK0001550453,USD,12440304.0,,1192336.0,1007706.0,,1192336.0,383690783.0,,46143564.0,,22333304.0,,22333304.0,14231675.0,,,,,17912536.0,,0.61,,,,4240231.0,,,1572295.0,0.48,,,,0.0,,,,,,,,2287.0,,,1509686.0,5730748.0,,,-1048452.0,,,,,,140660.0,21615239.0,,289171.0,184959.0,,53966054.0,43428233.0,1660095.0,96897.0,,1943615.0,16501872.0,,,,23055462.0,352351819.0,340298376.0,4800000.0,,14095223.0,0.0,,5000000.0,,,,,5000000.0,,,1889835.0,-37590919.0,,51822594.0,,18243841.0,7702572.0,26690.0,2796466.0,17237807.0,,20469668.0,28982366.0,317000.0,,,,369595560.0,,27420183.0,9525201.0,,,12440304.0,3751663.0,1523045.0,,,26690.0,,,,21077891.0,9507647.0,,,,3609067.0,18243841.0,,27875000.0,,,5000000.0,,,0.0,44707581.0
2020-03-31,2020-05-15,10-Q,"TriLinc Global Impact Fund, LLC",TRLC,CIK0001550453,USD,,,1380656.0,267201.0,,,376568049.0,,46417517.0,,23810311.0,,23810311.0,1477007.0,,,,,4772058.0,,0.15,,,,4240231.0,,,1607192.0,-0.07,,,,0.0,,,0.0,,0.0,,,-3072.0,,,356167.0,851111.0,,,3967697.0,,,,,,34897.0,-3137856.0,,188320.0,653700.0,,10000499.0,9956842.0,68537.0,43657.0,,69290.0,20466497.0,,,,5543934.0,348119393.0,327080310.0,8700000.0,,14954590.0,0.0,,5000000.0,,,,,5000000.0,,,2218117.0,-3905763.0,,5382770.0,,-3137856.0,1846556.0,,3033867.0,17237807.0,,,5543934.0,970700.0,,,,361613459.0,,7082008.0,-7982101.0,,2225000.0,2308859.0,561597.0,287644.0,,,,,,,2226672.0,2309949.0,,,,1269819.0,-3137856.0,,,,,5000000.0,,,0.0,46381431.0
2020-06-30,2020-08-14,10-Q,"TriLinc Global Impact Fund, LLC",TRLC,CIK0001550453,USD,,,2247125.0,,,,375564661.0,,46464609.0,,14974399.0,,14974399.0,,,,,,,,,,,,4057734.0,,,1548619.0,0.12,,,,0.0,,,0.0,,0.0,,,4167.0,,,287086.0,1628075.0,,,,,,,,,,,,,,,10922182.0,10903460.0,68536.0,18722.0,,,23957270.0,,,,,353225888.0,330593500.0,9700000.0,,15063495.0,0.0,,5000000.0,,,,,5000000.0,,,1844869.0,,,,,5464281.0,1844871.0,,3056770.0,17237807.0,,,6512299.0,1981758.0,,,,360501166.0,,,,,,,,,,,,,,,,,,,,516940.0,,,,,,5000000.0,,,,46545426.0
2020-09-30,2020-11-13,10-Q,"TriLinc Global Impact Fund, LLC",TRLC,CIK0001550453,USD,,,1186812.0,,,,370626180.0,,46588053.0,,12331482.0,,12331482.0,,,,,,,,,,,,4057734.0,,,1563943.0,0.05,,,,0.0,,,0.0,,0.0,,,14896.0,,,366147.0,1626134.0,,,,,,,,,,,,,,,11572385.0,11563734.0,69290.0,8651.0,,,24612389.0,,,,,354080560.0,327269549.0,13845677.0,,13833855.0,0.0,,5000000.0,,,,,5000000.0,,,1826321.0,,,,,2404660.0,1826223.0,,3069648.0,17237807.0,,,6504538.0,2355026.0,,,,356792325.0,,,,,,,,,,,,,,,,,,,,1115678.0,,,,,,5000000.0,,,,46611977.0
2020-12-31,2021-03-31,10-K,"TriLinc Global Impact Fund, LLC",TRLC,CIK0001550453,USD,,,993196.0,287817.0,,993196.0,368701523.0,,46807115.0,,55002776.0,,55002776.0,32669472.0,,,,,19400494.0,,0.62,,,,4057734.0,,,1640061.0,0.19,,,,0.0,,,,,,,,17207.0,,,1414586.0,5320776.0,,,4557249.0,,,,,,67766.0,8892840.0,,-199141.0,490890.0,,42336858.0,42240413.0,254682.0,96445.0,,275653.0,21076328.0,,,,23912655.0,315576654.0,287574298.0,15037022.0,6417933.0,13427893.0,0.0,,5000000.0,5000000.0,,,,,,,1816626.0,-23411248.0,,56080720.0,,8892840.0,7334178.0,,3418264.0,17237807.0,,,23912655.0,990387.0,,,,355273630.0,,28674733.0,-14321930.0,,5276000.0,9253114.0,1847518.0,1183967.0,,,,,,,5271838.0,9274238.0,,,,3842481.0,8892840.0,,,,,5000000.0,,,0.0,46529861.0
2021-03-31,2021-05-14,10-Q,"TriLinc Global Impact Fund, LLC",TRLC,CIK0001550453,USD,,,1006426.0,726221.0,,,367069257.0,,47044755.0,,33935092.0,,33935092.0,-21067684.0,,,,,4906823.0,0.001458,0.15,,,,4057734.0,,,1672498.0,0.09,,,,0.0,,,0.0,,0.0,,,-5700.0,,,284487.0,781456.0,,,1339042.0,,,,,,32437.0,4348077.0,,13231.0,393354.0,,9177875.0,9150446.0,47268.0,27429.0,,48319.0,22409670.0,,,,5329104.0,334260703.0,305283020.0,975327.0,,12814032.0,0.0,,5000000.0,,,,,,5000000.0,,1825856.0,-5516697.0,,-15550987.0,,4348077.0,1809230.0,79901.0,3695780.0,17317708.0,,,5329104.0,1383741.0,,,,354255225.0,,7124311.0,-1018405.0,,1824000.0,2205383.0,527728.0,290088.0,,,79901.0,,,,1821625.0,2217488.0,,,,861955.0,4348077.0,,,,,5000000.0,,,0.0,47002965.0
2021-06-30,2021-08-13,10-Q,"TriLinc Global Impact Fund, LLC",TRLC,CIK0001550453,USD,,,1128930.0,,,,358802784.0,,47207438.0,,11563524.0,,11563524.0,,,,,,,,,,,,4240231.0,,,1377052.0,-0.07,,,,-909584.0,,,0.0,,0.0,,,2072.0,,,394258.0,1347541.0,,,,,,,,,,,,,,,9473966.0,9464096.0,47794.0,9870.0,,,24327575.0,,,,,353776363.0,317242705.0,8531302.0,3225544.0,12923950.0,0.0,,5000000.0,,,,,,5000000.0,,1770080.0,,,,,-3073323.0,1769982.0,,3976379.0,17317708.0,,,5390164.0,1428749.0,,,,345878834.0,,,,,,,,,,,,,,,,,,,,459852.0,,-909584.0,,,,5000000.0,,,,47184975.0
2021-09-30,2021-11-12,10-Q,"TriLinc Global Impact Fund, LLC",TRLC,CIK0001550453,USD,,,932476.0,,,,356322545.0,,47490815.0,,7305813.0,,7305813.0,,,,,,,,,,,,4240231.0,,,1363781.0,0.04,,,,0.0,,,0.0,,0.0,,,-7071.0,,,362157.0,1049785.0,,,,,,,,,,,,,,,9073306.0,9069603.0,48319.0,3703.0,,,25213149.0,,,,,357823771.0,318242227.0,11579186.0,5133740.0,12417959.0,0.0,,5000000.0,,,,,,5000000.0,,1758565.0,,,,,2133227.0,1758565.0,,3267172.0,17317708.0,,,5188182.0,1321125.0,,,,343904586.0,,,,,,,,,,,,,,604000.0,,,,,,601923.0,,,,,,5000000.0,,,,47436977.0
