end,filed,form,Name,Ticker,CIK,Currency,AccountsPayableAndAccruedLiabilitiesCurrent,AccountsPayableRelatedPartiesCurrentAndNoncurrent,AccountsReceivableGrossCurrent,AccountsReceivableNetCurrent,AccruedLiabilitiesCurrentAndNoncurrent,AccruedSalariesCurrent,AccumulatedOtherComprehensiveIncomeLossNetOfTax,AdditionalPaidInCapital,Assets,AssetsCurrent,AssetsNoncurrent,Cash,CashAndCashEquivalentsPeriodIncreaseDecrease,CommonStockParOrStatedValuePerShare,CommonStockSharesAuthorized,CommonStockSharesIssued,CommonStockSharesOutstanding,CommonStockValue,ComprehensiveIncomeNetOfTax,CostOfRevenue,CumulativeTranslationAdjustmentNetOfTaxPeriodIncreaseDecrease,CustomerDepositsCurrent,DebtConversionConvertedInstrumentAmount1,DebtConversionConvertedInstrumentSharesIssued1,DebtInstrumentConvertibleConversionRatio1,DeferredTaxAssetsGross,DeferredTaxAssetsNet,DeferredTaxAssetsValuationAllowance,DepositsAssetsNoncurrent,DepositsAssetsNoncurrent,Depreciation,DepreciationAndAmortization,DevelopmentStageEnterpriseDeficitAccumulatedDuringDevelopmentStage,DueFromRelatedPartiesCurrent,DueToOtherRelatedPartiesClassifiedCurrent,DueToOtherRelatedPartiesClassifiedCurrent,DueToRelatedPartiesCurrent,DueToRelatedPartiesCurrentAndNoncurrent,EarningsPerShareBasicAndDiluted,EarningsPerShareDiluted,EquityMethodInvestmentOwnershipPercentage,ForeignCurrencyTransactionGainLossBeforeTax,ForeignCurrencyTransactionGainLossUnrealized,GainsLossesOnExtinguishmentOfDebt,GeneralAndAdministrativeExpense,GrossProfit,IncomeLossFromContinuingOperationsBeforeIncomeTaxesMinorityInterestAndIncomeLossFromEquityMethodInvestments,IncomeTaxExpenseBenefit,IncomeTaxesPaid,IncreaseDecreaseInAccountsPayableAndAccruedLiabilities,IncreaseDecreaseInAccountsPayableRelatedParties,IncreaseDecreaseInAccountsReceivable,IncreaseDecreaseInCustomerDeposits,IncreaseDecreaseInDepositOtherAssets,IncreaseDecreaseInDueToRelatedParties,IncreaseDecreaseInDueToRelatedPartiesCurrent,IncreaseDecreaseInInventories,IncreaseDecreaseInOtherOperatingLiabilities,IncreaseDecreaseInOtherReceivables,IncreaseDecreaseInPrepaidExpense,InterestAndDebtExpense,InterestExpense,InterestIncomeExpenseNet,InterestPaid,LeaseAndRentalExpense,LeaseAndRentalExpense,Liabilities,LiabilitiesAndStockholdersEquity,LiabilitiesCurrent,MinorityInterestOwnershipPercentageByNoncontrollingOwners,NetCashProvidedByUsedInFinancingActivities,NetCashProvidedByUsedInInvestingActivities,NetCashProvidedByUsedInOperatingActivities,NetIncomeLoss,NonoperatingIncomeExpense,OperatingExpenses,OperatingIncomeLoss,OperatingLeasesFutureMinimumPaymentsDue,OperatingLeasesFutureMinimumPaymentsDueCurrent,OperatingLeasesFutureMinimumPaymentsDueInFiveYears,OperatingLeasesFutureMinimumPaymentsDueInFourYears,OperatingLeasesFutureMinimumPaymentsDueInThreeYears,OperatingLeasesFutureMinimumPaymentsDueInTwoYears,OperatingLeasesFutureMinimumPaymentsDueThereafter,OperatingLeasesFutureMinimumPaymentsRemainderOfFiscalYear,OperatingLossCarryforwards,OtherAccountsPayableAndAccruedLiabilities,OtherComprehensiveIncomeForeignCurrencyTransactionAndTranslationAdjustmentNetOfTaxPortionAttributableToParent,OtherComprehensiveIncomeLossForeignCurrencyTransactionAndTranslationAdjustmentNetOfTax,OtherExpenses,OtherNonoperatingIncome,OtherReceivablesNetCurrent,PaymentsToAcquireLongtermInvestments,PaymentsToAcquireMachineryAndEquipment,PaymentsToAcquireRestrictedInvestments,PaymentsToDevelopSoftware,PrepaidExpenseCurrent,ProceedsFromInterestReceived,ProceedsFromIssuanceOfCommonStock,ProceedsFromPaymentsForLongTermLoansForRelatedParties,ProceedsFromRelatedPartyDebt,ProceedsFromSaleOfPropertyPlantAndEquipment,PropertyPlantAndEquipmentNet,ProvisionForDoubtfulAccounts,RelatedPartyTransactionAmountsOfTransaction,RelatedPartyTransactionAmountsOfTransaction,RepaymentsOfRelatedPartyDebt,RestrictedCashAndInvestments,RetainedEarningsAccumulatedDeficit,RevenueFromContractWithCustomerIncludingAssessedTax,Revenues,ShareBasedCompensation,StockholdersEquity,StockIssuedDuringPeriodValueConversionOfConvertibleSecurities,StockIssuedDuringPeriodValueNewIssues,WeightedAverageNumberOfShareOutstandingBasicAndDiluted,WeightedAverageNumberOfSharesOutstandingBasic,CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalentsPeriodIncreaseDecreaseIncludingExchangeRateEffect,DebtSecuritiesGainLoss,ForeignCurrencyExchangeRateTranslation1,ForeignCurrencyExchangeRateTranslation1,IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,LesseeOperatingLeaseLiabilityPaymentsDueNextTwelveMonths,LesseeOperatingLeaseLiabilityPaymentsDueYearFive,LesseeOperatingLeaseLiabilityPaymentsDueYearFour,LesseeOperatingLeaseLiabilityPaymentsDueYearThree,LesseeOperatingLeaseLiabilityPaymentsDueYearTwo,OperatingLeaseExpense,OperatingLeaseExpense,IncreaseDecreaseInPrepaidDeferredExpenseAndOtherAssets
2016-09-30,2016-11-10,10-Q,W&E Source Corp.,WESC,CIK0001368275,USD,13149.0,,646.0,,,,9101.0,1059931.0,27555.0,15942.0,11613.0,15296.0,9649.0,0.0001,500000000.0,82489391.0,82489391.0,8249.0,-12453.0,,251.0,,,,,,,,,11613.0,,,,,,,1858.0,,0.0,,,-379.0,1399.0,,12642.0,118.0,,,0.0,-84.0,,-190.0,0.0,,0.0,,,,,-76.0,,,,0.0,,,35406.0,27555.0,35406.0,,23518.0,,-14120.0,-12903.0,-379.0,12642.0,-12524.0,,,,,,,,,,,450.0,450.0,,,,,,,,,,21709.0,,1809.0,,,,,,,,-1085132.0,,118.0,,-7851.0,104781.0,,70765643.0,,,,,,,,,,,,,,
2016-12-31,2017-02-10,10-Q,W&E Source Corp.,WESC,CIK0001368275,USD,1116.0,,655.0,,,,13471.0,1059931.0,17459.0,6287.0,11172.0,5594.0,,0.0001,500000000.0,82489391.0,82489391.0,8249.0,-19297.0,,,,,,,,,,,11172.0,,,,,,,3575.0,,0.0,,,-4593.0,,,9780.0,346.0,-14027.0,,,,,,,,,,,,,,,,0.0,,,,34967.0,17459.0,34967.0,,,,,-14027.0,-4593.0,9780.0,-9434.0,,,,,,,,,,,-5270.0,,,,,,,,,38.0,,,,,,,,,,,,-1099159.0,,346.0,,-17508.0,,,82489391.0,,,,,,,,,,,,,,
2017-03-31,2017-04-28,10-Q,W&E Source Corp.,WESC,CIK0001368275,USD,2160.0,,661.0,,,,12469.0,1059931.0,15889.0,4610.0,11279.0,3911.0,,0.0001,500000000.0,82489391.0,82489391.0,8249.0,-11972.0,,,,,,,,,,,11279.0,,,,,,,5414.0,,0.0,,,962.0,,,11932.0,0.0,-10970.0,,,,,,,,,,,,,,,,0.0,,,,45369.0,15889.0,45369.0,,,,,-10970.0,962.0,11932.0,-11932.0,,,,,,,,,,,-1002.0,,,,,,,,,38.0,,,,,,,,,,,,-1110129.0,,0.0,,-29480.0,,,82489391.0,,,,,,,,,,,,,,
2017-06-30,2017-09-28,10-K,W&E Source Corp.,WESC,CIK0001368275,USD,10681.0,,0.0,,,,9944.0,1059931.0,17112.0,5547.0,11565.0,5010.0,-637.0,0.0001,500000000.0,82489391.0,82489391.0,8249.0,-53559.0,353.0,2505.0,,,,,16786.0,0.0,16786.0,,11565.0,,,,,,7402.0,7402.0,,0.0,,,-1693.0,0.0,,53266.0,107.0,-54852.0,,0.0,-2559.0,,,,,7209.0,,,,-325.0,0.0,,,,0.0,9600.0,7209.0,66069.0,17112.0,66069.0,,46735.0,,-49877.0,-54852.0,-1693.0,53266.0,-53159.0,,,,,,,,,,,1293.0,1293.0,,,537.0,,,,,,,46735.0,,,,,135.0,,7209.0,,,-1127081.0,,460.0,,-48957.0,104781.0,,82489391.0,,,,,,,,,,,,,,
2017-09-30,2017-11-09,10-Q,W&E Source Corp.,WESC,CIK0001368275,USD,7973.0,,,,,,4931.0,1059931.0,18806.0,6615.0,12191.0,6049.0,1039.0,0.0001,500000000.0,82489391.0,82489391.0,8249.0,-11517.0,,-2109.0,,,,,,,,,12191.0,,,,,,9752.0,9904.0,,0.0,,,4856.0,2679.0,,11360.0,0.0,,,0.0,-2735.0,,0.0,,,1916.0,,,,,0.0,,,,0.0,2400.0,1916.0,79280.0,18806.0,79280.0,,13150.0,,-10002.0,-6504.0,4856.0,11360.0,-11360.0,,,,,,,,,,,-5013.0,-5013.0,,,566.0,,,,,,,13000.0,,150.0,,,,,1916.0,,,-1133585.0,,0.0,,-60474.0,,,82489391.0,,,,,,,,,,,,,,
2017-12-31,2018-02-14,10-Q,W&E Source Corp.,WESC,CIK0001368275,USD,3569.0,,,,,,7473.0,1059931.0,16098.0,4348.0,11750.0,3168.0,,0.0001,500000000.0,82489391.0,82489391.0,8249.0,-9538.0,,,,,,,,,,15000.0,11750.0,,,,,,11280.0,11432.0,,0.0,,,-2487.0,,,9892.0,299.0,-12080.0,,,,,,,,,,,,,,,,,,4800.0,3643.0,86110.0,16098.0,86110.0,,,,,-12080.0,-2487.0,9892.0,-9593.0,,,,,,,,,,218.0,2542.0,,,,1180.0,,,,,,,,,,,,,,,,,-1145665.0,299.0,299.0,,-70012.0,,,82489391.0,,,,,,,,,,,,,,
2018-03-31,2018-05-09,10-Q,W&E Source Corp.,WESC,CIK0001368275,USD,3580.0,,,,,,5900.0,1059931.0,15275.0,3639.0,11636.0,3601.0,,0.0001,500000000.0,82489391.0,82489391.0,8249.0,-13547.0,,,,,,,,,,15000.0,11636.0,,,,,,14132.0,14291.0,,0.0,,,1771.0,,,13823.0,78.0,-11974.0,,,,,,,,,,,,,,,,,,,,98904.0,15275.0,98904.0,,,,,-11974.0,1771.0,13823.0,-13745.0,,,,,,,,,,30.0,-1573.0,,,,38.0,,,,,,,,,,,,,,,,,-1157709.0,78.0,78.0,,-83629.0,,,82489391.0,,,,,,,,,,,,,,
2018-06-30,2018-09-27,10-K,W&E Source Corp.,WESC,CIK0001368275,USD,11283.0,,,,,,9938.0,1059931.0,14386.0,2971.0,11415.0,2925.0,-2085.0,0.0001,500000000.0,82489391.0,82489391.0,8249.0,-51045.0,0.0,229.0,,,,,15836.0,0.0,15836.0,15000.0,11415.0,,,,,9600.0,15862.0,15862.0,,0.0,,,295.0,2264.0,,51829.0,495.0,-51039.0,,0.0,1084.0,,-1084.0,,,8815.0,,,,189.0,,,,,0.0,9600.0,7402.0,114388.0,14386.0,114388.0,,41279.0,,-43593.0,-51039.0,295.0,51829.0,-51334.0,,,,,,,,,1178120.0,11283.0,-6.0,-6.0,,,46.0,,,,,,,41279.0,,,,,,9600.0,7402.0,,,-1178120.0,495.0,495.0,,-100002.0,,,82489391.0,,,,,,,,,,,,,,
2018-12-31,2019-02-13,10-Q,W&E Source Corp.,WESC,CIK0001368275,USD,9297.0,,,,,,14789.0,1059931.0,17389.0,6395.0,10994.0,6358.0,,0.0001,500000000.0,82489391.0,82489391.0,8249.0,-10927.0,,,,,,,,,,15000.0,10994.0,,,,,,18690.0,18835.0,,0.0,,0.1,-3599.0,,,11969.0,151.0,,,,,,,,,,,,,,,,,,,4800.0,3643.0,140089.0,17389.0,140089.0,,,,,-15417.0,-3599.0,11969.0,-11818.0,,9600.0,,9600.0,9600.0,9600.0,9600.0,,,209.0,4490.0,4490.0,,,37.0,,,,,,,,,,,,,,,,,-1205699.0,151.0,,,-122700.0,,,82489391.0,,,,,,,,,,,,,,
2019-03-31,2019-05-13,10-Q,W&E Source Corp.,WESC,CIK0001368275,USD,8090.0,,,,,,11817.0,1059931.0,14740.0,3497.0,11243.0,3448.0,,0.0001,500000000.0,82489391.0,82489391.0,8249.0,-10231.0,,,,,,,,,,15000.0,11243.0,,,,,,19787.0,21035.0,,0.0,,0.1,4404.0,,,11814.0,151.0,,,,,,,,,,,,,,,,,,,,,147671.0,14740.0,147671.0,,,,,-7.259,4404.0,11814.0,-11663.0,40800.0,,9600.0,9600.0,9600.0,9600.0,,2400.0,,214.0,-2972.0,-2972.0,,,49.0,,,,,,,,,,,,,,,,,-1212928.0,151.0,,,-132931.0,,,82489391.0,,,,,,,,,,,,,,
2019-06-30,2019-09-27,10-K,W&E Source Corp.,WESC,CIK0001368275,USD,17857.0,,,,,,11390.0,1059931.0,14008.0,2551.0,11457.0,2508.0,-417.0,0.0001,500000000.0,82489391.0,82489391.0,8249.0,-48287.0,0.0,325.0,,,,,16062.0,0.0,16062.0,15000.0,11457.0,,,,,,23452.0,23452.0,,0.0,,0.1,5421.0,-2220.0,,55651.0,491.0,-49739.0,,0.0,5694.0,,-5694.0,,,8357.0,,,,353.0,,,,,0.0,9600.0,7257.0,162297.0,14008.0,162297.0,,33079.0,,-33821.0,-64670.0,5421.0,55651.0,-55160.0,48000.0,,9600.0,9600.0,9600.0,9600.0,,9600.0,158560.0,,1452.0,1025.0,,,43.0,,,,,,,33079.0,,,,,,9600.0,7257.0,,,-1227859.0,491.0,,,-148289.0,,,82489391.0,,,,,,,,,,,,,,
2019-09-30,2019-11-14,10-Q,W&E Source Corp.,WESC,CIK0001368275,USD,7854.0,,,,,,14231.0,1059931.0,14314.0,2986.0,11328.0,2930.0,422.0,0.0001,500000000.0,82489391.0,82489391.0,8249.0,-19558.0,,47.0,,,,,,,,,11328.0,,,,,,23562.0,25003.0,,0.0,,0.1,-11134.0,-1382.0,,11378.0,113.0,,,0.0,-11101.0,,11101.0,,,2913.0,,,,,113.0,,,,0.0,2400.0,1837.0,182161.0,14314.0,182161.0,,29693.0,,-29318.0,-22399.0,-11134.0,11378.0,-11265.0,,,9600.0,9600.0,9600.0,9600.0,,9600.0,,,2841.0,2841.0,,,56.0,,,,,,,29693.0,,,,,,2400.0,1813.0,,,-1250258.0,113.0,,,-167847.0,,,82489391.0,,,,,,,,,,,,,,
2019-12-31,2020-02-13,10-Q,W&E Source Corp.,WESC,CIK0001368275,USD,8455.0,,,,,,11166.0,1059931.0,14527.0,2956.0,11571.0,2899.0,,0.0001,500000000.0,82489391.0,82489391.0,8249.0,-8650.0,,,,,,,,,,,11571.0,,,,,,25919.0,27369.0,,0.0,,0.1,5005.0,,,10970.0,380.0,,,,,,,,,,,,,,,,,,,,,191024.0,14527.0,191024.0,,,,,-5585.0,5005.0,10970.0,-10590.0,,,9600.0,9600.0,9600.0,9600.0,,9600.0,,,-3065.0,-3065.0,,,57.0,,,,,,,,,,,,,,,,,-1255843.0,380.0,,,-176497.0,,,82489391.0,,,,,,,,,,,,,,
2020-03-31,2020-05-15,10-Q,W&E Source Corp.,WESC,CIK0001368275,USD,7724.0,,,,,,19466.0,1059931.0,14356.0,3731.0,10625.0,3512.0,,0.0001,500000000.0,82489391.0,82489391.0,8249.0,-9448.0,,,,,,,,,,,10625.0,,,,,,27392.0,27392.0,,0.0,,0.1,-6710.0,,,11370.0,332.0,,,,,,,,,,,,,,,,,,,,,200301.0,14356.0,200301.0,,,,,-17748.0,-6710.0,11370.0,-11038.0,,,9600.0,9600.0,9600.0,9600.0,,9600.0,,,8300.0,8300.0,,,69.0,,,,,150.0,,,,,,,,,,,,-1273591.0,332.0,,,-185945.0,,,82489391.0,,,,,,,,,,,,,,
2020-06-30,2020-09-28,10-K,W&E Source Corp.,WESC,CIK0001368275,USD,15351.0,,,,,,15920.0,1059931.0,14562.0,3546.0,11016.0,3508.0,1000.0,0.0001,500000000.0,82489391.0,82489391.0,8249.0,-48883.0,0.0,715.0,,,,,10503.0,0.0,10503.0,,11016.0,,,,,,28201.0,32683.0,,0.0,,,-4657.0,1159.0,0.0,51286.0,784.0,-55159.0,,0.0,-3601.0,,,,,11278.0,,,,818.0,,,0.0,,0.0,9600.0,7140.0,213480.0,14562.0,213480.0,,49744.0,,-49459.0,-64586.0,-4657.0,51286.0,-50502.0,,,,,,,,,1283018.0,,6276.0,-3546.0,,,38.0,,,,,,,49744.0,,49744.0,,,,9600.0,7140.0,,,-1283018.0,784.0,,,-198918.0,,,82489391.0,,1000.0,0.0,,,-55159.0,,,,,,9600.0,7140.0,
2020-09-30,2020-11-16,10-Q,W&E Source Corp.,WESC,CIK0001368275,USD,8540.0,,,,,,12185.0,1073022.0,14809.0,3550.0,11259.0,3511.0,3.0,0.0001,500000000.0,82489391.0,82489391.0,8249.0,-30203.0,,93.0,,,,,,,,,11259.0,,,,,,,36616.0,,0.0,,,-2104.0,-34.0,,11198.0,,,,0.0,-6812.0,,,,,3308.0,,,,,0.0,13166.0,,,0.0,2400.0,1812.0,230839.0,14809.0,230839.0,,16682.0,,-16772.0,-26468.0,-15270.0,11198.0,-11198.0,,9600.0,9600.0,9600.0,9600.0,9600.0,,,,,-3735.0,-3735.0,,,39.0,,,,,,,16682.0,,16682.0,,,,,,,,-1309486.0,,,,-216030.0,,,82489391.0,,3.0,,,,,,,,,,2400.0,1812.0,
2020-12-31,2021-02-16,10-Q,W&E Source Corp.,WESC,CIK0001368275,USD,12238.0,,,,,,4133.0,1217045.0,20353.0,8584.0,11769.0,8543.0,,0.0001,500000000.0,130085501.0,130085501.0,13009.0,98384.0,,,,147548.0,,,,,,,11769.0,,,,,,,551.0,,0.0,,,7360.0,,90433.0,13770.0,0.0,,,,,,,,,,,,,,,1160.0,,,,,,12789.0,20353.0,12789.0,,,,,82863.0,96633.0,13770.0,-13770.0,,9600.0,9600.0,9600.0,9600.0,9600.0,,,,,15521.0,-8052.0,,,41.0,,,,,,,,,,,,,,,,,-1226623.0,,0.0,,7564.0,,,91381000.0,,,,,,,,,,,,,,
2021-03-31,2021-06-08,10-Q,W&E Source Corp.,WESC,CIK0001368275,USD,9904.0,,,,,,4938.0,1217045.0,14242.0,2309.0,11933.0,2268.0,,0.0001,500000000.0,130085501.0,130085501.0,13009.0,-11368.0,,,,,,,,,,,11933.0,,,,,,,8142.0,,0.0,,,-644.0,,,11529.0,,,,,,,,,,,,,,,,,,,,,,18046.0,14242.0,18046.0,,,,,-12173.0,-644.0,11529.0,-11529.0,,9600.0,9600.0,9600.0,9600.0,9600.0,,,,,805.0,805.0,,,41.0,,,,,,,,,,,,,,,,,-1238796.0,,,,-3804.0,,,137899000.0,,,,,,,,,,,,,,
2021-06-30,2022-01-14,10-K,W&E Source Corp.,WESC,CIK0001368275,USD,24561.0,,,,,,3465.0,1217106.0,14320.0,2290.0,12030.0,2248.0,,0.0001,500000000.0,130085501.0,130085501.0,13009.0,39633.0,0.0,285.0,,,,,-6244.0,,-6244.0,,12030.0,,,,,,,12020.0,12020.0,0.0,,,6158.0,-7600.0,90433.0,55028.0,0.0,,,0.0,8109.0,,,,,-537.0,,,,0.0,,14326.0,14386.0,,0.0,,,36581.0,14320.0,36581.0,,32153.0,,-33698.0,10132.0,82205.0,55028.0,-55028.0,,,,,,,,,1255841.0,,12456.0,-1473.0,,,42.0,,,,,,,,,32153.0,,,,,,,,-1255841.0,0.0,,,-22261.0,,,108379583.0,,-1260.0,90433.0,0.802,0.1548,27177.0,9600.0,9600.0,9600.0,9600.0,9600.0,9600.0,7498.0,
2021-09-30,2022-01-18,10-Q,W&E Source Corp.,WESC,CIK0001368275,USD,32287.0,,,,,,5787.0,1217144.0,14019.0,2257.0,11762.0,2216.0,,0.0001,500000000.0,130085501.0,130085501.0,13009.0,-9743.0,,2364.0,,,,,,,,,11762.0,,,,,,,13698.0,13698.0,0.0,,,-2396.0,0.0,,9631.0,,,,0.0,7725.0,,,,,1906.0,,,,,,38.0,,,0.0,,,45985.0,14019.0,45985.0,,0.0,,-2396.0,-12065.0,-2434.0,9631.0,-9631.0,,,,,,,,,,,2322.0,2322.0,,,41.0,,,,,,,,,0.0,,,,,,,,-1267906.0,,,,-31966.0,,,130085501.0,,-32.0,,0.7841,0.1546,,9600.0,9600.0,9600.0,9600.0,9600.0,2400.0,1906.0,
2021-12-31,2022-02-25,10-Q,W&E Source Corp.,WESC,CIK0001368275,USD,38003.0,,,,,,5259.0,1217214.0,14026.0,2286.0,11740.0,2245.0,,0.0001,500000000.0,130085501.0,130085501.0,13009.0,-13394.0,,,,,,,,,,,11740.0,,,,,,,18992.0,18992.0,0.0,,,556.0,,0.0,11031.0,0.0,,,,,,,,,,,,,,,70.0,,,,,,56995.0,14026.0,56995.0,,,,,-10545.0,486.0,11031.0,-11031.0,,,,,,,,,,,-2849.0,-528.0,,,41.0,,,,,,,,,,,,,,,,,-1278451.0,,0.0,,-42969.0,,,130085501.0,,,,0.7827,0.1569,,9600.0,9600.0,9600.0,9600.0,9600.0,,,
