end,filed,form,Name,Ticker,CIK,Currency,AccountsPayableAndAccruedLiabilitiesCurrent,AccountsPayableAndOtherAccruedLiabilitiesCurrent,AccountsPayableRelatedPartiesCurrent,AccountsPayableRelatedPartiesCurrentAndNoncurrent,AdditionalPaidInCapital,AdjustmentsNoncashItemsToReconcileNetIncomeLossToCashProvidedByUsedInOperatingActivities,AdjustmentsToAdditionalPaidInCapitalOther,AdjustmentsToReconcileNetIncomeLossToCashProvidedByUsedInOperatingActivities,Assets,AssetsCurrent,CapitalUnitsAuthorized,Cash,CashAndCashEquivalentsAtCarryingValue,CashAndCashEquivalentsFairValueDisclosure,CashAndCashEquivalentsPeriodIncreaseDecrease,CashAndCashEquivalentsPeriodIncreaseDecreaseExcludingExchangeRateEffect,CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalentsPeriodIncreaseDecreaseExcludingExchangeRateEffect,CashEquivalentsAtCarryingValue,CommitmentsAndContingencies,CommonStockParOrStatedValuePerShare,CommonStockSharesAuthorized,CommonStockSharesIssued,CommonStockSharesOutstanding,CommonStockValue,CostsAndExpenses,DeferredIncomeTaxLiabilities,DeferredTaxAssetsGross,DeferredTaxAssetsLiabilitiesNet,DeferredTaxAssetsNet,DeferredTaxAssetsOperatingLossCarryforwards,DeferredTaxAssetsValuationAllowance,DeferredTaxAssetsValuationAllowanceCurrent,DeferredTaxLiabilities,DeferredTaxLiabilitiesOther,DividendsPayableAmountPerShare,DividendsPayableCurrent,DueFromRelatedPartiesCurrent,DueToRelatedPartiesCurrent,DueToRelatedPartiesCurrentAndNoncurrent,EarningsPerShareBasic,EarningsPerShareBasicAndDiluted,EffectiveIncomeTaxRateReconciliationAtFederalStatutoryIncomeTaxRate,EffectiveIncomeTaxRateReconciliationChangeInDeferredTaxAssetsValuationAllowance,EffectiveIncomeTaxRateReconciliationForeignIncomeTaxRateDifferential,EffectiveIncomeTaxRateReconciliationStateAndLocalIncomeTaxes,FederalDepositInsuranceCorporationPremiumExpense,IncomeLossFromContinuingOperations,IncomeTaxesPaidNet,IncreaseDecreaseInAccountsPayableAndAccruedLiabilities,IncreaseDecreaseInAccountsPayableRelatedParties,IncreaseDecreaseInDueFromRelatedParties,IncreaseDecreaseInDueFromRelatedPartiesCurrent,IncreaseDecreaseInDueToOtherRelatedPartiesCurrent,IncreaseDecreaseInOtherCurrentAssets,IncreaseDecreaseInOtherReceivables,InterestAndOtherIncome,InterestExpense,InterestPaid,InterestPaidNet,InvestmentIncomeInterest,Liabilities,LiabilitiesAndStockholdersEquity,LiabilitiesCurrent,NetCashProvidedByUsedInFinancingActivities,NetCashProvidedByUsedInInvestingActivities,NetCashProvidedByUsedInOperatingActivities,NetCashProvidedByUsedInOperatingActivitiesContinuingOperations,NetIncomeLoss,NonoperatingIncomeExpense,OperatingExpenses,OperatingIncomeLoss,OperatingLossCarryforwards,OperatingLossCarryforwardsValuationAllowance,OtherIncome,OtherNoncashIncomeExpense,OtherNonoperatingIncome,OtherNonoperatingIncomeExpense,OtherReceivables,OtherSellingGeneralAndAdministrativeExpense,PaymentsOfDividends,PreferredStockParOrStatedValuePerShare,PreferredStockSharesAuthorized,PreferredStockSharesIssued,PreferredStockSharesOutstanding,PreferredStockValue,ProfessionalFees,ProfitLoss,RelatedPartyTransactionAmountsOfTransaction,RelatedPartyTransactionDueFromToRelatedPartyCurrent,RepaymentsOfRelatedPartyDebt,RetainedEarningsAccumulatedDeficit,SaleOfStockConsiderationReceivedOnTransaction,SaleOfStockNumberOfSharesIssuedInTransaction,SaleOfStockPercentageOfOwnershipBeforeTransaction,SalesRevenueNet,SellingGeneralAndAdministrativeExpense,SharesOutstanding,StockholdersEquity,StockholdersEquityIncludingPortionAttributableToNoncontrollingInterest,StockIssuedDuringPeriodValueConversionOfConvertibleSecurities,ValuationAllowanceAmount,WeightedAverageNumberOfShareOutstandingBasicAndDiluted,WeightedAverageNumberOfSharesOutstandingBasic
2018-10-31,2018-12-13,10-Q,"Liaoning Shuiyun Qinghe Rice Industry Co., Ltd.",SYQH,CIK0000710782,USD,6470.0,,,,2190644.0,,,,496.0,496.0,,,496.0,,,,,,,0.001,100000000.0,7350540.0,7350540.0,7350.0,,,,,,,,,,,0.0248,181996.0,,,,0.0,,,,,,,,,,,,,,,,,,,,,,496.0,6470.0,,,,,-6070.0,,,-6070.0,,,,,,,,,,0.001,1000000.0,,,,,,,,,-2203968.0,,,,,6070.0,,-5974.0,-5974.0,,,,7350540.0
2019-01-31,2019-03-08,10-Q,"Liaoning Shuiyun Qinghe Rice Industry Co., Ltd.",SYQH,CIK0000710782,USD,16634.0,,,,2190644.0,,,,785.0,785.0,,,,,,,,,,0.001,100000000.0,7350540.0,7350540.0,7350.0,,,,,,,,,,,0.0248,181996.0,,,,0.0,,,,,,,,,,,,,,,,,,,,,,785.0,16634.0,,,,,-9875.0,,,-9875.0,,,,,,,785.0,,,0.001,1000000.0,,,,,,,,,-2213843.0,,,,,9875.0,,-15849.0,-15849.0,,,,7350540.0
2019-04-30,2019-07-29,10-K,"Liaoning Shuiyun Qinghe Rice Industry Co., Ltd.",SYQH,CIK0000710782,USD,11226.0,,20345.0,,2190644.0,,-181996.0,,785.0,785.0,,,785.0,,-204851.0,,-204851.0,,,0.001,10000000.0,7350540.0,7350540.0,7350.0,,149000.0,165000.0,,,165000.0,165000.0,,,149000.0,0.0248,181996.0,,,,-0.01,-0.01,0.21,1.0,0.0,0.1,250000.0,,,9726.0,,,,,,,,,,,133.0,,785.0,31571.0,-181996.0,,-22855.0,,-52926.0,,,-53059.0,534000.0,,,,,,,,181996.0,0.001,1000000.0,,,,,,,,,-2228780.0,,,,,53059.0,,-30786.0,,,,,7350540.0
2019-07-31,2019-09-13,10-Q,"Liaoning Shuiyun Qinghe Rice Industry Co., Ltd.",SYQH,CIK0000710782,USD,31952.0,,23590.0,,2190644.0,,,,785.0,785.0,,,785.0,,,,,,,0.001,10000000.0,7350540.0,7350540.0,7350.0,,,,,,,,,,,0.0248,181996.0,,,,0.0,0.0,,,,,250000.0,,,20726.0,,,,,,,,,,,,,785.0,55542.0,,,,,-23971.0,,,-23971.0,,,,,,,,,,0.001,1000000.0,,,,,,,,,-2252751.0,,,,,23971.0,,-54757.0,-54757.0,,,,7350540.0
2019-10-31,2019-12-13,10-Q,"Liaoning Shuiyun Qinghe Rice Industry Co., Ltd.",SYQH,CIK0000710782,USD,11521.0,,49646.0,,2190644.0,,,,785.0,785.0,,,785.0,,,,,,,0.001,10000000.0,7350540.0,7350540.0,7350.0,,,,,,,,,,,0.0248,181996.0,,,,0.0,,,,,,,,,,,,,,,,,,,,,,785.0,61167.0,,,,,-5625.0,,,-5625.0,,,,,,,,,,0.001,1000000.0,,,,,,,,,-2258376.0,,,,,5625.0,,-60382.0,-60382.0,,,,7350540.0
2020-01-31,2020-03-11,10-Q,"Liaoning Shuiyun Qinghe Rice Industry Co., Ltd.",SYQH,CIK0000710782,USD,17566.0,,52579.0,,2190644.0,,,,785.0,785.0,,,785.0,,,,,,,0.001,10000000.0,7350540.0,7350540.0,7350.0,,,,,,,,,,,0.0248,181996.0,,,,0.0,,,,,,,,,,,,,,,,,,,,,,785.0,70145.0,,,,,-8978.0,,8978.0,-8978.0,,,,,,,,2878.0,,0.001,1000000.0,,,,6100.0,-8978.0,,,,-2267354.0,,,,,8978.0,,-69360.0,-69360.0,,,,7350540.0
2020-04-30,2020-07-29,10-K,"Liaoning Shuiyun Qinghe Rice Industry Co., Ltd.",SYQH,CIK0000710782,USD,17696.0,,,,2190644.0,,,,785.0,785.0,,,785.0,,,,,,,0.001,100000000.0,7350540.0,7350540.0,7350.0,,,180000.0,,,180000.0,180000.0,,,,0.0248,181996.0,,,,-0.01,,0.21,1.0,0.0,0.1,250000.0,,,6470.0,,,,,,,,,,,,,785.0,79535.0,,,,,-47964.0,,47964.0,-47964.0,582000.0,,,,,,,14008.0,,0.001,1000000.0,0.0,0.0,,33956.0,-47964.0,61839.0,,,-2276744.0,,,,,47964.0,,-78750.0,-78750.0,,,,7350540.0
2020-07-31,2021-01-28,10-Q,"Liaoning Shuiyun Qinghe Rice Industry Co., Ltd.",SYQH,CIK0000710782,USD,35901.0,,,,2190644.0,,,,785.0,785.0,,,785.0,,,,,,,0.001,100000000.0,7350540.0,7350540.0,7350.0,,,,,,,,,,,,,,,61839.0,0.0,,,,,,250000.0,,,18205.0,,,,,,,,,,,,,785.0,97740.0,,,,,-18205.0,,18205.0,-18205.0,,,,,,,,4705.0,,0.001,1000000.0,,,,13500.0,,,,,-2294949.0,200000.0,7258750.0,0.9875,,18205.0,,-96955.0,-96955.0,,,,7350540.0
2020-10-31,2021-01-28,10-Q,"Liaoning Shuiyun Qinghe Rice Industry Co., Ltd.",SYQH,CIK0000710782,USD,37716.0,,,,2190644.0,,,,785.0,785.0,,,785.0,,,,,,,0.001,100000000.0,7350540.0,7350540.0,7350.0,,,,,,,,,,,,,,,61839.0,0.0,,,,,,,,,,,,,,,,,,,,,,785.0,99555.0,,,,,-1815.0,,1815.0,-1815.0,,,,,,,,915.0,,0.001,1000000.0,,,,900.0,,,,,-2296764.0,,,,,1815.0,,-98770.0,-98770.0,,,,7350540.0
2021-01-31,2021-09-27,10-Q,"Liaoning Shuiyun Qinghe Rice Industry Co., Ltd.",SYQH,CIK0000710782,USD,25503.0,,,61839.0,2252483.0,,,,785.0,785.0,,,785.0,,,,,,,0.001,100000000.0,7350540.0,7350540.0,7350.0,,,,,,,,,,,,,,,41486.0,0.0,,,,,,,,,,,,,,,,,,,,,,785.0,66989.0,,,,,-29273.0,,29273.0,-29273.0,,,,,,,,18494.0,,0.001,1000000.0,0.0,0.0,,10779.0,-29273.0,61839.0,,,-2326037.0,,,,,,,-66204.0,,61839.0,,,7350540.0
2021-04-30,2021-09-27,10-K,"Liaoning Shuiyun Qinghe Rice Industry Co., Ltd.",SYQH,CIK0000710782,USD,26503.0,,,,2252483.0,,,,785.0,785.0,,,785.0,,,,,,,0.001,100000000.0,7350540.0,7350540.0,7350.0,,,196000.0,,,196000.0,196000.0,,,,,,,,41486.0,-0.01,,0.21,1.0,0.0,0.1,,,,8807.0,,,,,,,,,,,,,785.0,67989.0,,,,,-50293.0,,50293.0,-50293.0,633000.0,,,,,,,25114.0,,0.001,1000000.0,0.0,0.0,,25179.0,-50293.0,,,,-2327037.0,,,,,,,-67204.0,,,,,7350540.0
2021-07-31,2021-09-27,10-Q,"Liaoning Shuiyun Qinghe Rice Industry Co., Ltd.",SYQH,CIK0000710782,USD,26889.0,,,,2252483.0,,,,785.0,785.0,,,785.0,,,,,,,0.001,100000000.0,7350540.0,7350540.0,7350.0,,,,,,,,,,,,,,,41486.0,0.0,,,,,,,,,386.0,,,,,,,,,,,,,785.0,68375.0,,,,,-386.0,,386.0,-386.0,,,,,,,,386.0,,0.001,1000000.0,0.0,0.0,,,386.0,,,,-2327423.0,,,,,,,-67590.0,,,,,7350540.0
2021-10-31,2021-12-15,10-Q,"Liaoning Shuiyun Qinghe Rice Industry Co., Ltd.",SYQH,CIK0000710782,USD,26493.0,,,,2252483.0,,,,,,,,,,,,,,,0.001,100000000.0,7350540.0,7350540.0,7350.0,,,,,,,,,,,,,,,93894.0,-0.01,,,,,,,,,,,,,,,,,,,,,,,120387.0,,,,,-52797.0,,52797.0,-52797.0,,,,,,,,20134.0,,0.001,1000000.0,0.0,0.0,,32663.0,,,,,-2380220.0,,,,,,,-120387.0,,,,,7350540.0
2022-01-31,2022-03-15,10-Q,"Liaoning Shuiyun Qinghe Rice Industry Co., Ltd.",SYQH,CIK0000710782,USD,18237.0,,,,2252483.0,,,,,,,,,,,,,,,0.001,100000000.0,7350540.0,7350540.0,7350.0,,,,,,,,,,,,,,,113156.0,0.0,,,,,,,,,,,,,,,,,,,,,,,131393.0,,,,,-11006.0,,11006.0,-11006.0,,,,,,,,5206.0,,0.001,1000000.0,0.0,0.0,,5800.0,,,,,-2391226.0,,,,,,,-131393.0,,,,,7350540.0
