end,filed,form,Name,Ticker,CIK,Currency,AccountsPayableCurrent,AccountsReceivableFairValueDisclosure,AccountsReceivableGrossCurrent,AccountsReceivableNet,AccountsReceivableNetCurrent,AccumulatedAmortizationDeferredFinanceCosts,AdditionalPaidInCapital,AdjustmentsNoncashItemsToReconcileNetIncomeLossToCashProvidedByUsedInOperatingActivities,AllowanceForLoanAndLeaseLossesAdjustmentsNet,AllowanceForLoanAndLeaseLossesRealEstate,AllowanceForLoanAndLeaseLossesWriteOffs,AllowanceForLoanAndLeaseLossesWriteoffsNet,AllowanceForNotesAndLoansReceivableCurrent,AllowanceForNotesAndLoansReceivableNoncurrent,AmortizationOfDeferredLoanOriginationFeesNet,AmortizationOfFinancingCosts,AmortizationOfFinancingCostsAndDiscounts,AssetManagementFees1,Assets,AssetsCurrent,CashAndCashEquivalentsAtCarryingValue,CashAndCashEquivalentsFairValueDisclosure,CashAndCashEquivalentsPeriodIncreaseDecrease,CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalentsPeriodIncreaseDecreaseIncludingExchangeRateEffect,CommitmentsAndContingencies,CommonStockAdditionalSeriesSharesIssued,CommonStockAdditionalSeriesSharesOutstanding,CommonStockDividendsPerShareCashPaid,CommonStockDividendsPerShareDeclared,CommonStockParOrStatedValuePerShare,CommonStockSharesAuthorized,CommonStockSharesIssued,CommonStockSharesOutstanding,CommonStockValue,DebtDefaultLongtermDebtAmount,DebtInstrumentFairValue,DebtInstrumentIncreaseDecreaseForPeriodNet,DebtWeightedAverageInterestRate,DeferredFinanceCostAmortizationExpense,DeferredFinanceCostsNet,DeferredFinanceCostsOwnshareLendingArrangementIssuanceCostsNet,DeferredIncomeCurrent,DeferredOfferingCosts,DeferredTaxAssetsOperatingLossCarryforwards,DeferredTaxAssetsTaxDeferredExpenseReservesAndAccrualsProvisionForLoanLosses,DeferredTaxAssetsTaxDeferredExpenseReservesAndAccrualsReturnsAndAllowances,DepositsMoneyMarketDeposits,Dividends,DividendsCash,DividendsCommonStockCash,DividendsPayable,DividendsPayableCurrent,DueToRelatedPartiesCurrent,EarnestMoneyDeposits,EarningsPerShareBasicAndDiluted,EquitySecuritiesFvNi,FairValueDisclosureOffbalanceSheetRisksFaceAmountLiability,FinancialInstrumentsOwnedCorporateDebtAtFairValue,FinancingReceivableExcludingAccruedInterestAfterAllowanceForCreditLoss,FinancingReceivableModificationsRecordedInvestment,ImpairedFinancingReceivableRecordedInvestment,ImpairedFinancingReceivableWithRelatedAllowanceUnpaidPrincipalBalance,ImpairmentOfRealEstate,IncreaseDecreaseInAccountsPayable,IncreaseDecreaseInAccountsPayableRelatedParties,IncreaseDecreaseInAccountsReceivable,IncreaseDecreaseInAccruedInterestReceivableNet,IncreaseDecreaseInInterestAndDividendsReceivable,IncreaseDecreaseInLongTermReceivablesCurrent,IncreaseDecreaseInOtherAccountsPayable,IncreaseDecreaseInPrepaidExpense,InterestAndFeeIncomeLoansAndLeases,InterestExpense,InterestIncomeExpenseNet,InterestPaid,InterestReceivable,InterestReceivableCurrent,InventoryRealEstateHeldForSale,InvestmentIncomeNet,Investments,LettersOfCreditOutstandingAmount,Liabilities,LiabilitiesAndStockholdersEquity,LiabilitiesCurrent,LiabilitiesOfAssetsHeldForSale,LineOfCredit,LineOfCreditFacilityIncreaseDecreaseForPeriodNet,LoanProcessingFee,LoansAndLeasesReceivableImpairedNonperformingNonaccrualOfInterest,LoansAndLeasesReceivableNetReportedAmount,LoansReceivableCommercialMortgage,LoansReceivableFairValueDisclosure,LongTermDebt,LongTermDebtCurrent,LongTermDebtMaturitiesRepaymentsOfPrincipalInNextRollingTwelveMonths,LongTermDebtMaturitiesRepaymentsOfPrincipalInRollingAfterYearFive,LongTermDebtMaturitiesRepaymentsOfPrincipalInRollingYearFour,LongTermDebtMaturitiesRepaymentsOfPrincipalInRollingYearThree,LongTermDebtMaturitiesRepaymentsOfPrincipalInRollingYearTwo,ManagementFeeAmountPaid,ManagementFeePayable,MoneyMarketFundsAtCarryingValue,MortgageLoansInProcessOfForeclosureAmount,MortgageLoansOnRealEstateCarryingAmountOfMortgages,MortgageLoansOnRealEstateNewMortgageLoans,NetCashProvidedByUsedInFinancingActivities,NetCashProvidedByUsedInInvestingActivities,NetCashProvidedByUsedInOperatingActivities,NetIncomeLoss,NetInterestIncomeLossAfterProvisionForLoanLosses,OperatingExpenses,OperatingIncomeLoss,OtherCostAndExpenseOperating,OtherIncome,OtherThanTemporaryImpairmentCreditLossesRecognizedInEarningsCreditLossesOnDebtSecuritiesHeld,PaymentsForRepurchaseOfEquity,PrepaidExpenseAndOtherAssets,PrepaidExpenseCurrent,ProceedsFromLinesOfCredit,ProceedsFromRecoveriesOfLoanPreviouslyChargedOff,ProceedsFromRepaymentsOfFirstMortgageBond,ProceedsFromRepaymentsOfLinesOfCredit,ProceedsFromSaleOfOtherRealEstateHeldforinvestment,ProvisionForLoanAndLeaseLosses,ProvisionForLoanLeaseAndOtherLosses,ProvisionForLoanLossesExpensed,ProvisionForOtherLosses,RealEstateHeldforsale,RealEstateOwnedValuationAllowanceComponent,RealEstateOwnedValuationAllowancePeriodIncreaseDecrease,RealEstateWriteDownOrReserveAmount,RetainedEarningsAccumulatedDeficit,SecuredDebtCurrent,StockholdersEquity,StockRedeemedOrCalledDuringPeriodValue,StockRepurchasedDuringPeriodShares,StockRepurchasedDuringPeriodValue,WeightedAverageNumberDilutedSharesOutstandingAdjustment,WeightedAverageNumberOfDilutedSharesOutstanding,WeightedAverageNumberOfShareOutstandingBasicAndDiluted
2015-09-30,2015-11-16,10-Q,AMERICAN CHURCH MORTGAGE COMPANY,ACMC,CIK0000934543,USD,73260.0,,190981.0,,,-942138.0,19113458.0,,,,46108.0,,-55553.0,-1102766.0,,,,80000.0,41004525.0,7696213.0,,6203705.0,,,,,,,0.04,0.01,30000000.0,1677798.0,1677798.0,16778.0,,,,,,867489.0,,,,,,,115049.0,,,,,67112.0,,,0.01,,,,,,607000.0,1086661.0,,,,,,,,,,728782.0,503441.0,225341.0,,,162909.0,,,,,28445372.0,41004525.0,1818372.0,,,,,,,1158319.0,,,,,,,,,,,,,24086725.0,,,,,24617.0,,,24617.0,154616.0,,,,,8696.0,,,,,,,,,,,890527.0,,,-6571083.0,1678000.0,12559153.0,,,,1677798.0,,
2015-12-31,2016-03-30,10-K,AMERICAN CHURCH MORTGAGE COMPANY,ACMC,CIK0000934543,USD,29417.0,,189609.0,,,974991.0,19113458.0,,,,188634.0,,1204833.0,-1147170.0,,130548.0,-126998.0,,40646151.0,5976949.0,,4377110.0,610008.0,,,,,,0.23,0.01,30000000.0,1677798.0,1677798.0,16778.0,,,,,,861810.0,,,,,,,2233533.0,125836.0,-469783.0,,,125836.0,,,-0.02,,,,,,1779000.0,1197302.0,296727.0,43536.0,,55516.0,-43269.0,,,,-14025.0,2936326.0,1997249.0,939077.0,1866701.0,,172169.0,,,,,28401253.0,40646151.0,3275253.0,,,,109997.0,,,1204833.0,,,,,,,,,,,,,25354876.0,-2922335.0,-101149.0,218722.0,492435.0,-38234.0,,,-42287.0,792730.0,4053.0,,,,19904.0,,,145228.0,,,,,,,,697422.0,,,-6885338.0,3120000.0,12244898.0,,,,1677798.0,,
2016-03-31,2016-05-13,10-Q,AMERICAN CHURCH MORTGAGE COMPANY,ACMC,CIK0000934543,USD,23230.0,,197865.0,,,-1006796.0,19113458.0,,,,52099.0,,-56576.0,-1152450.0,,31805.0,6000.0,,40879348.0,6424263.0,,4861399.0,484289.0,,,,,,0.06,0.01,30000000.0,1677798.0,1677798.0,16778.0,,,,,,850029.0,,,,,,,2345016.0,100668.0,-125836.0,,,100668.0,,,-0.06,,,,,,1837000.0,1257771.0,,34046.0,,-8256.0,4250.0,,,,5387.0,676564.0,499319.0,177245.0,499319.0,,167919.0,,,,,28834898.0,40879348.0,4615898.0,,,,,,,1209026.0,,,,,,,,,,,,,25520239.0,-690497.0,319139.0,60426.0,104724.0,-99780.0,,,-99780.0,164926.0,,,,,14517.0,,,40000.0,,,1204833.0,1209026.0,52099.0,60000.0,,404322.0,,,-7085786.0,4492000.0,12044450.0,,,,1677798.0,,
2016-06-30,2016-08-15,10-Q,AMERICAN CHURCH MORTGAGE COMPANY,ACMC,CIK0000934543,USD,27340.0,,206467.0,,,-1039073.0,19113458.0,,,,92377.0,,-59201.0,-1210752.0,,,,80000.0,40988431.0,6018930.0,,4422274.0,,,,,,,0.06,0.01,30000000.0,1677798.0,1677798.0,16778.0,,,,,,858250.0,,,,,,,1878283.0,,,,,100668.0,,,-0.1,,,,,,1836000.0,1196884.0,,,,,,,,,,661666.0,506338.0,155328.0,,,174580.0,,,,,29219008.0,40988431.0,4767008.0,,,,,,,1269953.0,,,,,,,,,,,,,25385516.0,,,,,-174359.0,,,-174359.0,177310.0,,,,,9132.0,,,,,,,,,60000.0,,340872.0,,,-7360813.0,4639000.0,11769423.0,,,,1677798.0,,
2016-09-30,2016-11-15,10-Q,AMERICAN CHURCH MORTGAGE COMPANY,ACMC,CIK0000934543,USD,22844.0,,220116.0,,,1071323.0,19113458.0,,,,16836.0,,-41075.0,-1245714.0,,,,78000.0,40499172.0,5716710.0,,4483963.0,,,,,,,0.06,0.01,30000000.0,1677798.0,1677798.0,16778.0,,,,,,842915.0,,,,,,,1169528.0,,,,,100668.0,,,-0.03,,,,,,1849000.0,,,,,,,,,,,650876.0,512411.0,138465.0,,,172526.0,,,,,28880512.0,40499172.0,4128512.0,,,,,,,1286789.0,,,,,,,,,,,,,24879522.0,,,,,-50095.0,,,-50095.0,111724.0,,,,,4156.0,,,,,,,,,60000.0,,,,,-7511576.0,4005000.0,11618660.0,,,,1677798.0,,
2016-12-31,2017-03-31,10-K,AMERICAN CHURCH MORTGAGE COMPANY,ACMC,CIK0000934543,USD,36951.0,,219352.0,,,-1101441.0,19113458.0,,,,155056.0,,1311983.0,-1270071.0,,126450.0,-36845.0,,39566638.0,4618884.0,,3382994.0,-994116.0,,,,,,0.24,0.01,30000000.0,1677798.0,1677798.0,16778.0,,,,,,839195.0,,,,,,,14841.0,100668.0,-427840.0,,,100668.0,,,-0.2,,,,,,277000.0,1189873.0,78473.0,7534.0,,-29743.0,-3743.0,,,,18415.0,2698186.0,2025000.0,673186.0,1898550.0,,175912.0,,,2410.0,,28061619.0,39566638.0,2940619.0,,,,13665.0,,,1311983.0,,,,,,,,,,,,,24732280.0,-1076520.0,-853675.0,-376831.0,236930.0,-337207.0,,,-337207.0,597337.0,,,,,1489.0,,,394812.0,,,,,,258000.0,,340872.0,,,-7625217.0,2803000.0,11505019.0,,,,1677798.0,,
2017-03-31,2017-05-15,10-Q,AMERICAN CHURCH MORTGAGE COMPANY,ACMC,CIK0000934543,USD,24830.0,,227064.0,,,1131530.0,19113458.0,,,,23374.0,,-101091.0,-1234266.0,22150.0,30089.0,22150.0,,39086395.0,3591951.0,,1281362.0,-2101632.0,,,,,,0.07,0.01,30000000.0,1677798.0,1677798.0,16778.0,,,,,,836521.0,,,,,,,39467.0,117446.0,-100668.0,,,117446.0,,,-0.01,,,,,,1853000.0,1177592.0,66971.0,-12121.0,,-7712.0,-2258.0,,,,-10756.0,682725.0,481132.0,201593.0,451045.0,,178170.0,,,2410.0,,27720276.0,39086395.0,1767276.0,,,,22150.0,,,1335357.0,,,,,,,,,,,,,25218140.0,-2218570.0,-474083.0,-1715832.0,88283.0,-21454.0,,199673.0,-21454.0,199673.0,,,,,12245.0,,,11000.0,,48029.0,1311983.0,1353357.0,23374.0,,,225875.0,,,-7764117.0,1625000.0,11366119.0,,,,1677798.0,,
2017-06-30,2017-08-14,10-Q,AMERICAN CHURCH MORTGAGE COMPANY,ACMC,CIK0000934543,USD,49204.0,,237509.0,,,-1161088.0,19113458.0,,,,28425.0,,-101393.0,-1262389.0,,,,,38931711.0,3249295.0,,963383.0,,,,,,,0.07,0.01,30000000.0,1677798.0,1677798.0,16778.0,,,,,,819087.0,,,,,,,629.0,,,,,117446.0,,,0.03,,,,,,1858000.0,1172294.0,,,,,,,,,,700067.0,474622.0,225445.0,,,178477.0,,,2410.0,,27629650.0,38931711.0,1627650.0,,,,,,,1363782.0,,,,,,,,,,,,,25130979.0,,,,,53388.0,,143632.0,53388.0,143632.0,,,,,11109.0,,,,,,,,,,,225872.0,,,-7828175.0,1461000.0,11302061.0,,,,1677798.0,,
2017-09-30,2017-11-14,10-Q,AMERICAN CHURCH MORTGAGE COMPANY,ACMC,CIK0000934543,USD,49204.0,,270476.0,,,-1191901.0,19113458.0,,,,28524.0,,-40132.0,-1352174.0,,,,,38977771.0,2438871.0,,1200854.0,,,,,,,0.07,0.01,30000000.0,1677798.0,1677798.0,16778.0,,,,,,813776.0,,,,,,,229858.0,,,,,117446.0,,,0.04,,,,,,1860000.0,1158214.0,,,,,,,,,,677065.0,480351.0,196714.0,,,178093.0,,,2410.0,,27629650.0,38931711.0,1627650.0,,,,,,,1392306.0,,,,,,,,,,,,,24947188.0,,,,,61574.0,,106616.0,61574.0,106616.0,,,,,6853.0,,,,,,,,,,,225872.0,,,-7828175.0,1461000.0,11302061.0,,,,1677798.0,,
2017-12-31,2018-03-30,10-K,AMERICAN CHURCH MORTGAGE COMPANY,ACMC,CIK0000934543,USD,56847.0,,260785.0,,,-1222243.0,19113458.0,,,,116172.0,,1428155.0,-1340042.0,,120802.0,-12965.0,,37845373.0,2457111.0,502490.0,502490.0,-2880504.0,,,,,,0.28,0.01,30000000.0,1677798.0,1677798.0,16778.0,,,,,,839377.0,,,,2600000.0,,,15428.0,117446.0,-453005.0,,,117446.0,,,0.09,,,,,,,1321500.0,66971.0,19896.0,,-41433.0,-453.0,,,,-1109.0,2767019.0,1913704.0,853315.0,1792902.0,,176365.0,,,2410.0,,26657916.0,37845373.0,4290293.0,,,,40712.0,,,1428000.0,,,,,,,,,,26631.0,,641000.0,24158787.0,-3129367.0,-1174989.0,-2125617.0,420102.0,152221.0,,584922.0,152221.0,548922.0,,,,,2598.0,,,216861.0,,,,,,,,225872.0,,,-7942779.0,4116000.0,10766548.0,,,,1677798.0,,
2018-03-31,2018-05-15,10-Q,AMERICAN CHURCH MORTGAGE COMPANY,ACMC,CIK0000934543,USD,37584.0,,244839.0,,,-975256.0,19113458.0,,,,109234.0,,1537389.0,-1480792.0,,26073.0,,,40082616.0,4149889.0,,2789065.0,2286575.0,,,,,,0.07,0.01,30000000.0,1677798.0,1677798.0,16778.0,,,,,,887514.0,,,,,,,203733.0,117446.0,-117446.0,,,117446.0,,,-0.015,,,,,,,,,-19263.0,,15946.0,2090.0,,,,-13302.0,664896.0,475694.0,189202.0,445970.0,,174275.0,,,2410.0,,29038030.0,40082616.0,4412030.0,,,,,,,1537389.0,,,,,,,,,,,,641000.0,23221908.0,,1368344.0,822878.0,95353.0,-25425.0,,105393.0,-25425.0,105393.0,,,,,15900.0,,,37000.0,,,,,,,,,,,-8085650.0,4257000.0,11044586.0,,,,1677798.0,,
2018-06-30,2018-08-14,10-Q,AMERICAN CHURCH MORTGAGE COMPANY,ACMC,CIK0000934543,USD,88522.0,,255400.0,,,-1006206.0,19113458.0,,,,47500.0,,1584889.0,-1512217.0,,,,,40190151.0,4483427.0,,2929684.0,,,,,,,0.02,0.01,30000000.0,1677798.0,1677798.0,16778.0,,,,,,875052.0,,,,,,,431214.0,,,,,33556.0,,,-0.05,,,,,,,1204232.0,,,,,,,,,,640472.0,493284.0,147188.0,,,178745.0,,,2410.0,4000000.0,29254956.0,40190151.0,4490956.0,,,,,,,1584889.0,,,,,,,,,,26878.0,,773000.0,22735396.0,,,,,-75835.0,,175523.0,175523.0,175523.0,,,,,21259.0,,,,,,,,,,,225872.0,,,-8195041.0,4342000.0,10935195.0,,,,1677798.0,,
2018-09-30,2018-11-14,10-Q,AMERICAN CHURCH MORTGAGE COMPANY,ACMC,CIK0000934543,USD,92262.0,,268670.0,,,-1032371.0,19113458.0,,,,60994.0,,1584889.0,-1561045.0,,,,,40237204.0,4356900.0,2675119.0,2675119.0,,,,,,,0.04,0.01,30000000.0,1677798.0,1677798.0,16778.0,,,,,,871926.0,,,,,,,628048.0,,,,,67112.0,,,-0.02,,,,,,,784602.0,,,,,,,,,,637133.0,498619.0,138514.0,,,184218.0,,,2410.0,4000000.0,29404922.0,40237204.0,4443922.0,,,,,,,1645883.0,,,,,,,,,,25548.0,,773000.0,,,,,,-35802.0,,113322.0,,113322.0,,,,,15121.0,,,,,,,,,,,225872.0,,,-8297954.0,4259000.0,10832282.0,,,,1677798.0,,
2018-12-31,2019-04-01,10-K,AMERICAN CHURCH MORTGAGE COMPANY,ACMC,CIK0000934543,USD,577175.0,,251535.0,251535.0,,1059702.0,19113458.0,832499.0,,,254319.0,,1672003.0,1672003.0,,110519.0,-13621.0,,40023626.0,5037978.0,2183441.0,2183441.0,1680951.0,,,,,,-92279.0,0.01,30000000.0,1677798.0,1677798.0,16778.0,,,,,,886411.0,,,886411.0,2600000.0,,,974346.0,142613.0,-335560.0,,,142613.0,,,-0.03,2410.0,,,,,,5220502.0,-12734.0,546959.0,,9250.0,-8504.0,,,1070.0,-4568.0,2689405.0,1970986.0,718419.0,1384399.0,184869.0,184869.0,,,2410.0,4000000.0,29247078.0,40023626.0,4852489.0,,,,24200.0,,21663739.0,,,,,,,,,,,27701.0,,773000.0,,-2209583.0,1569886.0,-721434.0,832499.0,-3594.0,,514291.0,,514291.0,,,,,7166.0,,,723000.0,,,,,,,340659.0,340659.0,,,-8353688.0,4105000.0,10766548.0,,,,1677798.0,,
2019-03-31,2019-05-15,10-Q,AMERICAN CHURCH MORTGAGE COMPANY,ACMC,CIK0000934543,USD,113359.0,,253639.0,,,-1086783.0,19113458.0,,,,18278.0,,1589744.0,-1504828.0,,27081.0,,,37557171.0,2184581.0,,433604.0,-1749837.0,,,,,,92279.0,0.01,30000000.0,1677798.0,1677798.0,16778.0,,,,,,880142.0,,,,,,,219899.0,92279.0,-142613.0,,,92279.0,,,-0.02,,,,,,,608139.0,12734.0,-491517.0,,-2104.0,-4825.0,,,,-10632.0,648471.0,457333.0,191138.0,430251.0,,189694.0,,,2410.0,4000000.0,26876496.0,37557171.0,2985638.0,,,,,,,,,,,,,,,,,,,338387.0,,,-1998424.0,653166.0,-404579.0,-3594.0,,,-3724.0,126784.0,130.0,,,,17798.0,,,31870.0,,,,,,50000.0,,327925.0,,,-8449561.0,2780000.0,10680675.0,,,,1677798.0,,
2019-06-30,2019-08-14,10-Q,AMERICAN CHURCH MORTGAGE COMPANY,ACMC,CIK0000934543,USD,203825.0,,273895.0,,,-901808.0,19113458.0,,,,30463.0,,1620207.0,-1541599.0,,,,,39356493.0,2852336.0,,1141413.0,,,,,,,100668.0,0.01,30000000.0,1677798.0,1677798.0,16778.0,,,,,,859520.0,,,,,,,15067.0,,,,,100667.0,,,-0.04,,,,,,,611390.0,,,,,,,,,,648471.0,457333.0,191138.0,,,197021.0,,,2410.0,4000000.0,28806972.0,39356493.0,5573492.0,,2000000.0,,,,,,,,,,,,,,,,,338387.0,,,,,,-30486.0,,,233975.0,183975.0,,,,,13675.0,,,,,,,,,50000.0,,327925.0,,,-8580715.0,3269000.0,10549521.0,,,,1677798.0,,
2019-09-30,2019-11-14,10-Q,AMERICAN CHURCH MORTGAGE COMPANY,ACMC,CIK0000934543,USD,20858.0,,,263710.0,,901808.0,19113458.0,,,,24364.0,,1644571.0,1644571.0,,,,,39246176.0,,120593.0,,,,,,,,167779.0,0.01,30000000.0,1677798.0,1677798.0,16778.0,,,,,,,,,865399.0,,,,1483.0,,,,,167780.0,,,0.02,2410.0,,,,,,586973.0,,,,,,,,,,712657.0,476734.0,235923.0,,196234.0,,,,,4000000.0,28835747.0,39246176.0,,,2200000.0,,,,22288168.0,,,,,,,,,,,28508.0,,338387.0,,,,,,28887.0,,,182672.0,132672.0,,,,,23199.0,,,,,,,,,50000.0,327925.0,327925.0,,,-8719807.0,,10410429.0,,,,1677798.0,,
2019-12-31,2020-04-23,10-K,AMERICAN CHURCH MORTGAGE COMPANY,ACMC,CIK0000934543,USD,12311.0,,,125539.0,,956811.0,19113458.0,27484.0,,,87727.0,,1429487.0,1429487.0,,110223.0,6721.0,,37942640.0,,191987.0,,-1991454.0,,,,,,612398.0,0.01,30000000.0,1677798.0,1677798.0,16778.0,,,,,,,,,865533.0,2600000.0,,,,,,,,125835.0,,,0.03,2410.0,,,,,,4557326.0,10617.0,-564864.0,,125996.0,-321.0,,,-446.0,-5955.0,2808534.0,1882290.0,926244.0,1772067.0,185190.0,,,,,4000000.0,27594868.0,37942640.0,,,1445000.0,,,,20717058.0,,,,,,,,,,,27255.0,,,,,-1683685.0,-335253.0,,120965.0,,,,580731.0,,658000.0,,,13121.0,1445000.0,,1067870.0,,,,,,200000.0,651398.0,651398.0,,,-8782464.0,,10347772.0,,12.0,-2398.0,1677798.0,,
2020-03-31,2020-05-14,10-Q,AMERICAN CHURCH MORTGAGE COMPANY,ACMC,CIK0000934543,USD,3875.0,,,109797.0,,992616.0,19113458.0,,,,,,1429487.0,-1429487.0,,35805.0,-12600.0,,36321242.0,,47170.0,,-144817.0,,,,,,0.04,0.01,30000000.0,1677798.0,1677798.0,16778.0,,,,,,,,,836472.0,,,,,,-125835.0,67112.0,,67112.0,,,0.04,2410.0,,,,,,3897775.0,-15559.0,-8436.0,,15742.0,-1780.0,,,20969.0,-6408.0,627977.0,463490.0,164487.0,427685.0,186970.0,,,,,4000000.0,25987739.0,36321242.0,,,600000.0,,,,17855031.0,,,,,,,,,,,48224.0,,,,,-1722579.0,1481627.0,96135.0,68402.0,,,52843.0,96085.0,,,,,19529.0,-845000.0,,59000.0,,,,,,,651398.0,651398.0,,,-8796733.0,,10349062.0,,,,1677798.0,,
2020-06-30,2020-08-13,10-Q,AMERICAN CHURCH MORTGAGE COMPANY,ACMC,CIK0000934543,USD,3950.0,,,90806.0,,1018170.0,19111060.0,,,,64284.0,101128.0,1477194.0,-1477795.0,,,,,36192658.0,,50853.0,,,,,,,,0.01,0.01,30000000.0,1676598.0,1676598.0,16766.0,,,,,,,,,816939.0,,,,,,,16766.0,,16766.0,,,-0.08,,,,,,,5104245.0,,,,,,,,,,604247.0,438835.0,165412.0,,174702.0,,,,,4000000.0,25993316.0,36192658.0,,,1199000.0,,,,17693198.0,,,,,,,,,,,23289.0,,,,,,,,-130544.0,,,231672.0,196672.0,,693000.0,2410.0,,13117.0,,,,,,,,,35000.0,550045.0,550045.0,,,-8928484.0,,10199342.0,,1200.0,-2410.0,1676598.0,1676598.0,
2020-09-30,2020-11-13,10-Q,AMERICAN CHURCH MORTGAGE COMPANY,ACMC,CIK0000934543,USD,137.0,,,109612.0,,1042143.0,19111060.0,,,,450.0,271158.0,1477644.0,1477795.0,,,,,36169044.0,,269401.0,,,,,,,,0.02,0.01,30000000.0,1676598.0,1676598.0,16766.0,,,,,,,,,793103.0,,,,,,,33532.0,,33532.0,,,0.05,,,,,,,5026828.0,,,,,,,,,,711621.0,440013.0,271608.0,,179747.0,,,,,4000000.0,25912938.0,36169044.0,,,2491000.0,,,,16767386.0,,,,,,,,,,,23122.0,,,,,,,,90296.0,,,180862.0,103060.0,,770802.0,,,8718.0,,,,,,,,,77802.0,550045.0,550045.0,,,-8871720.0,,10256106.0,,,,1676598.0,1676598.0,
2020-12-31,2021-03-31,10-K,AMERICAN CHURCH MORTGAGE COMPANY,ACMC,CIK0000934543,USD,14400.0,101532.0,,174915.0,101532.0,1066068.0,19111060.0,409004.0,,,64509.0,,1493996.0,-1493996.0,,109257.0,79818.0,,35574723.0,,87702.0,,-104285.0,,2288000.0,,,,134176.0,0.01,30000000.0,1676598.0,1676598.0,16766.0,,23916500.0,,,,,769178.0,198816.0,769178.0,,,,,,,,,16766.0,,,-0.08,,,18100711.0,16605967.0,,,,134808.0,2089.0,,24007.0,-56829.0,,,-4347.0,5325.0,2543507.0,1766427.0,777080.0,1657169.0,168636.0,242019.0,,,,4000000.0,25489396.0,35574723.0,,,2288000.0,,,,16605967.0,,16605967.0,,,,,,,,,22908.0,,,,,-2346647.0,1833358.0,,-125859.0,,,,662204.0,,834226.0,,,7796.0,843000.0,,251000.0,,,,,,176226.0,428996.0,,,,-9042499.0,,10085327.0,,,-2410.0,1676896.0,,
2021-03-31,2021-05-14,10-Q,AMERICAN CHURCH MORTGAGE COMPANY,ACMC,CIK0000934543,USD,538.0,97572.0,,97572.0,,-734900.0,19111060.0,,,,7099.0,,1501095.0,-1501095.0,,23712.0,-33926.0,,34387441.0,,190937.0,,103235.0,,,,,,0.01,0.01,30000000.0,1676598.0,1676598.0,16766.0,,23885500.0,,,,,,,745466.0,,,,,,-16766.0,16766.0,,16766.0,,,-0.06,,,18040429.0,,,,,100000.0,-13862.0,,3960.0,16060.0,,,223.0,-10330.0,598530.0,414265.0,184265.0,390553.0,225959.0,225959.0,,,,3000000.0,24423469.0,34387441.0,,,1243000.0,,,,15485422.0,,15485422.0,,,,,,,,,23131.0,,,,,-1092766.0,1155372.0,40629.0,-104589.0,,,,229473.0,,,,,18126.0,-1045000.0,,8000.0,,,,,,52282.0,328996.0,,,,-9163854.0,,9963972.0,,,,1676896.0,,
2021-06-30,2021-08-13,10-Q,AMERICAN CHURCH MORTGAGE COMPANY,ACMC,CIK0000934543,USD,538.0,,,,90122.0,758242.0,19111060.0,,,,13943.0,-33621.0,1515038.0,,,,,,33041199.0,,62962.0,,,,1078000.0,,,,,0.01,30000000.0,,1676598.0,16766.0,,,,,,,722125.0,160833.0,,,,,,,,,,,,,-0.21,,,17792166.0,,,,,,,,,,,,,,387569.0,407247.0,-19678.0,,,99888.0,,,,,23428624.0,33041199.0,,,,,,,,,,22328375.0,23050500.0,1042000.0,14955500.0,1093000.0,1403000.0,3404000.0,,21711.0,,,,,,,,-351397.0,,,,146513.0,,1057771.0,,,13910.0,,,,,,,,,171263.0,328996.0,,,,-9515251.0,,9612575.0,,,,,1676598.0,
2021-09-30,2021-11-15,10-Q,AMERICAN CHURCH MORTGAGE COMPANY,ACMC,CIK0000934543,USD,118250.0,,,,94285.0,781639.0,19111060.0,,,,-75384.0,184428.0,1439654.0,,,,,,32055742.0,,196456.0,,,,500000.0,,,,,0.01,30000000.0,,1676598.0,16766.0,45000.0,,,,,,698727.0,156775.0,,,,,,,,,,,,,-0.03,,,17356535.0,13972898.0,,,,,,,,,,,,,499532.0,390488.0,109044.0,,,98871.0,,,,,22494358.0,32055742.0,,,,,,,,,,21854773.0,22553500.0,1042000.0,15105500.0,1093000.0,1403000.0,3404000.0,,21335.0,,,,,,,,-51191.0,,,,111220.0,,1182170.0,,,7701.0,,,,,,,,,124399.0,328996.0,,,,-9566442.0,,9561384.0,,,,,1676598.0,
