end,filed,form,Name,Ticker,CIK,Currency,AccountsPayable,AccountsPayableCurrent,AccountsPayableCurrentAndNoncurrent,AccruedLiabilitiesCurrent,AdditionalPaidInCapital,AdjustmentsToAdditionalPaidInCapitalConvertibleDebtWithConversionFeature,AmortizationOfDebtDiscountPremium,Assets,AssetsCurrent,AssetsNet,AssetsNoncurrent,BankOverdrafts,Cash,CashAndCashEquivalentsAtCarryingValue,CashAndCashEquivalentsPeriodIncreaseDecrease,CashEquivalentsAtCarryingValue,CommonStockParOrStatedValuePerShare,CommonStockSharesAuthorized,CommonStockSharesIssued,CommonStockSharesOutstanding,CommonStockValue,ConversionOfStockAmountConverted1,ConvertibleDebt,ConvertibleDebtCurrent,ConvertibleNotesPayable,CostsAndExpenses,CurrentIncomeTaxExpenseBenefit,DebtInstrumentConvertibleBeneficialConversionFeature,DebtInstrumentInterestRateAtPeriodEnd,DebtInstrumentUnamortizedDiscount,DeferredIncomeTaxExpenseBenefit,DeferredOtherTaxExpenseBenefit,DeferredTaxAssetsLiabilitiesNet,DeferredTaxAssetsNet,DeferredTaxAssetsOperatingLossCarryforwards,DeferredTaxAssetsTaxDeferredExpense,DeferredTaxAssetsValuationAllowance,DepositLiabilitiesAccruedInterest,Depreciation,DerivativeLiabilitiesCurrent,DevelopmentStageEnterpriseDeficitAccumulatedDuringDevelopmentStage,DueFromRelatedPartiesCurrent,DueToRelatedPartiesCurrent,EarningsPerShareBasic,EarningsPerShareBasicAndDiluted,EarningsPerShareDiluted,GainLossOnSaleOfPropertiesBeforeApplicableIncomeTaxes,GainsLossesOnExtinguishmentOfDebt,GeneralAndAdministrativeExpense,IncomeLossBeforeExtraordinaryItemsAndCumulativeEffectOfChangeInAccountingPrinciple,IncomeLossFromContinuingOperations,IncomeLossFromContinuingOperationsBeforeIncomeTaxesDomestic,IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,IncomeLossFromContinuingOperationsBeforeInterestExpenseInterestIncomeIncomeTaxesExtraordinaryItemsNoncontrollingInterestsNet,IncomeLossFromContinuingOperationsPerBasicAndDilutedShare,IncomeLossFromContinuingOperationsPerBasicShare,IncomeTaxExpenseBenefit,IncomeTaxesPaid,IncomeTaxesPaidNet,IncomeTaxReconciliationChangeInDeferredTaxAssetsValuationAllowance,IncomeTaxReconciliationChangeInEnactedTaxRate,IncomeTaxReconciliationDeductions,IncomeTaxReconciliationIncomeTaxExpenseBenefitAtFederalStatutoryIncomeTaxRate,IncreaseDecreaseInAccountsPayable,IncreaseDecreaseInAccountsPayableRelatedParties,IncreaseDecreaseInAccountsPayableTrade,IncreaseDecreaseInAccruedInterestReceivableNet,IncreaseDecreaseInAccruedLiabilities,IncreaseDecreaseInBookOverdrafts,IncreaseDecreaseInDueToOtherRelatedPartiesCurrent,IncreaseDecreaseInDueToRelatedParties,IncreaseDecreaseInInterestAndDividendsReceivable,IncreaseDecreaseInInterestPayableNet,IncreaseDecreaseInNotesReceivables,IncreaseDecreaseInOperatingAssets,IncreaseDecreaseInOperatingCapital,IncreaseDecreaseInOtherAccruedLiabilities,IncreaseDecreaseInPrepaidExpense,InterestExpense,InterestPaid,InterestPaidNet,InterestPayableCurrent,InterestReceivable,InterestRevenueExpense,InvestmentIncomeInterest,Liabilities,LiabilitiesAndStockholdersEquity,LiabilitiesCurrent,MachineryAndEquipmentGross,NetCashProvidedByUsedInFinancingActivities,NetCashProvidedByUsedInInvestingActivities,NetCashProvidedByUsedInOperatingActivities,NetIncomeLoss,NetIncomeLossAttributableToParentDiluted,NetIncomeLossAvailableToCommonStockholdersBasic,NonoperatingIncomeExpense,NotesAssumed1,NotesPayable,NotesPayableCurrent,NotesPayableRelatedPartiesClassifiedCurrent,NotesPayableRelatedPartiesCurrentAndNoncurrent,NotesReceivableNet,OperatingExpenses,OperatingIncomeLoss,OperatingLossCarryforwards,OtherNoncashExpense,OtherNoncashIncomeExpense,OtherNonoperatingIncomeExpense,OtherNotesPayable,PartnersCapitalAccountContributions,PaymentsForRepurchaseOfCommonStock,PreferredStockParOrStatedValuePerShare,PreferredStockSharesAuthorized,PreferredStockSharesIssued,PreferredStockSharesOutstanding,PreferredStockValue,PrepaidExpenseCurrent,PrepaidExpenseCurrentAndNoncurrent,ProceedsFromBankDebt,ProceedsFromCollectionOfLongtermLoansToRelatedParties,ProceedsFromCollectionOfNotesReceivable,ProceedsFromContributedCapital,ProceedsFromContributionsFromAffiliates,ProceedsFromConvertibleDebt,ProceedsFromInsuranceSettlementInvestingActivities,ProceedsFromIssuanceOfCommonStock,ProceedsFromNotesPayable,ProceedsFromRelatedPartyDebt,ProceedsFromRepaymentsOfBankOverdrafts,ProceedsFromRepaymentsOfNotesPayable,ProceedsFromRepaymentsOfOtherLongTermDebt,ProceedsFromRepaymentsOfRelatedPartyDebt,ProceedsFromSaleOfNotesReceivable,ProceedsFromUnsecuredNotesPayable,ProFormaWeightedAverageSharesOutstandingDiluted,ProfitLoss,RelatedPartyDepositLiabilities,RelatedPartyTaxExpenseDueFromAffiliatesCurrent,RelatedPartyTransactionDueFromToRelatedPartyCurrent,RepaymentsOfConvertibleDebt,RepaymentsOfNotesPayable,RepaymentsOfRelatedPartyDebt,RetainedEarningsAccumulatedDeficit,Revenues,SaleOfStockPricePerShare,SharesIssued,StandardizedMeasureOfDiscountedFutureNetCashFlowOfProvedOilAndGasReservesPeriodIncreaseDecrease,StockholdersEquity,StockRepurchasedAndRetiredDuringPeriodValue,TransferOfInvestments,TreasuryStockValue,ValuationAllowanceAmount,WeightedAverageNumberDilutedSharesOutstandingAdjustment,WeightedAverageNumberOfShareOutstandingBasicAndDiluted,WeightedAverageNumberOfSharesIssuedBasic,WeightedAverageNumberOfSharesOutstandingBasic
2015-12-31,2016-04-13,10-K,"BIOETHICS, LTD.",BOTH,CIK0000894560,USD,,,2815.0,,385414.0,,41666.0,74653.0,74653.0,,,,24653.0,24653.0,13019.0,24653.0,,,,,116000.0,,100000.0,,41666.0,,,,,,,,,,,,,4356.0,,,,,,,,,,,46546.0,,-46546.0,,,-95568.0,0.0,,,,,,,,,2815.0,,,4356.0,,,,2250.0,,,-50000.0,,,,7500.0,-49022.0,750.0,,,,,,76087.0,74653.0,76087.0,,100000.0,-50000.0,-36981.0,-95568.0,-95568.0,,,,,,,,50000.0,46546.0,,,,-49022.0,,25000.0,,,,,,,,,,,,,,,,,,100000.0,,,,,,,,,-95568.0,2250.0,,,,,,-502848.0,,,116000000.0,,-1435.0,,,,,,,,116000000.0
2016-03-31,2016-05-13,10-Q,"BIOETHICS, LTD.",BOTH,CIK0000894560,USD,,,4824.0,,385414.0,,25000.0,69071.0,69071.0,,,,11588.0,11588.0,-13065.0,,,,,,116000.0,,,,66666.0,,,,,,,,,,,,,6822.0,,,,,,,,,,,9449.0,,-9449.0,,,-35807.0,0.0,,,,,,,,,2009.0,,,2466.0,,,,750.0,,,,,,,-5625.0,-28216.0,,,,-1858.0,,1858.0,106312.0,69071.0,106312.0,,,,-13065.0,-35807.0,,,,,,,,,50000.0,9449.0,,,,-26358.0,,25000.0,,,,,,,,,5625.0,,,,,,,,,,,,,,,,,,-35807.0,3000.0,,,,,,-538655.0,,,,,-37241.0,,,,,,,,116000000.0
2016-06-30,2016-08-15,10-Q,"BIOETHICS, LTD.",BOTH,CIK0000894560,USD,,,13229.0,,385414.0,,,99881.0,99881.0,,,,43030.0,43030.0,,,,,,,116000.0,,,,91666.0,,,,,,,,,,,,,9438.0,,,,,,,,,,,13838.0,,-13838.0,,,-40961.0,116000000.0,,,,,,,,,,,,,,,,,,,,,,,,-28366.0,,,,-3101.0,,1243.0,178083.0,99881.0,178083.0,,,,,-40961.0,,,,,35000.0,,,,50000.0,13838.0,,,,-27123.0,,25000.0,,,,,,,,,3750.0,,,,,,,,,,,,,,,,,,,3750.0,,,,,,-579616.0,,,,,-78202.0,,,,,,,,116000000.0
2016-09-30,2016-11-14,10-Q,"BIOETHICS, LTD.",BOTH,CIK0000894560,USD,,,2657.0,,385414.0,,,71794.0,71794.0,,,,69919.0,69919.0,,,,,,,116000.0,,,,100000.0,,,,,,,,,,,,,12664.0,,,,,,,,,,,18898.0,,-18898.0,,,-29825.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,-12310.0,,,,,,1383.0,179821.0,71794.0,179821.0,,,,,-29825.0,,,,,35000.0,,,,,18898.0,,,,-10927.0,,25000.0,,,,,,,,,1875.0,,,,,,,,,,,,,,,,,,,4500.0,,,,,,-609441.0,,,,,-108027.0,,,,,,,,116000000.0
2016-12-31,2017-04-07,10-K,"BIOETHICS, LTD.",BOTH,CIK0000894560,USD,,,6191.0,,385414.0,,58334.0,67269.0,65900.0,1369.0,,,65900.0,65900.0,41247.0,65900.0,,,,,116000.0,,,,100000.0,,,,,,,,,,,,,15890.0,60.0,,,,,,,,,,50244.0,-118628.0,-50244.0,,,-118628.0,0.0,,,,,,,,,3376.0,,,11534.0,3000.0,,,3000.0,,,,-1429.0,,,,-72868.0,,,,,,4484.0,187331.0,67269.0,187331.0,,35000.0,48571.0,-42324.0,-118628.0,-118628.0,,,,35000.0,,,,,50244.0,,,,-68384.0,,25000.0,,,,,,,,,,,,,,,,,,35000.0,,,,,,50000.0,,,-118628.0,5250.0,,,,,,-621476.0,,,116000000.0,,-120062.0,,,,,,,,116000000.0
2017-03-31,2017-05-18,10-Q,"BIOETHICS, LTD.",BOTH,CIK0000894560,USD,,,3436.0,,385414.0,,,57482.0,56184.0,1298.0,,,51684.0,51684.0,-14216.0,,,,,,116000.0,,,,100000.0,,,,,,,,,,,,,19046.0,71.0,,,,,,,,,,7032.0,,-7032.0,,,-10938.0,0.0,,,,,,,,,-2755.0,,,3156.0,,,,750.0,,,,,,,-4500.0,-3906.0,,,,,,,188482.0,57482.0,188482.0,,,,-14216.0,-10938.0,,,,,35000.0,,,,,7032.0,,,,-3906.0,,25000.0,,,,,,,,,4500.0,,,,,,,,,,,,,,,,,,-10938.0,6000.0,,,,,,-632414.0,,,,,-131000.0,,,,,,,,116000000.0
2017-06-30,2017-08-04,10-Q,"BIOETHICS, LTD.",BOTH,CIK0000894560,USD,,,5274.0,,385414.0,,,43496.0,42270.0,1226.0,,,40270.0,40270.0,,,,,,,116000.0,,,,100000.0,,,,,,,,,,,,,22237.0,,,,,,,,,,,15824.0,,-15824.0,,,-19765.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,-3941.0,,,,,,,194261.0,43496.0,194261.0,,,,,-19765.0,,,,,35000.0,,,,,15824.0,,,,-3941.0,,25000.0,,,,,,,,,2000.0,,,,,,,,,,,,,,,,,,,6750.0,,,,,,-652179.0,,,,,-150765.0,,,,,,,,116000000.0
2017-09-30,2017-11-13,10-Q,"BIOETHICS, LTD.",BOTH,CIK0000894560,USD,,,7280.0,,385414.0,,,32830.0,31675.0,1155.0,,,26675.0,26675.0,,,,,,,116000.0,,,,100000.0,,,,,,,,,,,,,25464.0,,,,,,,,,,,13172.0,,-13172.0,,,-17149.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,-3977.0,,,,,,,200744.0,32830.0,200744.0,,,,,-17149.0,,,,,35000.0,,,,,13172.0,,,,-3977.0,,25000.0,,,,,,,,,5000.0,,,,,,,,,,,,,,,,,,,7500.0,,500.0,,,,-669328.0,,,,,-167914.0,,,,,,,,116000000.0
2017-12-31,2018-04-17,10-K,"BIOETHICS, LTD.",BOTH,CIK0000894560,USD,,,8340.0,8918.0,385414.0,,,4807.0,3724.0,1083.0,,,1724.0,1724.0,-64176.0,1724.0,,,,,116000.0,,,,,,,,,,,,,,,,,4334.0,286.0,,,500.0,,,,,,,48220.0,-64223.0,-48220.0,-64223.0,,,0.0,,,,,,,,,2149.0,,,-11556.0,3668.0,,,500.0,,,,,,,-2000.0,-16003.0,23890.0,,,,,,189092.0,4807.0,189092.0,,7000.0,,-71176.0,-64223.0,,,,,35000.0,,,132000.0,,48220.0,,,,-16003.0,,132000.0,,,,,,,,,2000.0,,107000.0,,,,,,,,107000.0,,,,,,,,-64223.0,8918.0,,500.0,-100000.0,,,-685699.0,,,,,-184285.0,,,,,,,,116000000.0
2018-03-31,2018-05-16,10-Q,"BIOETHICS, LTD.",BOTH,CIK0000894560,USD,,,17320.0,,480414.0,,,2664.0,1652.0,1012.0,,,1652.0,1652.0,-72.0,1652.0,,,,,11000.0,,,,,,,,,,,,,,,,,5024.0,71.0,,,,,,,,,,12873.0,,-12873.0,-16948.0,,-16948.0,0.0,,,,,,,,,8980.0,,,690.0,-4865.0,,,1500.0,,,,,,,2000.0,-4075.0,8250.0,,,,,,213897.0,2664.0,213897.0,,8500.0,,-8572.0,-16948.0,,,,,35000.0,,,,,12873.0,,,105000.0,-4075.0,,150500.0,,-10000.0,,,,,,,,,43500.0,,,,,,,,43500.0,,,,,,,,-16948.0,4053.0,1500.0,2000.0,,-25000.0,-25000.0,-702647.0,,,,,-211233.0,-10000.0,,-10000.0,,,,,89166667.0
2018-06-30,2018-08-14,10-Q,"BIOETHICS, LTD.",BOTH,CIK0000894560,USD,,,34883.0,,480414.0,,,2264.0,1323.0,941.0,,,1323.0,1323.0,,,,,,,11000.0,,,,,,,,,,,,,,,,,5723.0,,,,,,,0.0,,,,22564.0,,-22564.0,,-27404.0,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,4840.0,,,,,,,240901.0,2264.0,240901.0,,,,,-27404.0,,,-4840.0,,35000.0,,,,,22564.0,-22564.0,,,-4840.0,,153600.0,,,,,,,,,,,,,,,,,,,,,,,,,,,-27404.0,8195.0,,3500.0,,,,-730051.0,0.0,,,,-238637.0,,,-10000.0,,,11000000.0,,11000000.0
2018-09-30,2018-11-13,10-Q,"BIOETHICS, LTD.",BOTH,CIK0000894560,USD,,,35435.0,,480414.0,,,1250.0,381.0,869.0,,,381.0,381.0,,,,,,,11000.0,,,,,,,,,,,,,,,,,6580.0,,,,,,,0.0,,,,8236.0,,-8236.0,,-13308.0,-13308.0,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,5072.0,,,,,,,253195.0,1250.0,253195.0,,,,,-13308.0,,,-5072.0,,45000.0,,,,,8236.0,-8236.0,,,-5072.0,,153770.0,,,,,,,,,,,,,,,,,,,,,,,,,,,-13308.0,12410.0,,,,,,-743359.0,0.0,,,,-251945.0,,,-10000.0,,,11000000.0,,11000000.0
2018-12-31,2019-03-19,10-K,"BIOETHICS, LTD.",BOTH,CIK0000894560,USD,,28340.0,28340.0,7890.0,480414.0,,0.0,32496.0,31698.0,798.0,798.0,,31698.0,31698.0,29974.0,31698.0,0.001,250000000.0,11000000.0,11000000.0,11000.0,,,0.0,,,,,,0.0,,,,0.0,152000.0,28000.0,-180000.0,7890.0,285.0,,,1500.0,155920.0,,0.0,0.0,,,53981.0,,-53981.0,-73539.0,-73539.0,,0.0,,0.0,0.0,,48000.0,-33000.0,,-15000.0,20000.0,1000.0,20000.0,3556.0,2752.0,,2752.0,1000.0,,,,,,3556.0,-2000.0,19558.0,13250.0,,,,,,300320.0,32496.0,300320.0,,73920.0,0.0,-43946.0,-73539.0,,,-19558.0,0.0,95000.0,95000.0,,155920.0,,53981.0,-53981.0,,,-19558.0,,,,10000.0,0.01,25000000.0,0.0,0.0,0.0,,,,48920.0,,,,0.0,,,60000.0,,,60000.0,48920.0,-25000.0,,,,-73539.0,,,,,-25000.0,,-759238.0,0.0,,,,-267824.0,-10000.0,105000.0,,,0.0,30561644.0,,30561644.0
2019-03-31,2019-05-15,10-Q,"BIOETHICS, LTD.",BOTH,CIK0000894560,USD,,,31904.0,14857.0,480414.0,,0.0,65140.0,64414.0,726.0,,,64414.0,64414.0,32716.0,64414.0,,,,,11000.0,,,,,,,,,,,,,,,,,11458.0,72.0,,,,,0.0,0.0,,,,18421.0,,-18421.0,-26175.0,-26175.0,,0.0,,0.0,0.0,,,,,,3564.0,-1500.0,3564.0,3568.0,3187.0,,3187.0,-1500.0,,,,,,3568.0,,7754.0,1000.0,,,,,,359139.0,65140.0,359139.0,,50000.0,0.0,-17284.0,-26175.0,,,-7754.0,,145000.0,,,155920.0,,18421.0,-18421.0,,,-7754.0,,,,,,,,,,,,,,,,,,,,50000.0,,,50000.0,0.0,0.0,,,1132450.0,-52350.0,,,,,,,-785413.0,0.0,,,,-293999.0,,,,,0.0,,11000000.0,12132450.0
2019-06-30,2019-08-14,10-Q,"BIOETHICS, LTD.",BOTH,CIK0000894560,USD,,27252.0,,11814.0,480414.0,,,18781.0,18126.0,,655.0,,,18126.0,,,0.001,150000000.0,11000000.0,11000000.0,11000.0,,,,,,,,,,,,,,,,,,,,,,141234.0,0.0,0.0,,,,10074.0,,,,-18059.0,,,,0.0,,,,,,,,,,,,,,,,,,,,,,7985.0,,,,,,,330839.0,18781.0,330839.0,,,,,,,,-7985.0,,,145000.0,,,,10074.0,-10074.0,,,,,,,,0.01,25000000.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,11000000.0,-18059.0,,,,,,,-803472.0,0.0,,,,-312058.0,,,,,0.0,11000000.0,11000000.0,11000000.0
2019-09-30,2019-11-14,10-Q,"BIOETHICS, LTD.",BOTH,CIK0000894560,USD,,35821.0,,15847.0,480414.0,,,14841.0,14258.0,,583.0,,,14258.0,,,0.001,150000000.0,11000000.0,11000000.0,11000.0,,,,,,,,,,,,,,,,,,,,,,141234.0,-0.02,-0.02,,,,12009.0,,,,-19878.0,,,,0.0,,,,,,,,,,,,,,,,,,,,,,7869.0,,,,,,,346777.0,14841.0,346777.0,,,,,,,,-7869.0,,,145000.0,,,,12009.0,-12009.0,,,,,,,,0.01,25000000.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,1132450.0,-19878.0,,,,,,,-823350.0,0.0,,,,-331936.0,,,,,0.0,11000000.0,1132450.0,1132450.0
2019-12-31,2020-04-09,10-K,"BIOETHICS, LTD.",BOTH,CIK0000894560,USD,,37783.0,,19922.0,494279.0,4000.0,284.0,9273.0,8761.0,,512.0,,,8761.0,-22937.0,,0.001,250000000.0,1135194.0,1135194.0,1135.0,,,6284.0,,,,4000.0,,3716.0,,,,0.0,173000.0,28000.0,201000.0,,286.0,6284.0,,,152234.0,-0.09,-0.09,0.0,,,70033.0,,,,-101915.0,,,,0.0,0.0,,21000.0,0.0,,-21000.0,,0.0,9443.0,,,,619.0,,,,,,,12032.0,0.0,31882.0,18946.0,,,,,,375012.0,9273.0,375012.0,1429.0,56314.0,0.0,-79251.0,,,,-31882.0,4000.0,,145000.0,,,,70033.0,-70033.0,826000.0,,,,,,0.0,0.01,25000000.0,0.0,0.0,0.0,,,,,,,,10000.0,,,,,,50000.0,11000.0,-14686.0,,,1225194.0,-101915.0,,,,,,,-861153.0,0.0,,,,-365739.0,,0.0,,,140000.0,11000000.0,1135194.0,2270388.0
2020-03-31,2020-05-14,10-Q,"BIOETHICS, LTD.",BOTH,CIK0000894560,USD,,48864.0,,24210.0,484414.0,,1989.0,2025.0,1585.0,,440.0,,,1585.0,-7176.0,,0.001,250000000.0,11000000.0,11000000.0,11000.0,,,,,,,,,1727.0,,,,,,,,,72.0,8273.0,,,158634.0,-0.03,-0.03,,,,26229.0,,,,-36657.0,,,,0.0,0.0,,,,,,,1500.0,11081.0,,,,4151.0,,,,,,,4288.0,,10428.0,0.0,,,,,,404421.0,2025.0,404421.0,,6400.0,0.0,-13576.0,,,,-10428.0,,,145000.0,,,,26229.0,-26229.0,,,,,,,,0.01,25000000.0,0.0,0.0,0.0,,,,,,,,,,,,,,0.0,12400.0,-6000.0,,,12185194.0,-73314.0,,,,,,,-897810.0,0.0,,,,-402396.0,,,,,50000.0,,1135194.0,12135194.0
2020-06-30,2020-07-28,10-Q,"BIOETHICS, LTD.",BOTH,CIK0000894560,USD,,49898.0,,28633.0,490614.0,,,2316.0,1947.0,,369.0,,,1947.0,,,0.001,250000000.0,11000000.0,11000000.0,11000.0,,,,,,,6200.0,,5843.0,,,,,,,,,,14157.0,,,167134.0,-0.02,-0.02,,,,16743.0,,,,-27714.0,,,,0.0,,,,,,,,,,,,,,,,,,,,,,10971.0,,,,,,,426226.0,2316.0,426226.0,,,,,,,,-10971.0,,,150000.0,,,,16743.0,-16743.0,,,,,,,,0.01,25000000.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,12236337.0,-27714.0,,,,,,,-925524.0,0.0,,,,-423910.0,,,,,101143.0,,1135194.0,12135194.0
2020-09-30,2020-11-19,10-Q,"BIOETHICS, LTD.",BOTH,CIK0000894560,USD,,49371.0,,33512.0,500482.0,,,1367.0,1069.0,,298.0,,,1069.0,,,0.001,250000000.0,1132450.0,1132450.0,1132.0,,,,,,,,,4281.0,,,,,,,,,,30719.0,,,170134.0,-0.02,-0.02,,,,12922.0,,,,-24052.0,,,,0.0,,,,,,,,,,,,,,,,,,,,,,11130.0,,,,,,,449329.0,1367.0,449329.0,,,,,,,,-11130.0,,,150000.0,,,,12922.0,-12922.0,,,,,,,,0.01,25000000.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,2290402.0,-24052.0,,,,,,,-949576.0,0.0,,,,-447962.0,,,,,22758.0,,1135194.0,2267644.0
2020-12-31,2021-04-15,10-K,"BIOETHICS, LTD.",BOTH,CIK0000894560,USD,,53943.0,,38503.0,500479.0,,7198.0,893.0,667.0,,226.0,,,667.0,-8094.0,,0.001,250000000.0,1135194.0,1135194.0,1135.0,,,,,,,6200.0,,2718.0,,,,0.0,198000.0,28000.0,226000.0,,286.0,32282.0,,,182834.0,-0.1,-0.1,,,,75141.0,,,,-119191.0,,,,0.0,0.0,,25000.0,,,-25000.0,,0.0,16160.0,,,,8272.0,,,,,,,18581.0,,44050.0,10000.0,,,,,,479623.0,893.0,479623.0,1429.0,60600.0,0.0,-68694.0,,,,-44050.0,,,150000.0,,,,75141.0,-75141.0,979000.0,,,,,,,0.01,25000000.0,0.0,0.0,0.0,,,,,,,,25000.0,,,,,,5000.0,36600.0,-6000.0,,,1225194.0,-119191.0,,,,,,,-980344.0,0.0,,,,-478730.0,,,,,90000.0,,1135194.0,2270388.0
2021-03-31,2021-05-24,10-Q,"BIOETHICS, LTD.",BOTH,CIK0000894560,USD,,62712.0,,43547.0,500479.0,,1529.0,622.0,467.0,,155.0,,,467.0,-200.0,,0.001,250000000.0,1135194.0,1135194.0,1135.0,,,,,,,,,1189.0,,,,,,,,,71.0,33811.0,,,186234.0,-0.02,-0.02,,,,13940.0,,,,-28175.0,,,,0.0,0.0,,,,,,,1500.0,8769.0,,,,7662.0,,,,,,,5044.0,,14235.0,0.0,,,,,,507527.0,622.0,507527.0,,3400.0,0.0,-3600.0,,,,-14235.0,,,150000.0,,,,13940.0,-13940.0,,,,,,,,0.01,25000000.0,0.0,0.0,0.0,,,,,,,,,,,,,,,3400.0,0.0,,,1146337.0,-28175.0,,,,,,,-1008519.0,0.0,,,,-506905.0,,,,,11143.0,,1135194.0,1135194.0
2021-06-30,2021-08-23,10-Q,"BIOETHICS, LTD.",BOTH,CIK0000894560,USD,,74641.0,,48533.0,500479.0,,,550.0,467.0,,83.0,,,467.0,,,0.001,250000000.0,1135194.0,1135194.0,1135.0,,,,,,,,,0.0,,,,,,,,,,35000.0,,,190984.0,-0.03,-0.03,,,,18250.0,,,,-29883.0,,,,0.0,,,,,,,,,,,,,,,,,,,,,,11633.0,,,,,,,537338.0,550.0,537338.0,,,,,,,,-11633.0,,,150000.0,,,,18250.0,-18250.0,,,,,,,,0.01,25000000.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,1146337.0,-29883.0,,,,,,,-1038402.0,0.0,,,,-536788.0,,,,,11143.0,,1135194.0,1135194.0
2021-09-30,2021-11-19,10-Q,"BIOETHICS, LTD.",BOTH,CIK0000894560,USD,,75929.0,,53574.0,500479.0,,,566.0,554.0,,12.0,,,554.0,,,0.001,250000000.0,1135194.0,1135194.0,1135.0,,,,,,,,,0.0,,,,,,,,,,35000.0,,,203084.0,-0.02,-0.02,,,,14873.0,,,,-25706.0,,,,0.0,,,,,,,,,,,,,,,,,,,,,,10833.0,,,,,,,563060.0,566.0,563060.0,,,,,,,,-10833.0,,,150000.0,,,,14873.0,-14873.0,,,,,,,,0.01,25000000.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,1147952.0,-25706.0,,,,,,,-1064108.0,0.0,,,,-562494.0,,,,,12758.0,,1135194.0,1135194.0
