end,filed,form,Name,Ticker,CIK,Currency,AccountsPayableAndOtherAccruedLiabilitiesCurrent,AccountsPayableCurrent,AccountsPayableTradeCurrent,AccruedLiabilitiesAndOtherLiabilities,AccruedLiabilitiesCurrent,AdditionalPaidInCapital,AdditionalPaidInCapitalCommonStock,AmortizationOfDebtDiscountPremium,AntidilutiveSecuritiesExcludedFromComputationOfEarningsPerShareAmount,Assets,AssetsCurrent,CashAndCashEquivalentsAtCarryingValue,CashAndCashEquivalentsPeriodIncreaseDecrease,CashProvidedByUsedInOperatingActivitiesDiscontinuedOperations,CommitmentsAndContingencies,CommonStockParOrStatedValuePerShare,CommonStockSharesAuthorized,CommonStockSharesIssued,CommonStockSharesOutstanding,CommonStockValue,ComprehensiveIncomeNetOfTax,ConvertiblePreferredStockSharesIssuedUponConversion,DebtInstrumentConvertibleIfConvertedValueInExcessOfPrincipal,DeferredTaxAssetsNet,DeferredTaxAssetsOperatingLossCarryforwards,DeferredTaxAssetsValuationAllowance,Dividends,DueToRelatedPartiesCurrent,EarningsPerShareBasic,EarningsPerShareBasicAndDiluted,EarningsPerShareDiluted,GainsLossesOnExtinguishmentOfDebt,GeneralAndAdministrativeExpense,IncomeLossFromContinuingOperations,IncomeLossFromContinuingOperationsBeforeIncomeTaxesDomestic,IncomeLossFromDiscontinuedOperationsNetOfTaxAttributableToReportingEntity,IncomeTaxExpenseBenefit,IncomeTaxesPaid,IncomeTaxesPaidNet,IncomeTaxReconciliationChangeInDeferredTaxAssetsValuationAllowance,IncomeTaxReconciliationChangeInEnactedTaxRate,IncomeTaxReconciliationIncomeTaxExpenseBenefitAtFederalStatutoryIncomeTaxRate,IncreaseDecreaseInAccountsPayable,IncreaseDecreaseInAccountsPayableAndAccruedLiabilities,IncreaseDecreaseInAccruedLiabilities,IncreaseDecreaseInDueToRelatedParties,IncreaseDecreaseInOtherAccountsPayable,IncreaseDecreaseInOtherAccountsPayableAndAccruedLiabilities,IncreaseDecreaseInPrepaidExpense,InterestPaid,InterestPaidDiscontinuedOperations,InterestPaidNet,Liabilities,LiabilitiesAndStockholdersEquity,LiabilitiesCurrent,NetCashProvidedByUsedInDiscontinuedOperations,NetCashProvidedByUsedInFinancingActivities,NetCashProvidedByUsedInInvestingActivities,NetCashProvidedByUsedInOperatingActivities,NetIncomeLoss,NetIncomeLossAvailableToCommonStockholdersBasic,OperatingExpenses,OperatingLossCarryforwards,OperatingLossCarryforwardsValuationAllowance,OtherAccruedLiabilitiesCurrent,OtherComprehensiveIncomeUnrealizedHoldingGainLossOnSecuritiesArisingDuringPeriodNetOfTax,OtherIncome,OtherNonoperatingIncome,PreferredStockParOrStatedValuePerShare,PreferredStockSharesAuthorized,PreferredStockSharesIssued,PreferredStockSharesOutstanding,PreferredStockValue,PrepaidExpenseAndOtherAssetsCurrent,ProceedsFromRepaymentsOfRelatedPartyDebt,ProfitLoss,RestructuringCharges,RetainedEarningsAccumulatedDeficit,ShareBasedCompensation,ShareBasedCompensationArrangementByShareBasedPaymentAwardFairValueAssumptionsExpectedDividendRate,ShareBasedCompensationArrangementByShareBasedPaymentAwardFairValueAssumptionsExpectedVolatilityRate,ShareBasedCompensationArrangementByShareBasedPaymentAwardFairValueAssumptionsRiskFreeInterestRate,ShareBasedCompensationArrangementByShareBasedPaymentAwardOptionsExercisableNumber,ShareBasedCompensationArrangementByShareBasedPaymentAwardOptionsExercisableWeightedAverageExercisePrice,ShareBasedCompensationArrangementByShareBasedPaymentAwardOptionsExercisesInPeriodTotalIntrinsicValue,ShareBasedCompensationArrangementByShareBasedPaymentAwardOptionsForfeituresAndExpirationsInPeriod,ShareBasedCompensationArrangementByShareBasedPaymentAwardOptionsForfeituresAndExpirationsInPeriodWeightedAverageExercisePrice,ShareBasedCompensationArrangementByShareBasedPaymentAwardOptionsForfeituresAndExpirationsInPeriodWeightedAverageIntrinsicValue,ShareBasedCompensationArrangementByShareBasedPaymentAwardOptionsGrantsInPeriodGrantDateIntrinsicValue,ShareBasedCompensationArrangementByShareBasedPaymentAwardOptionsGrantsInPeriodGross,ShareBasedCompensationArrangementByShareBasedPaymentAwardOptionsOutstandingNumber,ShareBasedCompensationArrangementByShareBasedPaymentAwardOptionsOutstandingWeightedAverageExercisePrice,ShareBasedCompensationArrangementByShareBasedPaymentAwardOptionsVestedAndExpectedToVestExercisableAggregateIntrinsicValue,ShareBasedCompensationArrangementByShareBasedPaymentAwardOptionsVestedAndExpectedToVestOutstandingAggregateIntrinsicValue,ShareBasedCompensationArrangementsByShareBasedPaymentAwardOptionsExercisesInPeriodWeightedAverageExercisePrice,ShareBasedCompensationArrangementsByShareBasedPaymentAwardOptionsGrantsInPeriodWeightedAverageExercisePrice,StockholdersEquity,StockIssuedDuringPeriodSharesNewIssues,ValuationAllowancesAndReservesDeductions,WeightedAverageNumberOfDilutedSharesOutstanding,WeightedAverageNumberOfShareOutstandingBasicAndDiluted,WeightedAverageNumberOfSharesOutstandingBasic,CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalentsPeriodIncreaseDecreaseExcludingExchangeRateEffect
2018-03-31,2018-05-11,10-Q,"GREEN PLANET BIOENGINEERING CO., LTD.",GPLB,CIK0001392449,USD,,,0.0,,,,609614.0,,,0.0,,0.0,0.0,,,0.001,250000000.0,20006402.0,20006402.0,20006.0,,,,,,,,219894.0,,0.0,,,9132.0,,-9132.0,,0.0,0.0,0.0,,,,0.0,,,14132.0,-5000.0,,,0.0,,0.0,226394.0,0.0,,,0.0,0.0,0.0,-9132.0,,,,,6500.0,,,,0.001,10000000.0,0.0,0.0,0.0,,,,,-856014.0,0.0,,,,,,,,,,,,,,,,,,-226394.0,,,,20006402.0,,
2018-06-30,2018-08-10,10-Q,"GREEN PLANET BIOENGINEERING CO., LTD.",GPLB,CIK0001392449,USD,,,0.0,,,,609614.0,,,0.0,,0.0,,,,0.001,250000000.0,20006402.0,20006402.0,20006.0,,,,,,,,226978.0,,0.0,,,7083.0,,-7083.0,,0.0,,,,,,,,,,,,,,,,233478.0,0.0,,,,,,-7083.0,,,,,6500.0,,,,0.001,10000000.0,0.0,0.0,0.0,,,,,-863098.0,0.0,,,,,,,,,,,,,,,,,,-233478.0,,,,20006402.0,,
2018-09-30,2018-11-14,10-Q,"GREEN PLANET BIOENGINEERING CO., LTD.",GPLB,CIK0001392449,USD,,,0.0,,,,609614.0,,,0.0,,0.0,,,,0.001,250000000.0,20006402.0,20006402.0,20006.0,,,,,,,,239877.0,,0.0,,,11400.0,,-11400.0,,0.0,,,,,,,,,,,,,,,,244877.0,0.0,,,,,,-11400.0,,,,,5000.0,,,,0.001,10000000.0,0.0,0.0,0.0,,,,,-874497.0,0.0,,,,,,,,,,,,,,,,,,-244877.0,,,,20006402.0,,
2018-12-31,2019-03-01,10-K,"GREEN PLANET BIOENGINEERING CO., LTD.",GPLB,CIK0001392449,USD,,,0.0,,,,609614.0,,,0.0,0.0,0.0,0.0,,,0.001,250000000.0,20006402.0,20006402.0,20006.0,,,,0.0,296389.0,296389.0,,245751.0,,0.0,,,40239.0,,-40239.0,,0.0,0.0,,,,,0.0,,,40239.0,0.0,,,0.0,,,257501.0,0.0,257501.0,,40239.0,0.0,-40239.0,-40239.0,,,,,11750.0,,,,0.001,10000000.0,0.0,0.0,0.0,,,8450.0,,-887121.0,,,,,,,,,,,,,,,,,,,-257501.0,,-8450.0,,20006402.0,,
2019-03-31,2019-05-08,10-Q,"GREEN PLANET BIOENGINEERING CO., LTD.",GPLB,CIK0001392449,USD,,,0.0,,,,609614.0,,,,0.0,0.0,0.0,,,0.001,250000000.0,20006402.0,20006402.0,20006.0,,,,,,,,257120.0,,0.0,,,8119.0,,-8119.0,,0.0,,0.0,,,,0.0,,-3250.0,11369.0,-3250.0,,,,,0.0,,0.0,265620.0,,11369.0,0.0,-11369.0,-8119.0,,,,,8500.0,,,,0.001,10000000.0,0.0,0.0,0.0,,11369.0,,,-895240.0,0.0,,,,,,,,,,,,,,,,,,-265620.0,,,,20006402.0,,
2019-06-30,2019-08-12,10-Q,"GREEN PLANET BIOENGINEERING CO., LTD.",GPLB,CIK0001392449,USD,,,0.0,,,,609614.0,,,0.0,,0.0,,,,0.001,250000000.0,20006402.0,20006402.0,20006.0,,,,,,,,263186.0,,,,,6066.0,,-6066.0,,0.0,,,,,,,,,,,,,,,,271686.0,0.0,,,,,,-6066.0,,,,,8500.0,,,,0.001,10000000.0,0.0,0.0,0.0,,,,,-901306.0,0.0,,,,,,,,,,,,,,,,,,-271686.0,,,,20006402.0,,
2019-09-30,2019-11-08,10-Q,"GREEN PLANET BIOENGINEERING CO., LTD.",GPLB,CIK0001392449,USD,,,0.0,,,,609614.0,,,0.0,,0.0,,,,0.001,250000000.0,20006402.0,20006402.0,20006.0,,,,,,,,275110.0,,0.0,,,11924.0,,-11924.0,,0.0,,,,,,,,,,,,,,,,283610.0,0.0,,,,,,-11924.0,,,,,8500.0,,,,0.001,10000000.0,0.0,0.0,0.0,,,,,-913230.0,0.0,,,,,,,,,,,,,,,,,,-283610.0,,,,20006402.0,,
2019-12-31,2020-03-11,10-K,"GREEN PLANET BIOENGINEERING CO., LTD.",GPLB,CIK0001392449,USD,,214.0,214.0,,0.0,,609614.0,,,,0.0,0.0,0.0,,,0.001,250000000.0,20006402.0,20006402.0,20006.0,,,,0.0,232000.0,232000.0,,282645.0,,0.0,,,25358.0,,-25358.0,,0.0,0.0,0.0,6400.0,0.0,-6400.0,214.0,,,36894.0,-11750.0,,,0.0,,0.0,,0.0,282859.0,,36894.0,0.0,-36894.0,-25358.0,,,,,0.0,,,,0.001,10000000.0,0.0,0.0,0.0,,,64000.0,,-912479.0,,,,,,,,,,,,,,,,,,,-282859.0,,-6400.0,,20006402.0,,
2020-03-31,2020-05-15,10-Q,"GREEN PLANET BIOENGINEERING CO., LTD.",GPLB,CIK0001392449,USD,,,0.0,,0.0,,609614.0,,0.0,,0.0,0.0,0.0,,,0.001,250000000.0,20006402.0,20006402.0,20006.0,,,,,,,,297199.0,,0.0,,,14340.0,,-14340.0,,0.0,,0.0,,,,-214.0,,0.0,,,,,,,0.0,,0.0,297199.0,,14554.0,0.0,-14554.0,-14340.0,,,,,,,,,0.001,10000000.0,0.0,0.0,0.0,,14554.0,,,-926819.0,0.0,,,,,,,,,,,,,,,,,,-297199.0,,,,20006402.0,,
2020-06-30,2020-08-14,10-Q,"GREEN PLANET BIOENGINEERING CO., LTD.",GPLB,CIK0001392449,USD,,,3561.0,,,,609614.0,,,,0.0,0.0,,,,0.001,250000000.0,20006402.0,20006402.0,20006.0,,,,,,,,298214.0,,0.0,,,4576.0,,-4576.0,,0.0,,,,,,,,,,,,,,,,,0.0,301775.0,,,,,-4576.0,,,,,,,,,0.001,10000000.0,0.0,0.0,0.0,,,,,-931395.0,0.0,,,,,,,,,,,,,,,,,,-301775.0,,,,20006402.0,,
2020-09-30,2020-11-13,10-Q,"GREEN PLANET BIOENGINEERING CO., LTD.",GPLB,CIK0001392449,USD,,,0.0,,,,609614.0,,,,0.0,0.0,,,,0.001,250000000.0,20006402.0,20006402.0,20006.0,,,,,,,,312137.0,,0.0,,,10362.0,,-10362.0,,0.0,,,,,,,,,,,,,,,,,0.0,312137.0,,,,,-10362.0,,,,,,,,,0.001,10000000.0,0.0,0.0,0.0,,,,,-941757.0,,,,,,,,,,,,,,,,,,,-312137.0,,,,20006402.0,,
2020-12-31,2021-03-31,10-K,"GREEN PLANET BIOENGINEERING CO., LTD.",GPLB,CIK0001392449,USD,,0.0,0.0,,,609614.0,609614.0,,,,0.0,0.0,0.0,,0.0,0.001,250000000.0,20006402.0,20006402.0,20006.0,,,,0.0,231000.0,231000.0,,316458.0,,0.0,,,33599.0,,-33599.0,,0.0,,0.0,1700.0,10000.0,-8500.0,-214.0,,,33813.0,0.0,,,,,0.0,,0.0,316458.0,,33813.0,,-33813.0,-33599.0,,,910000.0,,,,,,0.001,10000000.0,0.0,0.0,0.0,,,,,-946078.0,,,,,,,,,,,,,,,,,,,-316458.0,,,,20006402.0,,
2021-03-31,2021-05-07,10-Q,"GREEN PLANET BIOENGINEERING CO., LTD.",GPLB,CIK0001392449,USD,,,8972.0,,,,609614.0,,0.0,,0.0,0.0,0.0,,,0.001,250000000.0,20006402.0,20006402.0,20006.0,,,,,,,,316458.0,,,,,8972.0,,-8972.0,,0.0,,0.0,,,,8972.0,,,,,,,,,0.0,,0.0,325430.0,,0.0,0.0,0.0,-8972.0,,,,,,,,,0.001,10000000.0,0.0,0.0,0.0,,0.0,,,-955050.0,,,,,,,,,,,,,,,,,,,-325430.0,0.0,,,20006402.0,,
2021-06-30,2021-08-11,10-Q,"GREEN PLANET BIOENGINEERING CO., LTD.",GPLB,CIK0001392449,USD,,,,,,609614.0,,,,,0.0,0.0,,,0.0,0.001,250000000.0,20006402.0,20006402.0,20006.0,,,,,,,,329388.0,,0.0,,,3958.0,,-3958.0,,0.0,,,,,,,,,,,,,,,,,0.0,329388.0,,,,,-3958.0,,,,,,,,,0.001,10000000.0,0.0,0.0,0.0,,,,,-959008.0,,,,,,,,,,,,,,,,,,,-329388.0,,,,20006402.0,,
2021-09-30,2021-11-05,10-Q,"GREEN PLANET BIOENGINEERING CO., LTD.",GPLB,CIK0001392449,USD,,,,,,609614.0,,,,,0.0,0.0,,,0.0,0.001,250000000.0,20006402.0,20006402.0,20006.0,,1000.0,,,,,,341651.0,,0.0,,,12263.0,,-12263.0,,0.0,,,,,,,,,,,,,,,,,0.0,341651.0,,,,,-12263.0,,,,,,,,,0.001,10000000.0,0.0,0.0,0.0,,,,,-971271.0,,,,,,,,,,,,,,,,,,,-341651.0,,,,20006402.0,,
2021-12-31,2022-03-14,10-K,"GREEN PLANET BIOENGINEERING CO., LTD.",GPLB,CIK0001392449,USD,,,,,,,609614.0,,,,0.0,0.0,,,,0.001,250000000.0,20006402.0,20006402.0,20006.0,,1000.0,,0.0,238000.0,238000.0,,349387.0,,0.0,,,32929.0,,-32929.0,,0.0,,0.0,7000.0,0.0,-7000.0,0.0,,,32929.0,,,,,,0.0,,0.0,349387.0,,32929.0,,-32929.0,-32929.0,,,943000.0,,,,,,0.001,10000000.0,0.0,0.0,0.0,,,,,-979007.0,,,,,,,,,,,,,,,,,,,-349387.0,,,,20006402.0,,0.0
