end,filed,form,Name,Ticker,CIK,Currency,AccountsPayableAndAccruedLiabilities,AccountsPayableAndAccruedLiabilitiesCurrent,AccretionExpense,AccruedLiabilitiesCurrent,AccumulatedDepreciationDepletionAndAmortizationPropertyPlantAndEquipment,AdditionalPaidInCapital,AdditionalPaidInCapitalCommonStock,AdjustmentsToAdditionalPaidInCapitalConvertibleDebtWithConversionFeature,AmortizationOfDebtDiscountPremium,AmortizationOfFinancingCostsAndDiscounts,AntidilutiveSecuritiesExcludedFromComputationOfEarningsPerShareAmount,Assets,AssetsCurrent,Cash,CashAndCashEquivalentsAtCarryingValue,CashAndCashEquivalentsPeriodIncreaseDecrease,CommonStockParOrStatedValuePerShare,CommonStockSharesAuthorized,CommonStockSharesIssued,CommonStockSharesOutstanding,CommonStockValue,ConvertibleNotesPayable,CurrentIncomeTaxExpenseBenefit,DebtConversionConvertedInstrumentAmount1,DebtConversionConvertedInstrumentSharesIssued1,DebtConversionOriginalDebtAmount1,DebtInstrumentConvertibleBeneficialConversionFeature,DebtInstrumentConvertibleConversionPrice1,DebtInstrumentDecreaseForgiveness,DebtInstrumentFaceAmount,DebtInstrumentInterestRateEffectivePercentage,DebtInstrumentInterestRateStatedPercentage,DebtInstrumentUnamortizedDiscount,DebtInstrumentUnamortizedDiscountCurrent,DebtInstrumentUnamortizedDiscountPremiumNet,DeferredTaxAssetsNet,DeferredTaxAssetsOperatingLossCarryforwards,DeferredTaxAssetsValuationAllowance,Depreciation,DevelopmentStageEnterpriseDeficitAccumulatedDuringDevelopmentStage,DueFromRelatedPartiesCurrent,DueToAffiliateCurrent,DueToRelatedParties,DueToRelatedPartiesCurrent,DueToRelatedPartiesNoncurrent,EarningsPerShareBasic,EarningsPerShareBasicAndDiluted,EarningsPerShareDiluted,EffectiveIncomeTaxRateContinuingOperations,ExplorationCosts,ExplorationExpense,ExplorationExpenseMining,FinitelivedIntangibleAssetsAcquired1,ForeignCurrencyTransactionGainLossBeforeTax,GainLossOnSaleOfDebtInvestments,GainLossOnSaleOfProperties,GainLossOnSaleOfUnprovedProperty,GainsLossesOnExtinguishmentOfDebt,GainsLossesOnRecourseDebt,GainsLossesOnRestructuringOfDebt,GeneralAndAdministrativeExpense,IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,IncomeTaxExpenseBenefit,IncomeTaxesPaid,IncomeTaxesPaidNet,IncomeTaxReconciliationChangeInDeferredTaxAssetsValuationAllowance,IncomeTaxReconciliationChangeInEnactedTaxRate,IncomeTaxReconciliationIncomeTaxExpenseBenefitAtFederalStatutoryIncomeTaxRate,IncreaseDecreaseInAccountsPayableAndAccruedLiabilities,IncreaseDecreaseInDueToRelatedPartiesCurrent,IncreaseDecreaseInPrepaidExpense,InterestExpense,InterestExpenseDebt,InterestIncomeExpenseNet,InterestPaid,InterestPaidNet,InterestPayableCurrent,InterestPayableCurrentAndNoncurrent,InvestmentIncomeInterest,InvestmentIncomeNet,IssuanceOfStockAndWarrantsForServicesOrClaims,LegalFees,Liabilities,LiabilitiesAndStockholdersEquity,LiabilitiesCurrent,LicenseCosts,LoansAssumed1,LongTermNotesPayable,ManagementFeeExpense,MarketableSecuritiesCurrent,MarketableSecuritiesGainLoss,MarketableSecuritiesRealizedGainLoss,MarketableSecuritiesUnrealizedGainLoss,MineralPropertiesNet,MinorityInterestOwnershipPercentageByParent,NetCashProvidedByUsedInFinancingActivities,NetCashProvidedByUsedInFinancingActivitiesContinuingOperations,NetCashProvidedByUsedInInvestingActivities,NetCashProvidedByUsedInInvestingActivitiesContinuingOperations,NetCashProvidedByUsedInOperatingActivities,NetCashProvidedByUsedInOperatingActivitiesContinuingOperations,NetIncomeLoss,NoncashOrPartNoncashAcquisitionNetNonmonetaryAssetsAcquiredLiabilitiesAssumed1,NonoperatingIncomeExpense,NotesAssumed1,NotesPayableCurrent,NotesPayableRelatedPartiesClassifiedCurrent,NotesPayableRelatedPartiesCurrent,NotesPayableRelatedPartiesCurrentAndNoncurrent,NotesPayableRelatedPartiesNoncurrent,OperatingExpenses,OperatingIncomeLoss,OperatingLossCarryforwards,OtherComprehensiveIncomeLossBeforeTax,OtherComprehensiveIncomeLossBeforeTaxPeriodIncreaseDecrease,OtherNonoperatingIncomeExpense,OtherSellingGeneralAndAdministrativeExpense,PaidInKindInterest,PaymentsToAcquireMineralRights,PaymentsToAcquireMiningAssets,PaymentsToAcquireOilAndGasProperty,PaymentsToAcquirePropertyPlantAndEquipment,PreferredStockParOrStatedValuePerShare,PreferredStockSharesAuthorized,PreferredStockSharesIssued,PreferredStockSharesOutstanding,PreferredStockValue,PrepaidExpenseCurrent,ProceedsFromCollectionOfLongtermLoansToRelatedParties,ProceedsFromIssuanceOfCommonStock,ProceedsFromNotesPayable,ProceedsFromRelatedPartyDebt,ProceedsFromRepaymentsOfNotesPayable,ProceedsFromSaleAndMaturityOfMarketableSecurities,ProceedsFromSaleOfOilAndGasPropertyAndEquipment,ProfessionalFees,ProfitLoss,PropertyPlantAndEquipmentGross,PropertyPlantAndEquipmentNet,ProvisionForDoubtfulAccounts,RepaymentOfNotesReceivableFromRelatedParties,RepaymentsOfRelatedPartyDebt,RetailLandSalesDepositMethodPropertyCarryingValue,RetainedEarningsAccumulatedDeficit,Revenues,SharesIssuedPricePerShare,SharesOutstanding,SponsorFees,StockholdersEquity,StockholdersEquityIncludingPortionAttributableToNoncontrollingInterest,StockIssued1,StockIssuedDuringPeriodSharesAcquisitions,StockIssuedDuringPeriodSharesIssuedForServices,StockIssuedDuringPeriodSharesNewIssues,StockIssuedDuringPeriodSharesPurchaseOfAssets,StockIssuedDuringPeriodValueAcquisitions,StockIssuedDuringPeriodValueConversionOfConvertibleSecuritiesNetOfAdjustments,StockIssuedDuringPeriodValueIssuedForServices,StockIssuedDuringPeriodValueNewIssues,StockIssuedDuringPeriodValuePurchaseOfAssets,UnsecuredDebt,ValuationAllowanceDeferredTaxAssetChangeInAmount,WeightedAverageNumberDilutedSharesOutstandingAdjustment,WeightedAverageNumberOfDilutedSharesOutstanding,WeightedAverageNumberOfShareOutstandingBasicAndDiluted,WeightedAverageNumberOfSharesIssuedBasic,WeightedAverageNumberOfSharesOutstandingBasic
2015-03-31,2015-05-20,10-Q,U.S. LITHIUM CORP.,LITH,CIK0001396054,USD,,69190.0,3869.0,,,555792.0,,,,,,3054.0,,3054.0,3054.0,2798.0,0.001,100000000.0,45612559.0,45612559.0,45612.0,,,,,,,,,,,,,,,,,,,-996605.0,,,,71799.0,15268.0,,0.0,,,,,,0.0,,,,,0.0,,,951.0,,,,0.0,,,,10356.0,6000.0,,,,,,0.0,,,,,,,398255.0,3054.0,375780.0,0.0,,7207.0,6000.0,,,,,,,9500.0,9500.0,,,-6702.0,-6702.0,-27793.0,,,,65415.0,169376.0,,,,17799.0,-17799.0,,,,-9994.0,,866.0,,,,,0.001,10000000.0,,,0.0,,,,0.0,9500.0,,,,10848.0,,,,,,,,,0.0,,,,-395201.0,,,,,,,,,0.0,,,,,,,45612559.0,,
2015-06-30,2015-08-14,10-Q,U.S. LITHIUM CORP.,LITH,CIK0001396054,USD,,68865.0,,,,717681.0,,,,,,389.0,,,389.0,,0.001,100000000.0,90512559.0,90512559.0,90512.0,,,,,,,,,,,,,,,,,,,,,,,77799.0,9500.0,,0.0,,,,,,,,18000.0,,,,,,3929.0,,,,,,,,,,,,,,,,,,,,,,206651.0,389.0,197151.0,,,,6000.0,,,,,,,,,,,,,-17850.0,,-273.0,,50487.0,,,,,17577.0,-17577.0,,,,,,,,,,,0.001,10000000.0,,,,,,,,,,,,7648.0,,,,,,,,-1014455.0,,,,,-206262.0,,,,,,,,,,,,,,,,76203768.0,,
2015-09-30,2015-11-16,10-Q,U.S. LITHIUM CORP.,LITH,CIK0001396054,USD,,62464.0,,,,742681.0,,,,,,10325.0,,,10325.0,,0.001,500000000.0,90512559.0,90512559.0,90512.0,,,,,,,,,,,,,,,,,,,,,,,83964.0,9500.0,,0.0,,,,,,,,,,,,,,1138.0,,,,,,,,,,,,,,,,,,,-2127.0,,,207029.0,10325.0,197529.0,,,,6000.0,,,,,,,,,,,,,-15442.0,,-2127.0,,51101.0,,,,,13315.0,-13315.0,,,,,,,,,,,0.001,10000000.0,,,,,,,,,,,,6177.0,,,,,,,,-1029897.0,,,,,-196704.0,,,,,,,,,,,,,,,,90512559.0,,
2015-12-31,2016-04-08,10-K,U.S. LITHIUM CORP.,LITH,CIK0001396054,USD,,67779.0,26225.0,,,742681.0,742681.0,25000.0,25000.0,,,1389.0,1389.0,,1389.0,1133.0,0.001,500000000.0,90512559.0,90512559.0,90512.0,,19027.0,,,,,,,,,,,18269.0,,,344380.0,344380.0,,,,,,84464.0,9500.0,,,,0.34,,,,,,18000.0,,,,,,7694.0,,,,,,,,20775.0,18665.0,,,,,,,,,,,,,219195.0,1389.0,209695.0,,134500.0,,24000.0,,,,,,,,34500.0,,,,-33367.0,-82187.0,,-20835.0,90000.0,57452.0,,,,,61352.0,-61352.0,1012882.0,,,,,1155.0,,,,,0.001,10000000.0,0.0,0.0,,,,,25000.0,9500.0,,,,29658.0,,,,,,,,-1050999.0,,,,,-217806.0,,,,,,,,,,,,,19027.0,,,75750915.0,,
2016-03-31,2016-05-20,10-Q,U.S. LITHIUM CORP.,LITH,CIK0001396054,USD,,80097.0,6283.0,,,742681.0,,,,,,83.0,,,83.0,-1306.0,0.001,500000000.0,90512559.0,90512559.0,90512.0,,,,,,,,,,,,,,,,,,,,,,,89464.0,,,,,,,,,,,,,,,,,3450.0,,,,,,,,12318.0,5000.0,,,,,,,,,,,,,242796.0,83.0,242796.0,,,,6000.0,,,,,,,,,,,,-1306.0,-24907.0,,,,63735.0,9500.0,,,,16558.0,-16558.0,,,,,,,,,,,0.001,10000000.0,0.0,0.0,,,,,,,,,,7108.0,,,,,,,,-1075906.0,,,,,-242713.0,,,,,,,,,,,,,,,,90512559.0,,
2016-06-30,2016-08-15,10-Q,U.S. LITHIUM CORP.,LITH,CIK0001396054,USD,,67561.0,,,,857481.0,,,,,,56660.0,43160.0,,22327.0,,0.001,500000000.0,90712559.0,90712559.0,90712.0,,,,,,,,,,,,,,,,,,,,,,,83864.0,,,,,,,,,,,,,,,,,11160.0,,,,,,,,,,,,,,,,,,,,,,247292.0,56660.0,247292.0,,,,6000.0,,,,,,,,,,,,,-62919.0,,-26335.0,,86367.0,9500.0,,,,36584.0,-36584.0,,,,,,,,,,,0.001,10000000.0,0.0,0.0,,20833.0,,,,,,,,10257.0,,,,,,,,-1138825.0,,,,,-190632.0,,,,,,,,,,,,,,,,90653218.0,,
2016-09-30,2016-11-14,10-Q,U.S. LITHIUM CORP.,LITH,CIK0001396054,USD,,78851.0,,,,,857481.0,,,,,35168.0,20723.0,,4525.0,,0.001,500000000.0,90712559.0,90712559.0,90712.0,,,,,,,,,,,,,62151.0,,,,,,,,,,74864.0,,,0.0,,,,,,,,,,,,,,2261.0,,,,,,,,,,,,,,,,,,,-36939.0,,,281785.0,35168.0,281785.0,,,,6000.0,,,,,14445.0,,,,,,,,-55985.0,,-36939.0,,118570.0,9500.0,,,,19046.0,-19046.0,,,,,,,,,,,0.001,10000000.0,0.0,0.0,,16188.0,,,,,,,,4815.0,,,,,,,,-1194810.0,,,,,-246617.0,,,,,,,,,,,,,,,,90712559.0,,
2016-12-31,2017-04-14,10-K,U.S. LITHIUM CORP.,LITH,CIK0001396054,USD,,82960.0,89965.0,,,,879499.0,127018.0,,,,31422.0,16977.0,,7540.0,6151.0,0.001,500000000.0,90712559.0,90712559.0,90712.0,,40646.0,,,,,,,,,,,55322.0,,0.0,385026.0,385026.0,,,,,,68864.0,,,0.0,,0.34,,,,,,,,,,,,24454.0,,0.0,0.0,,-40646.0,,40646.0,15181.0,-15600.0,9437.0,,,,0.0,,,,,,,,321723.0,31422.0,321723.0,1775.0,,,24000.0,,,,,14445.0,,,140000.0,,-4445.0,,-129404.0,-209513.0,,-105549.0,,160399.0,9500.0,,,,103964.0,-103964.0,1132430.0,,,,,,4445.0,,,,0.001,10000000.0,0.0,0.0,,9437.0,,,140000.0,,,,,27297.0,,,,,,,,-1260512.0,,,,,-290301.0,,10000.0,,,,,,,,,10000.0,,40646.0,29318961.0,,90648078.0,,
2017-03-31,2017-05-30,10-Q,U.S. LITHIUM CORP.,LITH,CIK0001396054,USD,,93750.0,31728.0,,,,1238432.0,,,,,378842.0,2797.0,,,-7540.0,0.001,500000000.0,98712559.0,98712559.0,98712.0,,,,,,,,,,,,,28927.0,,,,,,,,,,65564.0,,,,,,,,,,,,,,,,,4034.0,,,,,,,,10790.0,-3300.0,-6640.0,,,-37285.0,,,,,,,,,,378842.0,364222.0,,,,6000.0,,,,,376045.0,1.0,,8614.0,,,,-16154.0,-62012.0,,,,194794.0,9500.0,,,,24727.0,-24727.0,,,,,,,,,,,0.001,10000000.0,,,,2797.0,,,8000.0,,,,,8529.0,,,,,,,,-1322524.0,,,,,14620.0,,361600.0,,,,,,,,,,,,28113343.0,,93912559.0,,
2017-06-30,2017-08-21,10-Q,U.S. LITHIUM CORP.,LITH,CIK0001396054,USD,,101219.0,,,,,1288432.0,,,,,420943.0,11630.0,,11630.0,,0.001,500000000.0,98712559.0,98712559.0,98712.0,,,,,,,,,,,,,58788.0,,,,,,,,,,61117.0,,,0.0,,,,,,,,,,,,,,2480.0,,,,,,,,,,,,,-26141.0,,,,,,,,,,420943.0,401769.0,,,,6000.0,,,,,409313.0,,,,,,,,-45446.0,,,,229933.0,9500.0,,,,19305.0,-19305.0,,,,,,,,,,,0.001,10000000.0,,,,,,,,,,,,8427.0,,,,,,,,-1367970.0,,,,,19174.0,,,,,,,,,,,,,,,,98712559.0,,
2017-09-30,2017-11-20,10-Q,U.S. LITHIUM CORP.,LITH,CIK0001396054,USD,,112453.0,,,,,1327337.0,,,,,423780.0,5792.0,,5792.0,,0.001,500000000.0,99993386.0,99993386.0,99993.0,,,,,,,,,,,,,75720.0,,,,,,,,,,58617.0,,0.0,0.0,0.0,,,,,,,,,,,,,4720.0,,,,,,,,,,,,,-27937.0,,,,,,,,,,423780.0,413334.0,,,,,,,,,417988.0,,,,,,,,-48914.0,,,,232764.0,9500.0,,,,20977.0,-20977.0,,,,,,,,,,,0.001,10000000.0,0.0,0.0,,,,,,,,,,10257.0,,,,,,,,-1416884.0,,,,,10446.0,,,,,,,,,,,,,,,99408680.0,99408661.0,,99408680.0
2017-12-31,2018-04-17,10-K,U.S. LITHIUM CORP.,LITH,CIK0001396054,USD,,114003.0,95925.0,,,,1434258.0,87997.0,,,39217569.0,376535.0,490.0,,490.0,-7050.0,0.001,500000000.0,2499835.0,2499835.0,2500.0,,,,,,,,,,,0.001,47394.0,47393.0,,0.0,269506.0,269506.0,,,,,,55317.0,,,-0.1,,,44243.0,41323.0,,,,,,,,,,15460.0,,0.0,0.0,,115520.0,-166837.0,51317.0,32993.0,-13547.0,-9437.0,,,-121799.0,0.0,,10015.0,,,,,,,376535.0,447147.0,800.0,,,24000.0,,,,,376045.0,,115000.0,115000.0,,,-122050.0,-122050.0,-246858.0,,-121799.0,16950.0,268327.0,9500.0,,,,125059.0,-125059.0,1283363.0,,,,,,,,,,0.001,10000000.0,0.0,0.0,,,,,115000.0,,,,,31994.0,,,,,,,,-1507370.0,,,,,-70612.0,,361600.0,,,,,,16950.0,,,361600.0,,,,,2450682.0,,
2018-03-31,2018-05-23,10-Q,U.S. LITHIUM CORP.,LITH,CIK0001396054,USD,,108513.0,25607.0,,,,1414125.0,6667.0,,,35813802.0,376296.0,60251.0,,60251.0,59761.0,0.001,500000000.0,105042923.0,105042923.0,105043.0,,,,,,,,,,,0.1,28454.0,,,,,,,,,,,54317.0,,,-0.02,,,,,,,,,,,,,,2892.0,,,0.0,,,,,5253.0,-1000.0,,,,-34025.0,,0.0,10250.0,,,,,,,376296.0,414597.0,,,,6000.0,,,,,316045.0,,20000.0,20000.0,60000.0,60000.0,-20239.0,-20239.0,-50099.0,,,,242267.0,9500.0,,,,16074.0,-16074.0,,,,,,,,,,,0.001,10000000.0,,,,,,,20000.0,,,,60000.0,7182.0,,,,,,,,-1557469.0,,,,,-38301.0,,,,,,,,75743.0,,,,,,,,2626086.0,,
2018-06-30,2018-08-14,10-Q,U.S. LITHIUM CORP.,LITH,CIK0001396054,USD,,113105.0,,,,,1414125.0,,,,,592229.0,577784.0,,41138.0,,0.001,500000000.0,105042923.0,105042923.0,105043.0,,,,,,,,,,,,,10012.0,,,,,,,,,,56317.0,,,0.07,,,,,,,-17892.0,,675404.0,675404.0,,,,2663.0,,,,,,,,,,,,,-25370.0,,,,,,,,,,592229.0,439631.0,,,,6000.0,536646.0,,,-422466.0,14445.0,,,,,,,,190899.0,,,,260709.0,9500.0,,,,18777.0,-18777.0,,,,,,,,,,,0.001,10000000.0,0.0,0.0,,,,,,,,,,10114.0,,,,,,,,-1366570.0,,,,,152598.0,,,,,,,,,,,,,,,,2626086.0,,
2018-09-30,2018-11-13,10-Q,U.S. LITHIUM CORP.,LITH,CIK0001396054,USD,,118814.0,,,,,1414115.0,,,,,642134.0,627069.0,,22491.0,,0.001,500000000.0,105052923.0,105052923.0,105053.0,,,,,,,,,,,,,3474.0,,,,,,,,,,56317.0,,0.0,0.01,0.0,,,,,,9799.0,,,,,,,3178.0,,,,,,,,,,,,,-13541.0,,,,,,,,,,642134.0,451877.0,,,,6000.0,604578.0,,,58133.0,15065.0,,,,,,,,37659.0,,,,267246.0,9500.0,,,,16732.0,-16732.0,,,,,,,,,,,0.001,10000000.0,0.0,0.0,,,,,,,,,,7554.0,,,,,,,,-1328911.0,,,,,190257.0,,,,,,,,,,,,,,,142046480.0,2626073.0,,105042923.0
2018-12-31,2019-03-28,10-K,U.S. LITHIUM CORP.,LITH,CIK0001396054,USD,,131286.0,53403.0,,,,1516542.0,6667.0,,,895345.0,140006.0,124941.0,,4065.0,3575.0,0.001,500000000.0,2626086.0,2626086.0,2626.0,,,,,,,,,,,,,657.0,,,329053.0,329053.0,,,,,,54317.0,,,-0.13,,,,,,,-40147.0,,675404.0,,675404.0,,,13282.0,,,,,-59547.0,,59547.0,28026.0,-1000.0,,,,-82757.0,,,,,,,,,,140006.0,465166.0,,,,24000.0,120876.0,-843.0,843.0,-440358.0,15065.0,,20000.0,,59646.0,,-76071.0,,-336958.0,,-263215.0,,270063.0,9500.0,,,,73743.0,-73743.0,1566918.0,,,,,,,,620.0,,0.001,10000000.0,0.0,0.0,,,,,20000.0,,,266.0,60000.0,35661.0,,,0.0,,,,15065.0,-1844328.0,,,,,-325160.0,,,,,,,,75743.0,,,,,,,,2605678.0,,
2019-03-31,2019-05-20,10-Q,U.S. LITHIUM CORP.,LITH,CIK0001396054,USD,,131771.0,657.0,,,,1516542.0,,,,954667.0,219443.0,201217.0,,21573.0,17508.0,0.001,500000000.0,2626086.0,2626086.0,2626.0,,,,,,,,,,,,,,,,,,47.0,,,,,52317.0,,,0.03,,,,,,,3130.0,,,,,,,9138.0,,,0.0,,,,,485.0,-2000.0,,,,-7507.0,,0.0,,,,,,,,219443.0,464308.0,,,,6000.0,179644.0,13473.0,13473.0,97284.0,15065.0,,,,51929.0,,-34421.0,,80295.0,,,,270720.0,9500.0,,,,26085.0,-26085.0,,,,,,,,,,3208.0,0.001,10000000.0,0.0,0.0,,,,,,,,55137.0,,10900.0,,,3161.0,,,,15065.0,-1764033.0,,,,,-244865.0,,,,,,,,,,,,,,,,2626086.0,,
2019-06-30,2019-08-19,10-Q,U.S. LITHIUM CORP.,LITH,CIK0001396054,USD,,16520.0,,,,,1920815.0,,,,,112437.0,89149.0,,20984.0,,0.001,500000000.0,4709970.0,4709970.0,4710.0,,,,,,,0.095,,,,,,,,,,,296.0,,,,,40580.0,,,-0.04,,,,,,,16262.0,,,,,,,5163.0,,,,,,,,,,,,,-4645.0,,,,126136.0,,,,,,112437.0,57100.0,,,,6000.0,68165.0,-13384.0,,-82439.0,15065.0,,,,,,,,-106155.0,,,,,,,,,21949.0,-21949.0,,,,,,,,,,,,,,,,,,,,,,,,10490.0,,,8223.0,,,,15065.0,-1870188.0,,,,,55337.0,,,,,,,,406357.0,,,,,,,,2671886.0,,
2019-09-30,2019-11-19,10-Q,U.S. LITHIUM CORP.,LITH,CIK0001396054,USD,,14374.0,,,1495.0,,1920815.0,,,,,47881.0,22247.0,,14756.0,,0.001,500000000.0,4709970.0,4709970.0,4710.0,,,,,,,,,,,,,,,,,,1152.0,,,,,26580.0,,,-0.01,,,,,,,11199.0,,,,,,,6272.0,,,,,,,,,,,,,,,,,,,,,,,47881.0,40954.0,,,,6000.0,7491.0,-12502.0,,-26308.0,15065.0,,,,,,,,-48410.0,,,,,,,,,20799.0,-20799.0,,,,,,,,,,,,,,,,,,,,,,,,7375.0,,12064.0,10569.0,,,,15065.0,-1918598.0,,,,,6927.0,,,,,,,,,,,,,,,,4761728.0,,
