end,filed,form,Name,Ticker,CIK,Currency,AccountsPayableCurrent,AccountsPayableTradeCurrent,AccountsPayableTradeCurrentAndNoncurrent,AccountsReceivableNet,AccountsReceivableNetCurrent,AccruedLiabilities,AccruedLiabilitiesCurrent,AccruedLiabilitiesForCommissionsExpenseAndTaxes,AccruedSalariesCurrent,AccruedSalariesCurrentAndNoncurrent,AccumulatedOtherComprehensiveIncomeLossNetOfTax,AdditionalPaidInCapital,AdjustmentsToAdditionalPaidInCapitalOther,AdjustmentsToAdditionalPaidInCapitalSharebasedCompensationRequisiteServicePeriodRecognitionValue,AllocatedShareBasedCompensationExpense,AllowanceForDoubtfulOtherReceivablesCurrent,AmortizationOfDebtDiscountPremium,Assets,AssetsCurrent,Cash,CashAndCashEquivalentsAtCarryingValue,CashAndCashEquivalentsPeriodIncreaseDecrease,CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalentsIncludingDisposalGroupAndDiscontinuedOperations,CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalentsPeriodIncreaseDecreaseIncludingExchangeRateEffect,CashEquivalentsAtCarryingValue,CashPeriodIncreaseDecrease,ClassOfWarrantOrRightNumberOfSecuritiesCalledByWarrantsOrRights,CommonStockParOrStatedValuePerShare,CommonStockShareSubscribedButUnissuedSubscriptionsReceivable,CommonStockSharesAuthorized,CommonStockSharesIssued,CommonStockSharesOutstanding,CommonStockValue,ComprehensiveIncomeNetOfTax,ComprehensiveIncomeNetOfTaxIncludingPortionAttributableToNoncontrollingInterest,ConvertibleNotesPayableCurrent,CostsAndExpenses,DebtConversionConvertedInstrumentAmount1,DebtConversionConvertedInstrumentSharesIssued1,DebtorReorganizationItemsGainLossOnSettlementOfOtherClaimsNet1,DeferredTaxAssetsGross,DeferredTaxAssetsOperatingLossCarryforwards,DeferredTaxAssetsValuationAllowance,DueFromRelatedParties,EarningsPerShareBasicAndDiluted,EffectiveIncomeTaxRateContinuingOperations,EffectOfExchangeRateOnCashAndCashEquivalents,FairValueAdjustmentOfWarrants,ForeignCurrencyTransactionGainLossBeforeTax,GainLossRelatedToLitigationSettlement,GainsLossesOnExtinguishmentOfDebt,GeneralAndAdministrativeExpense,GuaranteedBenefitLiabilityGrossPeriodIncreaseDecrease,IncomeLossFromContinuingOperations,IncomeLossFromContinuingOperationsBeforeIncomeTaxesDomestic,IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,IncomeLossFromContinuingOperationsBeforeIncomeTaxesForeign,IncomeLossFromContinuingOperationsBeforeInterestExpenseInterestIncomeIncomeTaxesExtraordinaryItemsNoncontrollingInterestsNet,IncomeLossFromContinuingOperationsPerBasicShare,IncomeTaxesPaid,IncreaseDecreaseInAccountsPayable,IncreaseDecreaseInAccountsPayableAndAccruedLiabilities,IncreaseDecreaseInAccountsPayableTrade,IncreaseDecreaseInAccountsReceivable,IncreaseDecreaseInAccruedLiabilitiesAndOtherOperatingLiabilities,IncreaseDecreaseInAccruedSalaries,IncreaseDecreaseInOtherAccountsPayableAndAccruedLiabilities,IncreaseDecreaseInOtherNoncurrentAssets,IncreaseDecreaseInOtherOperatingAssets,IncreaseDecreaseInPrepaidDeferredExpenseAndOtherAssets,IncreaseDecreaseInPrepaidExpense,InterestExpense,InterestExpenseDebt,InterestExpenseOther,InterestIncomeExpenseNet,IssuanceOfStockAndWarrantsForServicesOrClaims,LegalFees,Liabilities,LiabilitiesAndStockholdersEquity,LiabilitiesCurrent,LoansPayableCurrent,NetCashProvidedByUsedInFinancingActivities,NetCashProvidedByUsedInOperatingActivities,NetIncomeLoss,NetIncomeLossAvailableToCommonStockholdersBasic,NonoperatingIncomeExpense,NotesPayableRelatedPartiesClassifiedCurrent,OperatingCostsAndExpenses,OperatingExpenses,OperatingIncomeLoss,OperatingLossCarryforwards,OtherAssetsNoncurrent,OtherComprehensiveIncomeLossForeignCurrencyTransactionAndTranslationAdjustmentNetOfTax,OtherComprehensiveIncomeLossNetOfTax,OtherExpenses,OtherNonoperatingIncome,OtherNonoperatingIncomeExpense,PreferredStockParOrStatedValuePerShare,PreferredStockSharesAuthorized,PreferredStockSharesIssued,PreferredStockSharesOutstanding,PreferredStockValue,PrepaidExpense,PrepaidExpenseAndOtherAssets,PrepaidExpenseAndOtherAssetsCurrent,PrepaidExpenseCurrent,PrepaidExpenseCurrentAndNoncurrent,ProceedsFromIssuanceInitialPublicOffering,ProceedsFromIssuanceOfCommonStock,ProceedsFromIssuanceOfDebt,ProceedsFromLoans,ProceedsFromNotesPayable,ProceedsFromRelatedPartyDebt,ProceedsFromUnsecuredNotesPayable,ResearchAndDevelopmentExpense,RetainedEarningsAccumulatedDeficit,Revenues,SellingGeneralAndAdministrativeExpense,ShareBasedCompensation,ShareBasedCompensationArrangementByShareBasedPaymentAwardNonOptionEquityInstrumentsOutstandingNumber,ShareBasedCompensationArrangementByShareBasedPaymentAwardOptionsGrantsInPeriodGross,ShareBasedCompensationSharesAuthorizedUnderStockOptionPlansExercisePriceRangeNumberOfOutstandingOptions,SharePrice,SharesIssuedPricePerShare,StockGrantedDuringPeriodValueSharebasedCompensation,StockholdersEquity,StockIssuedDuringPeriodSharesNewIssues,StockIssuedDuringPeriodValueConversionOfConvertibleSecurities,StockIssuedDuringPeriodValueIssuedForServices,StockIssuedDuringPeriodValueNewIssues,StockIssuedDuringPeriodValueShareBasedCompensation,StockOptionPlanExpense,UnrecognizedTaxBenefits,WeightedAverageNumberOfShareOutstandingBasicAndDiluted,WeightedAverageNumberOfSharesIssuedBasic,WeightedAverageNumberOfSharesOutstandingBasic
2019-06-30,2019-08-14,10-Q,E-QURE CORP.,EQUR,CIK0001563536,USD,,,,,,,,,252580.0,,,33783752.0,,,,,,118053.0,118053.0,,,,118053.0,,,,,0.0,,500000000.0,34546060.0,34546060.0,345.0,,,,,,,,,,,,-0.01,,,,,,,152167.0,,,,-182347.0,,,,,,,,,,,,,,,,941.0,,,,,,,118053.0,291880.0,,,,-182347.0,,-941.0,37736.0,,181406.0,,,,,,,,,0.0,25000000.0,,,,,,,,,,,,,,,,29239.0,-33978924.0,,,,,,,,,,-173827.0,,,,,,,,34546243.0,,
2019-09-30,2019-11-14,10-Q,E-QURE CORP.,EQUR,CIK0001563536,USD,,,,,,,,,252580.0,,,33784734.0,,,,,,36658.0,36658.0,,36658.0,,36658.0,,,,,0.0,,500000000.0,34546060.0,34546060.0,345.0,,,,,,,,,,,,0.0,,,,,,,71792.0,,,,,,,,,,,,,,,,,,,,982.0,982.0,,,,,,36658.0,320049.0,,,,-110546.0,,982.0,65905.0,,109564.0,-109564.0,,,,,,,,0.0,25000000.0,,,,,,,,,,,,,,28169.0,,37772.0,-34089470.0,,,,,,,,,,-283391.0,,,,,,,,34546243.0,,
2019-12-31,2020-04-13,10-K,E-QURE CORP.,EQUR,CIK0001563536,USD,4050.0,4050.0,,,,,,,105862.0,,,33788889.0,7008.0,,0.0,,,18278.0,18278.0,,18278.0,,18278.0,-372217.0,,,15058498.0,1e-05,,500000000.0,34546060.0,34546060.0,345.0,,,,,,,,874360.0,874360.0,874360.0,,-0.01,0.21,,,,,,247654.0,,,,-436812.0,,,,,4050.0,,,,,-79514.0,,-4882.0,-4882.0,,,2853.0,,,-7008.0,,,277381.0,18278.0,277381.0,100000.0,128169.0,-500386.0,-436812.0,,-436812.0,165905.0,,429804.0,-429804.0,4163621.0,,,,,,-7008.0,1e-05,25000000.0,,,,,,,,,,,,,128169.0,128169.0,,182150.0,-34069337.0,,,,15058498.0,0.0,750000.0,,,,-259103.0,,,,,,,,34546060.0,,
2020-03-31,2020-06-25,10-Q,E-QURE CORP.,EQUR,CIK0001563536,USD,,,,,,,,,,,,33793025.0,4136.0,,,,,193878.0,193878.0,,193878.0,,193878.0,175600.0,,,15058498.0,0.0,,500000000.0,34546060.0,34546060.0,345.0,,,,,,,,,,,,0.0,,,,,,,93371.0,,,,-156887.0,,,,,,57375.0,,,,,,,,,,4136.0,,,-4136.0,,,,193878.0,334756.0,165905.0,270976.0,-95376.0,-156887.0,,-4136.0,165905.0,,152751.0,,,,214861.0,,,,,0.0,25000000.0,,,,,,,,,,,,,0.0,,,59380.0,-34226224.0,,,,15058498.0,,,,,,-140878.0,,,,,,,,34546060.0,,
2020-06-30,2020-09-17,10-Q,E-QURE CORP.,EQUR,CIK0001563536,USD,,,,,,,,,,,,33797162.0,,,,,,243867.0,243867.0,,243867.0,,243867.0,,,,15058498.0,0.0,,500000000.0,34546060.0,34546060.0,345.0,-85708.0,,,,,,,,,,,-0.01,,,,51566.0,,,99165.0,,,,-85708.0,,,,,,,,,,,,,,,,4137.0,,,-4137.0,,,,243867.0,376876.0,165905.0,,,-85708.0,,47429.0,165905.0,,133137.0,,,,,,,51566.0,,0.0,25000000.0,,,,,,,,,,,,,,,,33972.0,-34311932.0,,,,15058498.0,,,0.1,0.1,,-133009.0,,,,,,,,34546060.0,,
2020-09-30,2020-11-13,10-Q,E-QURE CORP.,EQUR,CIK0001563536,USD,,,,,,,,,,,,33801343.0,,,,,,204365.0,204365.0,,204365.0,,204365.0,,,,15058498.0,0.0,,500000000.0,34546060.0,34546060.0,345.0,-172987.0,,,,,,,,,,,-0.07,,,,,,,107681.0,,,,-169180.0,,,,,,,,,,,,,,,,4181.0,,,-4181.0,,,,204365.0,418996.0,165905.0,,,-172987.0,,-3807.0,165905.0,,169180.0,-169180.0,,,,,,374.0,,0.0,25000000.0,,,,,,,,,,,,,,,,61499.0,-34484919.0,,,,15058498.0,,,0.1,0.1,,-214631.0,,,,,,,,34546060.0,,
2020-12-31,2021-04-30,10-K,E-QURE CORP.,EQUR,CIK0001563536,USD,2996.0,,,,,,,,,,-17919.0,33805525.0,16636.0,,,,,81070.0,81070.0,,81070.0,,81070.0,62792.0,0.0,,15058498.0,1e-05,,500000000.0,34546060.0,34546060.0,345.0,,-630275.0,,,,,,1002955.0,1002955.0,1002955.0,,-0.02,0.21,-17919.0,,,,315900.0,408725.0,,,,-612356.0,,,,,-2618.0,,,,,,,,,,,,,,-16636.0,,,479921.0,81070.0,479921.0,100000.0,473891.0,-393180.0,-612356.0,,,,,647661.0,-647661.0,4775977.0,,-17919.0,,,,35305.0,1e-05,25000000.0,0.0,0.0,,,,,,,,,,,0.0,,,238936.0,-34681693.0,,,,8904249.0,,,,0.1,,-398851.0,4738910.0,120906.0,,,,,,34546060.0,,
2021-03-31,2021-07-06,10-Q,E-QURE CORP.,EQUR,CIK0001563536,USD,2996.0,,,,,,,,,,-15790.0,33809616.0,4091.0,,,,,19428.0,19428.0,,19428.0,,19428.0,-61642.0,,,15058498.0,1e-05,,500000000.0,34546060.0,34546060.0,345.0,,,,,,,,,,,,-0.01,,2129.0,,-2542.0,,315900.0,105790.0,,,,-216990.0,,,,,,28080.0,,,,,,,,,,,,,-4091.0,,,508001.0,19428.0,508001.0,100000.0,121048.0,-184819.0,-216990.0,,-6633.0,,,210357.0,,,,2129.0,-214861.0,,,,1e-05,25000000.0,,,,,,,,,,,,,,,,104567.0,-34898683.0,,,,12427464.0,,,,0.1,,-488573.0,1210480.0,121048.0,,,,,,34546060.0,,
2021-06-30,2021-09-29,10-Q,E-QURE CORP.,EQUR,CIK0001563536,USD,2996.0,,,,,,,,,,-8867.0,33813752.0,,,,,,13877.0,13877.0,,13877.0,,13877.0,,0.0,,15058498.0,1e-05,,500000000.0,34546060.0,34546060.0,345.0,-229396.0,,,,,,,,,,,-0.01,,,,,,,105250.0,,,,-236319.0,,,,,,,,,,,,,,,,,,,-4136.0,,,582290.0,13877.0,582290.0,100000.0,,,-236319.0,,-4136.0,,,232183.0,,,,6923.0,,,,,1e-05,25000000.0,0.0,0.0,,,,,,,,,,,,,,126933.0,-35135002.0,,,,8904249.0,,,,0.1,,-568413.0,,,,,,,0.0,34546060.0,,
2021-09-30,2022-01-13,10-Q,E-QURE CORP.,EQUR,CIK0001563536,USD,2996.0,,,,,,,,,,-7335.0,33817934.0,,,,,,11500.0,11500.0,,11500.0,,11500.0,,0.0,,15058498.0,1e-05,,500000000.0,34546060.0,34546060.0,345.0,-74564.0,,,,,,,,,,,0.0,,,,,,,97654.0,,,,-151744.0,,,,,,,,,,,,,,,,,,,-4182.0,,,610370.0,11500.0,610370.0,100000.0,,,-76096.0,,75648.0,,,151744.0,,,,1532.0,,,79830.0,,1e-05,25000000.0,0.0,0.0,,,,,,,,,,,,,,54090.0,-35211098.0,,,,2750000.0,,,,0.1,,-598870.0,,,,,,,,34546060.0,,
