end,filed,form,Name,Ticker,CIK,Currency,AccountsPayableOtherCurrentAndNoncurrent,AccountsReceivableRelatedParties,AccruedFeesAndOtherRevenueReceivable,AccruedProfessionalFeesCurrentAndNoncurrent,AssetManagementCosts,Assets,Cash,CashAndCashEquivalentsAtCarryingValue,CashAndCashEquivalentsPeriodIncreaseDecrease,CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalents,CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalentsPeriodIncreaseDecreaseExcludingExchangeRateEffect,CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalentsPeriodIncreaseDecreaseIncludingExchangeRateEffect,CommissionsPayableToBrokerDealersAndClearingOrganizations,CustodyFees,DebtInstrumentCollateralAmount,DebtSecuritiesTradingRealizedGainLoss,Deposits,DepositsMoneyMarketDeposits,DividendIncomeOperating,DividendsReceivable,DueFromRelatedParties,DueToCorrespondentBrokers,DueToOfficersOrStockholdersCurrentAndNoncurrent,DueToRelatedPartiesCurrentAndNoncurrent,FloorBrokerageExchangeAndClearanceFees,GainLossOnSaleOfInvestments,GeneralPartnersCapitalAccount,IncreaseDecreaseDueFromOfficersAndStockholders,IncreaseDecreaseInAccountsAndOtherReceivables,IncreaseDecreaseInAccountsReceivableRelatedParties,IncreaseDecreaseInAccruedInterestReceivableNet,IncreaseDecreaseInAccruedLiabilities,IncreaseDecreaseInDividendsReceivable,IncreaseDecreaseInDueFromOfficersAndStockholdersCurrent,IncreaseDecreaseInDueToOfficersAndStockholders,IncreaseDecreaseInFinancialInstrumentsUsedInOperatingActivities,IncreaseDecreaseInInsuranceLiabilities,IncreaseDecreaseInOtherAccountsPayable,IncreaseDecreaseInOtherOperatingAssets,IncreaseDecreaseInOtherOperatingLiabilities,IncreaseDecreaseInPayablesToBrokerDealers,IncreaseDecreaseInPrepaidExpense,IncreaseDecreaseInPrepaidInsurance,IncreaseDecreaseInTradingLiabilities,InterestIncomeOperating,InterestReceivable,InvestmentCompanyRegistrationExpense,InvestmentOwnedUnderlyingFaceAmountAtMarketValue,InvestmentsFairValueDisclosure,LegalFees,Liabilities,LiabilitiesAndStockholdersEquity,LicenseCosts,LimitedPartnersCapitalAccount,LimitedPartnersCapitalAccountUnitsOutstanding,LitigationSettlementInterest,LossContingencyDamagesAwardedValue,LossContingencyDamagesPaidValue,ManagementFeeExpense,ManagementFeePayable,NetCashProvidedByUsedInFinancingActivities,NetCashProvidedByUsedInFinancingActivitiesContinuingOperations,NetCashProvidedByUsedInOperatingActivities,NetCashProvidedByUsedInOperatingActivitiesContinuingOperations,NetIncomeLoss,NetIncomeLossNetOfTaxPerOutstandingLimitedPartnershipUnitDiluted,NetIncomeLossPerOutstandingLimitedPartnershipUnit,NetIncomeLossPerOutstandingLimitedPartnershipUnitBasicNetOfTax,NetIncomeLossPerOutstandingLimitedPartnershipUnitDiluted,NoninterestExpenseDirectorsFees,NoninterestExpenseTransferAgentAndCustodianFees,OperatingExpenses,OtherAssets,OtherExpenses,OtherGeneralExpense,OtherIncome,OtherLiabilities,OtherPayablesToBrokerDealersAndClearingOrganizations,OtherReceivables,PartnersCapital,PartnersCapitalAccountContributions,PartnersCapitalAccountRedemptions,PartnersCapitalAccountUnitsContributed,PartnersCapitalAccountUnitsRedeemed,PrepaidInsurance,ProceedsFromPartnershipContribution,ProfessionalFees,RestrictedCashAndCashEquivalents,RestrictedCashAndCashEquivalentsAtCarryingValue,Revenues,TradingLiabilities,TradingSecuritiesRealizedGainLoss,UnrealizedGainLossOnDerivativesAndCommodityContracts,UnrealizedGainLossOnInvestments,WeightedAverageLimitedPartnershipUnitsOutstanding,DebtInstrumentInterestRateStatedPercentage
2017-12-31,2018-03-14,10-K,"United States 12Â Month Oil Fund, LP",USL,CIK0001405528,USD,,0.0,,145177.0,646339.0,99322114.0,4988459.0,83241625.0,-36140514.0,88230084.0,-36140514.0,,7362.0,,,0.0,69230084.0,19000000.0,192015.0,16769.0,,7565281.0,46592.0,,17897.0,7967768.0,0.0,,,,2694.0,,5975.0,,66.0,-2008816.0,,,,,-7547510.0,,491.0,,685895.0,2694.0,,,,,7768212.0,99322114.0,16158.0,91553902.0,4350000.0,,,,646339.0,1014.0,-36555861.0,,415347.0,,14653701.0,0.29,,3.4000000000000004,,14120.0,20000.0,1162875.0,,,153000.0,11200.0,,,,91553902.0,22440164.0,58996025.0,1300000.0,3150000.0,,22440164.0,235201.0,,,15816576.0,,0.0,-6205208.0,-6205208.0,5871781.0,
2018-03-31,2018-05-10,10-Q,"United States 12Â Month Oil Fund, LP",USL,CIK0001405528,USD,,,,107411.0,127296.0,91810114.0,4977658.0,73873484.0,-9378942.0,,,,4862.0,,,,64851142.0,14000000.0,54110.0,17660.0,,8976003.0,36118.0,,574.0,4474975.0,0.0,,,0.0,2006.0,,891.0,,1066.0,,,,,,1410722.0,,,,240855.0,4700.0,,,,,9128822.0,91810114.0,3182.0,82681292.0,3650000.0,,,,127296.0,2080.0,-15336666.0,,5957724.0,,6464056.0,1.64,,1.6,,3231.0,20000.0,172379.0,,,,2450.0,,,,82681292.0,,15336666.0,,700000.0,,0.0,38096.0,,,6636435.0,,,1864045.0,1864045.0,3952778.0,
2018-06-30,2018-08-08,10-Q,"United States 12Â Month Oil Fund, LP",USL,CIK0001405528,USD,,2320.0,,71769.0,,100569148.0,4977569.0,79031716.0,,84009285.0,,,4862.0,,,,64409285.0,19600000.0,60127.0,20611.0,,14206502.0,40206.0,,2645.0,5789281.0,0.0,,,,,,,,,,,,,,,,,,287399.0,2291.0,,,,,14325678.0,100569148.0,,86243470.0,3400000.0,,,,126585.0,0.0,,,,,9563589.0,2.7,,2.72,,3583.0,,172297.0,,,,1050.0,,,,86243470.0,,,,,,,36319.0,,,9735886.0,,,,3598029.0,3541758.0,
2018-09-30,2018-11-08,10-Q,"United States 12Â Month Oil Fund, LP",USL,CIK0001405528,USD,,,,96390.0,,85658946.0,4975403.0,66274454.0,,71249857.0,,,4862.0,,,,58949857.0,12300000.0,65990.0,18997.0,,2737008.0,33332.0,,2282.0,7166117.0,0.0,,,,,,,,,,,,,,,,,,322972.0,5598.0,,,,,2878339.0,85658946.0,,82780607.0,3050000.0,,,,120405.0,5004.0,,,,,5243001.0,1.64,,1.77,,3642.0,,163681.0,,,,1750.0,,,,82780607.0,,,,,,,34342.0,,,5406682.0,,,,-2150147.0,3187500.0,
2018-12-31,2019-03-13,10-K,"United States 12Â Month Oil Fund, LP",USL,CIK0001405528,USD,,,,127321.0,,50960023.0,24000253.0,42728472.0,-21501359.0,66728725.0,-21501359.0,,3422.0,,,-21.0,66728725.0,,212708.0,895.0,,0.0,27633.0,,6045.0,20594140.0,0.0,,,,-1530.0,,-15874.0,,-317.0,,,,,,-7565281.0,,326.0,,1173556.0,1164.0,0.0,,,,161393.0,50960023.0,,50798630.0,2850000.0,,,,473218.0,1803.0,-35247245.0,,13745886.0,,-32286700.0,-1.62,,-12.55,,13806.0,20000.0,790843.0,,,144700.0,5950.0,,,,50798630.0,,35247245.0,0.0,1500000.0,1432.0,0.0,144701.0,,24000253.0,-31495857.0,,-21.0,-26844760.0,-26844760.0,3390137.0,
2019-03-31,2019-05-09,10-Q,"United States 12Â Month Oil Fund, LP",USL,CIK0001405528,USD,,,,82046.0,,62045310.0,10092231.0,53096379.0,-3540115.0,63188610.0,,-3540115.0,3422.0,,,0.0,46188610.0,17000000.0,70220.0,32667.0,,,26591.0,,1872.0,-1433368.0,0.0,,,,744.0,,31772.0,,-57.0,,6.0,,,,0.0,,-1433.0,,272033.0,1908.0,,,,,114325.0,62045310.0,,61930985.0,2750000.0,,,,88614.0,1753.0,-2237484.0,,-1302631.0,,13369839.0,4.7,,4.7,,3267.0,20000.0,134064.0,,,,700.0,,,,61930985.0,,2237484.0,,100000.0,,0.0,38096.0,,,13503903.0,,,14594318.0,14594318.0,2842222.0,
2019-06-30,2019-08-08,10-Q,"United States 12Â Month Oil Fund, LP",USL,CIK0001405528,USD,,2586.0,,74484.0,,54610563.0,,46866995.0,,57233158.0,,,3422.0,,,,46233158.0,11000000.0,80197.0,15261.0,,,25767.0,,1985.0,-492221.0,0.0,,,,,,,,,,,,,,,,,,266616.0,1652.0,,,,,104165.0,54610563.0,,54506398.0,2500000.0,,,,87543.0,,,,,,-1740152.0,-0.67,,-0.72,,2738.0,,132975.0,,,,2450.0,,,,54506398.0,,,,300000.0,,,38520.0,,10366163.0,-1607177.0,,,,-1464219.0,2610440.0,
2019-09-30,2019-11-08,10-Q,"United States 12Â Month Oil Fund, LP",USL,CIK0001405528,USD,,,,92876.0,,51538460.0,,42358238.0,,56395408.0,,,3422.0,,,0.0,47395408.0,9000000.0,51826.0,14330.0,,,26044.0,,1627.0,-2101373.0,0.0,,,,,,,,,,,,,,,,,,237051.0,4630.0,0.0,,,,124387.0,51538460.0,,51414073.0,2550000.0,,,,79675.0,1744.0,,,,,-4163002.0,-1.66,,-1.64,,3393.0,,114129.0,,,,350.0,,,,51414073.0,,,50000.0,,2913.0,,27442.0,,14037170.0,-4048873.0,,,,-2236727.0,2505435.0,
2019-12-31,2020-03-13,10-K,"United States 12Â Month Oil Fund, LP",USL,CIK0001405528,USD,,,0.0,119417.0,,55230277.0,,45166882.0,,51606975.0,-15121750.0,,3422.0,,,0.0,38606975.0,13000000.0,241099.0,12950.0,,0.0,28094.0,,7261.0,-5665084.0,0.0,,,,5156.0,,12055.0,,150.0,,,,,,0.0,,9.0,,976513.0,6320.0,0.0,,,,153238.0,55230277.0,,55077039.0,2400000.0,,,,337314.0,1953.0,-10155916.0,,-4965834.0,,21401965.0,5.52,,7.92,,13028.0,20000.0,613906.0,,,131500.0,4550.0,,,,55077039.0,2254827.0,12410743.0,100000.0,550000.0,1441.0,2254827.0,131501.0,,6440093.0,22015871.0,,,19374784.0,19374784.0,2615479.0,
2020-03-31,2020-05-08,10-Q,"United States 12Â Month Oil Fund, LP",USL,CIK0001405528,USD,,,350.0,65771.0,,53592684.0,,35029959.0,,68261316.0,,16654341.0,4502.0,,,1240.0,68261316.0,,30245.0,3379.0,,,20197.0,,5146.0,-837283.0,0.0,,,,-5576.0,,-9571.0,,-473.0,,0.0,,,,0.0,,4480.0,,146528.0,744.0,0.0,,,,91950.0,53592684.0,,53500734.0,4400000.0,,,,68271.0,1480.0,17464023.0,,-809682.0,,-25119958.0,-10.03,,-10.79,,3122.0,20000.0,105391.0,,,,5950.0,,,,53500734.0,26939982.0,3396329.0,2150000.0,150000.0,5921.0,20860352.0,27145.0,,33231357.0,-25014567.0,,,-24361247.0,-24361247.0,2503846.0,
2020-06-30,2020-08-07,10-Q,"United States 12Â Month Oil Fund, LP",USL,CIK0001405528,USD,,,,62092.0,,313411370.0,,235642464.0,,246628227.0,,,12602.0,,,0.0,11048528.0,235579699.0,81659.0,32056.0,,,148001.0,,69031.0,11487803.0,,,,,,,,,,,,,,,,,,,67904.0,,39650.0,,,,38531388.0,313411370.0,,274879982.0,18700000.0,,,,341764.0,3162.0,,,,,98276691.0,5.43,,2.54,,4780.0,,511025.0,,,,15064.0,,38297721.0,,274879982.0,,,26600000.0,12300000.0,4445.0,,47256.0,,10985763.0,98787716.0,,,,87135286.0,18098901.0,
2020-09-30,2020-11-06,10-Q,"United States 12Â Month Oil Fund, LP",USL,CIK0001405528,USD,,,364.0,122655.0,,224326728.0,,187052113.0,,187052113.0,,,12602.0,,,0.0,166856113.0,20196000.0,45883.0,2329.0,,10212377.0,107332.0,,15806.0,39251150.0,0.0,,,,,,,,,,,,,,,,,,17590.0,3352.0,47005.0,,,,11978034.0,224326728.0,,212348694.0,14050000.0,,,,367521.0,3240.0,,,,,9562502.0,0.61,,0.41,,4990.0,,554171.0,,,,6650.0,,,,212348694.0,,,50000.0,1950000.0,2953.0,,109661.0,,0.0,10116673.0,,,,-29204600.0,15694022.0,
2020-12-31,2021-02-26,10-K,"United States 12Â Month Oil Fund, LP",USL,CIK0001405528,USD,,,,132523.0,,219497639.0,,181574615.0,,182551168.0,130944193.0,,12602.0,,,1240.0,162355168.0,20196000.0,158704.0,178.0,,21925587.0,102144.0,,102980.0,76578011.0,0.0,,,,655.0,,-12772.0,,854.0,,,,,,21925587.0,,20.0,,252605.0,6975.0,124835.0,,,,23043098.0,219497639.0,,196454541.0,11400000.0,,,,1080769.0,2807.0,33518747.0,,97425446.0,,134719453.0,8.83,,-3.5999999999999996,,17435.0,,1998091.0,,,172800.0,33264.0,,,,196454541.0,,,28750000.0,19750000.0,1461.0,302421810.0,231301.0,,976553.0,136717544.0,,,33279859.0,33279859.0,12315890.0,
2021-03-31,2021-05-07,10-Q,"United States 12Â Month Oil Fund, LP",USL,CIK0001405528,USD,,,,88437.0,,231276727.0,,185990371.0,,185990371.0,,3439203.0,12602.0,,,0.0,34644371.0,151346000.0,6431.0,3644.0,,32640416.0,110361.0,,7832.0,33524450.0,0.0,,,,-6665.0,,3466.0,,148.0,,,,,,10714829.0,,39454.0,,10661.0,310.0,37350.0,,,,32861432.0,231276727.0,,198415295.0,9500000.0,,,,313804.0,2955.0,-40340230.0,,43779433.0,,41440395.0,3.92,,3.66,,5530.0,,445977.0,,,,3850.0,,,,198415295.0,,,,1900000.0,40915.0,0.0,73616.0,,0.0,41886372.0,,,8340980.0,8340980.0,10577778.0,
2021-06-30,2021-08-06,10-Q,"United States 12Â Month Oil Fund, LP",USL,CIK0001405528,USD,,,,132261.0,,226231282.0,,144238551.0,,174238551.0,,,12602.0,,,0.0,32342551.0,141896000.0,9724.0,3110.0,,37759280.0,93997.0,,7974.0,34289110.0,0.0,,,,,,,,,,,,,,,,,,3095.0,375.0,37765.0,,,,38027191.0,226231282.0,,188204091.0,7350000.0,,,,297747.0,3062.0,,,,,40572896.0,4.74,,4.72,,13800.0,,468943.0,,,,4550.0,,,,188204091.0,,,,2150000.0,30456.0,,104213.0,,30000000.0,41041839.0,,,,6735360.0,8566667.0,
2021-09-30,2021-11-05,10-Q,"United States 12Â Month Oil Fund, LP",USL,CIK0001405528,USD,,,,146028.0,,171120227.0,,107324197.0,,137331019.0,,,12602.0,,,0.0,41535019.0,95796000.0,7379.0,2046.0,,23113534.0,72614.0,,6442.0,25652040.0,0.0,,,,,,,,,,,,,,,,,,10243.0,2879.0,38180.0,,,,23410361.0,171120227.0,,147709866.0,5450000.0,,,,244975.0,2713.0,,,,,7110614.0,1.11,,1.49,,13576.0,,369558.0,,,,4900.0,,,,147709866.0,,,50000.0,6000000.0,19883.0,,60261.0,,30006822.0,7480172.0,,,,-18194390.0,6392391.0,
2021-12-31,2022-02-25,10-K,"United States 12Â Month Oil Fund, LP",USL,CIK0001405528,USD,,,,172680.0,,149225740.0,,99549427.0,,129563728.0,-52987440.0,,12602.0,,,0.0,0.0,0.0,29830.0,1869.0,,11205326.0,67706.0,,26177.0,112107560.0,0.0,,,,-4171.0,,1691.0,,-380.0,,,,,,-10720261.0,,7848.0,,32668.0,2804.0,151475.0,,,,11561138.0,149225740.0,,137664602.0,4950000.0,,,,1074705.0,2427.0,-152986967.0,,99999527.0,,97548973.0,12.18,,11.29,,46172.0,,329071.0,,,269000.0,14350.0,,,,137664602.0,,,50000.0,6500000.0,9309.0,1191280.0,288152.0,,30014301.0,99491593.0,,,-17234420.0,-17234420.0,7662329.0,5e-05
