end,filed,form,Name,Ticker,CIK,Currency,AccountsPayableAndAccruedLiabilitiesCurrent,AccountsPayableCurrent,AccountsPayableTrade,AccountsPayableTradeCurrent,AccountsPayableTradeCurrentAndNoncurrent,AccountsReceivableNetCurrent,AccruedLiabilitiesCurrent,AdditionalPaidInCapital,AdditionalPaidInCapitalCommonStock,AdjustmentsToAdditionalPaidInCapitalShareBasedCompensationStockOptionsRequisiteServicePeriodRecognition,AdvancesToAffiliate,AmortizationOfFinancingCosts,AntidilutiveSecuritiesExcludedFromComputationOfEarningsPerShareAmount,Assets,AssetsCurrent,CapitalizedComputerSoftwareAmortization1,CapitalizedComputerSoftwareImpairments1,CapitalizedContractCostAccumulatedAmortization,CapitalizedSoftwareDevelopmentCostsForSoftwareSoldToCustomers,Cash,CashAndCashEquivalentsAtCarryingValue,CashAndCashEquivalentsPeriodIncreaseDecrease,CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalentsIncludingDisposalGroupAndDiscontinuedOperations,CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalentsPeriodIncreaseDecreaseIncludingExchangeRateEffect,CashPeriodIncreaseDecrease,CommonStockParOrStatedValuePerShare,CommonStockShareSubscribedButUnissuedSubscriptionsReceivable,CommonStockSharesAuthorized,CommonStockSharesIssued,CommonStockSharesOutstanding,CommonStockValue,ConvertibleLongTermNotesPayable,ConvertibleNotesPayable,ConvertibleNotesPayableCurrent,CostOfRevenue,CostsAndExpenses,DebtConversionConvertedInstrumentAmount1,DebtDefaultLongtermDebtAmount,DebtInstrumentDecreaseForgiveness,DebtInstrumentInterestRateDuringPeriod,DebtInstrumentUnamortizedDiscount,DebtInstrumentUnamortizedDiscountPremiumAndDebtIssuanceCostsNet,DepositLiabilitiesAccruedInterest,DepreciationDepletionAndAmortization,DueToRelatedPartiesCurrent,EarningsPerShareBasicAndDiluted,EmployeeServiceShareBasedCompensationNonvestedAwardsTotalCompensationCostNotYetRecognizedStockOptions,ExtinguishmentOfDebtGainLossNetOfTax,FiniteLivedIntangibleAssetsAccumulatedAmortization,FiniteLivedIntangibleAssetsGross,FiniteLivedIntangibleAssetsNet,GainsLossesOnExtinguishmentOfDebt,GeneralAndAdministrativeExpense,GrossProfit,IncreaseDecreaseInAccountsPayable,IncreaseDecreaseInAccountsPayableAndAccruedLiabilities,IncreaseDecreaseInAccountsReceivable,IncreaseDecreaseInInterestPayableNet,IncreaseDecreaseInInventories,IncreaseDecreaseInOtherAccountsPayableAndAccruedLiabilities,IncreaseDecreaseInPrepaidExpense,IncreaseDecreaseInPrepaidExpensesOther,InterestExpense,InterestPayableCurrent,InventoryNet,IssuanceOfStockAndWarrantsForServicesOrClaims,Liabilities,LiabilitiesAndStockholdersEquity,LiabilitiesCurrent,LiabilitiesNoncurrent,LitigationReserveCurrent,LoansPayable,LongTermDebt,LongTermNotesPayable,MarketingExpense,NetCashProvidedByUsedInContinuingOperations,NetCashProvidedByUsedInFinancingActivities,NetCashProvidedByUsedInInvestingActivities,NetCashProvidedByUsedInOperatingActivities,NetIncomeLoss,NetIncomeLossAvailableToCommonStockholdersBasic,NotesPayableRelatedPartiesClassifiedCurrent,OperatingExpenses,OperatingIncomeLoss,OperatingLossCarryforwards,OtherAccountsPayableAndAccruedLiabilities,OtherAccruedLiabilitiesCurrent,OtherLaborRelatedExpenses,OtherLiabilitiesCurrent,OtherNoncashIncomeExpense,OtherPrepaidExpenseCurrent,PaymentsForSoftware,PaymentsOfDebtIssuanceCosts,PreferredStockParOrStatedValuePerShare,PreferredStockSharesAuthorized,PreferredStockSharesIssued,PreferredStockSharesOutstanding,PreferredStockValue,PrepaidExpenseCurrent,ProceedsFromConvertibleDebt,ProceedsFromIssuanceOfCommonStock,ProceedsFromIssuanceOfDebt,ProceedsFromRelatedPartyDebt,ProceedsFromRepaymentsOfRelatedPartyDebt,RelatedPartyTransactionDueFromToRelatedPartyCurrent,RepaymentsOfNotesPayable,ResearchAndDevelopmentExpense,RetainedEarningsAccumulatedDeficit,RevenueFromContractWithCustomerExcludingAssessedTax,Revenues,SellingAndMarketingExpense,ShareBasedCompensation,ShareBasedCompensationArrangementByShareBasedPaymentAwardFairValueAssumptionsExpectedDividendRate,ShareBasedCompensationArrangementByShareBasedPaymentAwardFairValueAssumptionsExpectedVolatilityRate,ShareBasedCompensationArrangementByShareBasedPaymentAwardFairValueAssumptionsRiskFreeInterestRate,ShareBasedCompensationArrangementsByShareBasedPaymentAwardOptionsGrantsInPeriodWeightedAverageExercisePrice,SharebasedCompensationArrangementBySharebasedPaymentAwardOptionsNonvestedNumberOfShares,ShortTermBorrowings,StockholdersEquity,StockholdersEquityOther,StockIssued1,StockIssuedDuringPeriodSharesNewIssues,StockIssuedDuringPeriodValueConversionOfConvertibleSecurities,StockIssuedDuringPeriodValueConversionOfUnits,StockIssuedDuringPeriodValueDividendReinvestmentPlan,StockIssuedDuringPeriodValueIssuedForServices,StockIssuedDuringPeriodValueOther,StockIssuedDuringPeriodValuePurchaseOfAssets,StockRepurchasedDuringPeriodValue,WeightedAverageNumberOfShareOutstandingBasicAndDiluted
2018-09-30,2018-10-29,10-Q,USA EQUITIES CORP.,USAQ,CIK0000856984,USD,,,,551.0,,,,720941.0,,,,,,2625.0,,,,,,,,,,,,0.0001,,900000000.0,3590135.0,3590135.0,359.0,,,,,9426.0,,,,,,,,,107355.0,0.0,,,,,,,6590.0,,,,,,,,,,2836.0,92731.0,,,530668.0,2625.0,201487.0,329181.0,,,,,,,,,,-9426.0,,,,-6590.0,1249343.0,,850.0,,,,,,,0.0001,10000000.0,,,,2625.0,,,,,,,,,-1249343.0,,,,,,,,,,,-528042.0,,,,,,,,,,,3590135.0
2018-12-31,2019-03-28,10-K,USA EQUITIES CORP.,USAQ,CIK0000856984,USD,539.0,,,,,,,720941.0,,,,,,1750.0,,,,,,,0.0,,,,,0.0001,,900000000.0,3590135.0,3590135.0,359.0,329181.0,424749.0,,,27379.0,,,,,,,,,109977.0,0.0,,,,,,,27379.0,,,-10404.0,,11252.0,,,1750.0,,11252.0,95568.0,,,535265.0,1750.0,206084.0,329181.0,,,,329181.0,,,39533.0,,-39533.0,-38631.0,,,27379.0,-27379.0,1254815.0,,,,,,,,,0.0001,10000000.0,,,,1750.0,,,,39533.0,39533.0,,,,-1254815.0,,,,,,,,,,,-533515.0,,,,,,,,,,,3590135.0
2019-03-31,2019-05-14,10-Q,USA EQUITIES CORP.,USAQ,CIK0000856984,USD,5850.0,,,,,,,720941.0,,,,,,875.0,,,,,,,,,,,,0.0001,,900000000.0,3590135.0,3590135.0,359.0,,427523.0,,,10325.0,,,,,,,,,114117.0,-0.01,,,,,,,10436.0,,,5311.0,,2774.0,,,-875.0,,2774.0,98342.0,,,547490.0,875.0,218309.0,329181.0,,,,,,,32800.0,,-32800.0,-41760.0,,,38986.0,-38986.0,1267914.0,,,,,,,,,0.0001,10000000.0,,,,875.0,,,,32800.0,,,,28550.0,-1267914.0,,,,,0.0,0.0,0.0,,,,-575058.0,217.0,,,,,,,,,,4322472.0
2019-06-30,2019-08-05,10-Q,USA EQUITIES CORP.,USAQ,CIK0000856984,USD,1105.0,,,,,,,720941.0,,,,,,3725.0,,,,,,,3725.0,,3725.0,,,0.0001,,900000000.0,3590135.0,3590135.0,359.0,,430328.0,,,,,,,,,,,,124562.0,0.0,,,,,,,2936.0,,,,,,,,,,2805.0,101147.0,,,555995.0,3725.0,226814.0,329181.0,,,,,,,,,,-22128.0,,,19323.0,-19323.0,1273570.0,,,,,,,,,0.0001,10000000.0,,,,0.0,,,,,,,,16387.0,-1273570.0,,,,,,,,,,,-597186.0,,,,,,,,,,,5762735.0
2019-09-30,2019-11-12,10-Q,USA EQUITIES CORP.,USAQ,CIK0000856984,USD,2176.0,,,,,,,990856.0,,,,,,5295.0,,0.0,,,,,1170.0,,1170.0,,,0.0001,,900000000.0,3590135.0,3590135.0,359.0,,287569.0,,,,,,,,,,,,7000.0,-0.01,,,,,,,7010.0,,,,,,,,,,2884.0,,,,296745.0,5295.0,9176.0,287569.0,,,,198062.0,,,,,,-37679.0,,,34795.0,-34795.0,1282773.0,,,,,,,,,0.0001,10000000.0,1080092.0,1080092.0,108.0,4125.0,,,,,,,,27785.0,-1282773.0,,,,,,,,,,,-364842.0,,,,270023.0,,,,,,,5762735.0
2019-12-31,2020-02-21,10-K,USA EQUITIES CORP.,USAQ,CIK0000856984,USD,20942.0,,,,,,,990856.0,,,,,,26340.0,26340.0,0.0,,0.0,,,23590.0,,23590.0,23590.0,,0.0001,,900000000.0,5762735.0,5762735.0,576.0,341688.0,435189.0,,,,,,,,,,,,0.0,-0.03,,,,,,,53870.0,,,20404.0,,12274.0,,,1000.0,,12416.0,,,,456131.0,26340.0,20942.0,435189.0,,,,,,,158428.0,,-134838.0,-166516.0,,,154100.0,-154100.0,1421331.0,,,,,,,,,0.0001,10000000.0,1080092.0,1080092.0,108.0,2750.0,55000.0,217.0,,103211.0,55000.0,,,100230.0,-1421331.0,,,,,,,,,,,-429791.0,217.0,,,270023.0,,,,,,,5410583.0
2020-03-31,2020-05-14,10-Q,USA EQUITIES CORP.,USAQ,CIK0000856984,USD,31173.0,,,,,,,991011.0,,155.0,,,,1429.0,,,,,,,54.0,,54.0,-23536.0,,0.0001,,900000000.0,5762735.0,5762735.0,576.0,307987.0,462782.0,,,,,,,,,,,,18544.0,-0.01,8345.0,,,,,-21299.0,23134.0,,,7216.0,,6294.0,,,-1375.0,1375.0,6399.0,,,,509484.0,1429.0,104717.0,404767.0,,,,,,,18544.0,,-42080.0,-78419.0,,55000.0,72020.0,-72020.0,1499750.0,,,,,,,,,0.0001,10000000.0,1080092.0,1080092.0,108.0,1375.0,,,,18544.0,,,,27587.0,-1499750.0,,,,155.0,0.0,0.691,0.6,0.05,500000.0,,-508055.0,,,,,,,,,,,5762735.0
2020-06-30,2020-08-13,10-Q,USA EQUITIES CORP.,USAQ,CIK0000856984,USD,35350.0,,,,,,,1018260.0,,1085.0,,,,420.0,,,,,,,375.0,,375.0,,,0.0001,,900000000.0,6312735.0,6312735.0,631.0,307987.0,469077.0,55000.0,,,,,,,,,,,43236.0,-0.01,23610.0,,,,,,15044.0,,,,,,,,,,6632.0,,,,543021.0,420.0,133586.0,409435.0,,,,,19850.0,,,,,-61850.0,,,55218.0,-55218.0,1561600.0,,,,,,,,,0.0001,10000000.0,1080092.0,1080092.0,108.0,45.0,,,,,,,,20324.0,-1561600.0,,,19850.0,,,,,,650000.0,,-542601.0,,,,,,,98500.0,,,,6084402.0
2020-09-30,2020-11-12,10-Q,USA EQUITIES CORP.,USAQ,CIK0000856984,USD,31446.0,,,,,,,1060395.0,,2921.0,,,,49802.0,33802.0,0.0,,0.0,16000.0,,26678.0,,26678.0,,,0.0001,,900000000.0,6562735.0,6562735.0,656.0,451003.0,618533.0,55000.0,,,,,,,,,,,2501.0,-0.01,20689.0,,,,,,37424.0,,,,,,,,,,6850.0,,,,643691.0,49802.0,86446.0,557245.0,,,,,29021.0,,,,,-93448.0,,,86598.0,-86598.0,1655048.0,,,,,,,,,0.0001,10000000.0,1080092.0,1080092.0,108.0,7124.0,,,,,,,,20153.0,-1655048.0,,,29021.0,,,,,,650000.0,,-593889.0,,,,,,,167750.0,,,,6388822.0
2020-12-31,2021-03-11,10-K,USA EQUITIES CORP.,USAQ,CIK0000856984,USD,159620.0,145422.0,,,,60522.0,,1139629.0,,7082.0,,,,297863.0,266163.0,0.0,0.0,0.0,31700.0,,94342.0,,94342.0,70752.0,,0.0001,,900000000.0,6562735.0,6562735.0,656.0,576003.0,754520.0,55000.0,74439.0,,,,,,,,,0.0,,-0.05,17768.0,,0.0,,,-21299.0,131767.0,50093.0,,130726.0,60522.0,30017.0,99701.0,,8848.0,,30984.0,,99701.0,,906189.0,297863.0,214620.0,691569.0,,,,,95141.0,,268016.0,-31700.0,-165564.0,-327388.0,,,346497.0,-296404.0,1748719.0,,,,14198.0,,11598.0,31700.0,,0.0001,10000000.0,1080092.0,1080092.0,108.0,11598.0,180000.0,,,88016.0,,,,98290.0,-1748719.0,124532.0,,,7082.0,0.0,0.707,0.0051,,650000.0,,-608326.0,,,141771.0,,,,266250.0,,,,6200303.0
2021-03-31,2021-05-17,10-Q,USA EQUITIES CORP.,USAQ,CIK0000856984,USD,,77866.0,,,,70497.0,,1411098.0,,8920.0,,,,237473.0,178891.0,,,,58582.0,,34568.0,,34568.0,-59774.0,,0.0001,,900000000.0,7109453.0,7109453.0,711.0,457377.0,570718.0,,170757.0,,,,,,,,,,,-0.01,62847.0,,,,,,70127.0,133579.0,,-67989.0,9975.0,16972.0,-38561.0,,,-1088.0,10429.0,,61140.0,,660961.0,237473.0,90243.0,570718.0,3356.0,,,,,,,-26882.0,-32892.0,-86686.0,,,209836.0,-76257.0,1835405.0,,,,12377.0,,12686.0,26882.0,,0.0001,10000000.0,1080092.0,1080092.0,108.0,,,,,,,,,28021.0,-1835405.0,304336.0,,111688.0,8920.0,0.0,0.763,0.21,,1100000.0,,-423488.0,,,,194211.0,,,90000.0,,,,6833261.0
2021-06-30,2021-08-16,10-Q,USA EQUITIES CORP.,USAQ,CIK0000856984,USD,,45232.0,,,,58599.0,,2501889.0,,8921.0,,,,1994369.0,285178.0,,,,96691.0,,145947.0,,145947.0,,,0.0001,,900000000.0,8603025.0,8603025.0,860.0,432377.0,546119.0,,248502.0,,,,,,,,,,,-0.02,53927.0,,0.0,,1612500.0,,134964.0,207120.0,,,,,,,,,7593.0,,65491.0,,1439244.0,1994369.0,368682.0,1070562.0,,,,,,,,,,-112327.0,,,311854.0,-104734.0,1947732.0,,,,11893.0,,15141.0,,,0.0001,10000000.0,1080092.0,1080092.0,108.0,,,,,,,,,15271.0,-1947732.0,455622.0,,161619.0,,,,,,1100000.0,311557.0,555125.0,,,,132075.0,,,,-41900.0,862500.0,30000.0,7206586.0
2021-09-30,2021-11-15,10-Q,USA EQUITIES CORP.,USAQ,CIK0000856984,USD,,87560.0,,,,38338.0,,2832072.0,,8921.0,,,,2454543.0,720206.0,,,,139865.0,,543311.0,,543311.0,,,0.0001,,900000000.0,8679170.0,8679170.0,868.0,407377.0,1026871.0,,167393.0,,,695699.0,,,48175.0,289723.0,,18028.0,,-0.03,45006.0,,18028.0,1612500.0,1594472.0,,149741.0,157086.0,,,,,,,,,88658.0,,101236.0,,1869997.0,2454543.0,879328.0,990669.0,,52566.0,,,,,,,,-300770.0,,,369198.0,-212112.0,2217514.0,,,,14857.0,,37321.0,,,0.0001,10000000.0,1080092.0,1080092.0,108.0,,,,,,,,,19609.0,-2248502.0,324479.0,,181820.0,,,,,,1100000.0,776911.0,584546.0,,,,,221779.0,30000.0,33200.0,,,,8646399.0
