end,filed,form,Name,Ticker,CIK,Currency,AccountsPayableCurrent,AccruedLiabilitiesCurrent,AccumulatedDepreciationDepletionAndAmortizationPropertyPlantAndEquipment,AdditionalPaidInCapitalCommonStock,AdjustmentsToAdditionalPaidInCapitalOther,AntidilutiveSecuritiesExcludedFromComputationOfEarningsPerShareAmount,Assets,AssetsCurrent,CashAndCashEquivalentsAtCarryingValue,CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalents,CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalentsPeriodIncreaseDecreaseExcludingExchangeRateEffect,CommonStockParOrStatedValuePerShare,CommonStockSharesAuthorized,CommonStockSharesIssued,CommonStockSharesOutstanding,CommonStockValue,DeferredTaxAssetsGross,DeferredTaxAssetsNet,DeferredTaxAssetsOperatingLossCarryforwards,DeferredTaxAssetsPropertyPlantAndEquipment,DeferredTaxAssetsTaxCreditCarryforwardsAlternativeMinimumTax,DeferredTaxAssetsTaxDeferredExpenseReservesAndAccrualsAccruedLiabilities,DeferredTaxAssetsValuationAllowance,DefinedBenefitPlanBenefitsPaid,DefinedContributionPlanEmployerDiscretionaryContributionAmount,DepreciationDepletionAndAmortization,EarningsPerShareBasicAndDiluted,EffectiveIncomeTaxRateReconciliationAtFederalStatutoryIncomeTaxRate,GeneralAndAdministrativeExpense,IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,IncomeTaxExpenseBenefit,IncomeTaxesPaidNet,IncomeTaxReconciliationChangeInDeferredTaxAssetsValuationAllowance,IncomeTaxReconciliationDeductions,IncomeTaxReconciliationIncomeTaxExpenseBenefitAtFederalStatutoryIncomeTaxRate,IncomeTaxReconciliationNondeductibleExpense,IncomeTaxReconciliationOtherAdjustments,IncomeTaxReconciliationStateAndLocalIncomeTaxes,IncreaseDecreaseInAccountsPayable,IncreaseDecreaseInAccruedLiabilities,IncreaseDecreaseInDepositOtherAssets,IncreaseDecreaseInPrepaidExpense,InterestPaidNet,IssuanceOfStockAndWarrantsForServicesOrClaims,LeaseAndRentalExpense,Liabilities,LiabilitiesAndStockholdersEquity,LiabilitiesCurrent,NetCashProvidedByUsedInContinuingOperations,NetCashProvidedByUsedInFinancingActivities,NetCashProvidedByUsedInFinancingActivitiesContinuingOperations,NetCashProvidedByUsedInOperatingActivities,NetCashProvidedByUsedInOperatingActivitiesContinuingOperations,NetIncomeLossAvailableToCommonStockholdersBasic,OperatingExpenses,OperatingIncomeLoss,OperatingLeaseCost,OperatingLeaseExpense,OperatingLeasesFutureMinimumPaymentsDue,OperatingLeasesFutureMinimumPaymentsDueCurrent,OperatingLeasesFutureMinimumPaymentsDueInFourYears,OperatingLeasesFutureMinimumPaymentsDueInThreeYears,OperatingLeasesFutureMinimumPaymentsDueInTwoYears,OperatingLeasesRentExpenseNet,OperatingLossCarryforwards,OtherNoncashIncomeTaxExpense,OtherNonoperatingIncome,PrepaidExpenseCurrent,ProceedsFromContributedCapital,PropertyPlantAndEquipmentGross,PropertyPlantAndEquipmentNet,ResearchAndDevelopmentExpense,RetainageDeposit,RetainedEarningsAccumulatedDeficit,Revenues,StockholdersEquity,UnrecognizedTaxBenefits,WeightedAverageNumberOfDilutedSharesOutstanding,WeightedAverageNumberOfShareOutstandingBasicAndDiluted,WeightedAverageNumberOfSharesOutstandingBasic,EarningsPerShareBasic,EarningsPerShareDiluted
2018-11-30,2019-01-14,10-Q,BURZYNSKI RESEARCH INSTITUTE INC,BZYR,CIK0000724445,USD,98267.0,107395.0,,121381070.0,305891.0,,33665.0,33665.0,486.0,486.0,,0.001,200000000.0,131448444.0,131448444.0,131449.0,,0.0,,,,,195074.0,,,,0.0,0.21,117578.0,-439638.0,,,-972.0,92324.0,-92324.0,972.0,,,,,,,,,,205662.0,33665.0,,,,,,,-439638.0,439638.0,-439638.0,,,,,,,,,726053.0,,,33179.0,,,,322060.0,,-121684516.0,,-171997.0,,,131448444.0,,,
2019-02-28,2019-05-29,10-K,BURZYNSKI RESEARCH INSTITUTE INC,BZYR,CIK0000724445,USD,101065.0,107755.0,,121705250.0,1081051.0,1600000.0,22172.0,22271.0,708.0,708.0,202.0,0.001,200000000.0,131448444.0,131448444.0,131449.0,198151.0,,155548.0,,42603.0,,198151.0,,,,-0.01,0.42,491783.0,-1637717.0,,,16579.0,343921.0,-343921.0,,-16579.0,,59124.0,13067.0,,-6959.0,,,108337.0,208820.0,22172.0,208820.0,,477718.0,,-477516.0,,-1637717.0,1637717.0,-1637717.0,,,,,,,,69974.0,661756.0,,,21464.0,477718.0,,,1145934.0,,-122023347.0,0.0,-186648.0,0.0,,131448444.0,,,
2019-05-31,2019-07-15,10-Q,BURZYNSKI RESEARCH INSTITUTE INC,BZYR,CIK0000724445,USD,97198.0,115687.0,,122160186.0,316719.0,1600000.0,12859.0,12859.0,3110.0,3110.0,2402.0,0.001,200000000.0,131448444.0,131448444.0,131449.0,,0.0,,,,,200960.0,,,,0.0,0.21,135577.0,-468314.0,,,-2809.0,98346.0,-98346.0,2809.0,,,-3867.0,7932.0,,-11715.0,,,,212885.0,12859.0,,,138217.0,,-135815.0,,-468314.0,468314.0,-468314.0,,,,,,,,,661756.0,,,9749.0,138217.0,,,332737.0,,-122491661.0,0.0,-200026.0,,,131448444.0,,,
2019-08-31,2019-10-15,10-Q,BURZYNSKI RESEARCH INSTITUTE INC,BZYR,CIK0000724445,USD,92917.0,135640.0,,122587968.0,283715.0,,46093.0,46093.0,1108.0,1108.0,,0.001,200000000.0,131448444.0,131448444.0,131449.0,,0.0,,,,,197272.0,,,,0.0,0.21,110488.0,-410220.0,,,3688.0,86146.0,-86146.0,-3688.0,,,,,,,,,,228557.0,46093.0,,,,,,,-410220.0,410220.0,-410220.0,,,,,,,,,657572.0,,,44985.0,,,,299732.0,,-122901881.0,,-182464.0,,,131448444.0,,,
2019-11-30,2020-01-14,10-Q,BURZYNSKI RESEARCH INSTITUTE INC,BZYR,CIK0000724445,USD,94019.0,121921.0,,123058741.0,323556.0,,32556.0,32556.0,221.0,221.0,,0.001,200000000.0,131448444.0,131448444.0,131449.0,,0.0,,,,,197272.0,,,,0.0,0.21,131958.0,-471693.0,,,-194.0,99056.0,-99056.0,194.0,,,,,,,,,,215940.0,32556.0,,,,,,,-471693.0,471693.0,-471693.0,,,,,,,,,657572.0,0.0,,32335.0,,,,339735.0,,-123373574.0,,-183384.0,,,131448444.0,,,
2020-02-29,2020-05-28,10-K,BURZYNSKI RESEARCH INSTITUTE INC,BZYR,CIK0000724445,USD,60805.0,111635.0,,123373793.0,1138975.0,1600000.0,19853.0,19853.0,163.0,163.0,-545.0,0.001,200000000.0,131448444.0,131448444.0,131449.0,190998.0,0.0,148395.0,,42603.0,,190998.0,,,,-0.01,0.42,431779.0,-1634482.0,0.0,,-7153.0,343241.0,343241.0,,7153.0,,-40260.0,3880.0,,-1774.0,,,111828.0,172440.0,19853.0,172440.0,,529568.0,,-530113.0,,-1634482.0,1634982.0,-1634982.0,111828.0,69781.0,,,,,,69781.0,706643.0,0.0,500.0,19690.0,529568.0,,,1203203.0,,-123657829.0,0.0,-152587.0,0.0,,131448444.0,,,
2020-05-31,2020-07-15,10-Q,BURZYNSKI RESEARCH INSTITUTE INC,BZYR,CIK0000724445,USD,141866.0,112698.0,,123739088.0,281978.0,1600000.0,9302.0,9302.0,,0.0,-163.0,0.001,200000000.0,131448444.0,,131449.0,,0.0,,,,,210460.0,,,,0.0,0.21,118285.0,-457970.0,,,-19462.0,96174.0,-96174.0,19462.0,,,81061.0,1063.0,,-10388.0,,,,254564.0,9302.0,,,83317.0,,-83480.0,,-457970.0,457970.0,-457970.0,,,,,,,,,,0.0,,9302.0,83317.0,,,339685.0,,-124115799.0,0.0,-245262.0,,,131448444.0,,,
2020-08-31,2020-10-15,10-Q,BURZYNSKI RESEARCH INSTITUTE INC,BZYR,CIK0000724445,USD,86140.0,118208.0,,124111504.0,233399.0,,2962.0,2962.0,1711.0,1711.0,,0.001,200000000.0,131448444.0,131448444.0,131449.0,,0.0,,,,,201246.0,,,,0.0,0.21,79059.0,-328540.0,,,9214.0,68993.0,-68993.0,-9214.0,-9214.0,,,,,,,,,204348.0,2962.0,,,,,,,-328540.0,328540.0,-328540.0,,,,,,,,,,0.0,,1251.0,,,,249481.0,,-124444339.0,,-201386.0,,,131448444.0,,,
2020-11-30,2021-01-14,10-Q,BURZYNSKI RESEARCH INSTITUTE INC,BZYR,CIK0000724445,USD,21604.0,109570.0,,124448183.0,213462.0,1600000.0,2142.0,2142.0,1069.0,1069.0,,0.001,200000000.0,131448444.0,131448444.0,131449.0,,0.0,,,,,186051.0,,,,0.0,0.21,34194.0,-264325.0,,,15195.0,55508.0,-55508.0,-15195.0,,,,,,,,,,131174.0,2142.0,,,,,,,-264325.0,264325.0,-264325.0,,,,,,,,,,0.0,,1073.0,,,,230131.0,,-124708664.0,,-129032.0,,131448444.0,131448444.0,131448444.0,0.0,0.0
2021-02-28,2021-05-24,10-K,BURZYNSKI RESEARCH INSTITUTE INC,BZYR,CIK0000724445,USD,32512.0,14287.0,,124684535.0,916474.0,1600000.0,956.0,956.0,62.0,62.0,-101.0,0.001,200000000.0,131448444.0,131448444.0,131449.0,168582.0,0.0,125979.0,,42603.0,,168582.0,,,,-0.01,0.21,278820.0,-1203998.0,0.0,,-22416.0,252840.0,252840.0,,22416.0,,-28293.0,425.0,,-18796.0,,,,46799.0,956.0,46799.0,,394268.0,,-394369.0,,-1203998.0,1301771.0,-1301771.0,86779.0,70270.0,,,,,,,599899.0,0.0,97773.0,894.0,394268.0,,,1022951.0,,-124861827.0,0.0,-45843.0,0.0,,131448444.0,,,
2021-05-31,2021-07-15,10-Q,BURZYNSKI RESEARCH INSTITUTE INC,BZYR,CIK0000724445,USD,30441.0,32801.0,,124985428.0,215926.0,1600000.0,2009.0,2009.0,594.0,594.0,532.0,0.001,200000000.0,131448444.0,131448444.0,131449.0,,0.0,,,,,171814.0,,,,0.0,0.21,84337.0,-316283.0,,,3232.0,66419.0,-66419.0,-3232.0,,,-2071.0,18514.0,,521.0,,,,63242.0,2009.0,,,84967.0,,-84435.0,,-316283.0,316283.0,-316283.0,,,,,,,,,,0.0,,1415.0,84967.0,,,231946.0,,-125178110.0,0.0,-61233.0,,,131448444.0,,,
2021-08-31,2021-10-15,10-Q,BURZYNSKI RESEARCH INSTITUTE INC,BZYR,CIK0000724445,USD,19260.0,10411.0,,125243548.0,170403.0,,1840.0,1840.0,904.0,904.0,,0.001,200000000.0,131448444.0,131448444.0,131449.0,,0.0,,,,,168582.0,,,,0.0,,38301.0,-224718.0,,,7015.0,47191.0,-47191.0,,-7015.0,,,,,,,,,29671.0,1840.0,,,,,,,-224718.0,224718.0,-224718.0,,,,,,,,,,0.0,,936.0,,,,186417.0,,-125402828.0,,-27831.0,,,131448444.0,,,
2021-11-30,2022-01-14,10-Q,BURZYNSKI RESEARCH INSTITUTE INC,BZYR,CIK0000724445,USD,1389.0,,,125541505.0,197940.0,1600000.0,6739.0,6739.0,5765.0,5766.0,,0.001,200000000.0,131448444.0,131448444.0,131449.0,,0.0,,,,,157831.0,,,,,0.21,50664.0,-264776.0,,,6968.0,55603.0,-55603.0,-6968.0,,,,,,,,,,1389.0,6739.0,,,,,,,-264776.0,264776.0,-264776.0,,,,,,,,,,0.0,,974.0,,,,214112.0,,-125667604.0,,5350.0,,131448444.0,,131448444.0,0.0,0.0
