end,filed,form,Name,Ticker,CIK,Currency,AccountsAndOtherReceivablesNetCurrent,AccountsPayableCurrent,AccountsPayableInterestBearingInterestRate,AccountsReceivableNetCurrent,AdditionalPaidInCapital,AdditionalPaidInCapitalCommonStock,AdjustmentsToAdditionalPaidInCapitalStockIssuedIssuanceCosts,Assets,AssetsCurrent,Cash,CashAndCashEquivalentsAtCarryingValue,CashAndCashEquivalentsPeriodIncreaseDecrease,CashAndDueFromBanks,CashPeriodIncreaseDecrease,CommonStockParOrStatedValuePerShare,CommonStockSharesAuthorized,CommonStockSharesIssued,CommonStockSharesOutstanding,CommonStockValue,ConvertibleDebt,ConvertibleNotesPayableCurrent,CostOfRevenue,CurrentFederalTaxExpenseBenefit,CurrentStateAndLocalTaxExpenseBenefit,DebtConversionConvertedInstrumentAmount1,DebtInstrumentConvertibleConversionPrice1,DebtInstrumentDecreaseForgiveness,DebtInstrumentInterestRateStatedPercentage,DeferredFederalIncomeTaxExpenseBenefit,DeferredIncomeTaxExpenseBenefit,DeferredStateAndLocalIncomeTaxExpenseBenefit,DeferredTaxAssetsLiabilitiesNet,DeferredTaxAssetsNet,DeferredTaxAssetsOperatingLossCarryforwards,DeferredTaxAssetsValuationAllowance,DevelopmentStageEnterpriseDeficitAccumulatedDuringDevelopmentStage,DueFromOtherRelatedPartiesCurrent,DueToRelatedPartiesCurrent,EarningsPerShareBasicAndDiluted,FederalIncomeTaxExpenseBenefitContinuingOperations,GeneralAndAdministrativeExpense,IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,IncomeLossFromEquityMethodInvestments,IncomeTaxesPaid,IncomeTaxReconciliationChangeInDeferredTaxAssetsValuationAllowance,IncomeTaxReconciliationChangeInEnactedTaxRate,IncreaseDecreaseDueFromOfficersAndStockholders,IncreaseDecreaseInAccountsPayable,IncreaseDecreaseInAccountsPayableAndAccruedLiabilities,IncreaseDecreaseInAccountsReceivable,IncreaseDecreaseInAccruedInterestReceivableNet,IncreaseDecreaseInAccruedLiabilities,IncreaseDecreaseInInterestPayableNet,IncreaseDecreaseInNotesPayableCurrent,IncreaseDecreaseInOtherAccruedLiabilities,IncreaseDecreaseInOtherReceivables,IncreaseDecreaseInPrepaidExpense,InterestExpense,InterestExpenseRelatedParty,InterestIncomeExpenseNet,InterestPaid,InterestPayable,InterestPayableCurrent,InterestPayableCurrentAndNoncurrent,LegalFees,LiabilitiesAndStockholdersEquity,LiabilitiesCurrent,LitigationSettlementExpense,NetCashProvidedByUsedInFinancingActivities,NetCashProvidedByUsedInInvestingActivities,NetCashProvidedByUsedInOperatingActivities,NetIncomeLoss,NotesPayable,NotesPayableCurrent,NotesPayableRelatedPartiesClassifiedCurrent,NotesPayableRelatedPartiesCurrentAndNoncurrent,OperatingIncomeLoss,OperatingLossCarryforwards,OtherExpenses,OtherNonoperatingIncome,OtherReceivablesNetCurrent,PaymentsOfStockIssuanceCosts,PreferredStockParOrStatedValuePerShare,PreferredStockSharesAuthorized,PreferredStockSharesIssued,PreferredStockSharesOutstanding,PreferredStockValue,PrepaidExpenseCurrent,PrepaidExpenseCurrentAndNoncurrent,ProceedsFromContributedCapital,ProceedsFromIssuanceOfCommonStock,ProceedsFromNotesPayable,ProceedsFromRelatedPartyDebt,ProceedsFromRepaymentsOfNotesPayable,ProfitLoss,RepaymentsOfNotesPayable,ResultsOfOperationsIncomeTaxExpense,RetainedEarningsAccumulatedDeficit,Revenues,SaleOfStockNumberOfSharesIssuedInTransaction,SaleOfStockPricePerShare,SellingGeneralAndAdministrativeExpense,SharesIssued,StockholdersEquity,StockIssuedDuringPeriodSharesNewIssues,StockIssuedDuringPeriodSharesStockSplits,StockIssuedDuringPeriodValueIssuedForServices,WeightedAverageNumberOfDilutedSharesOutstanding,WeightedAverageNumberOfShareOutstandingBasicAndDiluted,WeightedAverageNumberOfSharesOutstandingBasic,CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalentsPeriodIncreaseDecreaseIncludingExchangeRateEffect,IncomeTaxReconciliationIncomeTaxExpenseBenefitAtFederalStatutoryIncomeTaxRate,IncreaseDecreaseInAccountsReceivableRelatedParties
2019-09-30,2020-01-14,10-K,YUMMIES INC,YUMM,CIK0001073748,USD,,1230.0,,,135692.0,,,20831.0,20831.0,,20831.0,20831.0,,,0.0001,450000000.0,448977607.0,448977607.0,47152.0,,,,57461.0,,,0.025,3220.0,,,,,,,164175.0,,,,932.0,0.0,,,-38324.0,,,-57461.0,57461.0,-10601.0,932.0,,,,,,,,,-4000.0,-16.0,,-16.0,,,,,,20831.0,2162.0,,53925.0,,-33094.0,-38324.0,0.0,932.0,2162.0,,-38340.0,,,,,,0.0001,50000000.0,0.0,0.0,,,,,42392.0,,,932.0,-38324.0,-932.0,,-164175.0,3619.0,,,41959.0,,18669.0,,,,,289959966.0,,,,
2019-12-31,2020-02-18,10-Q,YUMMIES INC,YUMM,CIK0001073748,USD,,2303.0,,3619.0,140201.0,,,11540.0,11540.0,,7921.0,-12910.0,,,0.0001,450000000.0,445977607.0,445977607.0,42643.0,,,,-60792.0,0.0,,,,,,60762.0,,,,173607.0,,,,,,,,-9432.0,,,-60792.0,-60792.0,,141.0,,3619.0,,,,,,3619.0,,,,,,,,,,11540.0,2303.0,,,,-12910.0,-9432.0,,,,,9432.0,,,,,,0.0001,50000000.0,0.0,0.0,,,,,,,,,-9432.0,,,-173607.0,3637.0,,,13069.0,,9237.0,,,,,445997607.0,,,,
2020-03-31,2020-05-15,10-Q,YUMMIES INC,YUMM,CIK0001073748,USD,12726.0,12.0,,,157947.0,,,14065.0,14065.0,,1339.0,,,,0.0001,450000000.0,449505500.0,449505500.0,44728.0,,,,,,,,,,,,,,,188622.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14065.0,12.0,,,,,,,,,,-14846.0,,,,,,0.0001,50000000.0,0.0,0.0,,,,,,,,,-14846.0,,,-188622.0,0.0,,0.0001,14846.0,,14053.0,,,,,447751299.0,,,,
2020-06-30,2020-08-14,10-Q,YUMMIES INC,YUMM,CIK0001073748,USD,12726.0,12.0,,,157947.0,,,12745.0,12745.0,,19.0,,,,0.0001,450000000.0,449505500.0,449505500.0,44728.0,,,,,,,,,,,,,,,189942.0,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,12745.0,12.0,,,,,-1470.0,,,,,-1472.0,,,2.0,,,0.0001,50000000.0,0.0,0.0,,,,,,,,,-1470.0,,,-189942.0,,,,1472.0,,12733.0,,,,,449595500.0,,,,
2020-09-30,2020-12-30,10-K,YUMMIES INC,YUMM,CIK0001073748,USD,,,,,158424.0,,,13329.0,13329.0,,115.0,-20716.0,115.0,,0.0001,450000000.0,448977607.0,448977607.0,47217.0,,,3700.0,40386.0,,,,3220.0,,,,,,,192312.0,,,7214.0,,0.0,,,-28137.0,,,-40386.0,40386.0,-22732.0,-2162.0,,,,,,,,13214.0,,,,101.0,,,,,,13329.0,,,22797.0,,-43513.0,-28137.0,,,,,-28238.0,,,,6000.0,,0.0001,50000000.0,0.0,0.0,,,,,65.0,,,,-28137.0,,,-192312.0,3700.0,,,31938.0,,13329.0,,,,,447741554.0,,-20716.0,40386.0,
2020-12-31,2021-02-17,10-Q,YUMMIES INC,YUMM,CIK0001073748,USD,,,,,162424.0,,,13993.0,13993.0,,683.0,568.0,683.0,568.0,0.0001,450000000.0,449627500.0,449627500.0,47217.0,,,,,,,,,,,,,,0.0,195648.0,,,7310.0,,,,,-3336.0,,,,,-4000.0,,,,96.0,,,,,,,,,96.0,,,,,,13993.0,,,4000.0,,-3432.0,-3336.0,,,,,-3432.0,,,,6000.0,,0.0001,50000000.0,0.0,0.0,0.0,,,,,,,,-3336.0,,,-195648.0,0.0,,,3432.0,,13993.0,,,,,449627500.0,,,,96.0
2021-03-31,2021-05-17,10-Q,YUMMIES INC,YUMM,CIK0001073748,USD,,,,,177424.0,,,13990.0,13990.0,,679.0,,679.0,,0.0001,450000000.0,449626500.0,449626500.0,47217.0,,,,,,,,,,,,,,0.0,210651.0,,,7311.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13990.0,,,,,,,,,,,-14873.0,,,,6000.0,,0.0001,50000000.0,0.0,0.0,,,,,,,,,-14873.0,,,-210651.0,,,,14873.0,,13990.0,,,,,449626500.0,,,,
2021-06-30,2021-08-10,10-Q,YUMMIES INC,YUMM,CIK0001073748,USD,,,,,207055.0,,,18973.0,18973.0,,463.0,,,,0.0001,450000000.0,449626500.0,449626500.0,47217.0,,,,,,,,,,,,,,0.0,235651.0,,,7311.0,,,,,,24648.0,,,,,,,,,,,,,,,,,,,,,,,18973.0,,,,,,-24648.0,,,,,-24648.0,,,,11199.0,,0.0001,50000000.0,0.0,0.0,,,,,,,,,,,,-235299.0,,,,24648.0,,18973.0,,,,,444740245.0,,,,
2021-09-30,2021-12-23,10-K,YUMMIES INC,YUMM,CIK0001073748,USD,,,,,224950.0,,,18894.0,18894.0,,579.0,,,,0.0001,450000000.0,449627500.0,449627500.0,47217.0,,,0.0,,,,,,,,,,,,192312.0,,,7116.0,,0.0,,,-60961.0,60961.0,,,,-66526.0,,,,,,,,,5101.0,,,,,,,,,,18894.0,,,66526.0,,-66062.0,-60961.0,,,,,-60961.0,,,,11119.0,,0.0001,50000000.0,0.0,0.0,,,,,,,,,,,,-253273.0,,,,60961.0,,18894.0,,,,,337220625.0,,464.0,,
2021-12-31,2022-02-11,10-Q,YUMMIES INC,YUMM,CIK0001073748,USD,,,,,235816.0,,,18622.0,18622.0,,307.0,,,-272.0,0.0001,450000000.0,449627500.0,449627500.0,47217.0,,,,,,,,,,,,,,0.0,264411.0,,,7116.0,,,,,-11138.0,11138.0,,,,-10866.0,,,,,,,,,,,,,,,,,,,18622.0,,,10866.0,,-11138.0,-11138.0,,,,,-11138.0,,,,11199.0,,0.0001,50000000.0,0.0,0.0,,,,,,,,,,,,-264411.0,,,,11138.0,,18622.0,,,,,449627500.0,,,,
