end,filed,form,Name,Ticker,CIK,Currency,AccountsPayableCurrentAndNoncurrent,AdditionalPaidInCapitalCommonStock,AssetManagementCosts,Assets,AssetsHeldInTrust,AssetsUnderManagementCarryingAmount,Cash,CashAndCashEquivalentsAtCarryingValue,CashAndCashEquivalentsPeriodIncreaseDecrease,CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalents,CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalentsPeriodIncreaseDecreaseExcludingExchangeRateEffect,CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalentsPeriodIncreaseDecreaseIncludingExchangeRateEffect,CashEquivalentsAtCarryingValue,CashPeriodIncreaseDecrease,CashSegregatedUnderCommodityExchangeActRegulation,CommissionsPayableToBrokerDealersAndClearingOrganizations,DepreciationAmortizationAndAccretionNet,DerivativeAssetFairValueGrossLiability,DerivativeCollateralObligationToReturnCash,DerivativeCollateralObligationToReturnSecurities,DerivativeCollateralRightToReclaimCash,DerivativeCollateralRightToReclaimSecurities,DerivativeFairValueOfDerivativeAsset,DerivativeFairValueOfDerivativeAssetAmountNotOffsetAgainstCollateral,DerivativeFairValueOfDerivativeAssetAmountOffsetAgainstCollateral,DerivativeFairValueOfDerivativeLiability,DerivativeFairValueOfDerivativeLiabilityAmountNotOffsetAgainstCollateral,DerivativeFairValueOfDerivativeLiabilityAmountOffsetAgainstCollateral,DerivativeLiabilityFairValueGrossAsset,DistributedEarnings,DividendIncomeOperating,DividendsReceivable,DueFromAffiliates,DueToRelatedPartiesCurrentAndNoncurrent,EarningsPerShareBasic,FinancialInstrumentsOwnedAtFairValue,FinancialInstrumentsOwnedDerivativesAndOtherContractualAgreementsAtFairValue,FinancialInstrumentsOwnedUSGovernmentAndAgencyObligationsAtFairValue,FloorBrokerageExchangeAndClearanceFees,GainLossOnInvestments,GainLossOnSaleOfDebtInvestments,GainLossOnSaleOfDerivatives,GainLossOnSaleOfInvestments,GainLossOnSaleOfSecuritiesNet,GeneralPartnersCapitalAccount,GeneralPartnersCapitalAccountUnitsOutstanding,GoodFaithAndMarginDepositsWithBrokerDealers,IncreaseDecreaseInAccountsPayable,IncreaseDecreaseInAccountsPayableRelatedParties,IncreaseDecreaseInAccountsReceivable,IncreaseDecreaseInAccruedLiabilities,IncreaseDecreaseInBrokerageReceivables,IncreaseDecreaseInDividendsReceivable,IncreaseDecreaseInOperatingCapital,IncreaseDecreaseInOtherAccountsPayable,IncreaseDecreaseInPayablesToBrokerDealers,InterestAndDividendIncomeOperating,InterestExpense,InterestIncomeExpenseNet,InterestIncomeOperating,InterestPaid,InterestPaidNet,InvestmentCompanyContractualFeeWaived,InvestmentCompanyExpenseRatioIncludingVoluntaryFeeWaiver,InvestmentCompanyGainLossOnInvestmentPerShare,InvestmentCompanyGeneralPartnerAdvisoryService,InvestmentCompanyInvestmentIncomeLossFromOperationsPerShare,InvestmentCompanyInvestmentIncomeLossPerShare,InvestmentCompanyInvestmentIncomeLossRatio,InvestmentCompanyRealizedAndUnrealizedGainLossOnInvestmentAndForeignCurrency,InvestmentCompanyTaxReturnOfCapitalDistributionPerShare,InvestmentCompanyTaxReturnOfCapitalDistributionPerShare,InvestmentCompanyTotalReturn,InvestmentIncomeNet,InvestmentOwnedAtCost,InvestmentOwnedAtFairValue,InvestmentOwnedPercentOfNetAssets,InvestmentOwnedUnderlyingFaceAmountAtMarketValue,InvestmentOwnedUnrecognizedUnrealizedAppreciation,InvestmentOwnedUnrecognizedUnrealizedAppreciationDepreciationNet,InvestmentOwnedUnrecognizedUnrealizedDepreciation,InvestmentsInAndAdvancesToAffiliatesAtFairValue,Liabilities,LiabilitiesAndStockholdersEquity,LimitedPartnersCapitalAccount,LimitedPartnersCapitalAccountUnitsOutstanding,ManagementFeePayable,MarketableSecuritiesRealizedGainLoss,MarketableSecuritiesUnrealizedGainLoss,MinorityInterestDecreaseFromRedemptions,NetAssetValuePerShare,NetCashProvidedByUsedInFinancingActivities,NetCashProvidedByUsedInFinancingActivitiesContinuingOperations,NetCashProvidedByUsedInOperatingActivities,NetCashProvidedByUsedInOperatingActivitiesContinuingOperations,NetIncomeLoss,NetIncomeLossAttributableToNoncontrollingInterest,NetIncomeLossAttributableToRedeemableNoncontrollingInterest,OperatingExpenses,OperatingIncomeLoss,OtherNonrecurringExpense,PartnersCapitalAccountContributions,PartnersCapitalAccountReturnOfCapital,PartnersCapitalDistributionAmountPerShare,PayablesToBrokerDealersAndClearingOrganizations,PaymentsForProceedsFromInvestments,PaymentsForPurchaseOfSecuritiesOperatingActivities,PaymentsForRepurchaseOfCommonStock,PaymentsOfDividends,PaymentsToAcquireInvestments,PaymentsToAcquireMarketableSecurities,PaymentsToMinorityShareholders,ProceedsFromIssuanceOfCommonStock,ProceedsFromSaleAndMaturityOfMarketableSecurities,ProceedsFromSaleMaturityAndCollectionsOfInvestments,ProceedsFromSaleOfSecuritiesOperatingActivities,ProfessionalFees,ProfitLoss,RealizedGainLossOnMarketableSecuritiesCostMethodInvestmentsAndOtherInvestments,RealizedInvestmentGainsLosses,ReceivablesFromBrokersDealersAndClearingOrganizations,ReceivablesFromClearingOrganizations,RestrictedCashAndCashEquivalents,RestrictedCashAndInvestments,RestrictedInvestments,RestrictedInvestmentsPercentOfNetAssets,RetainedEarningsAccumulatedDeficit,SharesIssued,SharesOutstanding,StockholdersEquity,StockholdersEquityPeriodIncreaseDecrease,StockIssuedDuringPeriodSharesNewIssues,StockIssuedDuringPeriodSharesPeriodIncreaseDecrease,StockIssuedDuringPeriodValueNewIssues,StockIssuedDuringPeriodValueOther,StockIssuedDuringPeriodValuePurchaseOfAssets,StockRedeemedOrCalledDuringPeriodShares,StockRedeemedOrCalledDuringPeriodValue,TaxBasisOfInvestmentsUnrealizedAppreciationDepreciationNet,TreasuryStockValue,UnrealizedGainLossOnDerivatives,UnrealizedGainLossOnInvestments,UnrealizedGainLossOnMarketableSecuritiesCostMethodInvestmentsAndOtherInvestments,UnrealizedGainLossOnSecurities,UnrealizedGainOnSecurities,UnrealizedLossOnSecurities,UnrecognizedTaxBenefits,DueFromCorrespondentBrokers,MarketableSecuritiesRealizedGainLossExcludingOtherThanTemporaryImpairments,MarketableSecuritiesUnrealizedGainLossExcludingOtherThanTemporaryImpairments
2018-03-31,2018-05-08,10-Q,INVESCO DB G10 CURRENCY HARVEST FUND,DBV,CIK0001354730,USD,,,,28461715.0,,,0.0,,,,,,0.0,,,3851.0,-111253.0,,,,,,,,,,,,,0.0,5533.0,,1663.0,18188.0,,28559040.0,,26862157.0,1604.0,-173777.0,,,-703863.0,,948.0,40.0,,,-5590.0,,,,-278.0,,,-1148.0,116786.0,93.0,,111253.0,93.0,93.0,797.0,0.0076,0.01,59598.0,0.05,0.04,0.0071,-173777.0,,,0.0021,,28403803.0,28395597.0,0.9985,,285115.0,163443.0,121672.0,1533440.0,22039.0,28461715.0,28438728.0,1200000.0,,-797.0,-6430.0,,23.7,-9317490.0,-9317490.0,9317490.0,9317490.0,-117489.0,,,61295.0,56288.0,,,,,,,32737168.0,9286753.0,,2963412.0,,,,,3585714.0,41935846.0,,,-704660.0,-704660.0,,64455.0,,,,,,,,28439676.0,-9404242.0,,,,,,,9286753.0,,,,537313.0,530883.0,,,,,,,
2018-06-30,2018-08-08,10-Q,INVESCO DB G10 CURRENCY HARVEST FUND,DBV,CIK0001354730,USD,,,,24443363.0,,,16360.0,,,,,,0.0,,,5000.0,,,,,,,,,,,,,,0.0,6405.0,,2065.0,14838.0,,24237843.0,,22957425.0,3336.0,672700.0,,,1014728.0,,972.0,40.0,,,,,,,,,,,107344.0,31.0,-31.0,100939.0,,,701.0,0.0079,0.55,49152.0,0.6,0.05,0.0085,672700.0,,,0.0253,,24423820.0,24424938.0,1.0049,,190169.0,-187095.0,377264.0,1467513.0,137553.0,24443363.0,24304838.0,1000000.0,,-814.0,9324.0,,24.3,,,,,728226.0,,,52519.0,55526.0,0.0,,,,,,,,,,,,,,,,,,1013914.0,1013914.0,,,,,,,,,,24305810.0,-4133866.0,,,,,,,4862092.0,,,,-341214.0,-341214.0,,,,,,,
2018-09-30,2018-11-07,10-Q,INVESCO DB G10 CURRENCY HARVEST FUND,DBV,CIK0001354730,USD,,,,24054971.0,,,119922.0,,,119922.0,,,0.0,,,5000.0,,,,,,,,,,,,,,0.0,6111.0,,1565.0,14563.0,,23924100.0,,22874913.0,2035.0,-347285.0,,,-696155.0,,961.0,40.0,,,,,,,,,,,124390.0,357.0,,118279.0,,,609.0,0.0078,-0.35,45724.0,-0.27,0.08,0.0126,-347285.0,,,-0.0111,,23761207.0,23755584.0,0.9884,,257387.0,168516.0,88871.0,880671.0,19563.0,24054971.0,24034447.0,1000000.0,,,-6741.0,,24.03,,,,,-270402.0,,,48116.0,76883.0,0.0,,,,,,,,,,,,,,,,,,-696155.0,-696155.0,,177900.0,,,,,,,,24035408.0,-270402.0,,,,,,,,,,,355611.0,348870.0,,,,,,,
2018-12-31,2019-02-28,10-K,INVESCO DB G10 CURRENCY HARVEST FUND,DBV,CIK0001354730,USD,,,,23913239.0,,,0.0,,,0.0,,,0.0,,,4997.0,-451399.0,,,,,,,,,,,,,,28949.0,5579.0,,14983.0,,23269487.0,,20955757.0,9011.0,,,,90103.0,,941.0,40.0,,,-8795.0,,,,3638.0,,,-2.0,480972.0,821.0,,452023.0,,821.0,3060.0,0.0078,-0.1,200430.0,0.15,0.25,0.0102,-173161.0,-0.28,,0.0061,,23906786.0,23907660.0,1.0165,,,-638173.0,638173.0,2951903.0,393329.0,23913239.0,23518969.0,1000000.0,,-1611.0,2650.0,,23.52,-14179583.0,,14179583.0,,100609.0,,,210262.0,273770.0,,,275771.0,,,,61453156.0,14148846.0,275771.0,13071421.0,,,,,12275260.0,76906646.0,,,88492.0,88492.0,,,,,,,,,,23519910.0,-14324008.0,,,,,,,14148846.0,,,,-261653.0,-261653.0,,,,,,,
2019-03-31,2019-05-09,10-Q,INVESCO DB G10 CURRENCY HARVEST FUND,DBV,CIK0001354730,USD,,,,24515408.0,,,11885.0,,,,,,0.0,11885.0,,5000.0,-94413.0,,,,,,,,,,,,,0.0,46742.0,3261.0,,15313.0,,24324962.0,,22865913.0,2190.0,,,,303714.0,,980.0,40.0,,,330.0,,,,-2318.0,,,3.0,141299.0,120.0,,94557.0,,120.0,3699.0,0.0073,0.87,45032.0,0.97,0.1,0.0163,877529.0,,,0.0412,,24388446.0,24390359.0,0.9957,,78050.0,-65397.0,143447.0,1524446.0,20313.0,24515408.0,24494115.0,1000000.0,,,1039.0,,24.49,-275771.0,,287656.0,,975185.0,,,47342.0,97656.0,0.0,,,,,,18814704.0,,,18678442.0,,,,,20105899.0,17000000.0,,,303714.0,303714.0,,109903.0,,,,,,,,24495095.0,975185.0,,,,,,,,,,,573815.0,573815.0,,,,,,,
2019-06-30,2019-08-08,10-Q,INVESCO DB G10 CURRENCY HARVEST FUND,DBV,CIK0001354730,USD,,,,24330178.0,,,22650.0,,,,,,0.0,,,5002.0,,,,,,,,,,,,,,0.0,6720.0,1592.0,,14782.0,,24404241.0,,22982351.0,2298.0,,,,,,972.0,40.0,,,,,,,,,,,147586.0,182.0,,140866.0,,,532.0,0.0078,-0.28,45565.0,-0.18,0.1,0.0165,-284774.0,,,-0.0073,,24279349.0,24283262.0,0.9989,,407246.0,120979.0,286267.0,1300911.0,19784.0,24330178.0,24309422.0,1000000.0,,90.0,2000.0,,24.31,,,,,-184701.0,,,48045.0,100073.0,0.0,,,,,,,,,,,,,,,,,,-473150.0,-473150.0,,22674.0,,,,,,,,24310394.0,-184701.0,,,,,,,,,,,188376.0,188376.0,,,,,,,
2019-09-30,2019-11-08,10-Q,INVESCO DB G10 CURRENCY HARVEST FUND,DBV,CIK0001354730,USD,,,,24510364.0,,,0.0,,,0.0,,,0.0,,,5001.0,,,,,,,,,,,,,,0.0,11090.0,1462.0,,14868.0,,24513610.0,,23471306.0,2058.0,,,,109305.0,,980.0,40.0,,,,,,,,,,,132882.0,212.0,,121792.0,,,962.0,0.0077,0.1,45971.0,0.18,0.08,0.014,94498.0,,,0.0074,,24403525.0,24408676.0,0.9967,,212934.0,104934.0,108000.0,937370.0,19869.0,24510364.0,24489515.0,1000000.0,,,1238.0,,24.49,,,,,180101.0,,,48241.0,85603.0,0.0,,,,,,,,,,,,,,,,,,109305.0,109305.0,,100226.0,,,,,,,,24490495.0,180101.0,,,,,,,,,,,-14807.0,-14807.0,,,,,,,
2019-12-31,2020-02-28,10-K,INVESCO DB G10 CURRENCY HARVEST FUND,DBV,CIK0001354730,USD,,,,24366205.0,,,0.0,,,,,,0.0,,,4984.0,-455827.0,,,,,,,,,,,,,,72291.0,4238.0,,15092.0,,24470399.0,,17974012.0,8373.0,,,,47562.0,,974.0,40.0,,,109.0,,,,-1341.0,,,-13.0,528638.0,744.0,,456347.0,,744.0,6251.0,0.0076,0.83,182751.0,1.17,0.34,0.0141,827712.0,-0.34,-0.34,0.0499,,24327638.0,24330410.0,0.9994,,384629.0,139989.0,244640.0,6356398.0,20076.0,24366205.0,24345155.0,1000000.0,,90.0,1898.0,,24.35,-620285.0,,620285.0,,1170733.0,,,191868.0,343021.0,,,344514.0,,,,64559962.0,,344514.0,,,,,,,67999522.0,,,47652.0,47652.0,,31557.0,,,,,,,,24346129.0,826219.0,,,,,,,,,,,780060.0,780060.0,,,,,,47652.0,780060.0
2020-03-31,2020-05-08,10-Q,INVESCO DB G10 CURRENCY HARVEST FUND,DBV,CIK0001354730,USD,,,,18018204.0,,,0.0,,,,0.0,,0.0,,,5003.0,-58600.0,,,,,,,,,,,,,0.0,22426.0,4413.0,,10752.0,,17766709.0,,12998662.0,1901.0,,,,-1220796.0,,900.0,40.0,,,-4340.0,,,,175.0,,,19.0,81096.0,149.0,,58670.0,,149.0,3026.0,0.0073,-1.9,40514.0,-1.85,0.05,0.0077,-1480617.0,,,-0.076,,17883769.0,17913501.0,0.9951,,226784.0,-146792.0,373576.0,4914839.0,15755.0,18018204.0,18001549.0,800000.0,,,26960.0,,22.5,-4904621.0,,4904621.0,,-1439059.0,,,42564.0,41558.0,0.0,,,,,,12939090.0,4904621.0,,,,,,,,18000000.0,,,-1220796.0,-1220796.0,,100290.0,,,,,,,,18002449.0,-6343680.0,,,,,,,4904621.0,,,,-259821.0,-259821.0,,,,,,,
2020-06-30,2020-08-07,10-Q,INVESCO DB G10 CURRENCY HARVEST FUND,DBV,CIK0001354730,USD,,,,14255926.0,,,36064.0,,,,,,0.0,,,5000.0,,,,,,,,,,,,,,0.0,2410.0,785.0,,7259.0,,14227350.0,,6998274.0,1515.0,,,,,,950.0,40.0,,,,,,,,,,,32583.0,120.0,,30173.0,,,3012.0,0.0071,1.23,29436.0,1.24,0.01,0.0012,801323.0,,,0.0551,,14159994.0,14160041.0,0.9941,,72012.0,67309.0,4703.0,7161767.0,12259.0,14255926.0,14242717.0,600000.0,,1579.0,-29685.0,,23.74,,,,,805847.0,,,31071.0,4524.0,0.0,,,,,,,,,,,,,,,,,,616907.0,616907.0,,59036.0,,,,,,,,14243667.0,-3758782.0,,,,,,,4564629.0,,,,184416.0,184416.0,,,,,,,
2020-09-30,2020-11-06,10-Q,INVESCO DB G10 CURRENCY HARVEST FUND,DBV,CIK0001354730,USD,,,,14034055.0,,,0.0,,,,,,0.0,,,5000.0,,,,,,,,,,,,,,0.0,503.0,63.0,,7769.0,,13810546.0,,6998820.0,1248.0,,,,,,935.0,40.0,,,,,,,,,,,2667.0,25.0,,2164.0,,,3062.0,0.007,-0.33,26754.0,-0.37,-0.04,-0.0063,-200083.0,,,-0.0156,,13946265.0,13946452.0,0.9947,,108565.0,-135906.0,244471.0,6947632.0,12769.0,14034055.0,14020351.0,600000.0,,62.0,140.0,,23.37,,,,,-222381.0,,,28027.0,-22298.0,0.0,,,,,,,,,,,,,,,,,,2992.0,2992.0,,87540.0,,,,,,,,14021286.0,-222381.0,,,,,,,,,,,-203075.0,-203075.0,,,,,,,
2020-12-31,2021-02-26,10-K,INVESCO DB G10 CURRENCY HARVEST FUND,DBV,CIK0001354730,USD,,,,12039398.0,,,57582.0,,,,57582.0,,0.0,,,5000.0,-92495.0,,,,,,,,,,,,,,25575.0,96.0,,7616.0,,11965482.0,,6998350.0,5908.0,,,,,,962.0,40.0,,,-7476.0,,,,-4142.0,,,16.0,118153.0,315.0,,92578.0,,315.0,10798.0,0.0072,-0.3,122646.0,-0.3,0.0,0.0,-441764.0,,,-0.0123,,11968167.0,11968527.0,0.9952,,156258.0,-3045.0,159303.0,4970177.0,12616.0,12039398.0,12025820.0,500000.0,,1766.0,-2412.0,,24.05,-11877665.0,,11935247.0,,-441682.0,,,128869.0,82.0,,,,,,,33932014.0,11877665.0,,,,,,,,44999525.0,,,-296318.0,-296318.0,,13193.0,,,,,,,,12026782.0,-12319347.0,,,,,,,11877665.0,,,,-145446.0,-145446.0,,,,,,-296318.0,-145446.0
2021-03-31,2021-05-07,10-Q,INVESCO DB G10 CURRENCY HARVEST FUND,DBV,CIK0001354730,USD,,,,27767021.0,,,0.0,,,,-57582.0,,0.0,,,5001.0,-1311.0,,,,,,,,,,,,,0.0,562.0,303.0,,11372.0,,27716254.0,,13998617.0,1883.0,,,,,,1009.0,40.0,,,3756.0,,,,207.0,,,1.0,1873.0,17.0,,1311.0,,17.0,1429.0,0.0076,1.22,26983.0,1.18,-0.04,-0.0071,626285.0,,,0.0491,,27663783.0,27664805.0,0.9969,,541759.0,51449.0,490310.0,13666188.0,16373.0,27767021.0,27749639.0,1100000.0,,,662.0,,25.23,15123162.0,,-15180744.0,,600704.0,,,28883.0,-25581.0,0.0,,,,,,11998294.0,,,,,,15123162.0,,,5000000.0,,,571129.0,571129.0,,101913.0,,,,,,,,27750648.0,15723866.0,,,15123162.0,,,,,,,,55156.0,55156.0,,,,,,,
2021-06-30,2021-08-06,10-Q,INVESCO DB G10 CURRENCY HARVEST FUND,DBV,CIK0001354730,USD,,,,25050389.0,,,0.0,,,,,,0.0,,,5000.0,,,,,,,,,,,,,,0.0,898.0,237.0,,15455.0,,24881273.0,,13998873.0,2545.0,,,,,,1001.0,40.0,,,,,,,,,,,2268.0,29.0,,1370.0,,,100.0,0.0079,-0.15,50302.0,-0.2,-0.05,-0.0075,-146300.0,,,-0.0079,,24995299.0,24995207.0,0.9986,,586785.0,-113934.0,700719.0,10996334.0,20455.0,25050389.0,25028933.0,1000000.0,,,-1114.0,,25.03,,,,,-196808.0,,,52876.0,-50508.0,0.0,,,,,,,,,,,,,,,,,,,20197.0,,54945.0,,,,,,,,25029934.0,-2720714.0,,,,,,,2523906.0,,,,-166497.0,-166497.0,,,,,,,
2021-09-30,2021-11-05,10-Q,INVESCO DB G10 CURRENCY HARVEST FUND,DBV,CIK0001354730,USD,,,,27436700.0,,,0.0,,,,,,0.0,,,2338.0,,,,,,,,,,,,,,0.0,855.0,357.0,,16367.0,,27470523.0,,6999407.0,115.0,,,,,,997.0,40.0,,,,,,,,,,,2079.0,49.0,,1224.0,,,0.0,0.0075,-0.07,47851.0,-0.11,-0.04,-0.0072,-54765.0,,,-0.0044,,27347765.0,27347874.0,0.9974,,471857.0,122649.0,349208.0,20348467.0,18705.0,27436700.0,27416998.0,1100000.0,,,201.0,,24.92,,,,,-100701.0,,,48015.0,-45936.0,0.0,,,,,,,,,,,,,,,,,,-291549.0,-291549.0,,88469.0,,,,,,,,27417995.0,2388061.0,,,2488762.0,,,,,,,,236784.0,236784.0,,,,,,,
2021-12-31,2022-02-25,10-K,INVESCO DB G10 CURRENCY HARVEST FUND,DBV,CIK0001354730,USD,,,,27409587.0,,,21065.0,,,,-36517.0,,0.0,,,5000.0,-4945.0,,,,,,,,,,,,,,3564.0,416.0,,17216.0,,27436629.0,,7999099.0,9482.0,,,,,,994.0,40.0,,,9600.0,,,25050.0,320.0,,,,8510.0,155.0,,4946.0,,155.0,1529.0,0.0078,0.98,177537.0,0.79,-0.19,-0.0075,388179.0,,,0.0328,,27363082.0,27363056.0,1.0014,,256515.0,73573.0,182942.0,19363957.0,83744.0,27409587.0,27324849.0,1100000.0,,2.0,-386.0,,24.84,15088017.0,,-15124534.0,,211044.0,,,187174.0,-177135.0,,,,,,,20996188.0,2523907.0,,,,,17611924.0,,,20000000.0,,,,311947.0,,,,,,,,,,27325843.0,15299061.0,,,17611924.0,,,,2523907.0,,,,76232.0,,,,,,25050.0,311947.0,76232.0
