end,filed,form,Name,Ticker,CIK,Currency,AccountsPayableOtherCurrent,AccruedProfessionalFeesCurrent,AccumulatedOtherComprehensiveIncomeLossForeignCurrencyTranslationAdjustmentNetOfTax,Assets,AssetsCurrent,Cash,Cash,CashAndCashEquivalentsAtCarryingValue,CashAndCashEquivalentsPeriodIncreaseDecrease,CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalents,CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalentsPeriodIncreaseDecreaseIncludingExchangeRateEffect,CommonStockDividendsPerShareCashPaid,CommonStockDividendsPerShareDeclared,CommonStockNoParValue,CommonStockSharesAuthorized,CommonStockSharesIssued,CommonStockSharesOutstanding,CommonStockValue,ComprehensiveIncomeNetOfTax,CurrentFederalTaxExpenseBenefit,DividendsCommonStockCash,DividendsPayableAmountPerShare,DividendsPayableCurrentAndNoncurrent,DueFromBanks,DueToRelatedPartiesCurrent,EarningsPerShareBasicAndDiluted,EffectOfExchangeRateOnCash,EffectOfExchangeRateOnCashAndCashEquivalents,EffectOfExchangeRateOnCashCashEquivalentsRestrictedCashAndRestrictedCashEquivalents,ForeignCurrencyTransactionGainLossUnrealized,IncomeTaxExpenseBenefit,IncreaseDecreaseInAccruedInterestReceivableNet,IncreaseDecreaseInDueToRelatedPartiesCurrent,IncreaseDecreaseInInterestPayableNet,InterestBearingDepositLiabilitiesForeign,InterestBearingDepositsInBanks,InterestBearingDepositsInBanks,InterestExpense,InterestPaid,InterestPaidNet,InterestPayableCurrent,InterestPayableCurrentAndNoncurrent,InterestReceivable,InterestReceivableCurrent,InvestmentIncomeInterest,InvestmentInterestRate,Liabilities,LiabilitiesAndStockholdersEquity,LiabilitiesCurrent,NetCashProvidedByUsedInFinancingActivities,NetCashProvidedByUsedInFinancingActivitiesContinuingOperations,NetCashProvidedByUsedInOperatingActivities,NetCashProvidedByUsedInOperatingActivitiesContinuingOperations,NetIncomeLoss,NoninterestBearingDepositLiabilities,NoninterestBearingDepositLiabilitiesForeign,OperatingExpenses,OtherAccruedLiabilitiesCurrent,OtherComprehensiveIncomeForeignCurrencyTransactionAndTranslationAdjustmentBeforeTaxPortionAttributableToParent,OtherComprehensiveIncomeForeignCurrencyTransactionAndTranslationAdjustmentNetOfTaxPeriodIncreaseDecrease,OtherComprehensiveIncomeLossForeignCurrencyTransactionAndTranslationAdjustmentNetOfTax,PaymentsForOperatingActivities,PaymentsForOperatingActivities,PaymentsForRepurchaseOfEquity,PaymentsForRepurchaseOfRedeemablePreferredStock,PaymentsForRepurchaseOfRedeemablePreferredStock,PaymentsOfCapitalDistribution,PaymentsOfDividends,PreferredStockRedemptionAmount,ProceedsFromIssuanceOfRedeemablePreferredStock,ProceedsFromIssuanceOfRedeemablePreferredStock,ProceedsFromOperatingActivities,ReclassificationsOfTemporaryToPermanentEquity,RedeemableNoncontrollingInterestEquityCarryingAmount,RetainedEarningsAccumulatedDeficit,Revenues,SponsorFees,StockholdersEquityIncludingPortionAttributableToNoncontrollingInterest,StockholdersEquityNoteSubscriptionsReceivable,StockIssuedDuringPeriodSharesIssuedForCash,StockIssuedDuringPeriodValueIssuedForCash,StockRedeemedOrCalledDuringPeriodShares,StockRedeemedOrCalledDuringPeriodValue,TemporaryEquityForeignCurrencyTranslationAdjustments,TemporaryEquityRedemptionValue,TemporaryEquitySharesAuthorized,TemporaryEquitySharesIssued,TemporaryEquitySharesOutstanding,TemporaryEquityStockIssuedDuringPeriodValueNewIssues,WeightedAverageNumberOfShareOutstandingBasicAndDiluted
2018-07-31,2018-09-07,10-Q,Invesco CURRENCYSHARES AUSTRALIAN DOLLAR TRUST,FXA,CIK0001353614,USD,,,0.0,,130276898.0,175000000.0,130094984.0,,,,,,,,,,,,365209.0,,,0.0791,,3439.0,43248.0,,,,,,,,,,,,130094984.0,,,,,,,178475.0,,,,130276898.0,43248.0,,,,,,,,,,,,-2014.0,,,,,,,,,,,,,130233650.0,0.0,,,,,,,,,,,38500000.0,1750000.0,1750000.0,,
2018-10-31,2019-01-11,10-K,Invesco CURRENCYSHARES AUSTRALIAN DOLLAR TRUST,FXA,CIK0001353614,USD,,,,,120634683.0,170000000.0,120487478.0,,,,-21357005.0,0.72,,,,,,,,,1210590.0,0.0628,,2397.0,40253.0,0.73,-4279.0,-10039407.0,-10043686.0,,0.0,603.0,-9005.0,,,,120487478.0,,,,,,,144808.0,1735658.0,,,120634683.0,40253.0,-12530411.0,,1217092.0,,1226700.0,,,508958.0,,,,,,,,40000000.0,30200732.0,1210590.0,1210590.0,,25000000.0,18880911.0,1727420.0,-16110.0,120594430.0,0.0,1735658.0,508958.0,,,,,,,-10027576.0,,41500000.0,1700000.0,1700000.0,18880911.0,1684110.0
2019-03-31,2019-05-09,10-Q,Invesco CURRENCYSHARES AUSTRALIAN DOLLAR TRUST,FXA,CIK0001353614,USD,,,,,106662909.0,150000132.0,106552574.0,,,106552898.0,-9608383.0,0.18,,,,,,,,,268645.0,0.0494,74085.0,324.0,36136.0,0.17,,,1089807.0,,0.0,-16813.0,-2805.0,-194.0,,,106552574.0,,,194.0,,,,110011.0,360651.0,,,106662909.0,36136.0,-10966296.0,,268106.0,,254292.0,,,106359.0,,,,,,,,24999877.0,17792563.0,268645.0,268645.0,,10000009.0,7094912.0,,14353.0,106626773.0,0.0,360651.0,106359.0,0.0,,,,,,1075454.0,,41500000.0,1500000.0,1500000.0,7094912.0,1506111.0
2019-06-30,2019-08-08,10-Q,Invesco CURRENCYSHARES AUSTRALIAN DOLLAR TRUST,FXA,CIK0001353614,USD,,,,101829915.0,,145000127.0,101753833.0,,,101752200.0,,0.14,,,,,,,,,214141.0,0.0273,39571.0,,34847.0,0.12,,,,,,,,,,,101753833.0,,,,,,,76082.0,285125.0,,36480.0,101829915.0,,,,,,178773.0,1633.0,,106352.0,,,,,,,,,,,214141.0,,,,,35368.0,101793435.0,0.0,285125.0,106352.0,,,,,,,,,41500000.0,1450000.0,1450000.0,,1523626.0
2019-09-30,2019-11-08,10-Q,Invesco CURRENCYSHARES AUSTRALIAN DOLLAR TRUST,FXA,CIK0001353614,USD,,,,97821279.0,,145000127.0,97795309.0,,,97795309.0,,0.05,,,,,,,,,78415.0,,0.0,,32153.0,0.02,,,,,,,,,,,97795309.0,,,,,,,25970.0,133342.0,0.0,32153.0,97821279.0,,,,,,33088.0,,,100254.0,,,,,,,,,,,78415.0,,,,,45327.0,97789126.0,0.0,133342.0,100254.0,,,,,,,,,41500000.0,1450000.0,1450000.0,,1450000.0
2019-12-31,2020-02-28,10-K,Invesco CURRENCYSHARES AUSTRALIAN DOLLAR TRUST,FXA,CIK0001353614,USD,,,,101956052.0,,129989492.0,91376174.0,,,101919531.0,-14241750.0,0.38,,,,,,,,,559837.0,0.0021,2756.0,,34625.0,0.32,,,-256044.0,,0.0,-90303.0,-4316.0,-194.0,,,101919531.0,0.0,,194.0,,,,36521.0,885616.0,0.0,10577982.0,101956052.0,,-14544190.0,,558484.0,,472691.0,,,412925.0,,,,,11848.0,,,54998678.0,28225546.0,559837.0,559837.0,10543357.0,20000018.0,14241193.0,,87146.0,91378070.0,0.0,885616.0,412925.0,,,,,,,,,41500000.0,1300000.0,1300000.0,,1481370.0
2020-03-31,2020-05-08,10-Q,Invesco CURRENCYSHARES AUSTRALIAN DOLLAR TRUST,FXA,CIK0001353614,USD,,,,79560090.0,,129989492.0,79560090.0,,,79560090.0,-22359441.0,0.02,,,,,,,,,25880.0,,0.0,,26951.0,-0.01,,,-11812959.0,,0.0,-36521.0,-7674.0,8907.0,,,79560090.0,14091.0,,5184.0,,8907.0,,,84292.0,0.0015,35858.0,79560090.0,,-10569237.0,,22755.0,,-14999.0,,,99291.0,,,,,0.0,,,0.0,10543357.0,25880.0,25880.0,,0.0,,,40879.0,79524232.0,0.0,84292.0,85200.0,,,,,,,,,41500000.0,1300000.0,1300000.0,,1300000.0
2020-06-30,2020-08-07,10-Q,Invesco CURRENCYSHARES AUSTRALIAN DOLLAR TRUST,FXA,CIK0001353614,USD,,,,89384966.0,,129825675.0,89384966.0,,,85948097.0,,,,,,,,,,,,,0.0,,28251.0,-0.07,,,,,,,,,,,85948097.0,4050.0,,,,,,,0.0,0.0,28251.0,89384966.0,,,,,,-87670.0,,,87670.0,,,,,,,,,,,,,,,,87670.0,89356715.0,0.0,0.0,83620.0,,3436869.0,,,,,,,41500000.0,1300000.0,1300000.0,,1186264.0
2020-09-30,2020-11-06,10-Q,Invesco CURRENCYSHARES AUSTRALIAN DOLLAR TRUST,FXA,CIK0001353614,USD,,,,157320546.0,,214504742.0,153746231.0,,,157320546.0,,,,,,,,,,,,,0.0,,52393.0,-0.07,,,,,,,,,,,157320546.0,0.0,,,,,,,0.0,0.0,3626708.0,157320546.0,,,,,,-137269.0,,,137269.0,,,,,,,,,,,,3574315.0,,,,137269.0,153693838.0,0.0,0.0,137269.0,,,,,,,,,41500000.0,2150000.0,2150000.0,,1952174.0
2020-12-31,2021-02-26,10-K,Invesco CURRENCYSHARES AUSTRALIAN DOLLAR TRUST,FXA,CIK0001353614,USD,,,,157666229.0,,204323450.0,157666229.0,,,157666229.0,55746698.0,0.02,,,,,,,,,25880.0,,0.0,,55131.0,-0.24,,,12554876.0,,0.0,-36521.0,20506.0,,,,157666229.0,18141.0,,18141.0,,,,,84292.0,0.0,55131.0,157666229.0,,43533145.0,,-341323.0,,-398350.0,,,482642.0,,,,,529228.0,,,39913155.0,38088173.0,25880.0,25880.0,,114776341.0,81647198.0,,424230.0,157611098.0,0.0,84292.0,464501.0,,,,,,,,,44500000.0,2050000.0,2050000.0,,1650273.0
2021-03-31,2021-05-07,10-Q,Invesco CURRENCYSHARES AUSTRALIAN DOLLAR TRUST,FXA,CIK0001353614,USD,,,,159259970.0,,209098626.0,159259970.0,,,159259970.0,1593741.0,,,,,,,,,,,,0.0,,54553.0,-0.08,,,-2099079.0,,0.0,,-578.0,,,,159259970.0,,,,,,,,,0.0,54553.0,159259970.0,,3850736.0,,-157916.0,,-157338.0,,,157338.0,,,,,203469.0,,,9956467.0,7715269.0,,,,14935112.0,11566005.0,,157338.0,159205417.0,0.0,,157338.0,,,,,,,,,44500000.0,2100000.0,2100000.0,,2070000.0
2021-06-30,2021-08-06,10-Q,Invesco CURRENCYSHARES AUSTRALIAN DOLLAR TRUST,FXA,CIK0001353614,USD,,,,134418674.0,,179045809.0,134418674.0,,,134418674.0,,,,,,,,,,,,,0.0,,44186.0,-0.08,,,,,,,,,,,134418674.0,0.0,,,,,,,0.0,0.0,44186.0,134418674.0,,,,,,-147612.0,,,147612.0,,,,,,,,,,,,,,,,147612.0,134374488.0,0.0,0.0,147612.0,,,,,,,,,44500000.0,1800000.0,1800000.0,,1921978.0
2021-09-30,2021-11-05,10-Q,Invesco CURRENCYSHARES AUSTRALIAN DOLLAR TRUST,FXA,CIK0001353614,USD,,,,118436193.0,,163959512.0,118436193.0,,,118436193.0,,,,,,,,,,,,,0.0,,38932.0,-0.07,,,,,,,,,,,118436193.0,0.0,,,,,,,0.0,0.0,38932.0,118436193.0,,,,,,-124292.0,,,124292.0,,,,,,,,,,,,,,,,124292.0,118397261.0,0.0,0.0,124292.0,,,,,,,,,,1650000.0,1650000.0,,1682065.0
2021-12-31,2022-02-25,10-K,Invesco CURRENCYSHARES AUSTRALIAN DOLLAR TRUST,FXA,CIK0001353614,USD,,,,97441463.0,,134022937.0,97441463.0,,,97441463.0,-60224766.0,,,,,,,,,,,,0.0,,39107.0,-0.3,,,-8052420.0,,0.0,,-16024.0,,,,97441463.0,0.0,,,,,,,,0.0,39107.0,97441463.0,,-51608067.0,,-564279.0,,-548255.0,,,548255.0,,,,,745508.0,,,84490117.0,63174072.0,,,,14935112.0,11566005.0,,548255.0,97402356.0,0.0,,548255.0,,,,,,,,,,1350000.0,1350000.0,,1823151.0
