end,filed,form,Name,Ticker,CIK,Currency,AccountsPayable,AccountsPayableAndAccruedLiabilitiesCurrent,AccountsPayableCurrent,AccountsPayableOtherCurrent,AccountsPayableRelatedParties,AccountsPayableRelatedPartiesCurrent,AccountsPayableRelatedPartiesCurrentAndNoncurrent,AccountsReceivableGrossCurrent,AccountsReceivableNetCurrent,AccruedLiabilities,AccruedLiabilitiesCurrent,AdditionalPaidInCapital,AdjustmentsToAdditionalPaidInCapitalOther,AllowanceForDoubtfulAccountsReceivableCurrent,AmortizationOfIntangibleAssets,Assets,AssetsCurrent,AuctionMarketPreferredSecuritiesStockSeriesLiquidationValue,BorrowedFunds,CashAndCashEquivalentsAtCarryingValue,CashAndCashEquivalentsPeriodIncreaseDecrease,ClassOfWarrantOrRightOutstanding,CommonStockParOrStatedValuePerShare,CommonStockSharesAuthorized,CommonStockSharesIssued,CommonStockSharesOutstanding,CommonStockValue,CommonStockValueOutstanding,ConvertiblePreferredStockSharesIssuedUponConversion,CostOfServices,CostsAndExpenses,DebtConversionConvertedInstrumentAmount1,DebtConversionOriginalDebtAmount1,DebtInstrumentFaceAmount,DebtInstrumentIncreaseAccruedInterest,DebtInstrumentInterestRateDuringPeriod,DebtInstrumentInterestRateStatedPercentage,DebtRelatedCommitmentFeesAndDebtIssuanceCosts,DeferredRevenue,DeferredRevenueAdditions,DeferredRevenueCurrent,DeferredTaxAssetsNet,DeferredTaxAssetsOperatingLossCarryforwards,DeferredTaxAssetsValuationAllowance,DerivativeLiabilities,DerivativeLiabilityFairValueNet,DerivativeLiabilityFairValueNet1,DueToRelatedPartiesCurrent,EarningsPerShareBasicAndDiluted,EffectiveIncomeTaxRateReconciliationAtFederalStatutoryIncomeTaxRate,EffectiveIncomeTaxRateReconciliationDeductions,EmbeddedDerivativeGainLossOnEmbeddedDerivativeNet,EmbeddedDerivativeLossOnEmbeddedDerivative,EquityMethodInvestmentOwnershipPercentage,FiniteLivedIntangibleAssetsGross,FiniteLivedIntangibleAssetsNet,FreshStartAdjustmentIncreaseDecreaseAdditionalPaidInCapital,FreshStartAdjustmentIncreaseDecreaseCurrentLiabilities,GainLossOnDispositionOfIntangibleAssets,GainLossOnSaleOfDerivatives,GrossProfit,HeldtomaturitySecuritiesInUnrealizedLossPositionsQualitativeDisclosureOtherFairValueVolatilityRate,IncomeLossFromContinuingOperations,IncomeLossFromContinuingOperationsPerBasicShare,IncomeTaxesPaid,IncreaseDecreaseInAccountsAndOtherReceivables,IncreaseDecreaseInAccountsPayable,IncreaseDecreaseInAccountsPayableAndAccruedLiabilities,IncreaseDecreaseInAccountsPayableAndOtherOperatingLiabilities,IncreaseDecreaseInAccountsPayableRelatedParties,IncreaseDecreaseInAccountsReceivable,IncreaseDecreaseInAccruedLiabilities,IncreaseDecreaseInDueToRelatedParties,IncreaseDecreaseInOtherLoans,IncreaseDecreaseInPrepaidDeferredExpenseAndOtherAssets,InterestExpense,InterestExpenseDebt,InterestExpenseRelatedParty,InterestPaidNet,InterestPayableCurrent,LeaseAndRentalExpense,LiabilitiesAndStockholdersEquity,LiabilitiesCurrent,LineOfCreditFacilityMaximumBorrowingCapacity,LitigationSettlementGross,NetCashProvidedByUsedInFinancingActivities,NetCashProvidedByUsedInOperatingActivities,NetIncomeLoss,NonoperatingIncomeExpense,NotesPayableCurrent,NotesPayableRelatedPartiesClassifiedCurrent,NotesPayableRelatedPartiesCurrent,NotesPayableRelatedPartiesCurrentAndNoncurrent,OfficersCompensation,OperatingIncomeLoss,OperatingLeasesRentExpenseMinimumRentals,OperatingLeasesRentExpenseNet,OperatingLeasesRentExpenseSubleaseRentals1,OperatingLossCarryforwards,OtherAccruedLiabilitiesCurrent,OtherExpenses,OtherGeneralAndAdministrativeExpense,OtherPrepaidExpenseCurrent,PreferredStockAdditionalSeriesNoParValue,PreferredStockAdditionalSeriesSharesIssued,PreferredStockAdditionalSeriesSharesOutstanding,PreferredStockDividendsAndOtherAdjustments,PreferredStockParOrStatedValuePerShare,PreferredStockSharesAuthorized,PreferredStockSharesIssued,PreferredStockSharesOutstanding,PreferredStockValue,PreferredStockValueOutstanding,PrepaidExpenseAndOtherAssetsCurrent,ProceedsFromLongTermLinesOfCredit,ProceedsFromSaleOfIntangibleAssets,ProceedsFromSecuredLinesOfCredit,ProceedsFromSecuredNotesPayable,ProfitLoss,ReceivablesNetCurrent,RelatedPartyTransactionAmountsOfTransaction,RetainedEarningsAccumulatedDeficit,Revenues,SellingGeneralAndAdministrativeExpense,ShareBasedCompensationArrangementByShareBasedPaymentAwardNonOptionEquityInstrumentsForfeituresAndExpirations,ShareBasedCompensationArrangementByShareBasedPaymentAwardOptionsExercisableNumber,ShareBasedCompensationArrangementByShareBasedPaymentAwardOptionsForfeituresAndExpirationsInPeriod,ShareBasedCompensationArrangementByShareBasedPaymentAwardOptionsForfeituresInPeriod,ShareBasedCompensationArrangementByShareBasedPaymentAwardOptionsOutstandingNumber,ShareBasedCompensationArrangementByShareBasedPaymentAwardOptionsOutstandingWeightedAverageExercisePrice,ShareBasedCompensationArrangementByShareBasedPaymentAwardOptionsVestedAndExpectedToVestOutstandingNumber,ShareBasedCompensationArrangementByShareBasedPaymentAwardOptionsVestedAndExpectedToVestOutstandingWeightedAverageExercisePrice,ShareBasedCompensationArrangementsByShareBasedPaymentAwardOptionsForfeituresInPeriodWeightedAverageExercisePrice,ShareBasedGoodsAndNonemployeeServicesTransactionValuationMethodRiskFreeInterestRate,SharesIssued,StockholdersEquity,StockholdersEquityPeriodIncreaseDecrease,StockIssued1,StockIssuedDuringPeriodSharesStockOptionsExercised,StockIssuedDuringPeriodValueIssuedForNoncashConsiderations,TaxCreditCarryforwardValuationAllowance,TradingGainsLosses,UnrecognizedTaxBenefitsResultingInNetOperatingLossCarryforward,ValuationAllowanceAmount,ValuationAllowanceDeferredTaxAssetChangeInAmount,WeightedAverageNumberOfDilutedSharesOutstanding,WeightedAverageNumberOfShareOutstandingBasicAndDiluted,WeightedAverageNumberOfSharesOutstandingBasic
2014-12-31,2015-04-15,10-K,"LOGICQUEST TECHNOLOGY, INC.",LOGQ,CIK0000768216,USD,,,727500.0,727500.0,,,,,,,1868635.0,22487937.0,43919.0,,,,,,,,-4723.0,,0.001,200000000.0,2301849.0,2301849.0,2302.0,,72500.0,43926.0,9777.0,,,,,,,,,2237.0,,,2585000.0,2585000.0,,,,18000.0,,0.34,,,,,,,,,,,-7335.0,,-177508.0,-0.21,,,,96620.0,,119234.0,-357.0,,212509.0,,,319572.0,319572.0,319572.0,,1025253.0,,,3224235.0,1338000.0,,45000.0,-49723.0,-485983.0,11097.0,1337600.0,,,,,-177508.0,,4000.0,,7603000.0,115882.0,,,,,,,,,,,,,,,,,,45000.0,,,,-25714474.0,36591.0,170173.0,,0.0,,,0.0,,,,,,,-3224235.0,,,,,,,,,,2374349.0,2301849.0,
2015-03-31,2015-05-15,10-Q,"LOGICQUEST TECHNOLOGY, INC.",LOGQ,CIK0000768216,USD,,,727500.0,,,,,,,,1234883.0,22487937.0,,,,,,,,,,,0.001,200000000.0,2301849.0,2301849.0,2302.0,,,,,,,,,,,,,,,,,,,,,40765.0,,,,,,,,,,,,,,,-37040.0,-0.05,,,,93748.0,,22765.0,,93748.0,,,,79473.0,,,,,,,3340748.0,,,22765.0,-22765.0,-116513.0,,1337600.0,,,,,-37040.0,,,,,,,,,,,,,,,,,,,,,,,22765.0,,,,-25830987.0,,37040.0,,,,,,,,,,,,-3340748.0,,,,,,,,,,,2301849.0,
2015-06-30,2015-08-14,10-Q,"LOGICQUEST TECHNOLOGY, INC.",LOGQ,CIK0000768216,USD,,,727500.0,,,,,,,,1301909.0,22487937.0,,,,,17799.0,,,,,,0.001,200000000.0,2301849.0,2301849.0,2302.0,,,,,,,,,,,,,,,,,,,,,108249.0,,,,,,,,,,,,,,,-36689.0,-0.05,,,,,,,,,,,,80022.0,,,,,,17799.0,3475258.0,,,,,-116711.0,,1337600.0,,,,,-36689.0,,,,,,,,,,,,,,,,,,,17799.0,,,,,,,,-25947698.0,,36689.0,,,,,,,,,,,,-3457459.0,,,,,,,,,,,2301849.0,
2015-09-30,2015-11-06,10-Q,"LOGICQUEST TECHNOLOGY, INC.",LOGQ,CIK0000768216,USD,,,727500.0,,,,,,,,1381821.0,22487937.0,,,,,20335.0,,,,,,0.001,200000000.0,2301849.0,2301849.0,2302.0,,,,,,,,,,,,,,,,,,,,,151148.0,,,,,,,,,,,,,,,-39702.0,-0.05,,,,,,,,,,,,80573.0,,,,,,20335.0,3598069.0,,,,,-120275.0,,1337600.0,,,,,-39702.0,,,,,,,,,,,,,,,,,,,20335.0,,,,,,,,-26067973.0,,39702.0,,,,,,,,,,,,-3577734.0,,,,,,,,,,,2301849.0,
2015-12-31,2016-03-30,10-K,"LOGICQUEST TECHNOLOGY, INC.",LOGQ,CIK0000768216,USD,,,,727500.0,,,,,,,2197507.0,22487937.0,,,,29032.0,29032.0,,,,,,0.001,200000000.0,2301968.0,2301968.0,2302.0,,,,5585.0,,,,,,0.15,,,,,,2748000.0,2748000.0,,,,204587.0,,0.34,,,,,,,,,,,,,,-0.21,,,,328872.0,,,,480842.0,,,,320640.0,320640.0,,,1345893.0,,29032.0,3739694.0,,,186587.0,-186587.0,-486427.0,,1337600.0,,,,45000.0,-165787.0,,,,8083000.0,124114.0,,,29032.0,,,,,,,,,,,29032.0,,,,186587.0,,,,-26200901.0,,165787.0,,0.0,,,0.0,,,,,,,-3710662.0,,,,,,,,,,,2301968.0,
2016-03-31,2016-05-13,10-Q,"LOGICQUEST TECHNOLOGY, INC.",LOGQ,CIK0000768216,USD,,,,,,,,,,,2281209.0,22487937.0,,,156.0,24100.0,17705.0,,,,,,0.001,200000000.0,2301968.0,2301968.0,2302.0,,,,,,,,,,,,,,,,,,,,,238204.0,,,,,,,,6395.0,,,,,,,,-0.05,,,,,,33617.0,,117319.0,,,-4776.0,80023.0,,,,,,24100.0,3857013.0,,,,,-122251.0,,1337600.0,,,,,-42228.0,,,,,,,,,,,,,,,,,,,17705.0,,,,,,,,-26323152.0,,42228.0,,,,,,,,,,,,-3832913.0,,,,,,,,,,,2301968.0,
2016-06-30,2016-08-10,10-Q,"LOGICQUEST TECHNOLOGY, INC.",LOGQ,CIK0000768216,USD,,,,,,,,,,,2351468.0,22487937.0,,,,26197.0,18573.0,,,,,,0.001,200000000.0,2301968.0,2301968.0,2302.0,,,,,,,,,,,,,,,,,,,,,289310.0,,,,,,,,7624.0,,,,,,,,-0.05,,,,,,,,,,,,80022.0,,,,,,26197.0,3978378.0,,,,,-119268.0,,1337600.0,,,,,-39246.0,,,,,,,,,,,,,,,,,,,18573.0,,,,,,,,-26442420.0,,39246.0,,,,,,,,,,,,-3952181.0,,,,,,,,,,,2301968.0,
2016-09-30,2016-11-14,10-Q,"LOGICQUEST TECHNOLOGY, INC.",LOGQ,CIK0000768216,USD,,,,,,,,,,,2453277.0,22487937.0,,,,24491.0,7798.0,,,,,,0.001,200000000.0,2301968.0,2301968.0,2302.0,,,,,,,,,,,,,,,,,,,,,306634.0,,,,,,,,16693.0,,,,,,,,0.0,,,,,,,,,,,,80573.0,,,,,,24491.0,4097511.0,,,,,-120839.0,,1337600.0,,,,,-40266.0,,,,,,80573.0,,,,,,,,,,,,,7798.0,,,,,,,,-26563259.0,,40266.0,,,,,,,,,,,,-4073020.0,,,,,,,,,,,2301968.0,
2016-12-31,2017-03-30,10-K,"LOGICQUEST TECHNOLOGY, INC.",LOGQ,CIK0000768216,USD,,,,727500.0,,,,,,,2518111.0,22487937.0,,,1890.0,27977.0,7394.0,,,,,,0.001,200000000.0,2301968.0,2301968.0,2302.0,,72500.0,,13219.0,,,,,,0.15,,,,,,2917000.0,2917000.0,,,,380196.0,,0.34,,,,,,20583.0,,,,,,,,-0.22,,,,,,,,482159.0,,,,321190.0,321190.0,,,1667083.0,,27977.0,4235907.0,,,,,-497268.0,-321190.0,1337600.0,,,,65000.0,-176078.0,,,,8581000.0,123528.0,,,,,,,,,,,,,,7394.0,,,,,,,,-26698169.0,,176078.0,,,,,,,,,,,,-4207930.0,,,,,,,,,,2374468.0,2301968.0,
2017-03-31,2017-05-12,10-Q,"LOGICQUEST TECHNOLOGY, INC.",LOGQ,CIK0000768216,USD,,,,,,,,,,,2589946.0,22487937.0,,,578.0,25524.0,5519.0,,,,,,0.001,200000000.0,2301968.0,2301968.0,2302.0,,,,,,,,,,,,,,,,,,,,,421877.0,,,,,,,,20005.0,,,,,,,,-0.05,,,,,,,,113516.0,,,-1875.0,79473.0,,,,,,25524.0,4349423.0,,,,,-115969.0,,1337600.0,,,,,-36496.0,,,,,,,,,,,,,,,,,,,5519.0,,,,,,,,-26814138.0,,36496.0,,,,,,,,,,,,-4323899.0,,,,,,,,,,,2301968.0,
2017-06-30,2017-08-11,10-Q,"LOGICQUEST TECHNOLOGY, INC.",LOGQ,CIK0000768216,USD,,,,,,,,,,,2680341.0,22487937.0,,,,26821.0,7394.0,,,,,,0.001,200000000.0,2301968.0,2301968.0,2302.0,,,,,,,,,,,,,,,,,,,,,457132.0,,,,,,,,19427.0,,,,,,,,-0.05,,,,,,,,,,,,80022.0,,,,,,26821.0,4475073.0,,,,,-124353.0,,1337600.0,,,,,-44331.0,,,,,,,,,,,,,,,,,,,7394.0,,,,,,,,-26938491.0,,44331.0,,,,,,,,,,,,-4448252.0,,,,,,,,,,,2301968.0,
2017-09-30,2017-11-09,10-Q,"LOGICQUEST TECHNOLOGY, INC.",LOGQ,CIK0000768216,USD,,,,,,,,,,,2750898.0,22487937.0,,,,9342.0,1135.0,,,,,,0.001,200000000.0,2301968.0,2301968.0,2302.0,,,,,,,,,,,,,,,,,,,,,493552.0,,,,,,,14442.0,8207.0,,,2012.0,,,,,-0.05,,,,,,,,,,,,80573.0,,,,,,9342.0,4582050.0,,,,,-124456.0,-78561.0,1337600.0,,,,,-45895.0,,,,,,78561.0,,,,,,,,,,,,,1135.0,,,,,,,,-27062947.0,,45895.0,,,,,,,,,,,,-4572708.0,,,,,,,,,,,2301968.0,
2017-12-31,2018-04-17,10-K,"LOGICQUEST TECHNOLOGY, INC.",LOGQ,CIK0000768216,USD,,,,727500.0,,,,,,,2844287.0,22487937.0,,,1757.0,510.0,510.0,,,,,,0.001,200000000.0,2301968.0,2301968.0,2302.0,,,,8342.0,,,,,,0.15,,,,,,1913000.0,1913000.0,,,,554832.0,,0.34,,,,,,,,,3647.0,,,,,-0.23,,,,,,,,521827.0,,,,320640.0,320640.0,,,1987723.0,,510.0,4736719.0,,,,,-528279.0,-316993.0,1337600.0,,,,98000.0,-211286.0,,,,9109000.0,129064.0,,,,,,,,,,,,,,510.0,,24140.0,,,,,,-27226448.0,,211286.0,,,,,,,,,,,,-4736209.0,,,,,,,,,1184000.0,,2301968.0,
2018-03-31,2018-05-29,10-Q,"LOGICQUEST TECHNOLOGY, INC.",LOGQ,CIK0000768216,USD,,,,,,,,,,,2915446.0,22487937.0,,,,510.0,510.0,,,,,,0.001,200000000.0,2301968.0,2301968.0,2302.0,,,,,,,,,,,,,,,,,,,,,612212.0,,,,,,,,,,,,,,,,-0.06,,,,,,,,128539.0,,,,79473.0,,,,,,510.0,4865258.0,,,,,-128539.0,,1337600.0,,,,,-49066.0,,,,,,,,,,,,,,,,,,,510.0,,,,,,,,-27354987.0,,49066.0,,,,,,,,,,,,-4864748.0,,,,,,,,,,,2301968.0,
2018-06-30,2018-08-10,10-Q,"LOGICQUEST TECHNOLOGY, INC.",LOGQ,CIK0000768216,USD,,,,,,,,,,,2993180.0,22487937.0,,,,510.0,510.0,,,,,,0.001,200000000.0,2301968.0,2301968.0,2302.0,,,,,,,,,,,,,,,,,,,,,665970.0,,,,,,,,,,,,,,,,-0.06,,,,,,,,,,,,80022.0,,,,,,510.0,4996750.0,,,,,-131492.0,,1337600.0,,,,,-51470.0,,,,,,,,,,,,,,,,,,,510.0,,,,,,,,-27486479.0,,51470.0,,,,,,,,,,,,-4996240.0,,,,,,,,,,,2301968.0,
2018-09-30,2018-11-16,10-Q,"LOGICQUEST TECHNOLOGY, INC.",LOGQ,CIK0000768216,USD,,,,,,,,,,,3074693.0,22487937.0,,,,510.0,510.0,,,,,,0.001,200000000.0,2301968.0,2301968.0,2302.0,,,,,,,,,,,,,,,,,,,,,714472.0,,,,,,,,,,,,,,,,-0.06,,,,,,,,,,,,80023.0,,,,,,510.0,5126765.0,,,,,-130015.0,-80023.0,1337600.0,,,,,-49992.0,,,,,,,,,,,,,,,,,,,510.0,,,,,,,,-27616494.0,,49992.0,,,,,,,,,,,,-5126255.0,,,,,,,,,,,2301968.0,
2018-12-31,2019-04-16,10-K,"LOGICQUEST TECHNOLOGY, INC.",LOGQ,CIK0000768216,USD,,,,727500.0,,,,,,,3174211.0,22487937.0,,,,510.0,510.0,,,,,,0.001,200000000.0,2301968.0,2301968.0,2302.0,,,,,,,,,,0.15,,,,,,2030000.0,2030000.0,,,,784873.0,,0.21,,,,,,,,,,,,,,-0.24,,,,,,,,559965.0,,,,320640.0,320640.0,,,2308363.0,,510.0,5296684.0,,,,,-559965.0,-320640.0,1337600.0,,,,104000.0,-239325.0,,,,9669000.0,138348.0,,,,,,,,,,,,,,510.0,,,,,,,,-27786413.0,,239325.0,,,,,,,,,,,,-5296174.0,,,,,,,,,,,2301968.0,
2019-03-31,2019-05-15,10-Q,"LOGICQUEST TECHNOLOGY, INC.",LOGQ,CIK0000768216,USD,,,,,,,,,,,3265011.0,22487937.0,,,,510.0,510.0,,,,,,0.001,200000000.0,2301968.0,2301968.0,2302.0,,,,,,,,,,,,,,,,,,,,,804944.0,,,,,,,,,,,,,,,,-0.05,,,,,,,,110871.0,,,,79473.0,,,,,,510.0,5407555.0,,,,,-110871.0,,1337600.0,,,,,-31398.0,,,,,,,,,,,,,,,,,,,510.0,,,,,,,,-27897284.0,,31398.0,,,,,,,,,,,,-5407045.0,,,,,,,,,,,2301968.0,
2019-06-30,2019-08-14,10-Q,"LOGICQUEST TECHNOLOGY, INC.",LOGQ,CIK0000768216,USD,,,,,,,,,,,3347067.0,22487937.0,,,,510.0,510.0,,,,,,0.001,200000000.0,2301968.0,2301968.0,2302.0,,,,,,,,,,,,,,,,,,,,,823079.0,,,,,,,,,,,,,,,,-0.04,,,,,,,,,,,,80022.0,,,,,,510.0,5507746.0,,,,,-100191.0,,1337600.0,,,,,-20169.0,,,,,,,,,,,,,,,,,,,510.0,,,,,,,,-27997475.0,,20169.0,,,,,,,,,,,,-5507236.0,,,,,,,,,,,2301968.0,
2019-09-30,2019-11-14,10-Q,"LOGICQUEST TECHNOLOGY, INC.",LOGQ,CIK0000768216,USD,,,,,,,,,,,3421886.0,22487937.0,,,,510.0,510.0,,,,,,0.001,200000000.0,2301968.0,2301968.0,2302.0,,,,,,,,,,,,,,,,,,,,,836114.0,,,,,,,,,,,,,,,,-0.04,,,,,,,,,,,,80572.0,,,,,,510.0,5595600.0,,,,,-87854.0,,1337600.0,,,,,-7282.0,,,,,,,,,,,,,,,,,,,510.0,,,,,,,,-28085329.0,,7282.0,,,,,,,,,,,,-5595090.0,,,,,,,,,,,2301968.0,
2019-12-31,2020-05-29,10-K,"LOGICQUEST TECHNOLOGY, INC.",LOGQ,CIK0000768216,USD,,,,727500.0,,,,,,,3513273.0,22487937.0,,,,510.0,510.0,,,,,,0.001,200000000.0,2301968.0,2301968.0,2302.0,,,,,,,,,,0.15,,,,,,2115000.0,2115000.0,,,,849149.0,,0.21,,,,,,,,,,,,,,-0.18,,,,,,,,403338.0,,,,320640.0,321190.0,,,2629003.0,,510.0,5700022.0,,,,,-403338.0,-320640.0,1337600.0,,,,,-82698.0,,,,10072000.0,156770.0,,,,,,,,,,,,,,510.0,,,,,,,,-28189751.0,,82698.0,,,,,,,,,,,,-5699512.0,,,,,,,,,,,2301968.0,
2020-03-31,2020-06-23,10-Q,"LOGICQUEST TECHNOLOGY, INC.",LOGQ,CIK0000768216,USD,,,,,,,,,,,3566404.0,22487937.0,,,,510.0,510.0,,,,,,0.001,200000000.0,2301968.0,2301968.0,2302.0,,,,,,,,,,,,,,,,,,,,,894448.0,,,,,,,,,,,,,,,,-0.04,,,,,,,,98430.0,,,,80023.0,,,,,,510.0,5798452.0,,,,,-98430.0,,1337600.0,,,,,-18407.0,,,,,,,,,,,,,,,,,,,510.0,,,,,,,,-28288181.0,,18407.0,,,,,,,,,,,,-5797942.0,,,,,,,,,,,2301968.0,
2020-06-30,2020-08-14,10-Q,"LOGICQUEST TECHNOLOGY, INC.",LOGQ,CIK0000768216,USD,,,,,,,,,,,3633069.0,22487937.0,,,,510.0,510.0,,,,,,0.001,200000000.0,2301968.0,2301968.0,2302.0,,,,,,,,,,,,,,,,,,,,,928813.0,-0.04,,,,,,,,,,,,,,,-0.04,,,,,,,,,,,,80022.0,,,,,,510.0,5899482.0,,,,,-101030.0,,1337600.0,,,,,-21008.0,,,,,,,,,,,,,,,,,,,510.0,,,,,,,,-28389211.0,,21008.0,,,,,,,,,,,,-5898972.0,,,,,,,,,,,2301968.0,
2020-09-30,2020-11-13,10-Q,"LOGICQUEST TECHNOLOGY, INC.",LOGQ,CIK0000768216,USD,,,,,,,,,,,3716529.0,22487937.0,,,,3256.0,3256.0,,,,,,0.001,200000000.0,2301968.0,2301968.0,2302.0,,,,,,,,,,,,,,,,,,,,,952818.0,-0.05,,,,,,,,,,,,,,,-0.05,,,,,,,,,,,,80572.0,,,,,,3256.0,6006947.0,,,,,-104719.0,,1337600.0,,,,,-24147.0,,,,,,,,,,,,,,,,,,,3256.0,,,,,,,,-28493930.0,,24147.0,,,,,,,,,,,,-6003691.0,,,,,,,,,,,2301968.0,
2020-12-31,2021-03-31,10-K,"LOGICQUEST TECHNOLOGY, INC.",LOGQ,CIK0000768216,USD,,,,727500.0,,,,,,,3802597.0,22487937.0,,,,1139.0,1139.0,,,,,,0.001,200000000.0,2301968.0,2301968.0,2302.0,,,,-629.0,,,,,,0.15,,,,,,2201000.0,2201000.0,,,,970093.0,,0.21,,,,,,,,,,,,,,-0.18,,,,,,,,410268.0,,,,321190.0,321190.0,,,2950193.0,,1139.0,6110290.0,,,,,-409639.0,-321190.0,1337600.0,,,,,-88449.0,,,,9108809.0,124904.0,,,,,,,,,,,,,,1139.0,,,,,,,,-28599390.0,,88449.0,,,,,,,,,,,,-6109151.0,,,,,,,,,,,2301968.0,
2021-03-31,2021-05-14,10-Q,"LOGICQUEST TECHNOLOGY, INC.",LOGQ,CIK0000768216,USD,,,,,,,,,,,3876776.0,22487937.0,,,,895.0,895.0,,,,,,0.001,200000000.0,2301968.0,2301968.0,2302.0,,,,,,,,,,,,,,,,,,,,,993009.0,,,,,,,,,,,,,,,,-0.04,,,,,,,,97095.0,,,-244.0,79472.0,,,,,,895.0,6207385.0,,,,,-97339.0,,1337600.0,,,,,-17867.0,,,,,,,,,,,,,,,,,,,895.0,,,,,,,,-28696729.0,,17867.0,,,,,,,,,,,,-6206490.0,,,,,,,,,,,2301968.0,
2021-06-30,2021-08-05,10-Q,"LOGICQUEST TECHNOLOGY, INC.",LOGQ,CIK0000768216,USD,,,,,,,,,,,3952688.0,22487937.0,,,,557.0,557.0,,,,,,0.001,200000000.0,2301968.0,2301968.0,2302.0,,,,,,,,,,,,,,,,,,,,,1016408.0,-0.04,,,,,,,,,,,,,,,,,,,,,,,,,,,80023.0,,,,,,557.0,6306696.0,,,,,-99649.0,,1337600.0,,,,,-19626.0,,,,,,,,,,,,,,,,,,,557.0,,,,,,,,-28796378.0,,19626.0,,,,,,,,,,,,-6306139.0,,,,,,,,,,,2301968.0,
2021-09-30,2021-11-12,10-Q,"LOGICQUEST TECHNOLOGY, INC.",LOGQ,CIK0000768216,USD,,,,,,,,,,,4033260.0,22487937.0,,,,1658.0,1658.0,,,,,,0.001,200000000.0,2301968.0,2301968.0,2302.0,,,,,,,,,,,,,,,,,,,,,1036245.0,-0.04,,,,,,,,,,,,,,,,,,,,,,,,,,,80572.0,,,,,,1658.0,6407105.0,,,,,-99308.0,,1337600.0,,,,,-18736.0,,,,,,,,,,,,,,,,,,,1658.0,,,,,,,,-28895686.0,,18736.0,,,,,,,,,,,,-6405447.0,,,,,,,,,,,2301968.0,
