end,filed,form,Name,Ticker,CIK,Currency,AcceleratedShareRepurchaseProgramAdjustment,AccountsPayableAndAccruedLiabilitiesCurrent,AccountsPayableAndAccruedLiabilitiesCurrentAndNoncurrent,AccountsPayableCurrent,AccruedLiabilitiesCurrent,AccruedLiabilitiesCurrentAndNoncurrent,AdditionalPaidInCapital,AdditionalPaidInCapitalCommonStock,AdjustmentsToAdditionalPaidInCapitalOther,AdjustmentsToReconcileNetIncomeLossToCashProvidedByUsedInOperatingActivities,AllowanceForLoanAndLeaseLossesAdjustmentsNet,AmortizationAndDepreciationOfDecontaminatingAndDecommissioningAssets,Assets,AssetsCurrent,AssetsFairValueAdjustment,Cash,CashAndCashEquivalentsAtCarryingValue,CashAndCashEquivalentsPeriodIncreaseDecrease,CashPeriodIncreaseDecrease,CommonStockParOrStatedValuePerShare,CommonStockSharesAuthorized,CommonStockSharesIssued,CommonStockSharesOutstanding,CommonStockValue,ComprehensiveIncomeNetOfTaxAttributableToNoncontrollingInterest,ConversionOfStockAmountConverted1,CostsAndExpenses,CumulativeEarningsDeficit,DebtConversionConvertedInstrumentAmount1,DebtConversionConvertedInstrumentSharesIssued1,DebtInstrumentFairValue,DebtInstrumentIncreaseAccruedInterest,DebtInstrumentInterestRateStatedPercentage,DebtInstrumentPeriodicPaymentInterest,DebtInstrumentPeriodicPaymentPrincipal,DeferredStateAndLocalIncomeTaxExpenseBenefit,DeferredTaxAssetsCapitalLossCarryforwards,DeferredTaxAssetsGross,DeferredTaxAssetsNet,DeferredTaxAssetsOperatingLossCarryforwards,DeferredTaxAssetsValuationAllowance,DepreciationAmortizationAndAccretionNet,DepreciationAndAmortization,DevelopmentStageEnterpriseDeficitAccumulatedDuringDevelopmentStage,DividendsPaidinkind,DueToAffiliateCurrentAndNoncurrent,DueToRelatedPartiesCurrent,EarningsPerShareBasicAndDiluted,EffectiveIncomeTaxRateContinuingOperations,EffectiveIncomeTaxRateReconciliationAtFederalStatutoryIncomeTaxRate,EffectiveIncomeTaxRateReconciliationChangeInDeferredTaxAssetsValuationAllowance,EffectiveIncomeTaxRateReconciliationTaxCredits,FiniteLivedIntangibleAssetsAccumulatedAmortization,FiniteLivedIntangibleAssetsGross,FiniteLivedIntangibleAssetsNet,GainLossOnDispositionOfAssets1,GeneralAndAdministrativeExpense,IncomeLossFromContinuingOperations,IncomeLossFromContinuingOperationsBeforeIncomeTaxesDomestic,IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,IncomeTaxExpenseBenefit,IncomeTaxesPaid,IncomeTaxesPaidNet,IncreaseDecreaseInAccountsPayable,IncreaseDecreaseInAccountsPayableAndAccruedLiabilities,IncreaseDecreaseInAccruedInterestReceivableNet,IncreaseDecreaseInAccruedLiabilities,IncreaseDecreaseInDueToRelatedParties,IncreaseDecreaseInInterestPayableNet,IncreaseDecreaseInNotesPayableRelatedParties,IncreaseDecreaseInNotesPayableRelatedPartiesCurrent,IncreaseDecreaseInPrepaidDeferredExpenseAndOtherAssets,IncreaseDecreaseInPrepaidExpense,IntangibleAssetsCurrent,InterestAndDebtExpense,InterestExpense,InterestExpenseBorrowings,InterestPaid,InterestPaidNet,InterestPayableCurrent,IssuanceOfStockAndWarrantsForServicesOrClaims,Liabilities,LiabilitiesAndStockholdersEquity,LiabilitiesCurrent,NetCashProvidedByUsedInFinancingActivities,NetCashProvidedByUsedInFinancingActivitiesContinuingOperations,NetCashProvidedByUsedInInvestingActivities,NetCashProvidedByUsedInOperatingActivities,NetCashProvidedByUsedInOperatingActivitiesContinuingOperations,NetIncomeLoss,NetIncomeLossAllocatedToGeneralPartners,NoncashContributionExpense,NonoperatingIncomeExpense,NotesPayableRelatedPartiesClassifiedCurrent,NotesPayableRelatedPartiesCurrentAndNoncurrent,OperatingCostsAndExpenses,OperatingExpenses,OperatingIncomeLoss,OperatingLossCarryforwards,OtherComprehensiveIncomeLossBeforeTax,OtherExpenses,OtherGeneralExpense,OtherNonoperatingExpense,OtherNonoperatingIncomeExpense,OtherPrepaidExpenseCurrent,PaidInKindInterest,PartnersCapitalAccountContributions,PreferredStockNoParValue,PreferredStockParOrStatedValuePerShare,PreferredStockSharesAuthorized,PreferredStockSharesIssued,PreferredStockSharesOutstanding,PreferredStockValue,PrepaidExpenseCurrent,ProceedsFromNotesPayable,ProceedsFromRelatedPartyDebt,ProceedsFromRepaymentsOfNotesPayable,ProfessionalFees,ProfitLoss,RelatedPartyTransactionAmountsOfTransaction,RelatedPartyTransactionDueFromToRelatedParty,RelatedPartyTransactionRate,RepaymentsOfLongTermDebt,RepaymentsOfNotesPayable,RetainedEarningsAccumulatedDeficit,Revenues,SeniorLongTermNotes,ShortTermDebtInterestRateIncrease,StockholdersEquity,StockholdersEquityBeforeTreasuryStock,StockIssuedDuringPeriodSharesNewIssues,ValuationAllowanceDeferredTaxAssetChangeInAmount,WeightedAverageNumberOfShareOutstandingBasicAndDiluted,WeightedAverageNumberOfSharesOutstandingBasic
2018-09-30,2020-05-07,10-Q,Qiansui International Group Co. Ltd.,QIAN,CIK0001499684,USD,,12046.0,,,3304.0,,176438.0,,,,,,,,,,,,,,,,,,,,,,,,,,12.0,,,,,,,,,,,,,,,0.0,,,,,,,,,,426.0,,,,,,,,,,,,,,,,,,736.0,,,,,,39689.0,,39689.0,,,,,,-310.0,,,,24339.0,,,-426.0,426.0,,,736.0,,,-736.0,,,,0.0,,50000000.0,0.0,0.0,,,,,,-426.0,-310.0,,,,,,-216807.0,,,,-39689.0,,,,113296421.0,
2018-12-31,2020-05-07,10-K,Qiansui International Group Co. Ltd.,QIAN,CIK0001499684,USD,,12096.0,,,4040.0,,176438.0,,,,,,0.0,0.0,,0.0,0.0,,0.0,,,,,,,,,,,,,,,,,,,,0.0,45694.0,-45694.0,,,,,,,0.0,21.0,,,,,,,,3404.0,,,,,,0.0,,10828.0,,2799.0,,,4364.0,,,3333.0,,,-2799.0,,,0.0,,,40475.0,0.0,40475.0,,,,0.0,,-21324.0,,,,24339.0,,,18525.0,-18525.0,217000.0,,2799.0,,,-2799.0,,,,0.0,,50000000.0,0.0,0.0,0.0,,4364.0,,,15121.0,-21324.0,,,,,,-217593.0,,,,-40475.0,,,4478.0,113296421.0,
2019-03-31,2020-06-01,10-Q,Qiansui International Group Co. Ltd.,QIAN,CIK0001499684,USD,,12121.0,,,4760.0,,176438.0,,,,,,,,,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,0.0,,,,,,0.0,,25.0,,720.0,,,,,,,,,720.0,,,0.0,,,41220.0,,41220.0,,,,0.0,,-745.0,,,,24339.0,,,25.0,-25.0,,,,,,-720.0,,,,0.0,,50000000.0,0.0,0.0,,,,,,25.0,-745.0,,,0.12,,,-218338.0,,,,-41220.0,,,,113296421.0,
2019-06-30,2020-06-01,10-Q,Qiansui International Group Co. Ltd.,QIAN,CIK0001499684,USD,,12511.0,,,5488.0,,176438.0,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,728.0,,,,,,42338.0,,42338.0,,,,,,-1118.0,,,,24339.0,,,390.0,-390.0,,,,,,-728.0,,,,0.0,,50000000.0,0.0,0.0,,,,,,390.0,,,,,,,-219456.0,,,,-42338.0,,,,113296421.0,
2019-09-30,2020-06-01,10-Q,Qiansui International Group Co. Ltd.,QIAN,CIK0001499684,USD,,12511.0,,,6224.0,,176438.0,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,736.0,,,,,,43074.0,,43074.0,,,,,,-736.0,,,,24339.0,,,0.0,0.0,,,,,,-736.0,,,,0.0,,50000000.0,0.0,0.0,,,,,,0.0,,,,,,,-220192.0,,,,-43074.0,,,,113296421.0,
2019-12-31,2020-07-06,10-K,Qiansui International Group Co. Ltd.,QIAN,CIK0001499684,USD,,12561.0,,,6960.0,,177084.0,,,,,,0.0,0.0,,0.0,0.0,,0.0,6e-06,,,,,,,,,,,,6960.0,,,,-711.0,,,0.0,45694.0,45694.0,,,,,,24339.0,0.0,0.21,0.21,-0.21,0.0,,,,,0.0,,-3385.0,,0.0,,0.0,,465.0,,2920.0,,,0.0,,,0.0,,,2920.0,,,0.0,,,43860.0,0.0,43860.0,,,,0.0,,-3385.0,,,,24339.0,,,465.0,-465.0,221000.0,-3385.0,,,,-2920.0,,,,0.0,6e-06,50000000.0,0.0,0.0,0.0,0.0,0.0,,,465.0,,,,,,0.0,-220978.0,,0.0,,-43860.0,,,711.0,5664989.0,
2020-03-31,2020-08-07,10-Q,Qiansui International Group Co. Ltd.,QIAN,CIK0001499684,USD,,27533.0,,,7688.0,,176438.0,,,,,,0.0,0.0,,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,622.0,,-15700.0,,0.0,0.0,0.0,,14972.0,,728.0,,,,,,,,,728.0,,0.0,0.0,,,59560.0,0.0,59560.0,,,,0.0,,-15700.0,,,,24339.0,,,14972.0,-14972.0,,,,,,-728.0,,,,0.0,,50000000.0,0.0,0.0,0.0,,,,,14350.0,-15700.0,,,12.0,,,-236678.0,,,,-59560.0,,,,5664989.0,
2020-06-30,2020-08-07,10-Q,Qiansui International Group Co. Ltd.,QIAN,CIK0001499684,USD,,52250.0,,,8416.0,,176438.0,,,,,,4000.0,4000.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,22.0,,-21445.0,,0.0,,,,,,,,,,,,,,,728.0,,,,,,85005.0,4000.0,85005.0,,,,,,-21445.0,,,,24339.0,,,20717.0,-20717.0,,,,,,-728.0,,,,0.0,,50000000.0,0.0,0.0,0.0,4000.0,,,,20695.0,,,,,,,-258123.0,,,,-81005.0,,,,5664989.0,
2020-09-30,2020-11-04,10-Q,Qiansui International Group Co. Ltd.,QIAN,CIK0001499684,USD,,0.0,,,9169.0,,176438.0,,,,,,0.0,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,46.0,,-4224.0,,0.0,,,,,,,,,,,,,,,753.0,,,,,,85229.0,0.0,85229.0,,,,,,-4224.0,,,,76060.0,,,3471.0,-3471.0,,,,,,-753.0,,,,,0.0,50000000.0,0.0,0.0,0.0,,,,,3425.0,,,,,,,-262347.0,,,,-85229.0,,,,5664989.0,
2020-12-31,2021-09-23,10-K,Qiansui International Group Co. Ltd.,QIAN,CIK0001499684,USD,,4784.0,,,11528.0,,177084.0,,,,,,0.0,0.0,,,0.0,,0.0,6e-06,,,,,,,,,,,,0.0,,,,-13217.0,,,0.0,58911.0,58911.0,,,,,14427.0,14427.0,0.0,0.21,0.21,-0.21,0.0,,,,,5927.0,,-62939.0,,0.0,,0.0,,-7777.0,,4568.0,,,,,,,,,4592.0,,,0.0,,,106799.0,0.0,106799.0,,,,0.0,,-62939.0,,,,,,,58347.0,-58347.0,280000.0,-62939.0,,,,-4592.0,,,,6e-06,6e-06,50000000.0,0.0,0.0,0.0,0.0,14427.0,,,52420.0,,,,,0.0,76060.0,-283917.0,,76060.0,,-106799.0,,,13217.0,5664989.0,
2021-03-31,2021-09-30,10-Q,Qiansui International Group Co. Ltd.,QIAN,CIK0001499684,USD,,2179.0,,,14547.0,,177084.0,,,,,,0.0,,,,0.0,,0.0,,,,,,,,,,,,,737.0,0.12,,,,,,,,,,,,,,21461.0,0.0,,,,,,,,,3443.0,,-7447.0,,0.0,0.0,,,-2605.0,,3019.0,,,,,,,,,3046.0,,27.0,,,,114246.0,0.0,114246.0,,,,0.0,,-7447.0,,,,,,,4401.0,-4401.0,,,,,,-3046.0,,,,,6e-06,50000000.0,0.0,0.0,0.0,,7033.0,,,958.0,,,,,,,-291364.0,,76060.0,,-114246.0,,,,5664989.0,
2021-06-30,2021-09-30,10-Q,Qiansui International Group Co. Ltd.,QIAN,CIK0001499684,USD,,2004.0,,,17462.0,,177084.0,,,,,,4351.0,4351.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26156.0,26156.0,0.0,,,,,,,,,170.0,,-3085.0,,0.0,,,,,,,,,,,,,,,2915.0,,737.0,,,,121682.0,4351.0,121682.0,,,,,,-3085.0,,,,,,,170.0,-170.0,,,,,,-2915.0,,,,6e-06,,50000000.0,0.0,0.0,0.0,4351.0,,,,0.0,,,,,,,-294449.0,,76060.0,,-117331.0,,,,5664989.0,
2021-09-30,2021-11-22,10-Q,Qiansui International Group Co. Ltd.,QIAN,CIK0001499684,USD,,6023.0,,,20903.0,,177084.0,,,,,,2500.0,2500.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,57511.0,57511.0,-0.01,,,,,,,,,271.0,,-40666.0,,0.0,,,,,,,,,,,,,,,3442.0,,1109.0,,,,160497.0,2500.0,160497.0,,,,,,-40666.0,,,,,,,37224.0,-37224.0,,,,,,-3442.0,2500.0,,,6e-06,,50000000.0,0.0,0.0,0.0,2500.0,,,,36953.0,,,,,,,-335115.0,,76060.0,,-157997.0,,,,5664989.0,
